Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-08-07;0.0;0.0;0.0;17.0;17.0;17.0;17.0;17.0
2020-08-10;8960.0;4983900.0;78599792.0;15.58;16.7;15.2;16.75;15.77
2020-08-11;3958.0;1908000.0;28282987.0;14.6;15.51;14.35;15.68;14.82
2020-08-12;4494.0;2357000.0;32438958.0;13.35;14.7;13.31;14.99;13.76
2020-08-13;2810.0;2032000.0;25964832.0;12.25;13.41;12.25;13.52;12.77
2020-08-14;4256.0;1140500.0;14753965.0;12.75;12.86;12.75;13.23;12.93
2020-08-17;2180.0;706800.0;8944197.0;12.74;12.9;12.15;13.37;12.65
2020-08-18;676.0;426400.0;5440641.0;12.78;12.98;12.65;12.98;12.75
2020-08-19;1001.0;407800.0;5149700.0;12.3;12.79;12.3;12.83;12.62
2020-08-20;1619.0;737200.0;8819597.0;11.8;12.3;11.8;12.3;11.96
2020-08-21;1823.0;861500.0;10308995.0;12.28;11.76;11.7;12.34;11.96
2020-08-24;605.0;203600.0;2603973.0;12.94;12.56;12.56;12.94;12.78
2020-08-25;848.0;520600.0;6752890.0;12.59;13.0;12.59;13.4;12.97
2020-08-26;1887.0;494600.0;5966590.0;12.0;12.8;11.81;13.12;12.06
2020-08-27;1454.0;364200.0;4400201.0;11.94;12.31;11.84;12.31;12.08
2020-08-28;559.0;177400.0;2153935.0;12.12;11.94;11.94;12.3;12.14
2020-08-31;820.0;197000.0;2401884.0;12.1;12.15;11.95;12.46;12.19
2020-09-01;714.0;213500.0;2596085.0;12.18;12.1;12.05;12.26;12.15
2020-09-02;648.0;202300.0;2458028.0;11.87;12.25;11.85;12.45;12.15
2020-09-03;498.0;126800.0;1519474.0;11.97;11.91;11.87;12.12;11.98
2020-09-04;470.0;122800.0;1465705.0;11.88;12.01;11.82;12.02;11.93
2020-09-08;428.0;163200.0;1951569.0;11.98;11.85;11.8;12.0;11.95
2020-09-09;497.0;147600.0;1753707.0;11.87;11.91;11.79;12.0;11.88
2020-09-10;667.0;247500.0;2911064.0;11.83;11.97;11.05;11.97;11.76
2020-09-11;815.0;450400.0;5166015.0;11.3;11.78;11.26;11.8;11.46
2020-09-14;1505.0;559900.0;6336786.0;11.3;11.3;11.16;11.51;11.31
2020-09-15;881.0;192600.0;2157892.0;11.12;11.5;11.12;11.56;11.2
2020-09-16;1301.0;429400.0;4682321.0;10.78;11.16;10.73;11.26;10.9
2020-09-17;795.0;290300.0;3092590.0;10.65;10.79;10.37;10.89;10.65
2020-09-18;1689.0;598200.0;6104701.0;10.0;10.54;9.95;10.89;10.2
2020-09-21;4364.0;1775800.0;19082096.0;11.5;10.38;10.1;12.02;10.74
2020-09-22;6278.0;3185100.0;40804836.0;13.1;12.03;12.03;13.23;12.81
2020-09-23;7827.0;3940700.0;54830951.0;14.18;13.35;13.3;14.49;13.91
2020-09-24;3831.0;1854400.0;24741110.0;12.94;13.88;12.9;13.99;13.34
2020-09-25;2523.0;997600.0;12865903.0;12.88;12.9;12.14;13.64;12.89
2020-09-28;1487.0;489600.0;6366024.0;12.51;13.25;12.42;13.47;13.0
2020-09-29;2005.0;906100.0;11016002.0;11.86;12.65;11.75;12.95;12.15
2020-09-30;1406.0;747300.0;8707133.0;11.36;11.91;11.36;12.19;11.65
