Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-12;1.0;1799.5926454;2200.0;0.60411859689;0.60411859689;0.60411859689;0.60411859689;0.60411859689
2004-01-06;3.0;8997.9632271;20000.0;1.465698738;1.465698738;1.465698738;1.465698738;1.465698738
2004-05-31;1.0;1799.5926454;3100.0;1.135916522;1.135916522;1.135916522;1.135916522;1.135916522
2004-10-20;1.0;1799.5926454;3250.0;1.1905861118;1.1905861118;1.1905861118;1.1905861118;1.1905861118
2005-08-08;2.0;10797.555872;13200.0;0.84331096945;0.84331096945;0.84331096945;0.84331096945;0.84331096945
2008-11-10;2.0;4500.0;3910.0;0.59915576642;0.60376465693;0.59915576642;0.60376465693;0.60053843358
2008-11-11;3.0;6000.0;4800.0;0.55306686131;0.55306686131;0.55306686131;0.55306686131;0.55306686131
2008-11-14;1.0;3000.0;3000.0;0.69133357664;0.69133357664;0.69133357664;0.69133357664;0.69133357664
2009-02-03;1.0;1500.0;2500.0;1.1522226277;1.1522226277;1.1522226277;1.1522226277;1.1522226277
2009-07-15;1.0;1500.0;2500.0;1.2002319039;1.2002319039;1.2002319039;1.2002319039;1.2002319039
2009-11-09;1.0;1500.0;2100.0;1.0081947993;1.0081947993;1.0081947993;1.0081947993;1.0081947993
2010-09-08;2.0;7500.0;13000.0;1.2849541559;1.2849541559;1.2849541559;1.2849541559;1.2849541559
2010-09-24;1.0;1500.0;2600.0;1.2849541559;1.2849541559;1.2849541559;1.2849541559;1.2849541559
2010-12-02;1.0;1500.0;3000.0;1.4826394107;1.4826394107;1.4826394107;1.4826394107;1.4826394107
2011-08-09;1.0;150.0;1500.0;7.7167214297;7.7167214297;7.7167214297;7.7167214297;7.7167214297
2011-09-14;1.0;150.0;610.0;3.1381333814;3.1381333814;3.1381333814;3.1381333814;3.1381333814
2011-09-16;1.0;300.0;1222.0;3.1432778624;3.1432778624;3.1432778624;3.1432778624;3.1432778624
2012-05-15;1.0;150.0;201.0;1.0654280781;1.0654280781;1.0654280781;1.0654280781;1.0654280781
2012-06-12;2.0;450.0;900.0;1.5901911614;1.5901911614;1.5901911614;1.5901911614;1.5901911614
2013-07-12;1.0;150.0;304.0;1.7112145595;1.7112145595;1.7112145595;1.7112145595;1.7112145595
2013-11-26;1.0;450.0;1650.0;3.0959473939;3.0959473939;3.0959473939;3.0959473939;3.0959473939
2014-04-03;2.0;300.0;1022.0;2.9934325795;2.9934325795;2.9934325795;2.9934325795;2.9934325795
2014-06-16;1.0;125.0;550.0;3.866272999;3.866272999;3.866272999;3.866272999;3.866272999
2014-07-04;1.0;1750.0;7700.0;3.866272999;3.866272999;3.866272999;3.866272999;3.866272999
2014-07-29;1.0;125.0;550.0;3.866272999;3.866272999;3.866272999;3.866272999;3.866272999
2014-10-13;1.0;250.0;1200.0;4.2177523625;4.2177523625;4.2177523625;4.2177523625;4.2177523625
