Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-05-28;0.0;0.0;0.0;132.0;132.0;132.0;132.0;132.0
2021-05-31;6522.0;206990.0;28652441.0;132.0;135.6;132.0;150.0;138.3
2021-06-01;1437.0;59380.0;7845994.0;131.8;134.1;130.5;137.5;132.1
2021-06-02;717.0;31830.0;4202694.0;133.2;132.0;130.4;133.2;132.0
2021-06-04;888.0;17750.0;2335866.0;131.4;133.6;131.0;135.7;131.5
2021-06-07;211.0;5160.0;679061.0;131.5;131.6;131.0;132.6;131.5
2021-06-08;319.0;11100.0;1454371.0;131.0;131.5;130.5;135.0;131.0
2021-06-09;257.0;6850.0;880318.0;128.2;131.0;126.6;131.5;128.4
2021-06-10;184.0;5340.0;680987.0;128.4;128.2;126.5;128.5;127.5
2021-06-11;145.0;4370.0;557315.0;127.5;127.5;126.6;128.5;127.4
2021-06-14;135.0;4280.0;544217.0;127.5;127.5;126.2;127.9;127.1
2021-06-15;168.0;3840.0;492749.0;129.1;127.5;127.3;129.6;128.3
2021-06-16;206.0;6020.0;782993.0;130.4;129.7;129.5;131.1;130.0
2021-06-17;154.0;4910.0;639005.0;131.2;130.4;126.7;131.5;130.1
2021-06-18;155.0;3430.0;449110.0;131.5;130.1;130.0;131.9;130.9
2021-06-21;498.0;8140.0;1072564.0;132.0;131.9;131.5;134.0;131.7
2021-06-22;290.0;10540.0;1392455.0;136.0;132.0;126.7;136.0;132.2
2021-06-23;191.0;6440.0;865869.0;135.0;136.0;133.0;136.0;134.4
2021-06-24;92.0;1990.0;265420.0;132.6;135.8;132.3;135.8;133.3
2021-06-25;263.0;8070.0;1094097.0;138.0;132.4;132.1;138.0;135.7
2021-06-28;280.0;8070.0;1094566.0;136.0;137.3;133.8;137.8;135.6
2021-06-29;77.0;1930.0;263364.0;137.7;136.1;134.5;137.7;136.6
2021-06-30;385.0;10290.0;1437154.0;139.2;137.8;135.8;141.2;139.6
2021-07-01;170.0;5300.0;747359.0;141.6;143.0;137.9;143.0;141.0
2021-07-02;139.0;2830.0;398358.0;140.0;141.4;138.6;141.9;140.6
2021-07-05;71.0;4980.0;699666.0;139.5;141.1;139.5;142.3;140.4
2021-07-06;124.0;4040.0;559763.0;139.5;139.5;135.1;140.0;138.5
2021-07-07;66.0;1960.0;272016.0;140.0;141.9;137.5;141.9;138.8
2021-07-08;86.0;1520.0;209687.0;138.1;136.1;136.0;139.6;137.8
2021-07-12;1324.0;31030.0;4637080.0;160.0;143.0;140.0;160.0;149.6
2021-07-13;2608.0;61120.0;10611743.0;171.5;177.0;168.0;184.5;173.6
2021-07-14;1571.0;40890.0;7063050.0;166.9;173.0;166.4;183.8;172.5
2021-07-15;1184.0;28220.0;4820209.0;165.0;165.0;165.0;177.9;170.6
2021-07-16;362.0;10300.0;1697185.0;164.0;168.9;160.3;170.7;164.7
2021-07-19;302.0;8820.0;1429397.0;166.9;161.7;155.6;167.0;162.0
2021-07-20;428.0;11820.0;2020429.0;170.0;166.4;166.4;175.0;170.9
2021-07-21;278.0;9190.0;1534710.0;169.6;171.0;160.7;172.5;167.0
2021-07-22;205.0;5240.0;876365.0;167.8;167.6;165.5;170.9;167.2
2021-07-23;247.0;4390.0;730799.0;165.0;169.9;163.9;170.1;166.4
2021-07-26;235.0;6570.0;1049197.0;160.0;162.2;156.6;162.9;159.6
2021-07-27;452.0;14460.0;2184884.0;155.5;158.0;146.1;158.0;151.2
2021-07-28;281.0;6670.0;1019793.0;144.5;155.6;144.5;157.4;152.8
2021-07-29;1190.0;142750.0;18876611.0;129.3;146.4;129.3;155.5;132.2
2021-07-30;672.0;18350.0;2312414.0;124.8;130.3;122.7;130.9;125.9
2021-08-02;319.0;7380.0;930182.0;125.9;124.8;123.1;128.8;126.0
2021-08-03;569.0;8110.0;1014967.0;126.9;127.4;120.8;127.8;125.1
2021-08-04;231.0;5210.0;643655.0;121.7;128.0;121.7;128.1;123.4
2021-08-05;293.0;6670.0;803570.0;118.7;124.0;117.6;128.0;120.3
2021-08-06;693.0;16940.0;1933927.0;111.0;121.4;111.0;121.4;114.0
2021-08-09;395.0;25440.0;2727872.0;101.1;109.1;101.1;111.0;107.0
2021-08-10;257.0;11830.0;1210730.0;101.5;101.8;96.1;105.3;102.3
2021-08-11;222.0;7330.0;729334.0;98.0;101.1;96.8;102.3;99.3
2021-08-12;167.0;5310.0;531261.0;101.5;99.6;97.0;103.0;100.0
2021-08-13;178.0;4090.0;419349.0;103.0;101.7;100.0;104.5;102.5
2021-08-16;219.0;4560.0;444282.0;99.9;102.0;94.5;102.0;97.4
2021-08-17;167.0;4400.0;422016.0;98.0;101.1;92.0;102.5;95.9
2021-08-18;144.0;4320.0;423326.0;98.0;100.1;95.7;102.4;97.9
2021-08-19;144.0;4620.0;445985.0;97.8;96.1;94.1;99.9;96.5
2021-08-20;271.0;11380.0;1089845.0;94.9;96.5;94.5;98.8;95.7
2021-08-23;127.0;4800.0;446730.0;92.2;94.3;90.6;95.3;93.0
2021-08-24;167.0;4950.0;460543.0;92.8;92.3;91.5;95.9;93.0
2021-08-25;109.0;3710.0;347175.0;93.1;93.5;92.3;95.0;93.5
2021-08-26;135.0;4370.0;398673.0;90.1;93.2;89.4;93.9;91.2
2021-08-27;364.0;9860.0;901742.0;90.5;92.4;90.2;93.9;91.3
2021-08-30;139.0;5440.0;503009.0;91.3;91.2;91.0;95.0;92.4
2021-08-31;153.0;6220.0;563379.0;92.0;92.3;88.0;93.0;90.6
2021-09-01;650.0;19030.0;1820466.0;92.9;93.8;92.8;99.9;95.5
2021-09-02;311.0;11270.0;1021682.0;91.0;94.2;88.2;96.7;90.6
2021-09-03;103.0;5010.0;451766.0;89.5;89.9;89.2;91.1;90.1
2021-09-06;94.0;5100.0;454638.0;91.7;89.6;88.0;91.7;89.1
2021-09-08;154.0;6690.0;581891.0;88.2;90.0;85.1;90.3;86.9
2021-09-09;316.0;12130.0;1031733.0;85.7;88.0;83.5;88.0;85.0
2021-09-10;210.0;5120.0;442935.0;86.0;87.0;84.2;89.3;86.5
2021-09-13;271.0;95560.0;8270728.0;86.6;88.4;84.0;90.0;86.5
2021-09-14;187.0;4080.0;351828.0;86.3;86.2;85.1;87.3;86.2
2021-09-15;260.0;6040.0;528961.0;87.7;86.3;85.3;90.9;87.5
2021-09-16;245.0;6960.0;601500.0;85.0;85.3;85.0;89.1;86.4
2021-09-17;1124.0;18740.0;1637928.0;89.7;84.7;82.8;92.0;87.4
2021-09-20;218.0;4610.0;401955.0;89.1;87.6;84.8;89.1;87.2
2021-09-21;266.0;7920.0;686448.0;86.0;89.2;85.2;91.0;86.6
2021-09-22;245.0;4720.0;401605.0;84.3;87.0;84.2;87.0;85.0
2021-09-23;154.0;5380.0;457926.0;84.9;84.6;84.2;87.1;85.1
2021-09-24;153.0;3130.0;263383.0;84.0;85.4;83.4;85.4;84.1
2021-09-27;57.0;1770.0;149214.0;84.0;84.9;83.4;85.0;84.3
2021-09-28;270.0;6400.0;518155.0;82.5;84.0;78.3;84.0;80.9
2021-09-29;689.0;16110.0;1269972.0;76.6;81.7;76.6;82.7;78.7
2021-09-30;232.0;6130.0;465417.0;75.1;77.0;74.2;77.4;75.8
2021-10-01;253.0;8370.0;627267.0;74.9;76.3;71.5;77.6;74.9
2021-10-04;226.0;9490.0;668633.0;69.1;74.2;68.5;75.2;70.3
2021-10-05;140.0;4100.0;280587.0;66.6;71.5;66.6;71.5;68.4
2021-10-06;193.0;6200.0;394638.0;61.3;66.3;61.0;67.5;63.4
2021-10-07;150.0;6200.0;381548.0;62.9;63.5;59.0;64.5;61.5
2021-10-08;279.0;11480.0;781651.0;68.8;64.0;63.2;70.5;68.0
2021-10-11;194.0;5390.0;357070.0;63.2;70.4;63.2;70.8;66.2
2021-10-13;205.0;10490.0;643068.0;61.9;65.7;59.5;65.7;61.3
2021-10-14;153.0;3130.0;192243.0;61.5;62.9;60.3;62.9;61.4
2021-10-15;156.0;3310.0;205685.0;62.6;61.6;60.5;63.0;62.1
2021-10-18;180.0;5850.0;361322.0;61.9;63.3;60.4;63.3;61.7
2021-10-19;255.0;6560.0;395949.0;59.9;66.8;58.0;66.8;60.3
2021-10-20;257.0;8460.0;496640.0;57.3;62.5;57.3;63.9;58.7
