Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2004-11-09;1.0;100.0;1200.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2004-12-03;1.0;100.0;1200.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2004-12-22;4.0;68890.0;99434.0;1.2371391364;1.4138732988;1.2371391364;1.4138732988;1.2371391364
2004-12-28;2.0;110.0;990.0;7.9530373057;7.9530373057;7.9530373057;7.9530373057;7.9530373057
2005-01-05;1.0;100.0;1000.0;8.8367081175;8.8367081175;8.8367081175;8.8367081175;8.8367081175
2005-02-02;2.0;100.0;1180.0;10.427315578;10.427315578;10.427315578;10.427315578;10.427315578
2005-02-22;1.0;10.0;119.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2005-03-07;3.0;200.0;2380.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2005-04-04;3.0;150.0;1800.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2005-05-04;3.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2005-06-03;2.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2005-07-05;2.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2005-08-04;2.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2005-09-02;2.0;200.0;2380.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2005-10-03;2.0;200.0;2380.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2005-11-01;2.0;200.0;2380.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2005-12-01;4.0;700.0;8330.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2006-01-02;3.0;650.0;7085.0;9.6320118481;9.6320118481;9.6320118481;9.6320118481;9.6320118481
2006-02-06;4.0;500.0;6000.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2006-03-09;2.0;200.0;2380.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2006-04-05;2.0;200.0;2380.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2006-05-08;2.0;200.0;2380.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2006-06-02;2.0;200.0;2380.0;10.515682659;10.515682659;10.515682659;10.515682659;10.515682659
2006-07-14;3.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2006-08-09;2.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2006-09-11;2.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2006-10-10;2.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2006-11-07;2.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2006-12-04;1.0;200.0;2400.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2006-12-06;1.0;100.0;1200.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2007-01-15;1.0;100.0;1200.0;10.604049741;10.604049741;10.604049741;10.604049741;10.604049741
2007-01-23;1.0;100.0;950.0;8.3948727116;8.3948727116;8.3948727116;8.3948727116;8.3948727116
2007-01-24;7.0;310.0;3715.0;11.399353471;9.0134422798;9.0134422798;11.399353471;10.604049741
2007-01-26;7.0;290.0;4393.0;15.022403799;12.81322677;12.81322677;15.022403799;13.343429257
2007-01-29;8.0;220.0;2938.0;13.166695095;11.399353471;11.399353471;13.166695095;11.841188877
2007-01-31;1.0;80.0;1200.0;13.255062176;13.255062176;13.255062176;13.255062176;13.255062176
2007-02-05;2.0;150.0;1530.0;8.6599739551;9.7203789292;8.6599739551;9.7203789292;9.0134422798
2007-02-08;1.0;20.0;258.0;11.399353471;11.399353471;11.399353471;11.399353471;11.399353471
2007-02-21;11.0;280.0;5160.0;17.850150397;13.166695095;13.078328013;26.510124352;16.259542936
2007-02-22;76.0;1540.0;97232.0;53.903919517;26.598491434;26.598491434;75.112018999;55.759628221
2007-02-23;83.0;1690.0;114335.0;39.765186529;60.089615199;39.765186529;70.69366494;59.824513955
2007-02-26;5.0;90.0;3992.0;38.881515717;39.941920691;38.881515717;39.941920691;39.234984042
2007-02-27;1.0;10.0;400.0;35.34683247;35.34683247;35.34683247;35.34683247;35.34683247
2007-03-02;11.0;260.0;6896.0;23.152175268;27.923997651;23.152175268;27.923997651;23.417276511
2007-03-05;11.0;240.0;8078.0;39.765186529;26.510124352;26.510124352;39.765186529;29.779706356
2007-03-07;8.0;230.0;6080.0;20.766264076;24.742782729;20.766264076;24.742782729;23.32890943
2007-03-08;4.0;80.0;2168.0;22.975441105;25.007883972;22.975441105;25.007883972;23.947478998
2007-03-09;5.0;110.0;2841.0;20.412795751;23.417276511;20.412795751;23.417276511;22.798706943
2007-03-12;3.0;30.0;837.0;20.412795751;25.272985216;20.412795751;28.277465976;24.654415648
2007-03-14;3.0;30.0;678.0;19.970960345;19.970960345;19.970960345;19.970960345;19.970960345
2007-03-15;2.0;20.0;364.0;14.580568393;17.585049154;14.580568393;17.585049154;16.082808774
2007-03-21;57.0;1330.0;44201.0;27.83563057;25.626453541;25.626453541;35.34683247;29.33787095
2007-03-22;79.0;2140.0;81168.0;31.812149223;30.044807599;28.719301382;35.34683247;33.491123765
2007-03-23;16.0;390.0;11316.0;24.742782729;30.928478411;24.300947323;30.928478411;25.626453541
2007-03-26;5.0;100.0;2839.0;24.919516891;25.184618135;24.83114981;25.184618135;25.096251054
2007-03-27;1.0;20.0;562.0;24.83114981;24.83114981;24.83114981;24.83114981;24.83114981
2007-03-28;14.0;540.0;12737.0;20.766264076;24.83114981;17.850150397;24.83114981;20.854631157
2007-03-29;9.0;360.0;8316.0;21.649934888;20.589529914;18.998922453;21.649934888;20.412795751
2007-03-30;1.0;10.0;259.0;22.887074024;22.887074024;22.887074024;22.887074024;22.887074024
2007-04-04;3.0;40.0;922.0;21.208099482;19.52912494;19.52912494;21.208099482;20.412795751
2007-04-05;8.0;280.0;7213.0;23.682377755;22.003403213;22.003403213;23.682377755;22.798706943
2007-04-10;6.0;170.0;4308.0;22.091770294;23.417276511;21.119732401;23.417276511;22.356871537
