Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-09-20;0.0;0.0;0.0;3.795566816;3.795566816;3.795566816;3.795566816;3.795566816
2007-09-21;4403.0;10039462.54;64021299.0;3.6233064759;3.6057884752;3.5619934735;3.7663701482;3.6641818108
2007-09-24;1368.0;1501196.7802;9749517.0;3.7926471492;3.6641818108;3.5911901413;3.795566816;3.7313341468
2007-09-25;753.0;1311112.0915;8752125.0;3.8831568194;3.7780488153;3.6846194783;3.8977551533;3.8364421509
2007-09-26;588.0;1436261.017;9859916.0;3.9211124876;3.8831568194;3.8685584855;4.0028631575;3.9444698218
2007-09-27;563.0;1152117.8592;7916428.0;3.9415501551;3.9415501551;3.915273154;4.0846138274;3.9473894886
2007-09-28;172.0;583241.21856;3917617.0;3.9123534872;3.8977551533;3.6787801447;3.9707468229;3.8597994852
2007-10-01;131.0;138923.17824;935350.0;3.8247634838;3.9123534872;3.8247634838;3.9123534872;3.8685584855
2007-10-02;140.0;647586.65664;4298794.0;3.795566816;3.8539601516;3.795566816;3.8977551533;3.8130848167
2007-10-03;66.0;744793.5264;4815990.0;3.795566816;3.7079768125;3.6641818108;3.795566816;3.7138161461
2007-10-04;104.0;1091117.5968;7056603.0;3.7926471492;3.795566816;3.6495834769;3.795566816;3.7167358129
2007-10-05;113.0;1057665.84;6859039.0;3.7663701482;3.7108964793;3.7079768125;3.7663701482;3.7254948132
2007-10-08;138.0;581863.79328;3863254.0;3.8247634838;3.7108964793;3.7108964793;3.9269518212;3.8130848167
2007-10-09;63.0;689499.74016;4559724.0;3.795566816;3.8802371526;3.7371734804;3.8831568194;3.7984864828
2007-10-10;74.0;362656.39872;2406557.0;3.795566816;3.8452011513;3.7371734804;3.9123534872;3.8130848167
2007-10-11;60.0;467537.49504;3090821.0;3.795566816;3.8714781523;3.7663701482;3.8714781523;3.7984864828
2007-10-15;140.0;114916.62336;787733.0;3.9707468229;3.8831568194;3.8510404848;4.0816941606;3.9386304883
2007-10-16;46.0;91893.94368;624358.0;3.8364421509;3.9999434907;3.8364421509;3.9999434907;3.9035944869
2007-10-17;63.0;187133.06304;1248121.0;3.795566816;3.9415501551;3.7108964793;3.9415501551;3.8306028174
2007-10-18;11.0;67887.3888;454005.0;3.9123534872;3.795566816;3.795566816;3.9269518212;3.8422814845
2007-10-19;56.0;4765104.3686;31481829.0;3.9123534872;3.9357108215;3.795566816;3.9357108215;3.795566816
2007-10-22;21.0;432314.76288;2856254.0;3.8539601516;3.795566816;3.7079768125;3.9065141537;3.795566816
2007-10-23;15.0;206023.46688;1361409.0;3.7371734804;3.8247634838;3.7371734804;3.8510404848;3.795566816
2007-10-24;78.0;920120.08704;6033699.0;3.795566816;3.7400931471;3.7371734804;3.7984864828;3.7663701482
2007-10-25;29.0;726296.67264;4712075.0;3.7079768125;3.7400931471;3.7079768125;3.7400931471;3.72841448
2007-10-26;42.0;118261.79904;781672.0;3.795566816;3.821843817;3.7663701482;3.8247634838;3.7984864828
2007-10-29;48.0;1029133.4592;6759004.0;3.7517718143;3.769289815;3.7517718143;3.821843817;3.7722094817
2007-10-30;14.0;159978.10752;1035668.0;3.7079768125;3.7634504814;3.7079768125;3.7663701482;3.7196554797
2007-10-31;73.0;412440.48384;2723829.0;3.7926471492;3.795566816;3.7663701482;3.9941041571;3.795566816
2007-11-01;35.0;108619.82208;712019.0;3.7663701482;3.7634504814;3.7371734804;3.7663701482;3.7663701482
2007-11-05;23.0;74774.5152;490160.0;3.7663701482;3.7488521475;3.7488521475;3.7663701482;3.7663701482
