Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-02-24;1.0;10000.0;290.0;0.015063887866;0.015063887866;0.015063887866;0.015063887866;0.015063887866
2000-05-25;1.0;20000.0;1400.0;0.036361108642;0.036361108642;0.036361108642;0.036361108642;0.036361108642
2007-06-29;1.0;1000.0;5001.0;2.5977414903;2.5977414903;2.5977414903;2.5977414903;2.5977414903
2011-01-21;1.0;1000.0;4500.0;2.3374998413;2.3374998413;2.3374998413;2.3374998413;2.3374998413
2012-08-03;1.0;1000.0;2800.0;1.4544443457;1.4544443457;1.4544443457;1.4544443457;1.4544443457
2014-08-14;1.0;9000.0;20709.0;1.2580024281;1.2580024281;1.2580024281;1.2580024281;1.2580024281
2014-09-12;1.0;3000.0;6900.0;1.2574557082;1.2574557082;1.2574557082;1.2574557082;1.2574557082
2014-09-17;1.0;3000.0;6900.0;1.2574557082;1.2574557082;1.2574557082;1.2574557082;1.2574557082
2014-09-18;1.0;1000.0;2300.0;1.2574557082;1.2574557082;1.2574557082;1.2574557082;1.2574557082
2014-09-30;2.0;4000.0;8402.0;1.1481117336;1.1486584535;1.1481117336;1.1486584535;1.1486584535
2014-10-09;1.0;3000.0;5850.0;1.0661037526;1.0661037526;1.0661037526;1.0661037526;1.0661037526
2014-10-13;2.0;6000.0;13800.0;1.2574557082;1.2574557082;1.2574557082;1.2574557082;1.2574557082
2014-10-14;1.0;3000.0;6900.0;1.2574557082;1.2574557082;1.2574557082;1.2574557082;1.2574557082
2014-12-11;1.0;3000.0;6900.0;1.2574557082;1.2574557082;1.2574557082;1.2574557082;1.2574557082
2014-12-18;1.0;2000.0;4600.0;1.2813501021;1.2813501021;1.2813501021;1.2813501021;1.2813501021
2015-08-10;1.0;9000.0;20700.0;1.3106750312;1.3106750312;1.3106750312;1.3106750312;1.3106750312
2015-09-22;1.0;9000.0;20700.0;1.3106750312;1.3106750312;1.3106750312;1.3106750312;1.3106750312
2015-11-12;1.0;9000.0;20700.0;1.3106750312;1.3106750312;1.3106750312;1.3106750312;1.3106750312
2015-12-08;1.0;9000.0;20700.0;1.3506447797;1.3506447797;1.3506447797;1.3506447797;1.3506447797
2016-01-18;1.0;10000.0;23000.0;1.3506447797;1.3506447797;1.3506447797;1.3506447797;1.3506447797
2016-02-05;1.0;10000.0;23000.0;1.3506447797;1.3506447797;1.3506447797;1.3506447797;1.3506447797
2017-08-03;1.0;2000.0;4400.0;1.3128061267;1.3128061267;1.3128061267;1.3128061267;1.3128061267
