Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2010-03-31;0.0;0.0;0.0;5.6481140403;5.6481140403;5.6481140403;5.6481140403;5.6481140403
2010-04-01;3772.0;8189800.0;78087382.0;5.6481140403;5.6481140403;5.5292063763;5.755130938;5.6659501899
2010-04-05;1505.0;3078200.0;29330584.0;5.6540594235;5.6481140403;5.6481140403;5.6897317228;5.6659501899
2010-04-06;534.0;2588300.0;24526130.0;5.6481140403;5.6302778907;5.5886602083;5.6659501899;5.6362232739
2010-04-07;1919.0;2548300.0;24449213.0;5.6600048068;5.6481140403;5.6183871243;5.755130938;5.7016224891
2010-04-08;548.0;2793400.0;26549662.0;5.6481140403;5.6718955731;5.6421686572;5.6778409564;5.6481140403
2010-04-09;1058.0;1833800.0;17454518.0;5.6481140403;5.6897317228;5.6362232739;5.6897317228;5.6600048068
2010-04-12;592.0;1803400.0;17173364.0;5.6778409564;5.6659501899;5.6302778907;5.695677106;5.6600048068
2010-04-13;1041.0;1396700.0;13515056.0;5.7967486204;5.6778409564;5.6600048068;5.7967486204;5.755130938
2010-04-14;775.0;1847100.0;18145869.0;5.8799839852;5.81458477;5.7135132556;5.9156562844;5.8383663028
2010-04-15;997.0;729700.0;7191771.0;5.8502570692;5.7432401716;5.7432401716;5.9216016676;5.8621478356
2010-04-16;320.0;615100.0;6055464.0;5.7670217044;5.8799839852;5.7670217044;5.8799839852;5.8502570692
2010-04-19;303.0;332000.0;3212855.0;5.8562024524;5.725404022;5.7075678724;5.8562024524;5.755130938
2010-04-20;1515.0;736700.0;7234440.0;5.8680932188;5.784857854;5.7491855548;5.8859293684;5.8383663028
2010-04-22;838.0;1143500.0;11196000.0;5.8264755364;5.8562024524;5.7670217044;5.8562024524;5.8205301532
2010-04-23;321.0;472500.0;4628027.0;5.81458477;5.8562024524;5.7491855548;5.8680932188;5.8205301532
2010-04-26;829.0;694800.0;6819043.0;5.8264755364;5.81458477;5.7967486204;5.8502570692;5.8324209196
2010-04-27;289.0;695200.0;6719491.0;5.6778409564;5.7908032372;5.6778409564;5.7967486204;5.7491855548
2010-04-28;843.0;934700.0;8892916.0;5.6778409564;5.6897317228;5.6183871243;5.7967486204;5.6540594235
2010-04-29;293.0;260200.0;2480251.0;5.6481140403;5.7075678724;5.6481140403;5.7432401716;5.6659501899
2010-04-30;288.0;1133800.0;10793913.0;5.7075678724;5.6421686572;5.6124417411;5.7075678724;5.6600048068
2010-05-03;542.0;631800.0;6153903.0;5.8799839852;5.7372947884;5.6600048068;5.9097109012;5.7908032372
2010-05-04;1553.0;1793900.0;17682506.0;5.8324209196;5.7729670876;5.7135132556;6.0583454812;5.8621478356
2010-05-05;693.0;878600.0;8531402.0;5.7670217044;5.8264755364;5.7075678724;5.8264755364;5.7729670876
2010-05-06;698.0;1895800.0;17869721.0;5.755130938;5.8205301532;5.3092271979;5.8205301532;5.6064963579
2010-05-07;572.0;750800.0;7024143.0;5.6124417411;5.7372947884;5.4102987123;5.7372947884;5.5648786755
2010-05-10;457.0;570900.0;5461564.0;5.6481140403;5.7789124708;5.5589332923;5.8086393868;5.6897317228
2010-05-11;2993.0;2507000.0;22872220.0;5.4400256283;5.6421686572;5.3567902635;5.6659501899;5.4221894787
2010-05-12;1402.0;1643900.0;15319625.0;5.5886602083;5.5113702267;5.4697525443;5.5886602083;5.5410971427
2010-05-13;1251.0;488700.0;4625507.0;5.6481140403;5.6362232739;5.5648786755;5.6718955731;5.6243325076
2010-05-14;882.0;813300.0;7504594.0;5.5292063763;5.6362232739;5.3865171795;5.6481140403;5.4875886939
2010-05-17;233.0;391700.0;3600169.0;5.4519163947;5.6064963579;5.3984079459;5.6718955731;5.4638071611
2010-05-18;539.0;523400.0;4814905.0;5.4043533291;5.5529879091;5.3567902635;5.5529879091;5.4697525443
2010-05-19;175.0;833200.0;7348656.0;5.3211179643;5.3508448803;5.1724833843;5.4935340771;5.2438279827
2010-05-20;1254.0;1268600.0;10757255.0;5.0476303371;5.2973364315;4.9168319067;5.2973364315;5.0416849539
2010-05-21;353.0;2098400.0;17718819.0;5.1724833843;5.0714118699;4.9406134395;5.1724833843;5.0179034211
2010-05-24;736.0;1333000.0;11237878.0;5.0535757203;5.3211179643;4.9465588227;5.3211179643;5.0119580379
2010-05-25;182.0;846200.0;7038404.0;4.9346680563;4.8514326915;4.8514326915;4.9941218883;4.9465588227
2010-05-26;992.0;1643200.0;14100864.0;5.0476303371;4.9881765051;4.9762857387;5.2319372163;5.1011387859
2010-05-27;674.0;1472100.0;12778208.0;5.3092271979;5.1724833843;5.0595211035;5.3092271979;5.1605926179
2010-05-28;344.0;423200.0;3780521.0;5.4638071611;5.3211179643;5.1249203187;5.4638071611;5.3092271979
2010-05-31;613.0;323600.0;3004146.0;5.6421686572;5.4875886939;5.2616641323;5.6421686572;5.5173156099
2010-06-01;1942.0;477500.0;4473990.0;5.5589332923;5.5173156099;5.4102987123;5.6124417411;5.5708240587
2010-06-02;468.0;280400.0;2618840.0;5.5827148251;5.5767694419;5.4578617779;5.6124417411;5.5529879091
2010-06-04;578.0;1123200.0;10134178.0;5.4340802451;5.4459710115;5.2022103003;5.6005509747;5.3627356467
2010-06-07;169.0;158100.0;1435937.0;5.4638071611;5.3330087307;5.3330087307;5.4638071611;5.3984079459
2010-06-08;1465.0;1544700.0;13912423.0;5.3508448803;5.4875886939;5.1962649171;5.4875886939;5.3567902635
2010-06-09;261.0;319100.0;2887907.0;5.4994794603;5.3508448803;5.3092271979;5.4994794603;5.3805717963
2010-06-10;468.0;499700.0;4666669.0;5.695677106;5.4816433107;5.4756979275;5.695677106;5.5529879091
2010-06-11;361.0;226300.0;2144231.0;5.6481140403;5.5470425259;5.5470425259;5.6600048068;5.6362232739
2010-06-14;178.0;501400.0;4679194.0;5.5292063763;5.6481140403;5.4519163947;5.6481140403;5.5470425259
2010-06-15;117.0;569400.0;5260999.0;5.5708240587;5.4935340771;5.4102987123;5.5827148251;5.4935340771
2010-06-16;500.0;853100.0;8003437.0;5.6718955731;5.5113702267;5.4756979275;5.6718955731;5.5767694419
2010-06-17;660.0;948100.0;9131433.0;5.784857854;5.6897317228;5.6421686572;5.784857854;5.725404022
2010-06-18;784.0;2270700.0;22617024.0;5.9156562844;5.7670217044;5.7075678724;6.0048370324;5.9216016676
