Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2019-04-08;3.0;900.0;2709.0;1.4787622881;1.4787622881;1.4787622881;1.4787622881;1.4787622881
2019-04-12;2.0;200.0;3212.0;7.8900074243;7.8900074243;7.8900074243;7.8900074243;7.8900074243
2019-04-15;5.0;500.0;10101.0;10.316946196;8.8430967395;8.8430967395;10.316946196;9.9239196744
2019-04-16;5.0;500.0;9322.0;9.3835082069;9.3343798917;8.4107675656;9.3835082069;9.1575179569
2019-04-22;2.0;200.0;4248.0;10.562587772;10.307120533;10.307120533;10.562587772;10.434854152
2019-04-30;1.0;300.0;6780.0;11.224115274;11.224115274;11.224115274;11.224115274;11.224115274
2019-05-07;4.0;400.0;7408.0;9.1978148176;9.1978148176;9.1978148176;9.1978148176;9.1978148176
2019-05-08;2.0;300.0;5583.0;9.2425126218;9.2425126218;9.2425126218;9.2425126218;9.2425126218
2019-06-04;2.0;300.0;5814.0;9.6249271688;9.6249271688;9.6249271688;9.6249271688;9.6249271688
2019-06-10;1.0;100.0;1937.0;9.6199607461;9.6199607461;9.6199607461;9.6199607461;9.6199607461
2019-06-11;1.0;100.0;1937.0;9.6199607461;9.6199607461;9.6199607461;9.6199607461;9.6199607461
2019-06-12;1.0;100.0;1937.0;9.6199607461;9.6199607461;9.6199607461;9.6199607461;9.6199607461
2019-06-14;1.0;100.0;1952.0;9.6944570864;9.6944570864;9.6944570864;9.6944570864;9.6944570864
2019-08-28;1.0;100.0;2601.0;12.91766541;12.91766541;12.91766541;12.91766541;12.91766541
2024-03-28;4.0;700.0;14707.0;20.561781828;20.561781828;20.561781828;20.561781828;20.561781828
2024-04-03;3.0;300.0;18003.0;58.729772846;58.729772846;58.729772846;58.729772846;58.729772846
2024-04-05;1.0;100.0;7000.0;68.506650545;68.506650545;68.506650545;68.506650545;68.506650545
2024-04-29;1.0;100.0;6928.0;68.507669063;68.507669063;68.507669063;68.507669063;68.507669063
2024-08-30;1.0;100.0;6845.0;67.686921873;67.686921873;67.686921873;67.686921873;67.686921873
2024-10-03;3.0;400.0;27120.0;67.8;67.8;67.8;67.8;67.8
2024-10-31;1.0;300.0;20340.0;67.8;67.8;67.8;67.8;67.8
2024-11-07;1.0;10500.0;611205.0;58.21;58.21;58.21;58.21;58.21
2024-11-11;2.0;200.0;14000.0;70.0;70.0;70.0;70.0;70.0
2024-12-19;1.0;300.0;21000.0;70.0;70.0;70.0;70.0;70.0
2025-01-21;1.0;100.0;7000.0;70.0;70.0;70.0;70.0;70.0
2025-07-03;1.0;100.0;15002.0;150.02;150.02;150.02;150.02;150.02
2025-08-18;1.0;150700.0;22605000.0;150.0;150.0;150.0;150.0;150.0
