Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;356.0;981000.0;8226540.0;4.3083256036;4.6721864153;4.2186786423;4.6721864153;4.4243394071
2000-01-04;373.0;1251000.0;9398590.0;3.8284509886;4.1132117768;3.8284509886;4.1132117768;3.9602846961
2000-01-05;289.0;963000.0;7038840.0;3.9022777944;3.8864576388;3.7440772447;3.9708313827;3.8548175792
2000-01-06;153.0;458000.0;3336600.0;3.812630833;3.9022777944;3.7968106775;3.9022777944;3.8442708927
2000-01-07;131.0;421000.0;3098870.0;3.928644385;3.9497377581;3.8231775196;3.9550112271;3.8811844213
2000-01-10;119.0;379000.0;2875520.0;3.9655579137;3.9813780692;3.9655579137;4.034111502;4.0024714423
2000-01-11;116.0;234000.0;1728600.0;3.7968106775;4.0552048751;3.7968106775;4.0552048751;3.8970043254
2000-01-12;126.0;392000.0;2822070.0;3.7704440868;3.807357364;3.7440772447;3.8548175792;3.7968106775
2000-01-13;119.0;373000.0;2669340.0;3.7968106775;3.9022777944;3.691343812;3.9550112271;3.7757173044
2000-01-14;116.0;369000.0;2634070.0;3.691343812;3.7968106775;3.691343812;3.9022777944;3.7651706178
2000-01-17;95.0;244000.0;1737890.0;3.8495443617;3.691343812;3.691343812;3.9022777944;3.7546239313
2000-01-18;120.0;424000.0;3112520.0;3.9022777944;3.7968106775;3.7968106775;3.9233711675;3.8706377347
2000-01-19;205.0;738000.0;5576840.0;3.8759109523;3.9075510119;3.8548175792;4.0921184037;3.9866512868
2000-01-20;88.0;377000.0;2762740.0;3.8495443617;3.928644385;3.8231775196;3.928644385;3.8653642657
2000-01-21;107.0;386000.0;2808220.0;3.9550112271;3.8759109523;3.691343812;3.9550112271;3.8389976751
2000-01-24;139.0;466000.0;3539180.0;3.928644385;3.9497377581;3.8495443617;4.1132117768;4.0024714423
2000-01-26;146.0;392000.0;2969360.0;3.9813780692;4.034111502;3.9550112271;4.0604780926;3.9919247558
2000-01-27;281.0;933000.0;7339930.0;4.1026650902;4.1395783674;4.0868449347;4.1975852692;4.150125054
2000-01-28;263.0;758000.0;6046870.0;4.2819587616;4.1923118002;4.1079383078;4.2819587616;4.2081319557
2000-01-31;359.0;1042000.0;8531680.0;4.3716057229;4.2186786423;4.1132117768;4.4665261533;4.3188720387
