Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-12-13;0.0;0.0;0.0;166.27461277;166.27461277;166.27461277;166.27461277;166.27461277
2007-12-14;197.0;455520.0;190996520.0;166.33572917;166.27296098;165.17947286;168.48306232;166.22010354
2007-12-17;35.0;236160.0;95904501.0;160.22408868;166.33572917;160.22408868;166.50090865;160.99052143
2007-12-18;16.0;10560.0;4270225.0;161.82467777;166.00371843;158.57229395;166.00371843;160.30833021
2007-12-19;16.0;9840.0;4030199.0;161.87588341;161.87588341;161.54552446;165.17947286;162.36811824
2007-12-20;18.0;42000.0;17009946.0;160.22243688;165.17616928;160.22243688;165.17616928;160.55444762
2007-12-21;10.0;30960.0;12501400.0;160.05890921;160.22408868;158.57229395;160.22408868;160.07542715
2007-12-26;29.0;64560.0;26312189.0;165.84019076;160.22408868;160.22408868;165.84019076;161.57030138
2007-12-27;11.0;12480.0;5231600.0;166.33572917;165.17947286;165.17947286;166.33572917;166.18376406
2007-12-28;18.0;12480.0;5295899.0;169.96967758;166.83126759;166.83126759;170.96075442;168.22538234
2008-01-02;44.0;21120.0;8928417.0;166.27461277;170.96075442;166.1705497;170.96075442;167.58944137
2008-01-03;12.0;5280.0;2209601.0;165.17947286;166.27461277;165.17947286;166.35224712;165.89965537
2008-01-04;4.0;2160.0;887000.0;161.87588341;164.3535755;161.87588341;165.17947286;162.79428128
2008-01-07;3.0;2400.0;990000.0;163.52767814;163.52767814;163.52767814;163.52767814;163.52767814
2008-01-08;3.0;2880.0;1187998.0;163.52437455;163.52767814;163.52437455;163.52767814;163.52767814
2008-01-09;30.0;66240.0;27316880.0;163.52602634;163.52272275;158.73747342;163.52767814;163.48473147
2008-01-10;7.0;4320.0;1808500.0;166.1705497;165.17947286;165.17947286;166.33572917;165.95911998
2008-01-11;7.0;5760.0;2410188.0;166.16889791;166.33572917;161.87588341;166.33572917;165.88148562
2008-01-15;10.0;4560.0;1804000.0;155.26870449;165.17947286;155.26870449;165.17947286;156.8329541
2008-01-16;29.0;10320.0;4051961.0;155.26870449;156.92049922;155.26870449;160.6865912;155.65192087
2008-01-17;32.0;10800.0;4283406.0;156.09460186;156.09460186;148.66152558;158.57394574;157.22938484
2008-01-18;1.0;240.0;94500.0;156.09460186;156.09460186;156.09460186;156.09460186;156.09460186
2008-01-21;6.0;24480.0;9286500.0;148.66152558;153.61690976;148.66152558;154.44280713;150.38599928
2008-01-22;18.0;7680.0;2734990.0;140.40255194;145.35793612;140.40090014;147.00477547;141.17559187
2008-01-23;19.0;17040.0;5879502.0;136.10788564;140.40420373;132.14357829;147.16995494;136.78512148
2008-01-24;15.0;14160.0;4913500.0;135.44716775;140.40255194;135.44716775;142.88024403;137.561465
2008-01-28;15.0;16320.0;5475102.0;132.14357829;135.44716775;132.14357829;135.44716775;132.99590437
2008-01-29;20.0;35040.0;11473300.0;129.6658862;130.49178356;128.83998883;132.14357829;129.80463696
2008-01-30;14.0;16320.0;5338300.0;132.14357829;129.17034778;127.1881941;132.14357829;129.67249338
2008-01-31;5.0;30000.0;9999897.0;132.14357829;131.97839882;131.97839882;132.14357829;132.1419265
2008-02-01;13.0;5040.0;1729997.0;136.27306511;147.00147188;132.14357829;147.00147188;136.07650154
2008-02-06;2.0;480.0;159000.0;130.49178356;132.14357829;130.49178356;132.14357829;131.31768093
2008-02-11;7.0;3600.0;1159000.0;128.83998883;128.83998883;122.23280992;128.83998883;127.62922329
2008-02-12;9.0;3360.0;1119899.0;132.14357829;132.14357829;131.97839882;132.14357829;132.13201573
2008-02-13;1.0;240.0;79900.0;131.97839882;131.97839882;131.97839882;131.97839882;131.97839882
2008-02-14;14.0;39600.0;13182986.0;132.1419265;132.14357829;130.49178356;132.14357829;131.97344343
2008-02-15;11.0;3360.0;1086711.0;128.83998883;127.20471205;126.22024239;130.28200563;128.21561043
2008-02-18;2.0;15600.0;5143298.0;130.65696304;132.1419265;130.65696304;132.1419265;130.70321329
2008-02-19;7.0;2400.0;791503.0;131.97839882;126.53243159;126.53243159;132.14357829;130.73955277
