Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-08-30;7.0;17328.0;476520.0;12.286797494;12.286797494;12.286797494;12.286797494;12.286797494
2007-09-14;33.0;2732.0;95327.0;26.80755817;14.632458834;14.632458834;26.80755817;15.637742265
2007-09-17;45.0;1060.0;77622.0;25.69057658;38.647563028;24.573594989;39.094355665;32.727560599
2007-09-18;23.0;924.0;47766.0;21.222650218;27.924539761;21.222650218;27.924539761;23.121518922
2007-09-19;26.0;1552.0;69578.0;22.339631808;20.9992539;18.988687037;25.69057658;19.993970469
2007-09-20;6.0;132.0;6792.0;24.573594989;23.568311558;22.339631808;24.573594989;23.009820763
2007-09-24;2.0;60.0;2870.0;23.456613399;21.222650218;21.222650218;23.456613399;21.334348377
2007-09-25;2.0;208.0;10410.0;22.898122604;22.339631808;22.339631808;22.898122604;22.339631808
2007-09-28;2.0;60.0;3000.0;22.339631808;22.339631808;22.339631808;22.339631808;22.339631808
2007-10-04;3.0;212.0;10070.0;21.222650218;21.222650218;21.222650218;21.222650218;21.222650218
2007-10-08;2.0;12.0;510.0;18.988687037;18.988687037;18.988687037;18.988687037;18.988687037
2007-10-09;2.0;8.0;396.0;22.11623549;22.11623549;22.11623549;22.11623549;22.11623549
2007-10-10;11.0;224.0;11133.0;22.451329967;22.11623549;22.11623549;22.451329967;22.227933649
2007-10-11;3.0;80.0;3800.0;21.222650218;21.222650218;21.222650218;21.222650218;21.222650218
2007-10-15;1.0;8.0;400.0;22.339631808;22.339631808;22.339631808;22.339631808;22.339631808
2007-10-16;3.0;44.0;2165.0;22.898122604;22.339631808;21.222650218;22.898122604;22.004537331
2007-10-17;2.0;192.0;9840.0;22.898122604;22.898122604;22.898122604;22.898122604;22.898122604
2007-10-18;1.0;4.0;220.0;24.573594989;24.573594989;24.573594989;24.573594989;24.573594989
2007-10-19;1.0;4.0;240.0;26.80755817;26.80755817;26.80755817;26.80755817;26.80755817
2007-10-23;5.0;160.0;8792.0;24.573594989;24.126802353;24.126802353;24.573594989;24.573594989
2007-10-26;2.0;20.0;1194.0;26.695860011;26.584161852;26.584161852;26.695860011;26.695860011
2007-10-29;6.0;360.0;21500.0;26.584161852;26.80755817;26.584161852;26.80755817;26.695860011
2007-10-30;9.0;880.0;52360.0;26.584161852;26.584161852;26.584161852;26.584161852;26.584161852
2007-10-31;2.0;400.0;25008.0;28.818125033;27.924539761;27.924539761;28.818125033;27.924539761
2007-11-26;1.0;80.0;4960.0;27.701143442;27.701143442;27.701143442;27.701143442;27.701143442
2007-12-03;3.0;524.0;30049.0;25.578878421;25.578878421;25.578878421;25.69057658;25.578878421
2007-12-04;2.0;520.0;29820.0;25.69057658;25.578878421;25.578878421;25.69057658;25.578878421
2007-12-05;1.0;424.0;24380.0;25.69057658;25.69057658;25.69057658;25.69057658;25.69057658
