Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-18;4.0;115.0;108550.0;197.80659858;236.87950694;197.80659858;236.87950694;230.50573876
2000-02-02;1.0;1.0;690.0;168.50191731;168.50191731;168.50191731;168.50191731;168.50191731
2000-02-07;1.0;1.0;650.0;158.73369022;158.73369022;158.73369022;158.73369022;158.73369022
2000-02-11;2.0;10.0;6250.0;146.52340635;158.73369022;146.52340635;158.73369022;152.62854829
2000-03-27;1.0;5.0;3000.0;146.52340635;146.52340635;146.52340635;146.52340635;146.52340635
2000-04-06;1.0;5.0;3000.0;146.52340635;146.52340635;146.52340635;146.52340635;146.52340635
2000-04-26;1.0;5.0;2800.0;136.75517926;136.75517926;136.75517926;136.75517926;136.75517926
2000-05-03;3.0;1447.9;723950.0;122.10283862;136.75517926;122.10283862;122.10283862;122.10283862
2000-05-26;1.0;5.0;2450.0;119.66078185;119.66078185;119.66078185;119.66078185;119.66078185
2000-06-01;1.0;5.0;2250.0;109.89255476;109.89255476;109.89255476;109.89255476;109.89255476
2000-06-12;1.0;5.0;2150.0;105.00844122;105.00844122;105.00844122;105.00844122;105.00844122
2000-06-15;2.0;10.0;4600.0;102.56638444;122.10283862;102.56638444;122.10283862;112.33461153
2000-06-27;1.0;5.0;2100.0;102.56638444;102.56638444;102.56638444;102.56638444;102.56638444
2000-06-29;1.0;5.0;2100.0;102.56638444;102.56638444;102.56638444;102.56638444;102.56638444
2000-06-30;1.0;5.0;2050.0;100.12432767;100.12432767;100.12432767;100.12432767;100.12432767
2000-07-06;1.0;5.0;2000.0;97.682270903;97.682270903;97.682270903;97.682270903;97.682270903
2000-07-27;2.0;13.0;5800.0;97.682270903;109.89255476;97.682270903;109.89255476;108.96457319
2000-07-31;1.0;5.0;2000.0;97.682270903;97.682270903;97.682270903;97.682270903;97.682270903
2000-08-01;3.0;3.4;1630.0;105.00844122;122.10283862;105.00844122;122.10283862;117.07220167
2000-08-17;1.0;5.0;2150.0;105.00844122;105.00844122;105.00844122;105.00844122;105.00844122
2000-08-23;2.0;28.5;10745.0;90.356100586;92.798157358;90.356100586;92.798157358;92.065540326
2000-09-12;1.0;5.0;2000.0;97.682270903;97.682270903;97.682270903;97.682270903;97.682270903
2000-10-25;1.0;1442.9;577160.0;97.682270903;97.682270903;97.682270903;97.682270903;97.682270903
2000-10-31;1.0;5.0;2600.0;126.98695217;126.98695217;126.98695217;126.98695217;126.98695217
2000-12-11;2.0;155.7;101205.0;158.73369022;158.73369022;158.73369022;158.73369022;158.73369022
2000-12-14;1.0;5.0;3550.0;173.38603085;173.38603085;173.38603085;173.38603085;173.38603085
2000-12-15;1.0;5.0;3950.0;192.92248503;192.92248503;192.92248503;192.92248503;192.92248503
2000-12-27;1.0;1.5;1200.0;195.36454181;195.36454181;195.36454181;195.36454181;195.36454181
2001-01-02;1.0;5.0;4375.0;213.6799676;213.6799676;213.6799676;213.6799676;213.6799676
2001-01-03;1.0;1000.0;800000.0;195.36454181;195.36454181;195.36454181;195.36454181;195.36454181
2001-01-11;1.0;442.9;354320.0;195.36454181;195.36454181;195.36454181;195.36454181;195.36454181
2001-02-07;1.0;30.0;24000.0;195.36454181;195.36454181;195.36454181;195.36454181;195.36454181
2001-03-08;2.0;30.0;21710.0;176.0722933;177.04911601;176.0722933;177.04911601;176.73164863
2001-03-14;1.0;20.0;13600.0;166.05986054;166.05986054;166.05986054;166.05986054;166.05986054
2001-04-17;1.0;2.0;1600.0;195.36454181;195.36454181;195.36454181;195.36454181;195.36454181
2001-05-15;1.0;5.0;3400.0;166.05986054;166.05986054;166.05986054;166.05986054;166.05986054
