Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2008-04-07;139.0;666500.0;2360034.0;1.1502547973;1.1600027193;1.137257568;1.185997178;1.1502547973
2008-04-08;163.0;883000.0;3144293.0;1.1697506413;1.1307589533;1.1307589533;1.176249256;1.156753412
2008-04-09;107.0;802000.0;2860429.0;1.1697506413;1.1697506413;1.137257568;1.1697506413;1.1587029964
2008-04-10;164.0;842500.0;3030554.0;1.1983445459;1.1574032735;1.1574032735;1.1983445459;1.1691007799
2008-04-11;106.0;1302500.0;4817259.0;1.2022437147;1.1983445459;1.1924957927;1.2210896973;1.2015938532
2008-04-14;216.0;671500.0;2370273.0;1.1437561826;1.2022437147;1.1307589533;1.2022437147;1.14700549
2008-04-15;57.0;323500.0;1161590.0;1.156753412;1.1632520267;1.1541539661;1.1892464854;1.166501334
2008-04-16;98.0;516500.0;1877883.0;1.1820980092;1.1885966239;1.1691007799;1.1924957927;1.1814481477
2008-04-17;192.0;854500.0;3220178.0;1.2802270908;1.1827478707;1.1807982863;1.2802270908;1.2243390046
2008-04-18;345.0;960000.0;3636695.0;1.2347367881;1.2412354027;1.2093921908;1.2464342945;1.2308376193
2008-04-22;123.0;1092000.0;3635811.0;1.1641062121;1.2331161013;1.132041011;1.2331161013;1.1606208641
2008-04-23;84.0;1526500.0;5091383.0;1.1362234285;1.1850182997;1.1362234285;1.1850182997;1.1627120729
2008-04-24;55.0;136000.0;440700.0;1.1187966888;1.1501648203;1.1187966888;1.1738651863;1.1292527327
2008-04-25;177.0;1089000.0;3493633.0;1.1153113409;1.1327380806;1.108340645;1.1362234285;1.1180996193
2008-04-28;141.0;505500.0;1624911.0;1.1187966888;1.1257673847;1.1097347842;1.1466794724;1.120190828
2008-04-29;178.0;1308000.0;4198666.0;1.1334351502;1.1160084105;1.1125230625;1.1334351502;1.1187966888
2008-04-30;113.0;1603500.0;5371562.0;1.2129010832;1.1334351502;1.1132201321;1.2129010832;1.16759156
2008-05-02;208.0;1139000.0;3880873.0;1.2024450394;1.2059303873;1.1641062121;1.2156893616;1.1878065781
2008-05-05;224.0;1199500.0;4170315.0;1.2547252585;1.2101128049;1.1982626219;1.2547252585;1.2115069441
2008-05-06;53.0;792000.0;2778346.0;1.226842475;1.2407838667;1.2135981528;1.2407838667;1.2226600575
2008-05-07;141.0;1773000.0;6210963.0;1.1815329518;1.2407838667;1.1815329518;1.2407838667;1.2212659183
2008-05-08;31.0;284500.0;973956.0;1.1919889956;1.2052333178;1.1850182997;1.2052333178;1.1933831348
2008-05-09;49.0;337500.0;1140922.0;1.1780476038;1.1850182997;1.1759563951;1.1885036476;1.1780476038
2008-05-12;33.0;211000.0;714374.0;1.1885036476;1.1919889956;1.1780476038;1.1919889956;1.1801388126
2008-05-13;225.0;748000.0;2571678.0;1.1961714131;1.2024450394;1.1801388126;1.2122040136;1.1982626219
2008-05-14;102.0;1513000.0;5196283.0;1.1947772739;1.2115069441;1.1724710471;1.2122040136;1.1968684827
2008-05-15;88.0;1292500.0;4465983.0;1.214992292;1.2052333178;1.1850182997;1.223357127;1.2045362482
2008-05-16;156.0;1188000.0;4123573.0;1.2129010832;1.2129010832;1.1961714131;1.2247512662;1.2101128049
2008-05-19;122.0;362500.0;1258296.0;1.2115069441;1.2129010832;1.1905948564;1.2407838667;1.2101128049
2008-05-20;165.0;683500.0;2313409.0;1.1773505342;1.2059303873;1.1606208641;1.2059303873;1.179441743
2008-05-21;249.0;947500.0;3195923.0;1.1641062121;1.1815329518;1.1550443074;1.1919889956;1.1759563951
2008-05-23;379.0;875500.0;2855647.0;1.1397087765;1.1501648203;1.1153113409;1.1919889956;1.1369204981
2008-05-26;29.0;364500.0;1185348.0;1.1348292894;1.1452853332;1.1292527327;1.1466794724;1.1334351502
2008-05-27;167.0;279500.0;894784.0;1.1160084105;1.1348292894;1.108340645;1.1397087765;1.1160084105
2008-05-28;160.0;2253500.0;7224147.0;1.1327380806;1.1174025497;1.1090377146;1.1397087765;1.1174025497
2008-05-29;217.0;1964000.0;6336143.0;1.1222820368;1.1327380806;1.1153113409;1.1529530987;1.1243732455
2008-05-30;92.0;1097500.0;3639837.0;1.1634091425;1.1334351502;1.1327380806;1.1850182997;1.155741377
2008-06-02;74.0;494000.0;1632078.0;1.1571355162;1.1634091425;1.1431941244;1.1682886296;1.1515589595
2008-06-03;188.0;610000.0;2033830.0;1.1745622559;1.1606208641;1.1313439414;1.1780476038;1.1620150033
2008-06-04;243.0;539000.0;1806434.0;1.1745622559;1.1431941244;1.1431941244;1.1745622559;1.1682886296
2008-06-05;191.0;508000.0;1714647.0;1.1766534647;1.1773505342;1.1620150033;1.1850182997;1.1766534647
2008-06-06;150.0;522000.0;1757701.0;1.1710769079;1.1815329518;1.1641062121;1.1850182997;1.1738651863
2008-06-09;186.0;1217500.0;4112097.0;1.1850182997;1.1710769079;1.1501648203;1.1954743435;1.1773505342
2008-06-10;290.0;403000.0;1355598.0;1.1745622559;1.1773505342;1.1550443074;1.1843212301;1.1724710471
2008-06-11;169.0;501000.0;1671311.0;1.1501648203;1.1745622559;1.1501648203;1.1745622559;1.1627120729
2008-06-12;160.0;862000.0;2872738.0;1.16759156;1.1529530987;1.1501648203;1.1710769079;1.1613179337
2008-06-13;102.0;208500.0;696646.0;1.1641062121;1.1641062121;1.1578325858;1.1738651863;1.1648032817
2008-06-16;33.0;226500.0;758453.0;1.1641062121;1.1641062121;1.1571355162;1.16759156;1.1668944904
2008-06-17;274.0;855000.0;2826348.0;1.1571355162;1.1501648203;1.1431941244;1.1606208641;1.1522560291
2008-06-18;138.0;1157500.0;3811000.0;1.1257673847;1.1641062121;1.1257673847;1.1641062121;1.147376542
2008-06-19;216.0;402000.0;1288723.0;1.1146142713;1.1327380806;1.111825993;1.1327380806;1.1174025497
2008-06-20;534.0;2038500.0;6524200.0;1.1146142713;1.1146142713;1.1069465058;1.135526359;1.1153113409
2008-06-23;260.0;424000.0;1356317.0;1.108340645;1.1146142713;1.1020670187;1.1187966888;1.1146142713
2008-06-24;249.0;603000.0;1877506.0;1.0874285574;1.108340645;1.0734871656;1.108340645;1.0853373486
2008-06-25;545.0;1419500.0;4321804.0;1.0686076785;1.0874285574;1.0456043821;1.0874285574;1.060939913
2008-06-26;160.0;300000.0;915029.0;1.0665164697;1.0595457739;1.0463014517;1.0804578615;1.0630311218
