Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-01-29;0.0;0.0;0.0;16.607367545;16.607367545;16.607367545;16.607367545;16.607367545
2021-02-01;53323.0;27648000.0;529174989.0;19.464948106;16.700146135;16.616645404;19.96595249;17.748544198
2021-02-02;30468.0;13006400.0;282022974.0;19.761839593;20.309233272;18.667052235;21.598855667;20.114398233
2021-02-03;9129.0;4480300.0;95350198.0;19.854618182;20.2350104;19.112389465;20.31851113;19.743283875
2021-02-04;5178.0;2053200.0;43666089.0;20.105120374;19.706172439;19.381447375;20.105120374;19.724728157
2021-02-05;5866.0;3042900.0;64230243.0;19.483503824;20.132953951;19.130945183;20.2350104;19.576282413
2021-02-08;6594.0;3759800.0;75435366.0;18.555717927;19.483503824;18.277382158;19.483503824;18.611385081
2021-02-09;8515.0;4135000.0;79126984.0;18.008324249;18.462939338;17.321762685;18.462939338;17.748544198
2021-02-10;7669.0;4622700.0;86056288.0;17.915545659;18.091824979;16.514588955;18.268104299;17.266095531
2021-02-11;3662.0;960500.0;18134686.0;17.395985557;17.81348921;17.349596262;18.045435684;17.516597723
2021-02-12;1944.0;702500.0;13259421.0;17.627932031;17.256817672;17.182594801;17.767099915;17.507319864
2021-02-17;2016.0;660300.0;12590322.0;17.451652711;17.63720989;17.451652711;18.091824979;17.683599185
2021-02-18;903.0;369700.0;7025259.0;17.804211351;17.46093057;17.182594801;17.804211351;17.627932031
2021-02-19;816.0;861500.0;16300058.0;17.627932031;17.804211351;17.414541275;17.859878505;17.553709159
2021-02-22;2627.0;1592900.0;29219103.0;17.702154903;17.164039083;16.700146135;17.702154903;17.015593339
2021-02-23;1068.0;323600.0;6310000.0;18.379438607;17.674321326;17.386707698;18.379438607;18.08254712
2021-02-24;864.0;381600.0;7577147.0;18.537162209;18.462939338;18.091824979;18.555717927;18.416550043
2021-02-25;3312.0;772500.0;15352392.0;18.323771453;18.277382158;17.841322787;18.731997248;18.435105761
2021-02-26;2725.0;738100.0;14160660.0;17.896989941;18.323771453;17.358874121;18.481495056;17.794933492
2021-03-01;2002.0;1275200.0;24477454.0;17.674321326;17.81348921;17.498042005;18.101102838;17.804211351
2021-03-02;1589.0;2601600.0;48222431.0;17.126927647;17.442374852;16.997037621;17.822767069;17.19187266
2021-03-03;2383.0;612000.0;11079447.0;16.588811827;17.349596262;16.347587494;17.618654172;16.792924724
2021-03-04;2748.0;2000900.0;36555841.0;17.321762685;16.700146135;16.162030315;17.572264877;16.941370468
2021-03-05;4325.0;1143700.0;21651198.0;17.850600646;17.618654172;16.876425455;18.166047851;17.562987018
