Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;1.0;500.0;800.00001192;1.6000000238;1.6000000238;1.6000000238;1.6000000238;1.6000000238
2000-01-05;3.0;4500.0;7100.0;1.6000000238;1.5599999428;1.5599999428;1.6000000238;1.5800000429
2000-01-07;2.0;6000.0;9000.0;1.5;1.5;1.5;1.5;1.5
2000-01-11;3.0;6500.0;9360.0003719;1.4400000572;1.4400000572;1.4400000572;1.4400000572;1.4400000572
2000-01-12;2.0;5000.0;7099.9997854;1.4199999571;1.4199999571;1.4199999571;1.4199999571;1.4199999571
2000-01-14;5.0;14000.0;20930.0;1.5;1.4199999571;1.4199999571;1.6000000238;1.5
2000-01-17;2.0;3000.0;4320.0001717;1.4400000572;1.4400000572;1.4400000572;1.4400000572;1.4400000572
2000-01-19;3.0;6000.0;8399.9998569;1.3999999762;1.3999999762;1.3999999762;1.3999999762;1.3999999762
2000-01-20;1.0;2000.0;2599.9999046;1.2999999523;1.2999999523;1.2999999523;1.2999999523;1.2999999523
2000-01-21;1.0;5000.0;6499.9997616;1.2999999523;1.2999999523;1.2999999523;1.2999999523;1.2999999523
2000-01-24;3.0;7000.0;9760.0;1.3799999952;1.3999999762;1.3799999952;1.3999999762;1.3999999762
2000-01-26;1.0;1500.0;2099.9999642;1.3999999762;1.3999999762;1.3999999762;1.3999999762;1.3999999762
2000-01-27;6.0;14000.0;18930.0;1.4400000572;1.3200000525;1.3200000525;1.4400000572;1.3600000143
2000-01-28;4.0;6000.0;8770.0;1.5;1.4400000572;1.4400000572;1.5;1.4600000381
2000-01-31;2.0;3000.0;4350.0;1.4600000381;1.3999999762;1.3999999762;1.4600000381;1.4600000381
2000-02-01;1.0;500.0;699.99998808;1.3999999762;1.3999999762;1.3999999762;1.3999999762;1.3999999762
2000-02-02;1.0;3500.0;5040.0002003;1.4400000572;1.4400000572;1.4400000572;1.4400000572;1.4400000572
2000-02-03;4.0;10000.0;14600.000381;1.4600000381;1.4400000572;1.4400000572;1.5;1.4600000381
2000-02-04;26.0;35000.0;59940.0;1.7400000095;1.5800000429;1.5800000429;1.7999999523;1.7200000286
2000-02-07;3.0;5000.0;8820.0;1.7999999523;1.6799999475;1.6799999475;1.7999999523;1.7599999905
2000-02-08;4.0;10000.0;17860.0;1.6599999666;1.8400000334;1.6599999666;1.8400000334;1.7799999714
2000-02-10;6.0;18500.0;33840.0;1.8400000334;1.8400000334;1.7999999523;1.8400000334;1.8200000525
2000-02-14;1.0;500.0;860.00001431;1.7200000286;1.7200000286;1.7200000286;1.7200000286;1.7200000286
2000-02-15;1.0;2000.0;3359.9998951;1.6799999475;1.6799999475;1.6799999475;1.6799999475;1.6799999475
2000-02-24;3.0;5000.0;8160.0;1.6200000048;1.6399999857;1.6200000048;1.6399999857;1.6399999857
2000-03-01;1.0;1000.0;1620.0000048;1.6200000048;1.6200000048;1.6200000048;1.6200000048;1.6200000048
2000-03-02;2.0;2500.0;4040.0;1.6000000238;1.6200000048;1.6000000238;1.6200000048;1.6200000048
2000-03-10;1.0;500.0;839.99997377;1.6799999475;1.6799999475;1.6799999475;1.6799999475;1.6799999475
2000-03-14;2.0;1000.0;1679.9999475;1.6399999857;1.7200000286;1.6399999857;1.7200000286;1.6799999475
2000-03-15;2.0;1000.0;1550.0;1.5199999809;1.5800000429;1.5199999809;1.5800000429;1.5599999428
2000-03-29;2.0;3000.0;4130.0;1.3600000143;1.3799999952;1.3600000143;1.3799999952;1.3600000143
2000-03-31;2.0;3000.0;4110.0;1.4199999571;1.3600000143;1.3600000143;1.4199999571;1.3600000143
2000-04-04;1.0;2500.0;3449.9999881;1.3799999952;1.3799999952;1.3799999952;1.3799999952;1.3799999952
2000-04-06;7.0;11000.0;14260.0;1.4199999571;1.4800000191;1.1799999475;1.4800000191;1.2999999523
2000-04-17;1.0;500.0;680.00000715;1.3600000143;1.3600000143;1.3600000143;1.3600000143;1.3600000143
2000-05-02;1.0;1500.0;1919.9999571;1.2799999714;1.2799999714;1.2799999714;1.2799999714;1.2799999714
2000-05-03;1.0;500.0;620.00000477;1.2400000095;1.2400000095;1.2400000095;1.2400000095;1.2400000095
2000-05-04;1.0;6000.0;7320.0001717;1.2200000286;1.2200000286;1.2200000286;1.2200000286;1.2200000286
2000-05-11;2.0;3000.0;3600.0001431;1.2000000477;1.2000000477;1.2000000477;1.2000000477;1.2000000477
2000-05-12;5.0;12500.0;15999.999642;1.2799999714;1.2799999714;1.2799999714;1.2799999714;1.2799999714
