Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-03-17;1.0;10000.0;30000.001192;1.7309471183;1.7309471183;1.7309471183;1.7309471183;1.7309471183
2000-03-20;1.0;1000.0;2999.8999834;1.7308893417;1.7308893417;1.7308893417;1.7308893417;1.7308893417
2000-03-21;2.0;15000.0;44548.501074;1.7135799221;1.7135799221;1.7135799221;1.7135799221;1.7135799221
2000-04-03;2.0;2000.0;5960.0001574;1.7136375267;1.7251771971;1.7136375267;1.7251771971;1.7194074479
2000-04-04;1.0;1000.0;2989.9999499;1.7251771971;1.7251771971;1.7251771971;1.7251771971;1.7251771971
2000-04-05;3.0;3000.0;8969.9998498;1.7309471183;1.7136375267;1.7136375267;1.7309471183;1.7251771971
2000-04-06;2.0;2000.0;5960.0001574;1.7251771971;1.7136375267;1.7136375267;1.7251771971;1.7194074479
2000-04-07;2.0;2000.0;5979.9998999;1.7251771971;1.7251771971;1.7251771971;1.7251771971;1.7251771971
2000-04-10;2.0;2000.0;5920.0000763;1.7136375267;1.7020978563;1.7020978563;1.7136375267;1.7078677775
2000-04-11;2.0;2000.0;5899.9997377;1.7136375267;1.6905583579;1.6905583579;1.7136375267;1.7020978563
2000-04-14;1.0;1000.0;2949.9998689;1.7020978563;1.7020978563;1.7020978563;1.7020978563;1.7020978563
2000-04-17;1.0;1000.0;2989.9999499;1.7251771971;1.7251771971;1.7251771971;1.7251771971;1.7251771971
2000-04-18;2.0;2000.0;5939.9998188;1.7251771971;1.7020978563;1.7020978563;1.7251771971;1.7136375267
2000-04-19;1.0;1000.0;2989.9999499;1.7251771971;1.7251771971;1.7251771971;1.7251771971;1.7251771971
2000-04-20;1.0;1000.0;2989.9999499;1.7251771971;1.7251771971;1.7251771971;1.7251771971;1.7251771971
2000-04-24;2.0;2000.0;5960.0001574;1.7251771971;1.7136375267;1.7136375267;1.7251771971;1.7194074479
2000-04-26;2.0;2000.0;5960.0001574;1.7251771971;1.7136375267;1.7136375267;1.7251771971;1.7194074479
2000-04-27;1.0;1000.0;2980.0000787;1.7194074479;1.7194074479;1.7194074479;1.7194074479;1.7194074479
2000-04-28;5.0;22000.0;65880.0;1.7309471183;1.7251771971;1.7251771971;1.7309471183;1.7277737046
2000-05-02;6.0;14000.0;42000.001669;1.7309471183;1.7309471183;1.7309471183;1.7309471183;1.7309471183
2000-05-03;2.0;2000.0;6010.0001097;1.7367168675;1.7309471183;1.7309471183;1.7367168675;1.7338319929
2000-05-04;3.0;3000.0;9010.0;1.7309471183;1.7309471183;1.7309471183;1.7367168675;1.7328511665
2000-05-05;5.0;5000.0;14949.999749;1.7251771971;1.7251771971;1.7251771971;1.7251771971;1.7251771971
2000-05-08;1.0;1000.0;3019.9998617;1.7424866167;1.7424866167;1.7424866167;1.7424866167;1.7424866167
2000-05-09;2.0;2000.0;6010.0001097;1.7309471183;1.7367168675;1.7309471183;1.7367168675;1.7338319929
2000-05-10;3.0;3000.0;8995.0;1.7309471183;1.7309471183;1.7280620717;1.7309471183;1.7299661199
2000-05-11;1.0;1000.0;3009.9999905;1.7367168675;1.7367168675;1.7367168675;1.7367168675;1.7367168675
