Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-04-11;0.0;0.0;0.0;16.620631797;16.620631797;16.620631797;16.620631797;16.620631797
2007-04-12;4237.0;3546800.0;59746493.0;16.669516008;15.642947574;15.642947574;17.148581278;16.473979164
2007-04-13;596.0;384700.0;6670416.0;17.207242331;16.708623377;16.522863375;17.207242331;16.953044433
2007-04-16;228.0;902000.0;15875909.0;17.207242331;17.2463497;17.089920225;17.402779176;17.207242331
2007-04-17;149.0;185000.0;3284284.0;16.816168642;17.207242331;16.816168642;17.490770756;17.353894965
2007-04-18;92.0;120400.0;2053740.0;16.620631797;16.865052853;16.522863375;17.402779176;16.679292851
2007-04-19;158.0;404200.0;6891277.0;17.099697067;16.141566528;16.141566528;17.207242331;16.669516008
2007-04-20;128.0;118800.0;2085832.0;17.305010754;17.109473909;17.060589698;17.402779176;17.168134962
2007-04-23;41.0;96800.0;1717809.0;17.363671807;17.207242331;17.109473909;17.402779176;17.353894965
2007-04-24;53.0;15800.0;279783.0;17.109473909;17.207242331;17.011705487;17.402779176;17.314787596
2007-04-25;46.0;57300.0;1011591.0;17.412556018;17.168134962;17.15835812;17.422332861;17.256126543
2007-04-26;80.0;39900.0;708253.0;17.598316021;17.402779176;17.138804436;17.598316021;17.353894965
2007-04-27;44.0;65200.0;1167375.0;17.520101283;17.256126543;17.256126543;17.598316021;17.500547598
2007-04-30;39.0;77500.0;1383317.0;17.402779176;17.500547598;17.226796016;17.500547598;17.451663387
2007-05-02;152.0;324000.0;5697280.0;17.129027593;17.402779176;16.904160222;17.422332861;17.187688647
2007-05-03;51.0;175800.0;3112813.0;17.207242331;17.451663387;17.207242331;17.451663387;17.314787596
2007-05-04;29.0;19900.0;349532.0;17.177911805;17.207242331;17.109473909;17.305010754;17.168134962
2007-05-07;126.0;370600.0;6567391.0;17.305010754;17.011705487;17.011705487;17.353894965;17.324564438
2007-05-08;74.0;145700.0;2630960.0;17.940505499;16.874829695;16.874829695;17.940505499;17.656977074
2007-05-09;79.0;331900.0;6063082.0;18.087158132;17.744968654;17.598316021;18.184926555;17.862290761
2007-05-10;92.0;278300.0;5168890.0;18.184926555;18.07738129;17.891621288;18.380463399;18.155596028
