Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-02-09;1.0;16.11;405.9;;;;;
2000-02-28;2.0;26.85;900.0;;;;;
2000-07-07;1.0;1.79;51.0;;;;;
2000-07-11;1.0;8.95;255.0;;;;;
2001-01-30;2.0;8.95;300.0;;;;;
2002-02-22;1.0;5.0;172.6;;;;;
2002-10-31;1.0;1.0;34.0;;;;;
2002-11-01;2.0;61.0;2135.0;;;;;
2002-11-06;2.0;7.0;231.0;;;;;
2004-02-02;2.0;11.0;310.53;;;;;
2004-02-27;2.0;57.0;1609.11;;;;;
2004-03-24;3.0;43.0;1212.6;;;;;
2004-06-04;3.0;55.0;1292.5;;;;;
2004-06-16;3.0;116.0;2737.6;;;;;
2005-04-29;1.0;100.0;1940.0;;;;;
2006-02-02;3.0;400.0;7560.0;;;;;
2010-01-05;1.0;100.0;4051.0;;;;;
2010-01-06;2.0;200.0;8000.0;;;;;
2011-04-25;1.0;100.0;4359.0;;;;;
2011-04-26;1.0;100.0;4101.0;;;;;
2011-07-12;1.0;100.0;3000.0;;;;;
2012-03-09;1.0;100.0;3751.0;;;;;
2013-04-19;1.0;100.0;3711.0;;;;;
2014-12-16;1.0;100.0;4000.0;;;;;
2016-03-01;1.0;100.0;3801.0;;;;;
