Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-07-26;0.0;0.0;0.0;5.6991043748;5.6991043748;5.6991043748;5.6991043748;5.6991043748
2021-07-27;23668.0;15841348.466;118567609.0;5.2352237862;5.3611342316;5.2352237862;5.7587461648;5.4605372149
2021-07-28;6736.0;9080622.6713;67439087.0;5.533432736;5.3279999039;5.1689551306;5.6129551226;5.4207760216
2021-07-29;2946.0;9149295.8517;73848809.0;5.9575521313;5.5864476604;5.5466864671;6.0768357113;5.8912834758
2021-07-30;2938.0;3511260.8137;28659526.0;5.8647760136;5.9641789969;5.7719998959;6.2623879467;5.9575521313
2021-08-02;4722.0;1001217.4913;8037425.0;5.8051342236;5.9442984002;5.6991043748;6.0967163079;5.8581491481
2021-08-03;2452.0;1321545.3599;10401893.0;5.7985073581;5.9442984002;5.5864476604;6.0105670558;5.7454924337
2021-08-04;3849.0;2171858.2223;16587402.0;5.5665670638;5.917790938;5.400895425;5.917790938;5.5731939293
2021-08-05;2059.0;1066914.4665;8053283.0;5.4671640805;5.5665670638;5.4472834838;5.6063282571;5.5135521394
2021-08-06;2480.0;581462.3216;4485454.0;5.6328357193;5.4406566183;5.4406566183;5.8979103414;5.6328357193
2021-08-09;748.0;1036491.035;8055300.0;5.6725969126;5.5997013915;5.5997013915;5.7653730303;5.6725969126
2021-08-10;540.0;1178356.8186;9071745.0;5.6460894504;5.5599401982;5.5002984082;5.6792237782;5.6195819882
2021-08-11;536.0;467815.37306;3576587.0;5.6195819882;5.6328357193;5.4472834838;5.6792237782;5.5864476604
2021-08-12;650.0;1227188.6306;9305840.0;5.5864476604;5.6195819882;5.4671640805;5.6924775092;5.533432736
2021-08-13;705.0;675708.82112;5050134.0;5.400895425;5.5997013915;5.3743879628;5.5997013915;5.4539103494
2021-08-16;1843.0;2417560.5;17039843.0;5.1689551306;5.5201790049;4.9701491641;5.533432736;5.1424476684
2021-08-17;2856.0;2103736.191;14497938.0;5.1026864751;5.1093133407;4.9370148363;5.2551043828;5.029790954
2021-08-18;1110.0;1362881.5439;9680420.0;5.2352237862;5.1026864751;5.1026864751;5.3942685594;5.1822088617
2021-08-19;1225.0;941032.00749;6851081.0;5.3478805006;5.0695521474;4.9834028952;5.5268058704;5.3147461728
2021-08-20;1781.0;742067.17517;5572307.0;5.5997013915;5.3743879628;5.3743879628;5.6328357193;5.4804178116
2021-08-23;415.0;1514557.7818;11686868.0;5.6991043748;5.5135521394;5.5135521394;5.6991043748;5.6328357193
2021-08-24;2069.0;746586.59795;5736645.0;5.5665670638;5.665970047;5.5466864671;5.725611837;5.6063282571
2021-08-25;683.0;383048.6384;2887940.0;5.5268058704;5.5400596016;5.4141491561;5.5864476604;5.5069252738
2021-08-26;843.0;444446.65037;3226674.0;5.2352237862;5.4472834838;5.2352237862;5.5201790049;5.2948655761
2021-08-27;577.0;474318.93267;3405363.0;5.2617312484;5.3611342316;5.1557013995;5.3611342316;5.2418506517
2021-08-30;1081.0;645285.3897;4644804.0;5.1557013995;5.2749849795;5.1557013995;5.3081193072;5.2551043828
2021-08-31;1027.0;1558208.7921;11108624.0;5.0828058785;5.1755819962;5.0695521474;5.2683581139;5.2020894584
2021-09-01;1489.0;734020.39802;5070738.0;4.9900297607;5.1358208029;4.9370148363;5.2285969206;5.0430446851
2021-09-02;883.0;571321.17779;3897664.0;5.029790954;4.9900297607;4.7580894664;5.0562984162;4.9834028952
2021-09-03;1906.0;1272052.169;8446180.0;4.8773730463;5.0629252818;4.8243581219;5.0629252818;4.8442387186
2021-09-06;756.0;472004.10637;3129390.0;4.897253643;4.8773730463;4.7117014075;4.9502685674;4.837611853
2021-09-08;1280.0;773151.98554;4909479.0;4.5394029032;4.8773730463;4.4399999199;4.9502685674;4.6321790209
2021-09-09;1715.0;1542335.6974;9869525.0;5.029790954;4.6255521554;4.5062685754;5.029790954;4.6719402142
2021-09-10;2418.0;763121.07155;5029442.0;4.8309849875;5.089432744;4.6719402142;5.0960596096;4.8111043908
2021-09-13;868.0;723438.33491;4743960.0;4.8111043908;5.0099103574;4.6653133487;5.0099103574;4.7845969286
2021-09-14;927.0;900357.20243;5923113.0;4.8508655841;4.8309849875;4.705074542;4.9038805086;4.8044775253
2021-09-15;1655.0;1144516.2626;7531971.0;4.6851939453;4.897253643;4.6851939453;5.1358208029;4.8044775253
2021-09-16;2177.0;1023373.686;6498596.0;4.6388058865;4.645432752;4.5062685754;4.7713431975;4.6321790209
2021-09-17;1793.0;2095248.4946;12959557.0;4.6056715587;4.6388058865;4.393611861;4.6851939453;4.512895441
2021-09-20;1838.0;661048.25453;3970780.0;4.3273432055;4.5659103654;4.3273432055;4.5659103654;4.3803581299
2021-09-21;1045.0;437391.94163;2674224.0;4.5062685754;4.4598805166;4.393611861;4.5990446932;4.4598805166
2021-09-22;1024.0;652119.63878;4009790.0;4.4333730544;4.5062685754;4.4134924577;4.6056715587;4.4863879788
2021-09-23;449.0;381395.19104;2312274.0;4.4598805166;4.4863879788;4.3803581299;4.5327760376;4.4267461888
2021-09-24;884.0;525024.65171;3089911.0;4.2411939533;4.393611861;4.2411939533;4.4201193233;4.2942088778
2021-09-27;1347.0;585430.59526;3328019.0;4.1020297768;4.2411939533;4.009253659;4.3339700711;4.1484178356
2021-09-28;1967.0;1746701.7911;9575021.0;4.0158805246;4.0755223145;3.9098506757;4.1417909701;4.0026267935
2021-09-29;1027.0;413031.15053;2290294.0;4.0423879868;4.0423879868;4.0026267935;4.1682984323;4.0490148523
2021-09-30;1907.0;913364.32166;5064578.0;4.1682984323;4.0490148523;3.9363581379;4.1682984323;4.0490148523
2021-10-01;2709.0;1363322.4632;8273409.0;4.5460297687;4.2743282811;4.1086566423;4.705074542;4.4267461888
2021-10-04;1388.0;525465.57101;3218371.0;4.4930148443;4.5526566343;4.3803581299;4.5659103654;4.4731342477
2021-10-05;3196.0;995595.77037;6412344.0;4.705074542;4.5990446932;4.5195223065;4.8707461808;4.6984476764
2021-10-06;1213.0;636246.54413;3920979.0;4.453253651;4.6918208109;4.4002387266;4.7249551386;4.4996417099
2021-10-07;830.0;412590.23123;2479188.0;4.3869849955;4.4598805166;4.32071634;4.5725372309;4.3869849955
2021-10-08;2419.0;932213.62157;5640198.0;4.4665073821;4.393611861;4.3074626089;4.5990446932;4.4134924577
2021-10-11;898.0;430888.38202;2575612.0;4.3074626089;4.4996417099;4.3074626089;4.4996417099;4.3604775333
2021-10-13;2557.0;938166.03206;5354680.0;4.1417909701;4.3074626089;4.1020297768;4.3472238022;4.1682984323
2021-10-14;1918.0;619712.07053;3536683.0;4.1749252978;4.1682984323;4.1152835079;4.2411939533;4.1682984323
2021-10-15;1677.0;576942.89882;3283278.0;4.1417909701;4.2146864911;4.0490148523;4.2279402222;4.1550447012
2021-10-18;954.0;547511.53581;3303247.0;4.4731342477;4.1351641045;4.0954029112;4.4930148443;4.4068655921
2021-10-19;1346.0;384812.31558;2275944.0;4.3074626089;4.4996417099;4.2146864911;4.4996417099;4.3140894744
2021-10-20;2692.0;571321.17779;3458541.0;4.4333730544;4.3140894744;4.2809551467;4.5460297687;4.4201193233
2021-10-21;470.0;268189.16179;1573921.0;4.4267461888;4.4333730544;4.0622685834;4.4333730544;4.2875820122
2021-10-22;3500.0;1579152.4586;8689806.0;4.2080596256;4.3737312644;3.6447760537;4.5725372309;4.0158805246
2021-10-25;2296.0;607807.24954;3514467.0;4.2279402222;4.2080596256;4.1550447012;4.2875820122;4.2213133567
2021-10-26;2177.0;720351.89984;3907566.0;3.8502088858;4.2345670878;3.8502088858;4.2345670878;3.9562387346
2021-10-27;1135.0;462083.42221;2446621.0;3.7309253058;3.9231044068;3.7309253058;4.0158805246;3.8634626169
2021-10-28;1019.0;327713.26675;1705723.0;3.8369551547;3.7375521714;3.6977909781;3.9231044068;3.7971939614
2021-10-29;767.0;435738.49427;2289457.0;3.876716348;3.8435820202;3.7441790369;3.876716348;3.8369551547
2021-11-01;1878.0;620704.13894;3267622.0;3.8899700791;3.8435820202;3.7773133647;3.9496118691;3.8435820202
2021-11-03;2550.0;573746.23392;3108733.0;4.1020297768;3.8899700791;3.8104476925;4.1020297768;3.9562387346
2021-11-04;4133.0;2069895.6351;10765574.0;3.9694924657;4.1086566423;3.4989850115;4.1682984323;3.7971939614
2021-11-05;2176.0;1335213.8581;7224843.0;3.9628656002;4.0490148523;3.8634626169;4.1484178356;3.9496118691
2021-11-08;1505.0;672181.46675;3686753.0;3.9164775413;4.009253659;3.9164775413;4.068895449;4.0026267935
2021-11-09;2384.0;659174.34752;3493390.0;3.8435820202;3.9297312724;3.7773133647;4.0556417179;3.8700894824
2021-11-10;1521.0;492947.77293;2727160.0;4.1484178356;3.8568357513;3.8435820202;4.1484178356;4.0357611212
2021-11-11;1919.0;548283.14458;3239485.0;4.4399999199;4.1152835079;4.0821491801;4.4399999199;4.3140894744
2021-11-12;1734.0;1120045.2417;6322137.0;4.4996417099;4.4797611132;3.9761193313;4.5261491721;4.1219103734
2021-11-16;3514.0;3004313.8531;16140452.0;3.8435820202;4.4333730544;3.8104476925;4.4333730544;3.9231044068
2021-11-17;1983.0;1142973.0451;6032355.0;4.009253659;3.8899700791;3.6712835159;4.009253659;3.8502088858
2021-11-18;1748.0;1151681.2012;6454060.0;4.1086566423;3.9959999279;3.876716348;4.1948058945;4.0887760456
2021-11-19;3756.0;1079480.6664;6373826.0;4.3737312644;4.1417909701;4.1086566423;4.4399999199;4.3074626089
2021-11-22;1490.0;661819.8633;3886886.0;4.2411939533;4.4134924577;4.2345670878;4.4134924577;4.2875820122
2021-11-23;1336.0;1003311.858;5831810.0;4.2743282811;4.3273432055;4.1550447012;4.3538506677;4.2411939533
2021-11-24;1193.0;486664.67296;2815141.0;4.2080596256;4.1948058945;4.1749252978;4.2677014156;4.2213133567
2021-11-25;733.0;273921.11264;1602479.0;4.26107455;4.2544476844;4.2345670878;4.3405969366;4.2677014156
2021-11-26;1239.0;480161.11334;2729550.0;4.2080596256;4.1682984323;4.0622685834;4.2279402222;4.1484178356
2021-11-29;1903.0;680338.47373;3862062.0;4.1351641045;4.2080596256;4.0887760456;4.2875820122;4.1417909701
2021-11-30;1446.0;1041230.9175;5842713.0;4.0622685834;4.1020297768;4.0225073901;4.2677014156;4.0954029112
2021-12-01;1382.0;588847.71981;3379380.0;4.0225073901;4.1020297768;4.0225073901;4.4267461888;4.1881790289
2021-12-02;1637.0;489971.56768;2842434.0;4.3472238022;4.0622685834;4.0622685834;4.4267461888;4.2345670878
2021-12-03;990.0;317241.43347;1903849.0;4.3339700711;4.3405969366;4.26107455;4.4731342477;4.3803581299
2021-12-06;1790.0;537590.85165;3135643.0;4.2279402222;4.2279402222;4.2146864911;4.3339700711;4.2544476844
2021-12-07;549.0;195547.70778;1109270.0;4.0891665406;4.2973178752;4.0891665406;4.3308906711;4.1965994875
2021-12-08;1305.0;1102298.24;6266212.0;4.2503159609;4.1294538957;4.1160247773;4.3846071445;4.2033140467
2021-12-09;826.0;182320.1289;1035638.0;4.0623083039;4.2503159609;4.0623083039;4.3577489078;4.2033140467
2021-12-10;558.0;159943.47462;898630.0;4.1898849283;4.1361684549;4.0958810998;4.216743165;4.1563121324
2021-12-13;1645.0;479830.42387;2639186.0;4.0153063896;4.216743165;4.0153063896;4.2570305201;4.0690228631
2021-12-14;951.0;801701.50995;4197249.0;3.8272987326;4.0354500672;3.8272987326;4.102595659;3.8743006468
2021-12-15;2227.0;947204.87763;5063146.0;3.8340132918;3.8608715285;3.8138696142;4.0555937447;3.954875357
2021-12-16;1749.0;481263.41158;2593188.0;4.028735508;3.8541569693;3.8541569693;4.028735508;3.9817335937
2021-12-17;1732.0;372246.11565;1999123.0;3.9951627121;4.028735508;3.8743006468;4.0555937447;3.9683044754
2021-12-20;2870.0;732146.49101;3901482.0;3.8944443244;3.9951627121;3.881015206;4.0018772713;3.9414462386
2021-12-21;2148.0;418983.56102;2246871.0;3.9481607978;3.9615899162;3.8675860877;4.0488791855;3.9683044754
2021-12-22;1093.0;190366.90605;1020984.0;4.0153063896;4.028735508;3.9078734427;4.028735508;3.9683044754
2021-12-23;1045.0;223325.62342;1186045.0;3.9347316795;3.9011588836;3.8877297652;4.0085918304;3.9280171203
2021-12-27;882.0;183642.88678;980700.0;3.9213025611;4.0085918304;3.9145880019;4.0555937447;3.9481607978
2021-12-28;693.0;150353.47994;804145.0;4.028735508;3.9213025611;3.8675860877;4.028735508;3.954875357
2021-12-29;1571.0;407960.57862;2241227.0;4.028735508;4.028735508;3.9817335937;4.1630266916;4.0623083039
2021-12-30;1915.0;563494.86029;3276276.0;4.4316090588;4.0891665406;4.0824519814;4.4316090588;4.2973178752
2022-01-03;2460.0;515875.57632;2964224.0;4.142883014;4.4316090588;4.142883014;4.4316090588;4.2503159609
2022-01-04;1939.0;451170.66963;2447767.0;4.0153063896;4.1697412508;3.8877297652;4.2570305201;4.0153063896
2022-01-05;1736.0;628750.9161;3239797.0;3.5922891613;4.0623083039;3.5922891613;4.0623083039;3.807155055
2022-01-06;4326.0;1600096.1252;7856415.0;3.7601531408;3.693007549;3.4042815042;3.8004404959;3.6325765164
2022-01-07;1857.0;387127.14189;2000379.0;3.8407278509;3.7467240224;3.6661493123;3.9347316795;3.8205841734
2022-01-10;2429.0;529544.0745;2766229.0;3.8608715285;3.8944443244;3.7198657857;3.9615899162;3.8608715285
2022-01-11;4652.0;1051151.6017;5378880.0;3.8608715285;3.7534385816;3.7131512265;3.8944443244;3.7870113775
2022-01-12;2750.0;485672.60454;2608577.0;3.9615899162;3.8675860877;3.7668677;4.0555937447;3.9750190345
2022-01-13;2288.0;525465.57101;2803291.0;3.8743006468;3.9615899162;3.8743006468;4.0623083039;3.9481607978
2022-01-14;2364.0;732697.64013;3824672.0;3.7802968183;3.8743006468;3.7802968183;3.9951627121;3.8608715285
2022-01-17;704.0;248017.104;1294201.0;3.8138696142;3.8944443244;3.8138696142;3.9884481529;3.8608715285
2022-01-18;1757.0;1334993.3985;6991896.0;3.9280171203;3.8138696142;3.8004404959;3.954875357;3.8743006468
2022-01-19;1569.0;700730.99117;3770475.0;3.9481607978;3.9280171203;3.8877297652;4.0488791855;3.9817335937
2022-01-20;3152.0;1275579.5233;7369485.0;4.3443197894;3.9414462386;3.9414462386;4.6531895117;4.2704596385
2022-01-21;1477.0;277889.3863;1633487.0;4.3376052303;4.2973178752;4.2436014017;4.4517527363;4.3443197894
2022-01-24;4046.0;832345.40102;4561963.0;4.0623083039;4.3308906711;3.9750190345;4.3308906711;4.0555937447
2022-01-25;1321.0;558865.20768;3109905.0;4.0958810998;4.0488791855;4.0153063896;4.1965994875;4.1160247773
2022-01-26;3282.0;1617181.7479;9076170.0;4.0824519814;4.1361684549;3.9884481529;4.3510343486;4.1495975732
2022-01-27;1065.0;774144.05395;4403539.0;4.290603316;4.1294538957;4.0958810998;4.290603316;4.2100286058
2022-01-28;1145.0;437391.94163;2548514.0;4.3040324344;4.2368868426;4.1898849283;4.3980362629;4.3107469935
2022-01-31;1596.0;431329.30131;2624536.0;4.5121837689;4.3510343486;4.3241761119;4.5860439199;4.4987546506
2022-02-01;1310.0;664575.6089;3986987.0;4.4316090588;4.5054692098;4.3778925853;4.5994730383;4.438323618
2022-02-02;768.0;153991.06413;931151.0;4.4853255322;4.3980362629;4.3980362629;4.5591856832;4.4718964139
2022-02-03;1382.0;293321.56166;1764763.0;4.4987546506;4.4853255322;4.364463467;4.5054692098;4.4517527363
2022-02-04;1461.0;478176.97651;2726111.0;4.0824519814;4.3711780262;4.0824519814;4.3846071445;4.216743165
2022-02-07;1638.0;353176.3561;1963803.0;4.0690228631;4.1630266916;4.0555937447;4.1965994875;4.1093102181
2022-02-08;1582.0;424935.97152;2334760.0;4.0824519814;4.1294538957;3.9481607978;4.1697412508;4.0623083039
2022-02-09;2992.0;667882.50362;3659673.0;4.0555937447;4.1898849283;3.954875357;4.2033140467;4.0555937447
2022-02-10;3393.0;778553.24691;4181496.0;3.9884481529;4.0354500672;3.9145880019;4.0891665406;3.9750190345
2022-02-11;2283.0;736555.68397;3891380.0;3.8675860877;3.9683044754;3.8407278509;4.0488791855;3.9078734427
2022-02-14;3373.0;789796.68896;4003536.0;3.7534385816;3.8541569693;3.6728638714;3.9078734427;3.7467240224
2022-02-15;4151.0;701723.05958;3688599.0;3.9750190345;3.8272987326;3.7601531408;4.0153063896;3.8877297652
2022-02-16;1580.0;576171.29005;3098192.0;3.9078734427;3.9280171203;3.9078734427;4.028735508;3.9750190345
2022-02-17;1408.0;467925.60288;2456823.0;3.8474424101;3.9347316795;3.8205841734;3.9683044754;3.881015206
2022-02-18;907.0;399142.1927;2047955.0;3.8004404959;3.8407278509;3.7265803449;3.8944443244;3.7937259367
2022-02-21;1345.0;390103.34714;1974905.0;3.6594347531;3.8004404959;3.6594347531;3.8675860877;3.7467240224
2022-02-22;1495.0;316469.8247;1616562.0;3.7265803449;3.7265803449;3.693007549;3.8743006468;3.7802968183
2022-02-23;1279.0;472334.79584;2347224.0;3.5922891613;3.8205841734;3.5922891613;3.8205841734;3.6728638714
2022-02-24;2938.0;788694.39072;3665805.0;3.5587163654;3.4378543001;3.3304213533;3.5587163654;3.4378543001
2022-02-25;2434.0;735012.46643;3486829.0;3.5117144511;3.5587163654;3.4378543001;3.5721454837;3.5049998919
2022-03-02;984.0;459327.67661;2167117.0;3.4915707736;3.5184290103;3.4579979777;3.5520018062;3.4915707736
2022-03-03;1312.0;286266.85293;1357169.0;3.4647125369;3.5049998919;3.4647125369;3.5922891613;3.5049998919
2022-03-04;1739.0;765987.04698;3556803.0;3.4378543001;3.4781416552;3.4042815042;3.5117144511;3.431139741
2022-03-07;2959.0;1142532.1258;5135913.0;3.2364175247;3.431139741;3.2364175247;3.4915707736;3.3237067941
2022-03-08;3033.0;574517.84269;2593465.0;3.4244251818;3.2699903206;3.2297029656;3.4378543001;3.3371359124
2022-03-09;2455.0;793544.50298;3831282.0;3.6124328388;3.4042815042;3.4042815042;3.6862929898;3.5721454837
2022-03-10;851.0;251434.22854;1193454.0;3.4915707736;3.6124328388;3.4647125369;3.6258619572;3.5117144511
2022-03-11;1486.0;375663.24019;1714542.0;3.35727959;3.5721454837;3.3237067941;3.5922891613;3.3774232675
2022-03-14;1905.0;667000.66502;2986911.0;3.2297029656;3.3639941492;3.2297029656;3.3841378267;3.3102776757
2022-03-15;2325.0;1019846.3316;4415725.0;3.1894156105;3.283419439;3.095411782;3.283419439;3.2028447288
2022-03-16;1899.0;539795.44813;2387710.0;3.35727959;3.283419439;3.1894156105;3.35727959;3.2699903206
2022-03-17;1401.0;417881.26278;1876803.0;3.35727959;3.3639941492;3.2364175247;3.3639941492;3.3237067941
2022-03-18;2031.0;913805.24096;4176844.0;3.4177106226;3.3237067941;3.3237067941;3.4781416552;3.3774232675
2022-03-21;1336.0;558754.97786;2558175.0;3.3774232675;3.4177106226;3.3237067941;3.471427096;3.3841378267
2022-03-22;1406.0;250331.9303;1187686.0;3.5385726878;3.431139741;3.4244251818;3.5587163654;3.5049998919
2022-03-23;1208.0;279322.37402;1311858.0;3.4378543001;3.5385726878;3.4177106226;3.5654309246;3.471427096
2022-03-24;2593.0;815259.77831;4088716.0;3.8407278509;3.545287247;3.471427096;3.8541569693;3.7064366673
2022-03-25;2327.0;457453.7696;2375105.0;3.9117790622;3.9049641161;3.8163698167;3.9935584154;3.89814917
2022-03-28;1227.0;301368.33882;1579266.0;3.9390388466;3.8504445473;3.8504445473;3.9799285232;3.9322239005
2022-03-29;1393.0;398150.12429;2123208.0;4.0208181998;4.0412630381;3.9185940083;4.0685228225;4.0003733615
2022-03-30;3046.0;633160.10906;3464101.0;4.0753377686;4.0685228225;3.9867434693;4.2320815289;4.1094124991
2022-03-31;2163.0;636356.77395;3397898.0;4.0071883076;4.0889676608;3.9322239005;4.102597553;4.0071883076
2022-04-01;1510.0;434085.04691;2346641.0;4.034448092;4.034448092;3.9935584154;4.1366722835;4.0548929303
2022-04-04;1906.0;344247.74035;1874969.0;4.1094124991;4.034448092;4.0208181998;4.1230423913;4.0889676608
2022-04-05;3362.0;706132.25254;3834567.0;4.0548929303;4.1094124991;3.9867434693;4.1639320679;4.0753377686
2022-04-06;2486.0;708557.30867;3654740.0;3.7959249784;4.0003733615;3.7822950862;4.034448092;3.8708893856
2022-04-07;2035.0;600752.5408;3100342.0;3.9390388466;3.8368146551;3.768665194;3.9867434693;3.8708893856
