Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-05-14;0.0;0.0;0.0;7.16;7.16;7.16;7.16;7.16
2021-05-17;6391.0;1261638.0;8663284.63;6.85;7.16;6.3;7.17;6.86
2021-05-18;3712.0;672983.0;4434302.67;6.55;6.85;6.2;7.07;6.57
2021-05-19;5625.0;506535.0;3319597.18;6.39;6.59;6.39;7.0;6.55
2021-05-20;231.0;56065.0;365066.38;6.4;6.4;6.4;6.73;6.51
2021-05-21;202.0;43474.0;285093.76;6.71;6.64;6.41;6.72;6.55
2021-05-24;1648.0;76051.0;499381.77;6.54;6.7;6.4;6.71;6.56
2021-05-25;112.0;29718.0;193385.96;6.53;6.64;6.42;6.64;6.5
2021-05-26;174.0;76162.0;494281.9;6.46;6.3;6.3;6.87;6.48
2021-05-27;390.0;49194.0;320680.0;6.49;6.6;6.36;6.6;6.51
2021-05-28;124.0;56632.0;365476.8;6.36;6.59;6.36;6.59;6.45
2021-05-31;19947.0;386153.0;2357564.66;6.04;6.36;6.01;6.5;6.1
2021-06-01;1841.0;155778.0;957014.98;6.22;6.0;6.0;6.25;6.14
2021-06-02;537.0;120976.0;744747.22;6.12;6.26;6.11;6.35;6.15
2021-06-04;191.0;110196.0;676243.75;6.14;6.2;6.07;6.25;6.13
2021-06-07;154.0;112322.0;686377.39;6.1;6.14;6.04;6.29;6.11
2021-06-08;135.0;118155.0;730128.87;6.25;6.18;6.12;6.28;6.17
2021-06-09;905.0;89137.0;557348.78;6.2;6.26;6.2;6.38;6.25
2021-06-10;1317.0;107085.0;680445.75;6.29;6.34;6.19;6.44;6.35
2021-06-11;468.0;27862.0;174848.54;6.35;6.44;6.25;6.44;6.27
2021-06-14;5248.0;92339.0;586175.89;6.3;6.3;6.2;6.54;6.34
2021-06-15;113.0;49062.0;313561.47;6.46;6.3;6.29;6.5;6.38
2021-06-16;3892.0;118878.0;755568.93;6.39;6.42;6.26;6.5;6.35
2021-06-17;1023.0;163144.0;1012473.91;6.15;6.41;6.08;6.41;6.2
2021-06-18;851.0;76344.0;468822.0;6.1;6.34;6.1;6.34;6.14
2021-06-21;1181.0;195651.0;1168758.14;5.9;6.34;5.78;6.34;5.97
2021-06-22;3577.0;416446.0;2526917.32;6.23;5.9;5.83;6.29;6.07
2021-06-23;1680.0;336255.0;2171999.35;6.65;6.27;6.24;6.78;6.46
2021-06-24;2099.0;315617.0;2116037.61;6.6;6.77;6.56;6.9;6.69
2021-06-25;1872.0;327556.0;2082821.0;6.25;6.79;6.03;6.84;6.35
2021-06-28;2161.0;177469.0;1120927.92;6.41;6.21;6.15;6.41;6.31
2021-06-29;1500.0;362215.0;2356986.23;6.53;6.41;6.33;6.64;6.5
2021-06-30;2241.0;460598.0;3008060.87;6.67;6.58;6.09;6.71;6.53
2021-07-01;2092.0;1160085.0;8258357.05;7.2;6.99;6.88;7.25;7.11
2021-07-02;1977.0;575375.0;4153167.08;7.2;7.2;7.15;7.29;7.21
2021-07-05;7506.0;637121.0;4587655.95;7.2;7.23;6.97;7.39;7.2
2021-07-06;1222.0;244829.0;1745297.31;7.15;7.25;7.03;7.25;7.12
2021-07-07;1317.0;245424.0;1749531.74;7.1;7.02;7.0;7.23;7.12
2021-07-08;1188.0;118528.0;829645.83;7.0;7.02;6.88;7.15;6.99
2021-07-12;940.0;126480.0;893807.66;7.07;7.18;7.03;7.18;7.06
2021-07-13;1029.0;198481.0;1388713.19;7.06;7.0;6.94;7.07;6.99
2021-07-14;2917.0;280182.0;1965814.67;7.04;7.04;6.95;7.16;7.01
2021-07-15;1624.0;323052.0;2298440.95;7.12;7.04;6.95;7.2;7.11
2021-07-16;1166.0;176810.0;1257538.31;7.12;7.18;7.05;7.19;7.11
2021-07-19;940.0;88330.0;619448.76;7.1;7.12;6.95;7.12;7.01
2021-07-20;1648.0;626558.0;4503796.54;7.19;7.18;7.03;7.3;7.18
2021-07-21;1023.0;107033.0;762909.77;7.18;7.19;7.07;7.19;7.12
2021-07-22;1138.0;172358.0;1222158.75;7.1;7.19;7.0;7.19;7.09
2021-07-23;1276.0;125198.0;891679.51;7.14;7.1;7.02;7.2;7.12
2021-07-26;1244.0;440657.0;3186522.24;7.22;7.18;7.06;7.41;7.22
2021-07-27;942.0;191149.0;1359746.63;7.16;7.18;7.0;7.23;7.11
2021-07-28;1030.0;209209.0;1478893.97;7.06;7.16;7.01;7.18;7.06
2021-07-29;984.0;127519.0;911317.06;7.17;7.02;7.02;7.21;7.14
2021-07-30;1163.0;170876.0;1222734.33;7.2;7.18;7.07;7.21;7.15
2021-08-02;1387.0;90451.0;644243.53;7.08;7.16;7.05;7.19;7.12
2021-08-03;1163.0;120880.0;854147.33;7.0;7.07;7.0;7.16;7.06
2021-08-04;2762.0;854562.0;6285922.68;7.29;7.2;7.0;7.56;7.35
2021-08-05;2053.0;450780.0;3333208.12;7.5;7.38;7.24;7.5;7.39
2021-08-06;1373.0;254901.0;1888865.99;7.45;7.5;7.3;7.5;7.41
