Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-02-16;0.0;0.0;0.0;7844.1402537;7844.1402537;7844.1402537;7844.1402537;7844.1402537
2006-02-17;9683.0;9783.0846114;262058202.0;10154.981571;9285.7660301;8692.1554163;10218.582708;9357.8473189
2006-02-20;2938.0;1762.6281157;50096576.0;9752.1743695;10154.981571;9540.1705789;10218.582708;9930.2575537
2006-02-21;1766.0;2193.2107472;64575923.0;10434.826575;9764.8945969;9764.8945969;10557.788773;10286.423921
2006-02-22;1024.0;1737.9056679;52678586.0;10896.994839;10570.509001;10074.420131;10986.036431;10591.70938
2006-02-23;1002.0;1422.7768674;43528751.0;10684.991048;10896.994839;10388.185741;10939.395597;10689.231124
2006-02-24;457.0;241.45590626;7215879.0;10430.586499;10621.389911;10388.185741;10625.629986;10443.306727
2006-03-01;462.0;1173.6570024;35689458.0;10858.834156;10392.425817;10345.784983;11015.716961;10625.629986
2006-03-02;409.0;477.63769033;14841880.0;10981.796355;10854.59408;10600.189532;11193.800145;10858.834156
2006-03-03;580.0;864.62640562;28145448.0;11384.603557;10820.673474;10774.03264;11817.09129;11376.123405
2006-03-06;520.0;295.43325049;9491621.0;10803.713171;11405.803936;10684.991048;11660.208485;11227.720752
2006-03-07;434.0;622.18160145;18636977.0;10511.14794;10812.193322;10290.663997;10812.193322;10464.507106
2006-03-08;397.0;273.67749648;8061607.0;10324.584604;10468.747181;10010.818994;10600.189532;10290.663997
2006-03-09;297.0;361.60700227;10707517.0;10171.941875;10629.870062;10091.380434;10807.953246;10345.784983
2006-03-10;299.0;216.07419325;6342035.0;10019.299145;10303.384225;10006.578918;10383.945665;10256.743391
2006-03-13;176.0;275.07843518;7964083.0;9998.0987666;10176.18195;9917.5373262;10591.70938;10116.820889
2006-03-14;376.0;1110.6971688;30874536.0;9752.1743695;9989.618615;9518.9701998;9989.618615;9714.0136872
2006-03-15;298.0;427.36871326;12355975.0;10176.18195;9752.1743695;9752.1743695;10214.342633;10104.100662
2006-03-16;225.0;401.65736761;11573987.0;9964.1781601;10176.18195;9921.777402;10218.582708;10070.180055
2006-03-17;261.0;701.87029133;20499394.0;10282.183846;9942.9777811;9942.9777811;10324.584604;10205.862481
2006-03-20;271.0;242.7744368;7210991.0;10256.743391;10282.183846;10256.743391;10591.70938;10379.705589
2006-03-21;241.0;611.05649997;17902402.0;10239.783088;10239.783088;10171.941875;10388.185741;10235.543012
2006-03-22;286.0;822.26861182;24096983.0;10345.784983;10176.18195;10048.979676;10430.586499;10239.783088
2006-03-23;193.0;179.15533795;5324062.0;10282.183846;10345.784983;10218.582708;10557.788773;10383.945665
2006-03-24;222.0;451.34948757;13018728.0;9913.2972504;10345.784983;9892.0968713;10345.784983;10078.660207
2006-03-27;511.0;487.60907759;13694836.0;10006.578918;9875.1365681;9412.9683045;10176.18195;9811.5354309
2006-03-28;337.0;808.91849004;22784482.0;9646.1724742;9836.9758858;9646.1724742;9968.418236;9841.2159616
2006-03-29;216.0;304.82778063;8470357.0;9485.0495933;9582.571337;9412.9683045;9773.3747486;9709.7736114
2006-03-30;166.0;411.05189775;11395584.0;9752.1743695;9747.9342937;9497.7698207;9794.5751276;9688.5732323
2006-03-31;214.0;164.73391011;4623340.0;9828.4957341;9794.5751276;9692.8133081;9921.777402;9807.2953551
2006-04-03;272.0;207.83337733;5934018.0;10129.541116;9794.5751276;9752.1743695;10167.701799;9976.8983876
2006-04-04;337.0;179.48497059;5327229.0;10472.987257;10167.701799;10091.380434;10519.628091;10371.225438
2006-04-05;155.0;168.93672622;5074234.0;10498.427712;10447.546802;10447.546802;10595.949456;10494.187636
2006-04-06;149.0;563.50699215;16956724.0;10388.185741;10523.868167;10388.185741;10536.588394;10515.388015
2006-04-07;167.0;189.20913337;5649205.0;10388.185741;10388.185741;10218.582708;10515.388015;10430.586499
2006-04-10;184.0;120.23350417;3460570.0;9964.1781601;10472.987257;9964.1781601;10472.987257;10057.459828
2006-04-11;226.0;617.73156086;17740812.0;10091.380434;10006.578918;9836.9758858;10197.382329;10036.259449
2006-04-12;369.0;676.323762;18522288.0;9561.3709579;9959.9380843;9455.3690626;10142.261344;9569.8511096
2006-04-13;252.0;320.15569823;8814351.0;9158.5637557;9540.1705789;9158.5637557;9794.5751276;9620.7320193
2006-04-17;265.0;70.458976058;1804314.0;8904.1592069;9205.2045897;8713.3557954;9476.5694417;8946.5599651
2006-04-18;266.0;889.01922072;23345086.0;9264.565651;8946.5599651;8836.3179939;9518.9701998;9175.524059
2006-04-19;195.0;744.14567697;20111955.0;9646.1724742;9408.7282287;9158.5637557;9650.41255;9442.6488352
2006-04-20;237.0;346.27908468;9446365.0;9586.8114128;9612.2518677;9328.1667882;9629.2121709;9531.6904272
2006-04-24;204.0;114.46493303;3130736.0;9582.571337;9586.8114128;9421.4484561;9747.9342937;9557.1308821
2006-04-25;94.0;92.873995342;2515812.0;9459.6091384;9502.0098965;9412.9683045;9502.0098965;9463.8492142
