Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-04-23;0.0;0.0;0.0;9.8925342381;9.8925342381;9.8925342381;9.8925342381;9.8925342381
2021-04-26;29133.0;11250138.024;124648430.0;10.55203652;9.7029273318;9.5133204256;10.55203652;10.106872479
2021-04-27;7203.0;4430422.8884;51769643.0;10.626230527;10.634474305;10.288235607;11.046663232;10.659205641
2021-04-28;5921.0;3050511.3804;36243322.0;10.791106098;10.766374762;10.55203652;11.442364602;10.840568769
2021-04-29;1951.0;2231489.9926;26070896.0;10.675693198;10.840568769;10.3294545;10.964225447;10.659205641
2021-04-30;5707.0;2520406.5422;29042481.0;10.55203652;10.66744942;10.3294545;10.675693198;10.519061406
2021-05-03;1848.0;1122333.9326;12666844.0;10.304723164;10.55203652;10.181066486;10.593255413;10.296479386
2021-05-04;1390.0;1619438.7202;18569456.0;10.362429614;10.222285379;10.065653587;10.601499191;10.461354956
2021-05-05;2082.0;632094.92718;7087117.0;10.181066486;10.247016714;10.139847594;10.411892285;10.230529157
2021-05-06;1111.0;427561.05709;4764779.0;10.057409808;10.205797822;10.057409808;10.469598735;10.172822708
2021-05-07;1485.0;1141270.2031;12469440.0;10.057409808;10.131603815;9.876046681;10.27174805;9.9667282448
2021-05-10;616.0;392678.45336;4298244.0;9.9749720234;10.073897365;9.9007780166;10.288235607;9.9914595804
2021-05-11;738.0;827769.72332;9104221.0;10.057409808;9.9090217951;9.8183402313;10.164578929;10.032678473
2021-05-12;954.0;928873.90491;10120459.0;9.9337531307;10.016190916;9.8925342381;10.139847594;9.9419969093
2021-05-13;1210.0;587910.2958;6634349.0;10.38716095;9.9584844663;9.9502406878;10.535548963;10.296479386
2021-05-14;1723.0;1545908.4064;19300269.0;11.862797307;10.469598735;10.469598735;12.324448904;11.39290193
2021-05-17;384.0;134325.70895;1753323.0;11.928747535;11.854553528;11.706165515;12.101866884;11.912259978
2021-05-18;1135.0;330000.50508;4222035.0;11.763871964;11.928747535;11.533046165;11.928747535;11.6731904
2021-05-19;1708.0;389134.82378;4924224.0;11.467095937;11.607240172;11.236270138;11.953478871;11.549533722
2021-05-20;729.0;1279028.8033;16285103.0;12.118354441;11.574265058;11.293976588;12.118354441;11.615483951
2021-05-21;818.0;401980.48102;5256074.0;11.945235092;12.118354441;11.714409293;12.266742455;11.928747535
2021-05-24;1052.0;580823.03663;7713254.0;12.192548448;11.945235092;11.763871964;12.192548448;12.118354441
2021-05-25;1297.0;1977345.3083;27497257.0;12.761369167;12.283230012;12.151329555;12.926244737;12.68717516
2021-05-26;958.0;390795.90015;5586740.0;13.223020764;12.893269623;12.588249817;13.239508321;13.049901415
2021-05-27;1262.0;523571.27115;7777582.0;13.552771906;13.058145194;12.942732294;14.014423503;13.561015684
2021-05-28;1516.0;509064.53754;7479946.0;13.519796792;13.775353926;13.148826758;13.80832904;13.412627671
2021-05-31;2513.0;1119565.4719;16692811.0;13.767110148;13.519796792;13.165314315;14.525537772;13.610478355
2021-06-01;1176.0;654242.61209;9977528.0;13.758866369;14.171055296;13.701159919;14.294711974;13.915498161
2021-06-02;5427.0;2221080.5807;34971257.0;14.261736859;14.418368652;14.14632396;14.616219336;14.36890598
2021-06-04;5943.0;4175281.5583;65645902.0;14.253493081;14.42661243;14.253493081;14.92948292;14.352418423
2021-06-07;3691.0;2135479.7785;34188427.0;14.443099987;14.253493081;14.253493081;14.805826243;14.607975558
2021-06-08;5013.0;1279361.0185;20792968.0;14.756363571;14.632706893;14.327687088;15.66317921;14.830557578
2021-06-09;4308.0;1431072.6601;22805563.0;14.632706893;14.921239142;14.055642396;15.003676927;14.54202533
2021-06-10;1656.0;534866.59045;8498574.0;14.48431888;14.443099987;14.286468195;14.781094907;14.500806437
2021-06-11;1242.0;497437.00296;7914747.0;14.838801357;14.525537772;14.162811517;14.838801357;14.525537772
2021-06-14;2351.0;695437.30601;11233773.0;14.781094907;14.789338685;14.525537772;15.143821162;14.739876014
2021-06-15;2882.0;621353.3;9990550.0;14.640950672;14.781094907;14.591488001;14.830557578;14.673925786
2021-06-16;1887.0;442510.7444;7007994.0;14.20403041;14.673925786;14.20403041;14.805826243;14.451343766
2021-06-17;2146.0;571853.22424;8780295.0;14.055642396;14.360662202;13.742378812;14.401881094;14.014423503
2021-06-18;1182.0;283822.58206;4431509.0;14.434856209;14.055642396;13.940229497;14.434856209;14.253493081
2021-06-21;1448.0;415822.78409;6434343.0;13.907254383;14.525537772;13.907254383;14.805826243;14.121592624
2021-06-22;1251.0;331993.79672;5028926.0;13.874279268;13.907254383;13.610478355;14.047398618;13.824816597
2021-06-23;601.0;232882.90677;3591764.0;14.047398618;13.791841483;13.791841483;14.237005524;14.072129953
2021-06-24;1208.0;714373.5766;11079287.0;14.105105067;14.055642396;14.039154839;14.48431888;14.154567739
2021-06-25;1600.0;755346.79368;11696160.0;13.849547933;14.105105067;13.80832904;14.401881094;14.129836403
2021-06-28;724.0;448933.57302;6862123.0;13.931985718;13.857791711;13.767110148;14.187542853;13.948473275
2021-06-29;466.0;313168.26455;4898381.0;14.344174645;13.931985718;13.931985718;14.36890598;14.278224417
2021-06-30;2908.0;1547015.7906;24446481.0;14.187542853;14.302955752;14.187542853;15.04489582;14.418368652
2021-07-01;2478.0;1847781.3516;28385321.0;14.253493081;14.253493081;13.701159919;14.42661243;14.022667282
2021-07-02;850.0;209517.0992;3289116.0;14.154567739;14.302955752;14.154567739;14.517293994;14.327687088
2021-07-05;4080.0;2685739.01;40019326.0;13.725891255;14.154567739;13.272483436;14.237005524;13.602234577
2021-07-06;1914.0;2340235.1255;35265035.0;13.849547933;13.626965912;13.610478355;13.915498161;13.75062259
2021-07-07;999.0;438081.20742;6759919.0;14.096861289;13.849547933;13.849547933;14.253493081;14.080373732
2021-07-08;3698.0;1255773.7341;19057133.0;13.734135033;13.833060376;13.635209691;14.047398618;13.849547933
2021-07-12;2099.0;5406028.4084;83785414.0;14.401881094;13.92374194;13.800085262;14.401881094;14.14632396
2021-07-13;2825.0;2072026.6613;33889548.0;15.32518429;14.42661243;14.42661243;15.465328525;14.92948292
2021-07-14;2994.0;1390985.3504;23389332.0;15.250990283;15.341671847;15.020164484;15.638447874;15.349915626
2021-07-15;4059.0;1028427.7485;17605509.0;15.457084747;15.275721619;15.259234062;16.009417909;15.621960317
2021-07-16;1685.0;5022430.5059;87133546.0;16.141318365;15.54776631;15.531278753;16.141318365;15.836298559
2021-07-19;2564.0;3520928.2077;59790327.0;15.539522532;16.149562144;15.308696733;16.3968755;15.498303639
2021-07-20;1210.0;495332.9729;8474242.0;15.54776631;15.564253867;15.250990283;15.778592109;15.613716539
2021-07-21;11174.0;3374642.7489;59822766.0;16.207268593;15.926980123;15.926980123;16.479313285;16.182537258
