Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2001-02-06;1.0;36000.0;432.0;0.012;0.012;0.012;0.012;0.012
2002-03-26;1.0;139000.0;1390.0;0.01;0.01;0.01;0.01;0.01
2002-05-16;3.0;280000.0;5880.0;0.021;0.021;0.021;0.021;0.021
2002-09-18;1.0;36000.0;540.0;0.015;0.015;0.015;0.015;0.015
2002-11-06;2.0;15000.0;222.0;0.012;0.015;0.012;0.015;0.015
2002-12-11;1.0;1000.0;20.0;0.02;0.02;0.02;0.02;0.02
2003-03-24;1.0;4000.0;8.0;0.002;0.002;0.002;0.002;0.002
2003-04-04;1.0;4000.0;12.0;0.003;0.003;0.003;0.003;0.003
2003-06-30;3.0;25000.0;100.0;0.004;0.004;0.004;0.004;0.004
2003-09-10;2.0;5000.0;150.0;0.03;0.03;0.03;0.03;0.03
2003-09-11;1.0;2000.0;60.0;0.03;0.03;0.03;0.03;0.03
2003-09-12;2.0;10000.0;110.0;0.011;0.011;0.011;0.011;0.011
2003-10-08;1.0;2000.0;40.0;0.02;0.02;0.02;0.02;0.02
2003-10-30;1.0;10000.0;100.0;0.01;0.01;0.01;0.01;0.01
2004-02-06;1.0;1000.0;5.0;0.005;0.005;0.005;0.005;0.005
2004-02-09;2.0;871000.0;35761.0;0.041;0.042;0.041;0.042;0.041
2004-02-16;3.0;188000.0;2820.0;0.015;0.015;0.015;0.015;0.015
2004-04-01;2.0;2000.0;30.0;0.015;0.015;0.015;0.015;0.015
2004-04-26;1.0;1000.0;16.0;0.016;0.016;0.016;0.016;0.016
2004-05-18;1.0;5000.0;80.0;0.016;0.016;0.016;0.016;0.016
2004-06-14;1.0;13000.0;208.0;0.016;0.016;0.016;0.016;0.016
2004-11-17;2.0;12000.0;204.0;0.017;0.017;0.017;0.017;0.017
2004-11-30;2.0;10000.0;170.0;0.017;0.017;0.017;0.017;0.017
2004-12-17;4.0;235000.0;3760.0;0.016;0.016;0.016;0.016;0.016
2005-01-31;1.0;1000.0;17.0;0.017;0.017;0.017;0.017;0.017
2005-05-13;1.0;2000.0;34.0;0.017;0.017;0.017;0.017;0.017
2005-06-24;1.0;36000.0;612.0;0.017;0.017;0.017;0.017;0.017
2005-08-24;2.0;10000.0;380.0;0.038;0.038;0.038;0.038;0.038
2005-10-11;1.0;2000.0;70.0;0.035;0.035;0.035;0.035;0.035
2005-10-27;1.0;3000.0;54.0;0.018;0.018;0.018;0.018;0.018
2006-03-02;2.0;2000.0;34.0;0.017;0.017;0.017;0.017;0.017
2006-06-02;1.0;2000.0;34.0;0.017;0.017;0.017;0.017;0.017
2006-08-11;1.0;1000.0;32.0;0.032;0.032;0.032;0.032;0.032
2006-08-16;1.0;1000.0;33.0;0.033;0.033;0.033;0.033;0.033
2006-09-04;3.0;12000.0;396.0;0.033;0.033;0.033;0.033;0.033
2006-09-05;1.0;1000.0;34.0;0.034;0.034;0.034;0.034;0.034
2006-11-10;1.0;1000.0;39.0;0.039;0.039;0.039;0.039;0.039
2006-11-16;1.0;1000.0;19.0;0.019;0.019;0.019;0.019;0.019
2006-11-24;1.0;5000.0;95.0;0.019;0.019;0.019;0.019;0.019
2006-12-28;1.0;20000.0;440.0;0.022;0.022;0.022;0.022;0.022
2007-01-03;2.0;11000.0;418.0;0.038;0.038;0.038;0.038;0.038
2007-01-05;9.0;93000.0;4124.0;0.059;0.04;0.04;0.059;0.044
2007-01-08;4.0;17000.0;1123.0;0.065;0.065;0.065;0.067;0.066
2007-01-12;8.0;75000.0;7950.0;0.12;0.065;0.065;0.12;0.106
2007-01-15;12.0;69000.0;8210.0;0.12;0.138;0.1;0.138;0.119
2007-01-16;36.0;256000.0;37951.0;0.17;0.125;0.125;0.23;0.148
2007-01-17;2.0;2000.0;334.0;0.174;0.16;0.16;0.174;0.167
