Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-10-26;0.0;0.0;0.0;6.6498666214;6.6498666214;6.6498666214;6.6498666214;6.6498666214
2007-10-29;830.0;1231542.0;17385010.0;6.6498666214;6.6498666214;6.5289599555;6.8009999537;6.6559119547
2007-10-30;98.0;189774.0;2656886.0;6.6438212881;6.559186622;6.559186622;6.6498666214;6.601503955
2007-10-31;66.0;195234.0;2719968.0;6.5894132884;6.6498666214;6.5289599555;6.6498666214;6.5712772886
2007-11-01;40.0;119262.0;1675583.0;6.6196399549;6.5894132884;6.5894132884;6.6498666214;6.6256852882
2007-11-05;39.0;39546.0;548546.0;6.6498666214;6.6196399549;6.4987332891;6.6800932878;6.5410506221
2007-11-06;23.0;26286.0;370627.0;6.6256852882;6.6438212881;6.5894132884;6.6498666214;6.6498666214
2007-11-07;37.0;136110.0;1902326.0;6.6498666214;6.6196399549;6.5289599555;6.6498666214;6.5894132884
2007-11-08;18.0;43056.0;601818.0;6.6196399549;6.6498666214;6.559186622;6.6498666214;6.5894132884
2007-11-09;27.0;293202.0;3997470.0;6.559186622;6.5894132884;6.4080532897;6.5894132884;6.4261892896
2007-11-12;14.0;6162.0;84631.0;6.4685066226;6.559186622;6.4382799561;6.559186622;6.4745519559
2007-11-13;31.0;37596.0;521938.0;6.5894132884;6.4080532897;6.4080532897;6.6498666214;6.5470959554
2007-11-14;20.0;32214.0;446118.0;6.5289599555;6.6196399549;6.4080532897;6.6196399549;6.5289599555
2007-11-16;16.0;980850.0;13580451.0;6.5168692889;6.5289599555;6.2992372904;6.6196399549;6.5289599555
2007-11-19;12.0;51636.0;705179.0;6.4987332891;6.5229146222;6.4080532897;6.5289599555;6.4382799561
2007-11-21;28.0;214578.0;2809199.0;6.311327957;6.4080532897;6.1057866251;6.4080532897;6.1722852913
2007-11-22;23.0;6240.0;83825.0;6.3475999568;6.166239958;6.166239958;6.4080532897;6.3355092902
2007-11-23;14.0;14430.0;194258.0;6.4080532897;6.3475999568;6.3355092902;6.4080532897;6.3475999568
2007-11-26;56.0;683280.0;9378757.0;6.3475999568;6.5833679552;6.3475999568;6.6438212881;6.4745519559
2007-11-27;49.0;318396.0;4443641.0;6.6438212881;6.3778266232;6.3778266232;6.6438212881;6.5833679552
2007-11-28;21.0;37752.0;531720.0;6.4080532897;6.6438212881;6.4080532897;6.6498666214;6.6438212881
2007-11-29;24.0;264108.0;3691384.0;6.5833679552;6.6498666214;6.5289599555;6.6498666214;6.5894132884
2007-11-30;40.0;390624.0;5388927.0;6.5289599555;6.6377759548;6.4685066226;6.6377759548;6.5047786224
2007-12-03;45.0;23478.0;333737.0;6.8372719534;6.5350052888;6.5350052888;6.9460879527;6.704274621
2007-12-04;14.0;6630.0;96876.0;6.7405466208;7.0125866189;6.6800932878;7.0125866189;6.8916799531
2007-12-05;38.0;13026.0;187435.0;6.8916799531;6.8916799531;6.6800932878;6.8916799531;6.7828639538
2007-12-06;18.0;57018.0;826130.0;6.8312266201;6.8916799531;6.8312266201;6.8916799531;6.8312266201
2007-12-07;26.0;77922.0;1142999.0;6.952133286;6.8916799531;6.7707732872;7.0428132854;6.9158612862
2007-12-10;16.0;37986.0;552254.0;7.1334932847;6.8009999537;6.8009999537;7.1334932847;6.8554079533
