Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-01-22;0.0;0.0;0.0;14.271434518;14.271434518;14.271434518;14.271434518;14.271434518
2021-01-26;1019.0;312200.0;5967136.0;14.121995414;14.712279878;13.531710949;14.936438535;14.278906474
2021-01-27;1814.0;954900.0;17505537.0;13.412159665;14.196714966;13.150641232;14.196714966;13.696093965
2021-01-28;1805.0;1267800.0;21731501.0;12.777043469;13.41963162;12.65002023;13.598958546;12.80693129
2021-01-29;688.0;310600.0;5236858.0;12.627604364;12.933954529;12.343670065;12.993730171;12.597716543
2021-02-01;575.0;254900.0;4274131.0;12.47816526;12.702323917;12.47816526;12.814403246;12.522996991
2021-02-02;678.0;274400.0;4706787.0;12.851763022;12.702323917;12.687380006;13.150641232;12.814403246
2021-02-03;142.0;62700.0;1099060.0;13.150641232;12.941426485;12.851763022;13.300080337;13.09086559
2021-02-04;118.0;47900.0;857837.0;13.374799889;13.053505813;13.053505813;13.449519441;13.374799889
2021-02-05;347.0;90500.0;1682823.0;13.823117204;13.531710949;13.449519441;14.518009042;13.890364801
2021-02-08;60.0;36000.0;662694.0;13.71850983;14.196714966;13.711037875;14.196714966;13.748397651
2021-02-09;226.0;80700.0;1474260.0;13.897836756;14.181771056;13.329968158;14.181771056;13.643790278
2021-02-10;246.0;161300.0;2925191.0;13.56159877;13.673678099;13.300080337;13.823117204;13.54665486
2021-02-11;224.0;80200.0;1503395.0;14.009916085;13.449519441;13.449519441;14.189243011;14.00244413
2021-02-12;334.0;294300.0;5386609.0;13.666206144;13.673678099;13.26272056;14.047275861;13.673678099
2021-02-17;221.0;233200.0;4260999.0;13.673678099;14.039803906;13.449519441;14.039803906;13.651262233
2021-02-18;441.0;306600.0;5653165.0;13.748397651;13.957612398;13.315024247;14.009916085;13.770813517
2021-02-19;350.0;245800.0;4491959.0;13.598958546;14.271434518;13.150641232;14.271434518;13.651262233
2021-02-22;878.0;341300.0;5947425.0;12.926482574;13.449519441;12.552884812;13.449519441;13.016146037
2021-02-23;795.0;301200.0;5305695.0;13.001202127;13.300080337;12.814403246;13.442047486;13.158113187
2021-02-24;583.0;1264900.0;23220623.0;13.300080337;13.083393634;13.075921679;14.039803906;13.711037875
2021-02-25;363.0;139700.0;2416197.0;13.001202127;13.075921679;12.702323917;13.255248605;12.919010619
2021-02-26;156.0;81900.0;1432744.0;13.143169276;13.001202127;12.709795872;13.143169276;13.068449724
2021-03-01;178.0;41300.0;703525.0;12.851763022;12.866706932;12.343670065;12.866706932;12.724739783
2021-03-02;114.0;32400.0;545612.0;12.664964141;12.552884812;12.425861573;12.702323917;12.575300678
2021-03-03;214.0;94400.0;1554240.0;12.328726155;12.515525036;12.164343139;12.515525036;12.298838334
2021-03-04;545.0;160800.0;2626703.0;12.059735766;12.328726155;11.693609959;12.47816526;12.201702915
2021-03-05;217.0;125900.0;2056288.0;12.702323917;11.955128392;11.805689287;12.702323917;12.201702915
2021-03-08;85.0;35600.0;590602.0;12.403445707;12.47816526;12.283894423;12.694851962;12.388501797
2021-03-09;407.0;80500.0;1294569.0;12.291366378;12.328726155;11.432091525;12.328726155;12.014904034
2021-03-10;545.0;108000.0;1710447.0;11.917768616;12.029847945;11.671194093;12.044791855;11.828105153
2021-03-11;603.0;173600.0;2788531.0;12.029847945;11.955128392;11.813161243;12.216646826;11.999960124
2021-03-12;211.0;78500.0;1256475.0;11.955128392;11.902824706;11.88040884;12.097095542;11.955128392
2021-03-15;507.0;138500.0;2149585.0;11.656250183;11.955128392;11.43956348;11.955128392;11.596474541
2021-03-16;369.0;123900.0;1926924.0;11.58153063;11.88040884;11.476923257;11.88040884;11.618890406
2021-03-17;299.0;76300.0;1207499.0;12.17928705;11.589002585;11.506811078;12.17928705;11.820633198
2021-03-18;407.0;123600.0;1994156.0;12.029847945;12.17928705;11.843049064;12.418389618;12.052263811
2021-03-19;261.0;84300.0;1362136.0;12.074679676;12.044791855;12.029847945;12.291366378;12.067207721
2021-03-22;242.0;58700.0;937140.0;11.902824706;11.89535275;11.89535275;12.052263811;11.925240571
2021-03-23;83.0;51000.0;826594.0;12.321254199;11.805689287;11.73844169;12.321254199;12.104567497
2021-03-24;218.0;74600.0;1234288.0;12.620132409;12.620132409;12.044791855;12.620132409;12.358613976
2021-03-25;193.0;124500.0;2066842.0;12.440805483;12.403445707;12.254006602;12.508053081;12.403445707
2021-03-26;138.0;68400.0;1145345.0;12.530468946;12.545412857;12.306310289;12.597716543;12.508053081
2021-03-29;50.0;21000.0;353049.0;12.612660454;12.612660454;12.33619811;12.612660454;12.560356767
2021-03-30;171.0;108100.0;1800542.0;12.403445707;12.403445707;12.403445707;12.777043469;12.440805483
2021-03-31;207.0;122900.0;2030042.0;12.328726155;12.403445707;12.216646826;12.530468946;12.33619811
2021-04-01;56.0;28300.0;468415.0;12.328726155;12.366085931;12.254006602;12.702323917;12.366085931
2021-04-05;255.0;57800.0;935825.0;12.313782244;12.224118781;11.805689287;12.313782244;12.097095542
2021-04-06;385.0;109900.0;1865452.0;12.515525036;12.777043469;12.455749394;13.516767039;12.679908051
2021-04-07;825.0;112300.0;1855719.0;12.403445707;12.328726155;12.216646826;12.664964141;12.343670065
2021-04-08;945.0;495700.0;7778325.0;12.059735766;12.291366378;11.469451301;12.291366378;11.72349778
