Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-09-24;0.0;0.0;0.0;7.100088831;7.100088831;7.100088831;7.100088831;7.100088831
2020-09-25;25511.0;67517400.0;494759478.0;6.9686057045;7.100088831;6.6023312807;7.100088831;6.8746891856
2020-09-28;6446.0;6789100.0;49542855.0;6.7807726667;6.931039097;6.6868561478;7.0343472678;6.8465142299
2020-09-29;6822.0;5687500.0;40022328.0;6.6211145845;6.7713810148;6.4708481542;6.7807726667;6.6023312807
2020-09-30;4059.0;4544900.0;32678649.0;6.8089476224;6.5929396288;6.5929396288;6.8089476224;6.752597711
2020-10-01;2870.0;3141300.0;22746867.0;6.8746891856;6.7995559705;6.6211145845;6.8840808375;6.7995559705
2020-10-02;1807.0;2467600.0;17673782.0;6.7056394515;6.7807726667;6.7056394515;6.8277309261;6.7244227553
2020-10-05;1377.0;2250800.0;15890474.0;6.6211145845;6.7432060591;6.5835479769;6.7619893629;6.6211145845
2020-10-06;2534.0;1313300.0;9146385.0;6.5271980656;6.668072844;6.489631458;6.6962477996;6.5365897175
2020-10-07;5431.0;5389600.0;36336853.0;6.2454485088;6.574156325;6.226665205;6.574156325;6.3299733758
2020-10-08;1832.0;1725900.0;11507069.0;6.2830151164;6.2454485088;6.1327486861;6.3393650277;6.2548401607
2020-10-09;2097.0;1231200.0;8266074.0;6.3393650277;6.2924067682;6.1984902493;6.4144982429;6.3017984201
2020-10-13;4091.0;5017300.0;33383381.0;6.2078819012;6.3487566796;6.1984902493;6.3769316353;6.2454485088
2020-10-14;1736.0;2034400.0;13707764.0;6.3863232872;6.2548401607;6.2172735531;6.405106591;6.3205817239
2020-10-15;2376.0;1392200.0;9561837.0;6.489631458;6.4144982429;6.3487566796;6.5459813694;6.4426731985
2020-10-16;1331.0;540800.0;3728353.0;6.4708481542;6.4802398061;6.405106591;6.5647646731;6.4708481542
2020-10-19;1359.0;1069200.0;7272749.0;6.3863232872;6.5084147618;6.3393650277;6.5084147618;6.3863232872
2020-10-20;2064.0;1327000.0;8959188.0;6.3393650277;6.3863232872;6.2078819012;6.4802398061;6.3393650277
2020-10-21;2482.0;1557200.0;10321689.0;6.2078819012;6.3675399834;6.1703152936;6.3675399834;6.2172735531
