Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2001-03-06;1.0;733.33333333;6600.0;9.0;9.0;9.0;9.0;9.0
2005-08-04;1.0;33.333333333;300.0;9.0;9.0;9.0;9.0;9.0
2005-08-05;2.0;66.666666667;600.0;9.0;9.0;9.0;9.0;9.0
2007-01-30;4.0;400.0;6000.0;15.0;15.0;15.0;15.0;15.0
2007-01-31;4.0;133.33333333;3000.0;22.5;22.5;22.5;22.5;22.5
2007-02-02;1.0;100.0;2250.0;22.5;22.5;22.5;22.5;22.5
2007-02-05;1.0;166.66666667;3750.0;22.5;22.5;22.5;22.5;22.5
2007-03-19;2.0;633.33333333;15770.0;24.9;24.9;24.9;24.9;24.9
2007-05-15;4.0;166.66666667;6450.0;38.7;38.7;38.7;38.7;38.7
2007-05-21;1.0;33.333333333;1150.0;34.5;34.5;34.5;34.5;34.5
2007-05-24;1.0;33.333333333;1010.0;30.3;30.3;30.3;30.3;30.3
2007-05-29;4.0;600.0;16200.0;27.0;27.0;27.0;27.0;27.0
2007-05-30;1.0;33.333333333;900.0;27.0;27.0;27.0;27.0;27.0
2007-06-01;4.0;300.0;7740.0;25.8;25.8;25.8;25.8;25.8
2007-06-06;1.0;66.666666667;1600.0;24.0;24.0;24.0;24.0;24.0
2007-06-11;9.0;566.66666667;22100.0;39.0;39.0;39.0;39.0;39.0
2007-06-19;3.0;133.33333333;4130.0;31.5;29.4;29.4;31.5;30.9
2007-06-25;1.0;100.0;3150.0;31.5;31.5;31.5;31.5;31.5
2007-06-26;1.0;33.333333333;1010.0;30.3;30.3;30.3;30.3;30.3
2007-06-27;1.0;33.333333333;1230.0;36.9;36.9;36.9;36.9;36.9
2007-07-12;2.0;66.666666667;1880.0;28.2;28.2;28.2;28.2;28.2
2007-07-16;2.0;66.666666667;2360.0;35.4;35.4;35.4;35.4;35.4
2007-07-19;1.0;33.333333333;1220.0;36.6;36.6;36.6;36.6;36.6
