Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-17;1.0;2000.0;220.0;0.11;0.11;0.11;0.11;0.11
2000-01-27;2.0;10000.0;1221.0;0.1221;0.1221;0.1221;0.1221;0.1221
2000-02-03;1.0;3000.0;420.0;0.14;0.14;0.14;0.14;0.14
2000-02-07;2.0;11000.0;1549.9;0.1499;0.14;0.14;0.1499;0.1409
2000-02-16;1.0;10000.0;1570.0;0.157;0.157;0.157;0.157;0.157
2000-02-18;1.0;2000.0;316.0;0.158;0.158;0.158;0.158;0.158
2000-02-21;2.0;3000.0;474.0;0.158;0.158;0.158;0.158;0.158
2000-02-25;2.0;2000.0;316.0;0.158;0.158;0.158;0.158;0.158
2000-03-01;1.0;1000.0;165.0;0.165;0.165;0.165;0.165;0.165
2000-03-22;1.0;1000.0;169.0;0.169;0.169;0.169;0.169;0.169
2000-03-23;1.0;4000.0;680.0;0.17;0.17;0.17;0.17;0.17
2000-03-30;1.0;1000.0;180.0;0.18;0.18;0.18;0.18;0.18
2000-04-07;1.0;1000.0;180.0;0.18;0.18;0.18;0.18;0.18
2000-04-17;1.0;2000.0;370.0;0.185;0.185;0.185;0.185;0.185
2000-04-26;1.0;2000.0;360.0;0.18;0.18;0.18;0.18;0.18
2000-04-28;1.0;2000.0;360.0;0.18;0.18;0.18;0.18;0.18
2000-05-02;1.0;1000.0;190.0;0.19;0.19;0.19;0.19;0.19
2000-05-03;1.0;1000.0;190.0;0.19;0.19;0.19;0.19;0.19
2000-05-05;1.0;2000.0;380.0;0.19;0.19;0.19;0.19;0.19
2000-05-12;4.0;7000.0;1385.0;0.2;0.195;0.195;0.2;0.1979
2000-05-17;1.0;1000.0;210.0;0.21;0.21;0.21;0.21;0.21
2000-05-19;1.0;1000.0;210.0;0.21;0.21;0.21;0.21;0.21
2000-05-25;2.0;2000.0;440.0;0.22;0.22;0.22;0.22;0.22
2000-06-01;1.0;2000.0;460.0;0.23;0.23;0.23;0.23;0.23
2000-06-02;1.0;3000.0;720.0;0.24;0.24;0.24;0.24;0.24
2000-06-09;1.0;3000.0;750.0;0.25;0.25;0.25;0.25;0.25
2000-06-19;2.0;5000.0;1250.0;0.25;0.25;0.25;0.25;0.25
2000-06-20;3.0;23000.0;5750.0;0.25;0.25;0.25;0.25;0.25
2000-06-21;1.0;2000.0;500.0;0.25;0.25;0.25;0.25;0.25
2000-06-26;1.0;5000.0;1250.0;0.25;0.25;0.25;0.25;0.25
2000-06-28;1.0;10000.0;2489.0;0.2489;0.2489;0.2489;0.2489;0.2489
2000-06-29;1.0;1000.0;249.0;0.249;0.249;0.249;0.249;0.249
2000-07-03;1.0;2000.0;498.0;0.249;0.249;0.249;0.249;0.249
2000-07-06;1.0;3000.0;749.7;0.2499;0.2499;0.2499;0.2499;0.2499
2000-07-11;1.0;2000.0;500.0;0.25;0.25;0.25;0.25;0.25
2000-07-14;1.0;1000.0;260.0;0.26;0.26;0.26;0.26;0.26
2000-07-25;1.0;1000.0;269.9;0.2699;0.2699;0.2699;0.2699;0.2699
2000-08-23;1.0;1000.0;230.0;0.23;0.23;0.23;0.23;0.23
2000-08-29;1.0;1000.0;250.0;0.25;0.25;0.25;0.25;0.25
2000-12-15;1.0;10000.0;2000.0;0.2;0.2;0.2;0.2;0.2
2000-12-22;3.0;101000.0;24240.0;0.24;0.24;0.24;0.24;0.24
2000-12-28;3.0;100000.0;23990.0;0.2399;0.2399;0.2399;0.2399;0.2399
2001-02-09;2.0;5000.0;1250.5;0.2501;0.2501;0.2501;0.2501;0.2501
2001-02-13;1.0;1000.0;250.0;0.25;0.25;0.25;0.25;0.25
2001-03-02;2.0;2000.0;500.0;0.25;0.25;0.25;0.25;0.25
2001-03-12;1.0;2000.0;500.0;0.25;0.25;0.25;0.25;0.25
2001-03-21;1.0;3000.0;750.0;0.25;0.25;0.25;0.25;0.25
2001-06-25;1.0;1000.0;250.0;0.25;0.25;0.25;0.25;0.25
2001-06-27;1.0;1000.0;250.0;0.25;0.25;0.25;0.25;0.25
2001-07-13;3.0;38000.0;9880.0;0.26;0.26;0.26;0.26;0.26
2001-07-16;1.0;1000.0;265.0;0.265;0.265;0.265;0.265;0.265
2001-08-28;2.0;2000.0;400.0;0.25;0.15;0.15;0.25;0.2
2001-09-24;1.0;3000.0;750.0;0.25;0.25;0.25;0.25;0.25
2001-10-16;1.0;33000.0;8250.0;0.25;0.25;0.25;0.25;0.25
2001-12-21;1.0;1000.0;300.0;0.3;0.3;0.3;0.3;0.3
2002-03-27;1.0;10000.0;1990.0;0.199;0.199;0.199;0.199;0.199
2002-05-08;1.0;1000.0;200.0;0.2;0.2;0.2;0.2;0.2
2003-03-20;1.0;1000.0;180.0;0.18;0.18;0.18;0.18;0.18
2003-03-24;1.0;1000.0;180.0;0.18;0.18;0.18;0.18;0.18
2003-03-27;1.0;1000.0;180.0;0.18;0.18;0.18;0.18;0.18
2003-03-28;1.0;1000.0;180.0;0.18;0.18;0.18;0.18;0.18
2003-04-04;1.0;1000.0;180.0;0.18;0.18;0.18;0.18;0.18
2003-04-08;2.0;2000.0;360.0;0.18;0.18;0.18;0.18;0.18
2003-04-09;1.0;124000.0;22295.2;0.1798;0.1798;0.1798;0.1798;0.1798
2003-04-15;1.0;1000.0;165.0;0.165;0.165;0.165;0.165;0.165
2003-05-26;1.0;1000.0;140.0;0.14;0.14;0.14;0.14;0.14
2003-06-02;1.0;45000.0;4500.0;0.1;0.1;0.1;0.1;0.1
2003-06-03;2.0;5000.0;550.0;0.11;0.11;0.11;0.11;0.11
2003-06-06;2.0;3000.0;330.0;0.11;0.11;0.11;0.11;0.11
2003-06-10;1.0;12000.0;1200.0;0.1;0.1;0.1;0.1;0.1
2003-06-12;1.0;6000.0;660.0;0.11;0.11;0.11;0.11;0.11
2003-06-13;1.0;2000.0;220.0;0.11;0.11;0.11;0.11;0.11
2003-06-16;1.0;1000.0;110.0;0.11;0.11;0.11;0.11;0.11
2003-06-18;1.0;1000.0;110.0;0.11;0.11;0.11;0.11;0.11
2003-06-20;1.0;1000.0;110.0;0.11;0.11;0.11;0.11;0.11
2003-07-14;1.0;9000.0;900.0;0.1;0.1;0.1;0.1;0.1
2003-07-17;2.0;13000.0;1300.0;0.1;0.1;0.1;0.1;0.1
2003-07-18;1.0;2000.0;200.0;0.1;0.1;0.1;0.1;0.1
2003-07-25;1.0;1000.0;100.0;0.1;0.1;0.1;0.1;0.1
2003-07-29;1.0;1000.0;100.0;0.1;0.1;0.1;0.1;0.1
2003-08-13;1.0;124000.0;12387.6;0.0999;0.0999;0.0999;0.0999;0.0999
2003-08-27;1.0;1000.0;99.9;0.0999;0.0999;0.0999;0.0999;0.0999
2003-09-03;1.0;1000.0;99.9;0.0999;0.0999;0.0999;0.0999;0.0999
2003-09-08;1.0;1000.0;99.9;0.0999;0.0999;0.0999;0.0999;0.0999
2003-09-09;1.0;3000.0;299.7;0.0999;0.0999;0.0999;0.0999;0.0999
2003-09-10;1.0;1000.0;100.0;0.1;0.1;0.1;0.1;0.1
2003-09-15;2.0;3000.0;280.0;0.09;0.1;0.09;0.1;0.0933
2003-09-18;1.0;1000.0;100.0;0.1;0.1;0.1;0.1;0.1
2003-09-19;5.0;14000.0;1270.0;0.09;0.1;0.09;0.1;0.0907
2003-09-22;3.0;26000.0;2215.0;0.085;0.09;0.085;0.09;0.0852
2003-09-23;2.0;10000.0;850.0;0.085;0.085;0.085;0.085;0.085
2003-10-02;1.0;5000.0;450.0;0.09;0.09;0.09;0.09;0.09
2003-10-09;1.0;5000.0;400.0;0.08;0.08;0.08;0.08;0.08
2003-10-15;3.0;5000.0;423.0;0.0846;0.0846;0.0846;0.0846;0.0846
2003-10-23;1.0;3000.0;255.0;0.085;0.085;0.085;0.085;0.085
2003-10-24;1.0;1000.0;85.0;0.085;0.085;0.085;0.085;0.085
2003-10-27;1.0;1000.0;85.0;0.085;0.085;0.085;0.085;0.085
2003-10-30;3.0;15000.0;1170.5;0.078;0.0785;0.078;0.0785;0.078
2003-11-10;4.0;8000.0;624.0;0.078;0.078;0.078;0.078;0.078
2003-11-19;2.0;7000.0;504.0;0.072;0.072;0.072;0.072;0.072
2003-11-28;1.0;1000.0;72.1;0.0721;0.0721;0.0721;0.0721;0.0721
