Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2008-04-17;0.0;0.0;0.0;5.4249574118;5.4249574118;5.4249574118;5.4249574118;5.4249574118
2008-04-18;9170.0;9943400.0;81819298.0;5.3292228692;5.3770901405;5.0579749986;5.4090016547;5.2526352351
2008-04-22;1921.0;6488400.0;53325559.0;5.2015768124;5.2653998408;5.1409449355;5.4409131689;5.2462529323
2008-04-23;1151.0;2655200.0;20900024.0;4.946284699;5.1696652983;4.946284699;5.2015768124;5.022872333
2008-04-24;850.0;1931000.0;14946721.0;4.946284699;4.8760793677;4.786727128;5.0898865128;4.9399023961
2008-04-25;305.0;284400.0;2204479.0;4.946284699;4.8696970649;4.8282120965;5.0005342731;4.946284699
2008-04-28;288.0;228000.0;1770978.0;4.946284699;4.9622404561;4.946284699;5.0196811816;4.9558581532
2008-04-29;272.0;836800.0;6486411.0;4.946284699;4.946284699;4.9430935475;4.9781962131;4.946284699
2008-04-30;260.0;248000.0;1920191.0;4.946284699;4.9143731848;4.8537413078;4.9718139103;4.9430935475
2008-05-02;686.0;812400.0;6569916.0;5.3930458976;4.9654316075;4.9622404561;5.3930458976;5.160091844
2008-05-05;314.0;171200.0;1417982.0;5.2941202036;5.3930458976;5.1856210554;5.3930458976;5.2877379008
2008-05-06;79.0;52400.0;427390.0;5.2015768124;5.2941202036;5.2015768124;5.2941202036;5.2047679639
2008-05-07;74.0;84000.0;681297.0;5.2015768124;5.1664741468;5.1409449355;5.2143414181;5.1760476011
2008-05-08;85.0;87800.0;715576.0;5.2334883266;5.1696652983;5.1537095412;5.2494440837;5.2015768124
2008-05-09;147.0;98000.0;812432.0;5.2175325695;5.2015768124;5.2015768124;5.3930458976;5.2909290522
2008-05-12;145.0;75200.0;628836.0;5.3898547462;5.2813555979;5.2079591153;5.3898547462;5.335605172
2008-05-13;313.0;254600.0;2163376.0;5.4377220174;5.3611343834;5.3611343834;5.4536777745;5.4217662603
2008-05-14;526.0;477200.0;4149054.0;5.5366477114;5.4217662603;5.4217662603;5.632382254;5.5494123171
2008-05-15;340.0;406800.0;3611541.0;5.6483380111;5.53345656;5.495162743;5.7600283107;5.6674849196
2008-05-16;106.0;323400.0;2876416.0;5.6164264969;5.6164264969;5.5845149827;5.7440725536;5.6770583738
2008-05-19;120.0;115600.0;1035100.0;5.6483380111;5.7121610394;5.6483380111;5.9036301246;5.7153521909
2008-05-20;40.0;206800.0;1799035.0;5.5206919543;5.5685592256;5.495162743;5.5685592256;5.5526034685
2008-05-21;44.0;155600.0;1324426.0;5.5175008029;5.5494123171;5.4249574118;5.5526034685;5.4313397146
2008-05-23;90.0;57000.0;495971.0;5.5206919543;5.4313397146;5.4249574118;5.7249256451;5.5526034685
2008-05-26;210.0;125200.0;1131379.0;5.6164264969;5.6291911026;5.6132353455;5.9036301246;5.7664106136
2008-05-27;126.0;220600.0;1941184.0;5.6962052824;5.6036618912;5.5238831057;5.7376902508;5.6164264969
