Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-05-03;0.0;0.0;0.0;4845.0673599;4845.0673599;4845.0673599;4845.0673599;4845.0673599
2021-05-04;3165.0;4682.75;29549280.0;4775.4195166;5208.4474119;4611.8984932;5262.9544197;4775.4195166
2021-05-05;983.0;1461.0;9338114.0;4814.7856889;4996.4757149;4814.7856889;5005.5602162;4835.9828586
2021-05-06;832.0;921.75;5901643.0;4814.7856889;4875.3490309;4814.7856889;4941.9687071;4845.0673599
2021-05-07;1260.0;3055.75;18879099.0;4602.8139919;4832.9546915;4602.8139919;4881.4053651;4675.4900023
2021-05-10;705.0;808.5;4899415.0;4608.8703261;4681.5463365;4542.2506499;4681.5463365;4584.6449893
2021-05-11;1477.0;748.0;4529733.0;4581.6168222;4605.842159;4478.6591408;4829.9265244;4581.6168222
2021-05-12;520.0;712.5;4268270.0;4587.6731564;4639.1519971;4405.9831304;4733.0251772;4533.1661486
2021-05-13;891.0;1598.0;9399368.0;4460.4901382;4545.278817;4366.6169581;4578.5886551;4451.4056369
2021-05-14;1537.0;2236.5;13037450.0;4481.6873079;4542.2506499;4296.9691148;4542.2506499;4412.0394646
2021-05-17;638.0;480.5;2849367.0;4481.6873079;4481.6873079;4481.6873079;4572.5323209;4487.7436421
2021-05-18;443.0;693.0;4151005.0;4533.1661486;4542.2506499;4481.6873079;4542.2506499;4533.1661486
2021-05-19;455.0;1691.0;9925063.0;4442.3211356;4533.1661486;4321.1944516;4533.1661486;4442.3211356
2021-05-20;565.0;1400.25;8278046.0;4511.9689789;4375.7014594;4336.3352871;4663.3773339;4472.6028066
2021-05-21;953.0;1461.25;8636527.0;4481.6873079;4511.9689789;4409.0112975;4630.0674958;4472.6028066
2021-05-24;353.0;339.25;2036505.0;4542.2506499;4514.997146;4481.6873079;4602.8139919;4542.2506499
2021-05-25;1189.0;2370.5;14390145.0;4602.8139919;4545.278817;4481.6873079;4690.6308378;4593.7294906
2021-05-26;370.0;194.5;1213446.0;4781.4758508;4605.842159;4605.842159;4796.6166863;4720.9125088
2021-05-27;881.0;1873.0;11894898.0;4799.6448534;4784.5040179;4739.0815114;4829.9265244;4805.7011876
2021-05-28;962.0;1008.25;6412378.0;4814.7856889;4857.1800283;4693.6590049;4857.1800283;4811.7575218
2021-05-31;462.0;582.0;3705741.0;4845.0673599;4814.7856889;4763.3068482;4845.0673599;4817.813856
2021-06-01;743.0;980.25;6278662.0;4887.4616993;4814.7856889;4754.2223469;4887.4616993;4848.095527
2021-06-02;409.0;492.5;3158579.0;4917.7433703;4887.4616993;4772.3913495;4935.9123729;4854.1518612
2021-06-04;592.0;2806.5;17982952.0;4951.0532084;4899.5743677;4802.6730205;4951.0532084;4848.095527
2021-06-07;1772.0;772.0;4970877.0;4860.2081954;4923.7997045;4851.1236941;4951.0532084;4872.3208638
2021-06-08;923.0;869.5;5543233.0;4814.7856889;4845.0673599;4793.5885192;4875.3490309;4823.8701902
2021-06-09;400.0;182.25;1163901.0;4814.7856889;4823.8701902;4781.4758508;4905.6307019;4832.9546915
2021-06-10;1614.0;2687.5;17441444.0;4963.1658768;5087.3207279;4739.0815114;5232.6727487;4911.6870361
2021-06-11;2277.0;1921.25;12472553.0;4875.3490309;4911.6870361;4832.9546915;4996.4757149;4911.6870361
2021-06-14;5692.0;3539.75;22794258.0;4839.0110257;4905.6307019;4708.7998404;5050.9827227;4872.3208638
2021-06-15;1557.0;1628.25;10920988.0;5026.7573859;4839.0110257;4839.0110257;5329.5740959;5075.2080595
2021-06-16;3279.0;2552.0;17069523.0;5087.3207279;5138.7995686;5002.5320491;5138.7995686;5063.0953911
2021-06-17;1203.0;1042.5;7060296.0;5281.1234223;5181.193908;5035.8418872;5281.1234223;5126.6869002
2021-06-18;1979.0;2916.25;20400248.0;5281.1234223;5311.4050933;5144.8559028;5329.5740959;5293.2360907
2021-06-21;1698.0;1073.75;7694865.0;5517.3204561;5390.1374379;5220.5600803;5586.9682994;5423.447276
2021-06-22;2254.0;2623.75;19474875.0;5762.6019912;5562.7429626;5414.3627747;5826.1935003;5617.2499704
2021-06-23;3927.0;2666.75;21444435.0;6026.0525289;6056.3341999;6001.8271921;6356.1227428;6086.6158709
2021-06-24;2452.0;1722.5;13983169.0;6089.644038;6050.2778657;6035.1370302;6268.3058969;6144.1510458
2021-06-25;2942.0;3295.5;26724049.0;6162.3200484;6107.8130406;6101.7567064;6292.5312337;6138.0947116
2021-06-28;1168.0;2809.75;23502451.0;6462.1085913;6162.3200484;6162.3200484;6477.2494268;6331.897406
2021-06-29;2602.0;2193.0;19602195.0;6964.7843299;6462.1085913;6462.1085913;7010.2068364;6764.9253013
2021-06-30;4698.0;3265.25;30887273.0;7200.9813637;7058.65751;6964.7843299;7455.3474001;7158.5870243
2021-07-01;947.0;490.5;4606151.0;7055.6293429;7200.9813637;7049.5730087;7261.5447057;7107.1081836
2021-07-02;1975.0;1484.75;13910570.0;7116.1926849;7076.8265126;7058.65751;7188.8686953;7091.9673481
2021-07-05;1161.0;611.5;5739401.0;7076.8265126;7152.5306901;7076.8265126;7152.5306901;7104.0800165
2021-07-06;1738.0;1084.75;10163094.0;6998.094168;7058.65751;6985.9814996;7294.8545438;7091.9673481
2021-07-07;1583.0;1130.75;10450649.0;6952.6716615;6973.8688312;6904.2209879;7131.3335204;6995.0660009
2021-07-08;1720.0;1094.25;9999124.0;6964.7843299;6937.530826;6761.8971342;7055.6293429;6916.3336563
2021-07-12;1874.0;953.25;8880127.0;6985.9814996;7055.6293429;6922.3899905;7264.5728728;7049.5730087
2021-07-13;2246.0;1561.25;14136096.0;6934.5026589;6979.9251654;6604.432445;7110.1363507;6852.7421472
2021-07-14;4070.0;3876.5;33886496.0;6613.5169463;7046.5448416;6395.4889151;7046.5448416;6616.5451134
