Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-11-19;0.0;0.0;0.0;18.637204426;18.637204426;18.637204426;18.637204426;18.637204426
2021-11-22;555.0;668000.0;13779248.0;18.760287628;18.498056705;17.511996589;18.85907325;18.524100187
2021-11-23;1179.0;2983000.0;62166059.0;18.320242586;18.410945748;17.691606811;19.620620589;18.715385073
2021-11-24;1876.0;3457000.0;68752663.0;18.320242586;18.176554409;17.501219976;18.320242586;17.859542368
2021-11-25;1341.0;1716000.0;35620676.0;18.993780916;18.229539424;18.014007158;18.993780916;18.640846831
2021-11-26;1619.0;2216000.0;43890351.0;18.0885454;18.854582995;17.283891608;18.854582995;17.786800228
2021-11-29;1022.0;1433000.0;28683549.0;17.85325601;17.879299492;17.606291956;18.322936739;17.975390961
2021-11-30;2084.0;3570000.0;67858179.0;17.062971036;17.871217032;16.392126859;17.961022143;17.069257394
2021-12-01;1723.0;2980000.0;54149078.0;15.715894375;17.063869087;15.715894375;17.529957612;16.317588617
2021-12-02;2380.0;3203000.0;59082039.0;16.83935631;15.811087792;15.715894375;16.883360814;16.564552671
2021-12-03;2886.0;4500000.0;88846799.0;17.781411922;16.883360814;16.883360814;18.530386545;17.730223008
2021-12-06;1977.0;3315000.0;66848621.0;18.178350511;18.014007158;17.785902177;18.35616463;18.109200576
2021-12-07;1107.0;1569000.0;31723393.0;18.069686327;18.634560473;17.939468916;18.634560473;18.156797284
2021-12-08;2423.0;4014000.0;82360702.0;18.590555969;18.319344535;17.920609843;18.762083731;18.426212617
2021-12-09;778.0;1055000.0;21171305.0;18.095729809;18.410047697;17.772431411;18.589657918;18.021191567
2021-12-10;1091.0;1700000.0;34815306.0;18.454950252;18.050827254;18.050827254;18.482789836;18.391188623
2021-12-13;885.0;1085000.0;22108533.0;18.241214088;18.326528944;18.141530416;18.557328078;18.298689359
2021-12-14;1593.0;2164000.0;42985349.0;17.734713264;18.275340031;17.415905121;18.560920283;17.837989141
2021-12-15;1427.0;2217000.0;43041130.0;17.242581257;17.646704256;17.242581257;17.757164542;17.434764194
2021-12-16;1155.0;1807000.0;34389226.0;17.053092474;17.383575281;16.807924521;17.511996589;17.09081062
2021-12-17;2088.0;2980000.0;56180594.0;17.148285891;16.793555704;16.645377271;17.221926082;16.930059472
2021-12-20;1873.0;3973000.0;73328704.0;16.19814782;16.793555704;16.19814782;17.009087969;16.574431234
2021-12-21;2300.0;2762000.0;49716616.0;16.258317244;16.489116378;15.869461114;16.525038423;16.164919929
2021-12-22;1217.0;1464000.0;26370236.0;16.210720535;16.233171813;15.904485107;16.436131363;16.175696542
2021-12-23;1133.0;1536000.0;27955579.0;16.434335261;16.242152324;16.183779002;16.434335261;16.34453015
2021-12-27;7039.0;1240200.0;22559336.0;16.407393728;16.587003949;16.039192774;16.874380303;16.335549639
2021-12-28;4957.0;827000.0;15287080.0;16.856419281;16.34453015;16.182880951;16.856419281;16.59598446
2021-12-29;7390.0;1933700.0;35118777.0;16.326569128;16.865399792;16.17390044;16.964185414;16.308608106
2021-12-30;8082.0;3544400.0;64274361.0;16.227783506;16.416374239;16.003270729;16.59598446;16.281666573
2022-01-03;9449.0;2029700.0;34997688.0;15.284829843;16.227783506;15.204005244;16.488218327;15.482401087
2022-01-04;11541.0;2570200.0;42606912.0;15.015414511;15.302790865;14.494544869;15.518323131;14.880706845
2022-01-05;22013.0;4476300.0;71470354.0;13.847948072;14.853765312;13.847948072;15.015414511;14.33289567
2022-01-06;20713.0;4522200.0;68723354.0;13.49770814;13.973675227;13.255234341;14.099402382;13.641396317
2022-01-07;18594.0;3206000.0;49131973.0;13.632415806;13.49770814;13.156448719;14.009597271;13.758142961
2022-01-10;12900.0;2210700.0;33485769.0;13.901831138;13.479747118;13.219312297;13.955714205;13.596493762
2022-01-11;8910.0;1676300.0;26859201.0;14.476583847;13.821006539;13.686298873;14.602311002;14.386778736
2022-01-12;13915.0;4365000.0;75011299.0;15.67997233;14.494544869;14.485564358;15.706913864;15.42851802
2022-01-13;9470.0;2874400.0;49833946.0;15.581186709;15.446479043;15.33871291;15.778757952;15.563225686
2022-01-14;11741.0;1841900.0;32695407.0;16.120017373;15.473420576;15.25788831;16.120017373;15.940407151
2022-01-17;7590.0;1662800.0;29051805.0;15.518323131;16.380452194;15.500362109;16.389432706;15.688952841
2022-01-18;9398.0;2467500.0;43396523.0;15.599147731;15.518323131;15.311771376;16.084095329;15.787738463
2022-01-19;7823.0;2332200.0;41634025.0;15.814679996;15.778757952;15.715894375;16.326569128;16.030212263
2022-01-20;16364.0;5095800.0;93890573.0;16.856419281;15.895504596;15.697933353;17.036029503;16.542101394
2022-01-21;12027.0;2338900.0;44856681.0;17.062971036;16.667828549;16.515159861;17.565879656;17.215639724
2022-01-24;8191.0;1611000.0;30425858.0;16.955204903;17.305444835;16.703750593;17.449133012;16.955204903
2022-01-25;9788.0;2056300.0;39650491.0;17.467094034;16.721711615;16.640887015;17.673645789;17.314425346
2022-01-26;19740.0;5488200.0;109721296.0;17.85325601;17.781411922;17.673645789;18.338203608;17.952041632
2022-01-27;10703.0;2437900.0;49039509.0;17.961022143;18.068788276;17.745489877;18.454950252;18.059807765
2022-01-28;9363.0;2029200.0;39721189.0;17.763450899;17.628743233;17.332386368;17.835294988;17.574860167
2022-01-31;5945.0;1703500.0;33841981.0;17.961022143;17.952041632;17.610782211;17.961022143;17.835294988
2022-02-01;19088.0;4004600.0;77963795.0;17.314425346;18.410047697;17.269522791;18.410047697;17.476074545
2022-02-02;10444.0;2620900.0;49762570.0;17.09889308;17.332386368;16.685789571;17.619762722;17.045010014
2022-02-03;10729.0;2755600.0;51749331.0;16.838458259;17.188698191;16.506179349;17.458113523;16.856419281
2022-02-04;13560.0;3463100.0;63509912.0;16.793555704;16.613945482;15.976329196;16.874380303;16.461276794
2022-02-07;11374.0;2762500.0;52714561.0;16.955204903;16.703750593;16.703750593;17.314425346;17.134815124
2022-02-08;10259.0;1817800.0;34415753.0;16.910302348;16.883360814;16.775594682;17.215639724;17.000107458
2022-02-09;7675.0;1419600.0;27119963.0;17.071951547;17.062971036;16.658848038;17.395249946;17.152776147
2022-02-10;7339.0;1513900.0;28576877.0;16.766614171;17.188698191;16.730692126;17.278503302;16.946224392
2022-02-11;11134.0;2146300.0;40615454.0;16.820497237;16.901321837;16.524140372;17.314425346;16.991126947
2022-02-14;4599.0;1011700.0;19169220.0;17.080932058;16.84743877;16.820497237;17.296464324;17.009087969
2022-02-15;9299.0;1900200.0;37364078.0;17.978983165;17.116854102;17.116854102;17.978983165;17.655684767
2022-02-16;8258.0;1671100.0;33325666.0;18.140632364;18.014905209;17.664665278;18.140632364;17.907139077
2022-02-17;9045.0;2749600.0;55474021.0;18.050827254;18.149612876;17.907139077;18.383106163;18.113690831
2022-02-18;8754.0;1725000.0;34295011.0;17.871217032;17.996944187;17.664665278;18.050827254;17.85325601
2022-02-21;9269.0;2055200.0;39500700.0;17.053990525;17.844275499;16.946224392;17.898158566;17.251561768
2022-02-22;9132.0;1623000.0;31165726.0;17.188698191;17.314425346;17.071951547;17.476074545;17.242581257
2022-02-23;6475.0;1470600.0;27914167.0;17.053990525;17.242581257;16.838458259;17.395249946;17.045010014
2022-02-24;8720.0;1950900.0;36428681.0;17.062971036;15.985309707;15.859582552;17.404230457;16.766614171
2022-02-25;9483.0;1814700.0;34553352.0;17.395249946;16.92826337;16.721711615;17.395249946;17.09889308
2022-03-02;5704.0;999300.0;19066124.0;17.116854102;17.422191479;16.973165925;17.511996589;17.125834613
2022-03-03;8215.0;1888400.0;36929912.0;17.583840678;17.107873591;16.901321837;17.745489877;17.556899145
2022-03-04;11090.0;2060500.0;38847006.0;16.946224392;17.503016078;16.766614171;17.727528855;16.92826337
2022-03-07;9588.0;1558600.0;28389125.0;16.164919929;16.613945482;16.111036862;16.92826337;16.353510661
2022-03-08;11587.0;1847400.0;33530432.0;16.26370555;16.218802995;15.733855397;16.631906504;16.299627595
2022-03-09;11269.0;1718000.0;32348156.0;17.215639724;16.524140372;16.443315772;17.215639724;16.901321837
2022-03-10;6980.0;1308500.0;24395794.0;17.107873591;17.107873591;16.353510661;17.161756658;16.739672637
2022-03-11;8990.0;2200300.0;40003719.0;16.236764017;17.206659213;15.922446129;17.206659213;16.326569128
2022-03-14;9990.0;2482100.0;43742449.0;15.985309707;16.34453015;15.464440065;16.497198838;15.823660508
2022-03-15;13650.0;3876800.0;67230689.0;15.778757952;15.823660508;15.239927288;15.886524085;15.572206198
2022-03-16;15124.0;4246700.0;74920193.0;16.146958907;15.940407151;15.473420576;16.281666573;15.84162153
2022-03-17;10643.0;2154800.0;38865630.0;16.452296283;16.111036862;15.859582552;16.524140372;16.191861462
2022-03-18;15330.0;3565600.0;66251137.0;16.883360814;16.443315772;16.227783506;17.009087969;16.685789571
2022-03-21;14783.0;3323100.0;60598386.0;16.371471683;16.84743877;16.066134307;16.955204903;16.371471683
2022-03-22;13343.0;2549900.0;47953599.0;16.865399792;16.59598446;16.479237816;17.053990525;16.883360814
2022-03-23;10790.0;2395500.0;45694670.0;17.09889308;16.838458259;16.712731104;17.287483813;17.125834613
2022-03-24;14223.0;4856400.0;94753704.0;18.005924698;17.242581257;16.937243881;18.041846743;17.520977101
2022-03-25;20756.0;4406800.0;91469765.0;18.553735874;18.059807765;17.835294988;19.074605516;18.634560473
2022-03-28;14711.0;2536300.0;52897080.0;18.724365584;18.571696896;18.374125652;18.948878361;18.724365584
2022-03-29;15295.0;3368600.0;72113990.0;19.281157271;18.868053761;18.868053761;19.523631069;19.218293693
2022-03-30;9588.0;1588300.0;33104164.0;18.544755363;19.200332671;18.428008719;19.406884426;18.715385073
2022-03-31;9936.0;1779700.0;36511856.0;18.365145141;18.526794341;18.239417986;18.68844354;18.419028208
2022-04-01;18449.0;3333700.0;71573826.0;19.487709025;18.544755363;18.35616463;19.514650558;19.281157271
2022-04-04;10330.0;2184900.0;47734233.0;19.631397202;19.469748003;19.281157271;19.891832023;19.61343618
2022-04-05;12221.0;2352400.0;51391184.0;19.388923403;19.61343618;19.388923403;19.891832023;19.61343618
2022-04-06;15573.0;2570700.0;54335052.0;19.029702961;19.254215737;18.796209673;19.254215737;18.975819894
2022-04-07;11548.0;1966900.0;42108326.0;19.227274204;18.984800405;18.85907325;19.577514136;19.218293693
2022-04-08;16854.0;2618000.0;56739082.0;19.451786981;19.164410627;19.056644494;19.811007424;19.460767492
2022-04-11;11281.0;1716700.0;36044798.0;18.787229162;19.36198187;18.634560473;19.379942892;18.850092739
2022-04-12;7461.0;1178800.0;24906867.0;18.841112228;18.93989785;18.643540984;19.308098804;18.966839383
2022-04-13;12625.0;2404600.0;50958256.0;19.047663983;19.146449604;18.652521496;19.308098804;19.029702961
2022-04-14;11391.0;2102400.0;43311111.0;18.248398497;18.930917339;18.248398497;18.993780916;18.490872296
2022-04-18;11839.0;2366800.0;48929420.0;18.814170695;18.248398497;17.996944187;19.029702961;18.562716385
2022-04-19;13580.0;2380400.0;49638616.0;19.047663983;18.544755363;18.35616463;19.092566538;18.724365584
2022-04-20;12940.0;2416900.0;51562529.0;19.182371649;19.101547049;18.68844354;19.487709025;19.155430116
2022-04-22;14266.0;2519500.0;51585528.0;18.149612876;18.778248651;18.077768787;19.020722449;18.383106163
2022-04-25;20349.0;4004800.0;79505582.0;18.392086674;18.014905209;17.242581257;18.392086674;17.826314477
2022-04-26;22786.0;4880400.0;100811018.0;18.724365584;18.122671342;18.041846743;18.850092739;18.553735874
2022-04-27;14845.0;2596700.0;54901317.0;18.903975806;18.850092739;18.733346095;19.308098804;18.984800405
2022-04-28;16909.0;2815900.0;59559542.0;19.083586027;18.975819894;18.60761894;19.290137782;18.993780916
2022-04-29;21800.0;4621800.0;99751603.0;18.850092739;19.353001359;18.823151206;20.098383778;19.370962381
2022-05-02;17893.0;3189200.0;64526732.0;18.531776307;18.860418645;18.18487606;19.106900399;18.46787363
2022-05-03;17441.0;2960900.0;59904036.0;18.641323753;18.513518399;18.038812799;18.760000153;18.46787363
2022-05-04;24272.0;4935100.0;98901205.0;18.89693446;18.632194799;17.847104768;19.097771445;18.294423507
2022-05-05;25375.0;5820200.0;112127416.0;17.71017046;18.70522643;17.308496491;18.77825806;17.582365107
2022-05-06;20627.0;4080300.0;78420991.0;17.883620584;17.71017046;17.116788461;17.892749537;17.536720337
2022-05-09;20214.0;3559900.0;67491238.0;17.390657076;17.363270214;17.080272645;17.63713883;17.299367537
2022-05-10;18534.0;3609400.0;70189201.0;17.764944184;17.527591384;17.436301845;18.047941753;17.746686276
2022-05-11;16531.0;3240000.0;62286103.0;17.554978245;17.810588953;17.345012307;17.892749537;17.545849291
2022-05-12;22698.0;4145700.0;80064746.0;17.99316803;17.418043937;17.071143691;18.102715476;17.628009876
2022-05-13;20097.0;3999300.0;81311853.0;18.568292122;18.038812799;17.99316803;19.079513537;18.559163168
2022-05-16;10898.0;1952300.0;40242897.0;18.760000153;18.623065845;18.458744676;19.097771445;18.814773876
2022-05-17;22906.0;4783000.0;101513391.0;19.362511107;19.033868768;18.969966091;19.755056122;19.37164006
2022-05-18;17171.0;2842800.0;58308772.0;18.860418645;19.243834707;18.486131537;19.344253199;18.723484337
2022-05-19;22100.0;3801300.0;79744186.0;18.969966091;18.869547599;18.677839568;19.53596123;19.143416214
2022-05-20;15924.0;2913100.0;60748445.0;18.94257923;19.225576799;18.732613291;19.499445414;19.033868768
2022-05-23;15160.0;2537900.0;53133296.0;19.17993203;19.042997722;18.951708184;19.325995291;19.106900399
2022-05-24;11825.0;1997600.0;41368172.0;18.89693446;19.01561086;18.650452707;19.289479476;18.89693446
2022-05-25;11682.0;1962400.0;40692071.0;18.860418645;18.787387014;18.641323753;19.234705753;18.924321322
2022-05-26;14241.0;5433900.0;110844615.0;18.623065845;18.89693446;18.385713045;18.960837137;18.613936891
2022-05-27;10157.0;1518100.0;30881417.0;18.486131537;18.623065845;18.34919723;18.82390283;18.568292122
2022-05-30;8827.0;1557700.0;31519600.0;18.495260491;18.686968522;18.212262922;18.960837137;18.46787363
2022-05-31;12027.0;2673500.0;53411035.0;18.11184443;18.604807937;17.99316803;18.878676553;18.23052083
2022-06-01;23856.0;5877100.0;113591582.0;17.664525691;17.892749537;17.408914984;18.139231291;17.63713883
2022-06-02;12225.0;3402300.0;66564551.0;17.984039076;17.87449163;17.664525691;18.148360245;17.856233722
2022-06-03;11002.0;1739200.0;34075728.0;17.847104768;17.883620584;17.63713883;18.157489199;17.883620584
2022-06-06;7918.0;1368000.0;26584944.0;17.545849291;17.847104768;17.545849291;18.029683845;17.737557322
2022-06-07;10626.0;1773500.0;33535456.0;17.226335907;17.527591384;17.007241014;17.527591384;17.253722768
2022-06-08;11589.0;1755400.0;32942212.0;16.943338337;16.988983107;16.861177753;17.372399168;17.125917414
2022-06-09;18736.0;2907600.0;54115535.0;16.815532984;16.934209384;16.651211814;17.208077999;16.988983107
2022-06-10;17303.0;3243700.0;59710740.0;16.705985537;16.92508043;16.459503784;17.025498922;16.797275076
2022-06-13;17839.0;3001900.0;53213248.0;16.240408891;16.541664368;15.984798183;16.559922276;16.176506214
2022-06-14;15983.0;2495000.0;44288332.0;16.139990399;16.194764122;15.966540276;16.404730061;16.203893076
2022-06-15;23102.0;3656900.0;66903021.0;16.578180184;16.377343199;16.249537845;17.025498922;16.696856584
2022-06-17;19256.0;4062000.0;73227607.0;16.642082861;16.313440522;16.085216676;16.788146122;16.459503784
2022-06-20;10795.0;2334400.0;41817033.0;16.413859014;16.623824953;16.139990399;16.751630307;16.349956338
2022-06-21;10040.0;1730700.0;31179076.0;16.340827384;16.514277507;16.203893076;16.669469722;16.441245876
2022-06-22;15067.0;2267900.0;41272319.0;16.824661937;16.222150984;16.185635168;16.906822522;16.614695999
2022-06-23;8360.0;1299200.0;23882798.0;16.80640403;16.852048799;16.559922276;17.062014737;16.779017168
2022-06-24;12539.0;2191300.0;39714658.0;16.705985537;16.943338337;16.313440522;16.943338337;16.541664368
2022-06-27;6771.0;1213100.0;22238067.0;16.824661937;16.705985537;16.477761691;16.824661937;16.733372399
2022-06-28;14235.0;2390300.0;43735158.0;16.705985537;16.897693568;16.486890645;16.970725199;16.696856584
2022-06-29;15783.0;2800900.0;51143652.0;16.623824953;16.705985537;16.441245876;16.92508043;16.660340768
2022-06-30;12984.0;2585000.0;46326294.0;16.422987968;16.386472153;16.076087722;16.514277507;16.359085291
2022-07-01;19089.0;3725200.0;66525548.0;16.632953907;16.167377261;16.003056091;16.632953907;16.295182614
2022-07-04;7868.0;1279900.0;23390779.0;16.632953907;16.523406461;16.304311568;16.824661937;16.678598676
2022-07-05;9957.0;1505200.0;27079288.0;16.587309138;16.441245876;16.158248307;16.605567045;16.422987968
2022-07-06;23436.0;4514500.0;84698109.0;17.317625445;16.578180184;16.578180184;17.363270214;17.125917414
2022-07-07;14129.0;2513900.0;48655150.0;17.655396737;17.500204522;17.418043937;17.847104768;17.664525691
2022-07-08;15173.0;3143700.0;61499842.0;17.94752326;17.737557322;17.682783599;18.11184443;17.856233722
2022-07-11;10081.0;1972500.0;38048973.0;17.491075568;17.774073137;17.436301845;17.929265353;17.600623014
2022-07-12;13177.0;1797600.0;34217191.0;17.418043937;17.491075568;17.16243323;17.728428368;17.372399168
2022-07-13;11776.0;1687600.0;31879347.0;17.080272645;17.144175322;17.071143691;17.463688707;17.244593814
2022-07-14;13539.0;2585900.0;47988381.0;16.724243445;17.034627876;16.696856584;17.198949045;16.934209384
2022-07-15;13183.0;2951100.0;54561847.0;16.979854153;16.788146122;16.459503784;17.052885784;16.870306707
2022-07-18;19099.0;3285900.0;62304476.0;17.299367537;17.189820091;16.970725199;17.527591384;17.308496491
2022-07-19;7568.0;1274000.0;24314722.0;17.39978603;17.445430799;17.217206953;17.774073137;17.418043937
2022-07-20;10047.0;1704100.0;32126712.0;17.226335907;17.317625445;17.071143691;17.418043937;17.208077999
2022-07-21;13403.0;2464100.0;45556131.0;16.879435661;17.080272645;16.68772763;17.144175322;16.870306707
2022-07-22;15704.0;2877600.0;54079423.0;17.226335907;16.961596245;16.870306707;17.408914984;17.153304276
2022-07-25;8415.0;1397300.0;26452015.0;17.116788461;17.326754399;17.080272645;17.573236153;17.28110963
2022-07-26;11219.0;1786900.0;33233449.0;16.998112061;17.189820091;16.833790891;17.217206953;16.970725199
2022-07-27;11912.0;2160200.0;41828061.0;17.920136399;17.116788461;17.107659507;18.011425937;17.673654645
2022-07-28;16734.0;2701200.0;53652752.0;18.212262922;17.865362676;17.792331045;18.358326184;18.130102337
2022-07-29;11863.0;1925700.0;38148722.0;18.038812799;18.285294553;17.719299414;18.376584091;18.084457568
2022-08-01;16406.0;2519000.0;50272010.0;18.120973384;17.94752326;17.883620584;18.504389445;18.212262922
2022-08-02;9956.0;1765000.0;35046265.0;18.203133968;18.11184443;17.929265353;18.276165599;18.120973384
2022-08-03;21177.0;4277600.0;86439659.0;18.650452707;17.883620584;17.801459999;18.842160737;18.440486768
2022-08-04;26066.0;4990400.0;106335596.0;19.672895537;18.842160737;18.842160737;19.745927168;19.444671691
2022-08-05;13560.0;2357800.0;50301224.0;19.389897968;19.627250768;19.161674122;19.764185076;19.472058553
2022-08-08;14265.0;2885400.0;61783831.0;19.572477045;19.508574368;19.353382153;19.955893107;19.545090183
2022-08-09;15490.0;2761300.0;58779629.0;19.362511107;19.636379722;19.106900399;19.955893107;19.426413783
2022-08-10;17424.0;3899800.0;84131955.0;19.736798214;19.736798214;19.408155876;19.992408922;19.691153445
2022-08-11;9953.0;1825600.0;38865282.0;19.280350522;19.718540307;19.170803076;19.855474614;19.426413783
2022-08-12;12133.0;2340900.0;49421172.0;19.243834707;19.499445414;19.143416214;19.672895537;19.262092614
2022-08-15;21618.0;4668300.0;97921753.0;19.170803076;19.243834707;18.997352953;19.37164006;19.143416214
2022-08-16;17445.0;3624200.0;75352508.0;19.079513537;19.234705753;18.814773876;19.234705753;18.979095045
