Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-02-10;1.0;14.0;8000.0;445.00504558;445.00504558;445.00504558;445.00504558;445.00504558
2000-02-21;1.0;14.0;7000.0;389.37941489;389.37941489;389.37941489;389.37941489;389.37941489
2000-08-23;1.0;14.0;7000.0;389.37941489;389.37941489;389.37941489;389.37941489;389.37941489
2007-05-17;1.0;140.0;2500.0;15.903948817;15.903948817;15.903948817;15.903948817;15.903948817
2007-05-18;1.0;140.0;4999.0;31.801536055;31.801536055;31.801536055;31.801536055;31.801536055
2007-08-01;3.0;2380.0;52078.0;19.727258113;19.275585966;19.275585966;19.727258113;19.485518091
2007-08-03;2.0;280.0;10195.0;32.444055587;32.412247689;32.412247689;32.444055587;32.431332428
2007-08-08;1.0;140.0;5095.0;32.412247689;32.412247689;32.412247689;32.412247689;32.412247689
2007-08-31;1.0;140.0;4000.0;25.446318108;25.446318108;25.446318108;25.446318108;25.446318108
2007-10-16;1.0;140.0;10000.0;63.615795269;63.615795269;63.615795269;63.615795269;63.615795269
2008-04-30;16.0;20020.0;411910.0;19.084738581;17.176264723;17.176264723;19.084738581;18.321349037
2008-05-02;10.0;7840.0;217976.0;22.252805185;25.446318108;22.252805185;25.446318108;24.759267519
2008-05-05;3.0;980.0;25500.0;22.901686297;22.901686297;22.901686297;24.810160155;23.175234216
2008-05-06;2.0;420.0;10800.0;22.901686297;22.901686297;22.901686297;22.901686297;22.901686297
2008-05-07;6.0;980.0;24600.0;21.629370391;24.174002202;21.629370391;24.174002202;22.354590458
2008-05-08;157.0;269500.0;5681412.0;19.402817557;19.727258113;18.448580628;20.03897551;18.773021184
2008-05-09;121.0;112420.0;2467129.0;19.918105499;19.848128124;19.084738581;20.57334819;19.542772307
2008-05-12;18.0;13580.0;304603.0;19.593664943;20.03897551;19.402817557;20.045337089;19.975359714
2008-05-13;70.0;87220.0;1920725.0;19.720896533;19.339201762;19.167439115;20.026252351;19.612749681
2008-05-14;185.0;235340.0;5767577.0;23.53784425;19.593664943;19.466433352;24.174002202;21.826579357
2008-05-15;110.0;212380.0;6011109.0;26.648656638;24.174002202;23.53784425;27.354791966;25.204578086
2008-05-16;48.0;74900.0;2255146.0;27.354791966;26.591402422;25.446318108;27.354791966;26.814057706
2008-05-19;28.0;63840.0;1942795.0;27.984588339;26.718634013;26.718634013;28.245413099;27.106690364
2008-05-21;22.0;81340.0;2526219.0;29.263265824;28.309028895;27.036712989;29.263265824;27.660147783
2008-05-27;12.0;6440.0;203131.0;28.614384712;27.672870942;27.036712989;29.199650028;28.092735191
2008-05-28;24.0;173600.0;5636661.0;29.256904244;28.627107871;28.49987628;29.256904244;28.919740529
2008-05-29;13.0;49420.0;1623675.0;29.263265824;29.256904244;29.256904244;30.52922015;29.263265824
2008-05-30;55.0;35420.0;1295217.0;33.398292516;29.899423776;29.899423776;34.988687398;32.564925598
2008-06-02;11.0;8400.0;357190.0;34.995048977;38.156754002;34.995048977;38.156754002;37.870482924
2008-06-03;39.0;19180.0;797522.0;36.897161256;35.63120693;35.624845351;38.163115582;37.030754426
2008-06-04;11.0;13860.0;560074.0;37.533319209;36.890799676;34.995048977;37.533319209;35.987455384
2008-06-05;10.0;1680.0;70030.0;37.845036605;37.533319209;35.624845351;37.851398185;37.126178119
2008-06-06;24.0;40460.0;1699925.0;38.156754002;37.399726039;37.399726039;38.156754002;37.418810777
2008-06-09;9.0;4200.0;176046.0;37.533319209;36.903522836;36.890799676;37.845036605;37.329748664
2008-06-10;5.0;1400.0;58887.0;37.533319209;37.157986017;37.157986017;37.533319209;37.463341834
2008-06-12;11.0;2380.0;101277.0;37.533319209;37.463341834;37.463341834;39.435431487;37.895929242
2008-06-13;4.0;2660.0;111760.0;37.469703413;37.215240232;37.215240232;37.469703413;37.418810777
2008-06-16;11.0;12740.0;532289.0;38.805635114;37.533319209;36.267364883;38.805635114;37.208878653
2008-06-17;9.0;4200.0;182129.0;39.12371409;36.903522836;36.903522836;39.12371409;38.621149308
2008-06-18;7.0;2380.0;105379.0;39.441793067;39.435431487;39.429069908;39.441793067;39.435431487
2008-06-19;7.0;3500.0;152997.0;39.12371409;39.117352511;38.169477161;39.12371409;38.932866705
2008-06-20;44.0;20860.0;976703.0;44.51197195;38.799273535;38.799273535;44.531056688;41.700153799
2008-06-23;2.0;560.0;28070.0;45.167214641;44.467440893;44.467440893;45.167214641;44.64556512
2008-06-25;2.0;420.0;20696.0;44.518333529;42.62258283;42.62258283;44.518333529;43.888537156
2008-06-30;6.0;2380.0;119600.0;44.531056688;43.576819759;43.576819759;47.711846452;44.753711972
2008-07-03;11.0;12460.0;602987.0;44.467440893;43.576819759;41.350266925;44.467440893;43.099701295
2008-07-04;2.0;280.0;13500.0;42.940661806;42.940661806;42.940661806;42.940661806;42.940661806
2008-07-07;16.0;6580.0;304750.0;42.877046011;39.441793067;38.169477161;43.195124988;41.248481652
2008-07-08;2.0;2520.0;115460.0;41.28665113;40.777724767;40.777724767;41.28665113;40.803171085
2008-07-10;8.0;2660.0;122762.0;42.558967035;39.12371409;39.12371409;42.558967035;41.102165323
2008-07-11;2.0;4340.0;207370.0;42.431735444;42.558967035;42.431735444;42.558967035;42.552605455
2008-07-14;4.0;2240.0;106078.0;42.870684432;41.986424877;41.986424877;42.870684432;42.177272263
2008-07-15;4.0;2380.0;113790.0;43.83128294;42.304503854;42.304503854;43.83128294;42.584413353
2008-07-17;5.0;3500.0;167145.0;42.940661806;41.668345901;41.350266925;42.940661806;42.533520717
2008-07-22;14.0;5880.0;278892.0;42.940661806;41.986424877;40.714108972;42.940661806;42.240888059
2008-07-24;3.0;1260.0;60385.0;42.940661806;40.714108972;40.714108972;42.940661806;42.679837046
2008-07-25;3.0;1540.0;71050.0;43.258740783;39.441793067;39.441793067;43.258740783;41.089442164
2008-07-31;19.0;12880.0;609918.0;42.62258283;42.552605455;40.116120497;42.62258283;42.177272263
2008-08-04;7.0;2660.0;123640.0;41.980063298;40.103397338;40.077951019;42.62258283;41.394797981
2008-08-05;1.0;1680.0;79200.0;41.986424877;41.986424877;41.986424877;41.986424877;41.986424877
2008-08-06;6.0;7000.0;329955.0;41.980063298;41.980063298;41.980063298;41.986424877;41.980063298
2008-08-07;2.0;2100.0;98967.0;41.922809082;41.980063298;41.922809082;41.980063298;41.973701718
2008-08-11;10.0;2100.0;96013.0;41.980063298;39.467239385;39.441793067;41.980063298;40.720470552
2008-08-12;9.0;3220.0;145813.0;41.331182186;39.759872043;39.441793067;41.331182186;40.332414201
2008-08-13;19.0;10220.0;446535.0;40.396029996;39.467239385;35.879308532;40.714108972;38.913781966
2008-08-14;1.0;280.0;12690.0;40.364222098;40.364222098;40.364222098;40.364222098;40.364222098
2008-08-18;12.0;4760.0;210987.0;40.077951019;39.187329886;38.805635114;40.268798405;39.479962544
2008-08-19;20.0;8260.0;359992.0;38.799273535;38.831081432;38.487556138;40.07158944;38.818358273
2008-08-20;10.0;2240.0;97772.0;39.060098295;40.07158944;38.169477161;40.07158944;38.875612489
2008-08-21;15.0;6300.0;276361.0;38.417578763;40.268798405;38.163115582;41.350266925;39.066459875
2008-08-25;3.0;980.0;41035.0;37.501511311;37.215240232;36.897161256;37.501511311;37.291579187
2008-08-27;7.0;15820.0;659022.0;37.145262858;34.352529445;34.352529445;37.342471823;37.100731801
2008-08-28;1.0;560.0;23516.0;37.399726039;37.399726039;37.399726039;37.399726039;37.399726039
2008-09-01;5.0;18480.0;761450.0;36.865353358;36.897161256;36.261003303;36.897161256;36.699952291
2008-09-02;4.0;5040.0;208800.0;36.897161256;36.897161256;36.897161256;36.897161256;36.897161256
