Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-02-03;0.0;0.0;0.0;13.17104713;13.17104713;13.17104713;13.17104713;13.17104713
2021-02-04;59999.0;25822600.0;492087713.0;16.507712403;15.470753772;15.144613557;17.00946658;15.9306951
2021-02-05;30600.0;9757300.0;198928731.0;16.725139213;16.716776643;16.641513517;17.686834718;17.042916858
2021-02-08;15021.0;4609700.0;89236357.0;16.131396771;16.892390605;15.663092873;16.892390605;16.181572189
2021-02-09;10087.0;3077700.0;58300933.0;16.725139213;16.131396771;15.261689531;16.725139213;15.838706834
2021-02-10;9498.0;2997900.0;57403307.0;16.307010733;16.482624694;15.571104607;16.708414074;16.005958227
2021-02-11;8207.0;3171100.0;60784195.0;16.248472746;16.123034201;15.738355999;16.281923024;16.022683366
2021-02-12;6269.0;1712100.0;33892388.0;16.700051504;16.039408505;15.788531417;16.817127479;16.549525251
2021-02-17;2393.0;475200.0;9402657.0;16.658238656;16.725139213;16.390636429;16.766952061;16.541162682
2021-02-18;3924.0;1094200.0;21665209.0;16.683326365;16.641513517;16.198297328;16.725139213;16.557887821
2021-02-19;3510.0;801900.0;16006069.0;16.716776643;16.641513517;16.398998998;16.80040234;16.691688935
2021-02-22;5801.0;1230800.0;23780809.0;16.206659897;16.323735872;15.913969961;16.507712403;16.15648448
2021-02-23;1573.0;666400.0;12879682.0;16.215022467;16.097946493;15.980870518;16.248472746;16.15648448
2021-02-24;4434.0;1653300.0;31317311.0;15.872157113;16.123034201;15.470753772;16.215022467;15.838706834
2021-02-25;3493.0;1027400.0;19328594.0;15.780168847;16.056133645;15.470753772;16.215022467;15.729993429
2021-02-26;3527.0;1246700.0;23103479.0;15.888882252;15.763443708;14.893736469;15.888882252;15.49584148
2021-03-01;3497.0;925900.0;17074264.0;15.420578354;15.880519682;15.094438139;15.880519682;15.420578354
2021-03-02;3209.0;810400.0;14450274.0;15.111163279;15.403853215;14.534145976;15.403853215;14.910461608
2021-03-03;5276.0;1753000.0;30446111.0;14.718122507;14.968999595;14.090929787;15.102800709;14.517420836
2021-03-04;5992.0;1469800.0;26551166.0;15.529291759;14.676309659;14.375257153;15.529291759;15.102800709
2021-03-05;3129.0;923200.0;16851848.0;15.771806277;15.470753772;14.810110773;15.771806277;15.261689531
2021-03-08;1537.0;610900.0;11084172.0;15.060987861;15.378765506;15.060987861;15.529291759;15.169701266
2021-03-09;3270.0;878100.0;15348546.0;14.492333128;15.069350431;14.325081736;15.387128076;14.609409102
2021-03-10;9128.0;2441200.0;40940090.0;14.216368331;14.693034798;13.59753818;14.693034798;14.02402923
2021-03-11;3029.0;1284900.0;22098921.0;14.843561051;14.099292356;13.948766103;14.843561051;14.375257153
2021-03-12;2459.0;814600.0;15083359.0;15.830344265;14.634496811;14.483970558;16.031045936;15.479116341
2021-03-15;4759.0;1845700.0;35260325.0;16.139759341;15.888882252;15.763443708;16.440811846;15.972507948
2021-03-16;3476.0;980800.0;18705083.0;16.097946493;16.139759341;15.805256556;16.139759341;15.947420239
2021-03-17;4325.0;865100.0;16636781.0;16.298648163;16.181572189;15.830344265;16.36554872;16.081221353
2021-03-18;3585.0;712200.0;13523859.0;15.888882252;16.298648163;15.604554885;16.298648163;15.872157113
2021-03-19;2046.0;903700.0;17179677.0;15.9306951;15.888882252;15.646367733;16.164847049;15.897244822
2021-03-22;2866.0;1105200.0;21193815.0;15.964145378;15.9306951;15.805256556;16.390636429;16.031045936
2021-03-23;12926.0;5820500.0;118586867.0;17.6366593;16.507712403;16.340461011;18.046425211;17.034554289
2021-03-24;6810.0;2566500.0;54382167.0;17.619934161;17.6366593;17.059641997;18.222039173;17.711922427
2021-03-25;5791.0;3640800.0;74276815.0;17.059641997;17.628296731;16.7836772;17.837360971;17.059641997
2021-03-26;3876.0;1078600.0;21337300.0;16.474262125;17.101454845;16.15648448;17.151630263;16.541162682
2021-03-29;2388.0;741900.0;14829746.0;16.80040234;16.499349834;16.181572189;17.084729706;16.708414074
2021-03-30;2621.0;1236600.0;24780581.0;16.976016301;16.934203453;16.465899555;17.084729706;16.750226922
2021-03-31;5350.0;1295900.0;26272020.0;17.051279428;16.900753175;16.566250391;17.101454845;16.950928592
2021-04-01;11312.0;3703000.0;78299632.0;17.670109579;17.561396174;17.251981098;18.029700072;17.678472148
2021-04-05;3613.0;1393700.0;29125777.0;17.569758743;17.670109579;17.143267693;17.670109579;17.469407908
2021-04-06;2840.0;621500.0;12931601.0;17.285431377;17.553033604;17.226893389;17.561396174;17.394144782
2021-04-07;4412.0;1251200.0;25333695.0;16.892390605;17.293793946;16.775314631;17.42759506;16.925840884
2021-04-08;2698.0;579700.0;11832367.0;17.134905124;17.068004567;16.875665466;17.226893389;17.068004567
2021-04-09;4317.0;1826900.0;38539490.0;17.971162084;17.126542554;16.775314631;18.038062641;17.6366593
2021-04-12;4897.0;1702300.0;37087703.0;18.640167653;18.146776046;17.502858186;18.640167653;18.213676603
2021-04-13;3551.0;870800.0;19205669.0;18.347477717;18.548179387;18.27221459;18.865957032;18.439465982
2021-04-14;4183.0;1446300.0;31434424.0;18.163501185;18.431103413;17.828998401;18.564904527;18.171863755
2021-04-15;7276.0;2430200.0;55079362.0;19.451336905;18.188588894;18.188588894;19.518237462;18.949582728
2021-04-16;4413.0;1012500.0;23093864.0;19.024845855;19.451336905;18.865957032;19.54332517;19.066658703
2021-04-19;4350.0;1129100.0;25257026.0;18.815781615;19.033208424;18.464553691;19.116834121;18.69870564
2021-04-20;4616.0;963300.0;21394577.0;18.48127883;18.732155919;18.188588894;19.359348639;18.564904527
2021-04-22;2230.0;644000.0;14142070.0;18.397653134;18.615079944;18.104963198;18.715430779;18.355840286
2021-04-23;4051.0;1143200.0;25306766.0;18.564904527;18.48127883;18.247126881;18.715430779;18.506366539
2021-04-26;3473.0;794900.0;17533591.0;18.247126881;19.058296133;18.113325768;19.108471551;18.439465982
2021-04-27;4127.0;1149600.0;25172550.0;18.247126881;18.314027438;17.661747009;18.732155919;18.305664869
2021-04-28;2797.0;644600.0;14169968.0;18.506366539;18.27221459;18.06315035;18.623442514;18.380927995
2021-04-29;3848.0;1691000.0;37779596.0;18.690343071;18.715430779;18.48127883;18.949582728;18.681980501
2021-04-30;1615.0;543100.0;12206841.0;18.857594463;18.631805083;18.414378274;18.999758146;18.790693906
2021-05-03;5546.0;1456100.0;33782540.0;19.33426093;18.865957032;18.799056475;19.836015107;19.401161487
2021-05-04;3992.0;1046400.0;24583181.0;19.643676006;19.55168774;19.376073778;20.120342473;19.643676006
2021-05-05;5132.0;1406400.0;33832343.0;20.262506157;19.836015107;19.593500588;20.379582131;20.111979904
2021-05-06;4005.0;1186200.0;28830056.0;20.563558662;20.337769283;19.911278233;20.839523459;20.321044144
2021-05-07;3257.0;705800.0;17440230.0;20.755897763;20.605371511;20.153792752;20.906424016;20.655546928
2021-05-10;5848.0;1553500.0;38082688.0;20.780985472;20.923149156;19.735664271;21.015137421;20.496658106
2021-05-11;5339.0;1684300.0;41547821.0;20.906424016;20.780985472;19.727301702;21.123850826;20.62209665
2021-05-12;7567.0;2194400.0;53994414.0;20.571921232;20.780985472;20.162155321;21.107125687;20.571921232
2021-05-13;3166.0;916000.0;22562307.0;20.655546928;20.697359776;20.245781017;20.864611168;20.597008941
2021-05-14;5523.0;1704600.0;42976254.0;21.240926801;20.872973738;20.789348042;21.424903332;21.082037978
2021-05-17;3223.0;754400.0;19056085.0;20.914786586;21.240926801;20.914786586;21.67578042;21.115488257
2021-05-18;4510.0;1333500.0;34048975.0;21.332915066;20.956599434;20.956599434;21.709230699;21.349640205
2021-05-19;4176.0;1977800.0;50528608.0;21.659055281;21.165663674;21.115488257;21.700868129;21.358002775
2021-05-20;10107.0;5038100.0;135308123.0;22.578937938;21.608879863;21.608879863;22.863265304;22.453499394
2021-05-21;8303.0;2412900.0;65222907.0;22.905078152;22.578937938;22.244435153;23.247943506;22.604025646
2021-05-24;5761.0;2508800.0;68591605.0;22.829815026;22.913440722;22.662563634;23.16431781;22.863265304
2021-05-25;4747.0;1211700.0;33431217.0;23.314844063;22.871627874;22.846540165;23.482095455;23.072329544
2021-05-26;8384.0;3944300.0;106376175.0;22.595663077;23.298118924;22.169172027;23.323206633;22.545487659
2021-05-27;6307.0;2441600.0;65526934.0;22.31969828;22.629113355;22.31969828;22.888353013;22.436774254
2021-05-28;9252.0;2408100.0;66073999.0;22.888353013;22.888353013;22.570575368;23.415194898;22.938528431
2021-05-31;12118.0;3734500.0;105336941.0;23.749697683;23.189405519;23.17268038;24.335077555;23.58244629
2021-06-01;16220.0;5357000.0;149001705.0;23.448645177;23.942036783;22.729464191;24.142738454;23.256306076
2021-06-02;9913.0;2406200.0;70053490.0;24.335077555;23.682797126;23.682797126;24.811744023;24.343440125
2021-06-04;8603.0;1775600.0;52354637.0;24.978995415;24.519054086;24.251451859;25.07098368;24.66121777
2021-06-07;8615.0;1864700.0;56106122.0;25.280047921;24.978995415;24.920457427;25.438936743;25.154609376
2021-06-08;9885.0;2168800.0;65089308.0;25.096071389;25.355311047;24.519054086;25.372036186;25.096071389
2021-06-09;4842.0;1011600.0;30073307.0;24.594317213;25.196422224;24.594317213;25.397123895;24.853556871
2021-06-10;3555.0;796600.0;23571519.0;24.703030618;24.820106592;24.585954643;25.029170832;24.744843466
2021-06-11;5255.0;1334300.0;39970641.0;24.836831731;24.962270276;24.694668048;25.430574173;25.045895972
2021-06-14;6320.0;2211100.0;64860070.0;24.418703251;24.878644579;24.01729991;25.171334516;24.527416656
2021-06-15;8278.0;1887700.0;54496948.0;23.875136227;24.485603808;23.749697683;24.795018883;24.134375884
2021-06-16;9027.0;2142500.0;60615129.0;23.632621708;23.916949075;23.239580937;24.251451859;23.657709417
2021-06-17;5116.0;944400.0;26528080.0;23.415194898;23.707884835;23.256306076;23.833323379;23.482095455
2021-06-18;5469.0;2681400.0;74263299.0;23.055604405;23.448645177;22.829815026;23.674434556;23.15595524
2021-06-21;4606.0;1166900.0;32656196.0;23.741335113;23.16431781;22.997066418;23.741335113;23.398469759
2021-06-22;7573.0;2087600.0;60903846.0;24.937182567;23.833323379;23.649346847;24.937182567;24.401978112
2021-06-23;4768.0;1147000.0;34143005.0;24.937182567;25.020808263;24.410340681;25.238235073;24.887007149
2021-06-24;2614.0;735800.0;21627036.0;24.703030618;25.004083124;24.309989846;25.104433959;24.577592074
2021-06-25;4373.0;1293600.0;37332301.0;24.176188732;24.769931175;23.674434556;24.836831731;24.126013315
2021-06-28;2990.0;858000.0;24773769.0;24.368527833;24.251451859;23.875136227;24.410340681;24.142738454
2021-06-29;7202.0;1639700.0;46536635.0;23.992212201;24.460516099;23.189405519;24.769931175;23.732972543
2021-06-30;4683.0;2165200.0;61774500.0;24.000574771;23.942036783;23.239580937;24.075837897;23.858411087
2021-07-01;4341.0;1869600.0;52254021.0;23.666071986;23.791510531;23.097417253;23.80823567;23.365019481
2021-07-02;3907.0;952600.0;26788494.0;23.448645177;23.58244629;23.365019481;23.850048518;23.515545734
2021-07-05;6184.0;1818300.0;49667801.0;22.896715583;23.448645177;22.495312242;23.482095455;22.838177595
2021-07-06;6381.0;1169700.0;31966165.0;22.921803292;22.896715583;22.696013912;23.063966975;22.846540165
2021-07-07;3583.0;1080900.0;29595771.0;23.080692114;22.997066418;22.302973141;23.247943506;22.896715583
2021-07-08;4311.0;1227000.0;33129146.0;22.578937938;22.846540165;22.286248001;22.846540165;22.578937938
2021-07-12;5044.0;1370600.0;37558740.0;23.197768089;23.15595524;22.369873697;23.331569202;22.913440722
2021-07-13;3057.0;604400.0;16652339.0;23.16431781;23.147592671;22.679288773;23.256306076;23.038879266
2021-07-14;3772.0;1434700.0;40230011.0;23.557358582;23.089054684;23.047241836;23.674434556;23.448645177
2021-07-15;5882.0;1319900.0;36742896.0;23.390107189;23.557358582;22.938528431;23.933674214;23.273031215
2021-07-16;3475.0;751900.0;21103053.0;23.615896569;23.37338205;23.147592671;23.674434556;23.465370316
2021-07-19;4145.0;1294100.0;36329810.0;23.473732886;23.415194898;23.16431781;23.774785391;23.473732886
2021-07-20;2156.0;742700.0;20796108.0;23.415194898;23.482095455;23.105779823;23.766422822;23.415194898
2021-07-21;6095.0;2241300.0;62042156.0;23.415194898;23.498820594;22.754551899;23.565721151;23.147592671
2021-07-22;3434.0;1049000.0;29262310.0;23.365019481;23.331569202;23.080692114;23.473732886;23.323206633
2021-07-23;3451.0;750100.0;20790345.0;23.314844063;23.448645177;22.846540165;23.448645177;23.17268038
2021-07-26;4911.0;1438100.0;39173652.0;22.662563634;23.139230101;22.604025646;23.264668645;22.771277039
2021-07-27;4812.0;1392300.0;36886145.0;22.420049115;22.679288773;21.843031812;22.762914469;22.152446888
2021-07-28;7371.0;1616200.0;43832447.0;23.055604405;22.578937938;21.935020078;23.080692114;22.679288773
