Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2017-07-28;0.0;0.0;0.0;224.56551758;224.56551758;224.56551758;224.56551758;224.56551758
2017-07-31;14092.0;1110350.0;318090881.0;241.46563913;232.97435855;231.40800582;244.02126727;236.18950362
2017-08-01;6253.0;380360.0;112291163.0;242.37247492;243.85638803;241.46563913;244.84566344;243.36175033
2017-08-02;3101.0;112590.0;32971542.0;242.78467301;242.37247492;239.81684678;243.03199186;241.38319951
2017-08-03;2089.0;67500.0;19786752.0;241.87783722;241.13588066;240.22904487;242.86711262;241.63051836
2017-08-04;5031.0;232100.0;67498036.0;234.95290936;244.02126727;234.29339242;246.98909349;239.73440717
2017-08-07;5411.0;162800.0;46695495.0;235.36510745;238.25049405;234.95290936;239.8992864;236.43682247
2017-08-08;3343.0;200990.0;57129219.0;232.06752276;237.26121865;230.91336811;237.26121865;234.29339242
2017-08-09;3786.0;155030.0;42939981.0;228.76993806;232.47972084;225.1425949;233.30411702;228.35773998
2017-08-10;3591.0;64230.0;18037140.0;232.80947931;228.27530036;227.36846457;234.21095281;231.49044543
2017-08-11;1369.0;37170.0;10544618.0;234.12851319;234.21095281;230.8309285;235.44754707;233.88119434
2017-08-14;1150.0;32810.0;9303644.0;234.12851319;235.36510745;231.3255662;235.36510745;233.79875472
2017-08-15;811.0;55670.0;15807834.0;234.12851319;235.36510745;233.38655663;235.36510745;234.12851319
2017-08-16;1688.0;108810.0;30961772.0;234.95290936;234.12851319;230.08897194;235.69486592;234.54071128
2017-08-17;567.0;189590.0;53767128.0;232.89191893;234.95290936;232.47972084;235.20022821;233.79875472
2017-08-18;1296.0;250720.0;71106192.0;234.95290936;233.30411702;230.91336811;235.36510745;233.79875472
2017-08-21;2077.0;197290.0;56377539.0;235.94218477;235.03534898;229.51189462;236.51926209;235.6124263
2017-08-22;1591.0;35450.0;10114654.0;234.95290936;235.94218477;233.63387548;236.60170171;235.20022821
2017-08-23;2674.0;53110.0;14924525.0;231.40800582;234.95290936;230.50117003;235.03534898;231.65532467
2017-08-24;3925.0;380870.0;107923145.0;239.07489023;233.13923778;228.60505883;239.07489023;233.55143587
2017-08-25;2183.0;152390.0;44593145.0;245.67005961;238.41537329;237.09633941;245.67005961;241.21832028
2017-08-28;3718.0;175020.0;52796844.0;249.37984239;246.16469732;243.19687109;250.03935933;248.63788584
2017-08-29;2062.0;85030.0;25854580.0;248.72032545;248.72032545;244.02126727;253.66670249;250.61643665
2017-08-30;1557.0;49470.0;14881768.0;249.79204048;250.20423857;245.01054267;250.45155742;247.9783689
2017-08-31;537.0;18550.0;5569657.0;247.31885196;247.9783689;246.32957655;250.03935933;247.48373119
2017-09-01;2783.0;78370.0;23373631.0;245.34030114;247.40129158;244.1861465;248.14324813;245.83493885
2017-09-04;887.0;20650.0;6191809.0;247.31885196;245.67005961;244.84566344;248.55544622;247.15397273
2017-09-05;1692.0;193630.0;58413579.0;249.79204048;247.31885196;246.65933502;251.35839321;248.63788584
2017-09-06;3702.0;84180.0;25919879.0;253.74914211;251.44083283;251.44083283;255.56281369;253.83158173
2017-09-08;7548.0;223540.0;69796849.0;259.68479456;256.79940795;255.39793446;262.07554346;257.37648527
2017-09-11;2837.0;91390.0;28833552.0;260.3443115;259.68479456;258.11844183;262.15798308;260.09699264
2017-09-12;3001.0;89240.0;28266662.0;259.68479456;260.17943226;259.68479456;263.55945657;261.08626805
2017-09-13;1720.0;47040.0;14689830.0;257.12916642;259.76723418;255.56281369;260.75650958;257.37648527
2017-09-14;2564.0;39600.0;12393528.0;256.79940795;255.97501178;255.97501178;260.50919073;257.95356259
2017-09-15;1685.0;78680.0;24824227.0;261.66334537;256.46964948;256.46964948;261.82822461;260.09699264
2017-09-18;3333.0;146260.0;46269989.0;259.68479456;262.15798308;258.11844183;264.6311716;260.75650958
2017-09-19;692.0;17180.0;5412807.0;259.35503609;259.68479456;257.70624374;263.80677542;259.68479456
2017-09-20;521.0;49820.0;15607889.0;257.45892489;261.16870767;257.29404566;261.74578499;258.20088145
2017-09-21;779.0;68610.0;21578985.0;259.68479456;258.20088145;256.30477025;260.59163035;259.27259647
2017-09-22;1126.0;28370.0;9003620.0;262.89993963;259.43747571;257.87112298;262.98237925;261.58090576
2017-09-25;782.0;59740.0;18922518.0;258.4482003;263.14725849;257.29404566;264.54873198;261.08626805
2017-09-26;834.0;33450.0;10389265.0;256.46964948;259.10771724;254.82085714;260.3443115;255.97501178
2017-09-27;1911.0;31810.0;9812328.0;253.08962517;257.21160604;252.34766862;258.53063992;254.24377981
2017-09-28;1583.0;85230.0;25995612.0;250.61643665;254.1613402;247.31885196;258.36576068;251.44083283
2017-09-29;3191.0;133810.0;40422234.0;249.37984239;253.33694402;244.68078421;253.33694402;248.96764431
2017-10-02;2304.0;75010.0;23024381.0;254.07890058;250.28667818;249.37984239;256.30477025;253.00718555
2017-10-03;1450.0;166030.0;51004612.0;253.58426288;253.66670249;249.62716124;254.98573637;253.25450441
2017-10-04;1451.0;112910.0;34701054.0;253.50182326;255.56281369;250.20423857;255.56281369;253.33694402
2017-10-05;2546.0;142050.0;43484670.0;250.12179895;254.07890058;248.72032545;254.73841752;252.34766862
2017-10-06;1279.0;55600.0;16659561.0;246.90665387;250.20423857;245.67005961;251.52327244;246.98909349
2017-10-09;2169.0;64490.0;19623418.0;253.74914211;247.73105005;247.73105005;253.74914211;250.78131589
2017-10-10;1240.0;83300.0;25553015.0;253.50182326;254.32621943;250.20423857;255.56281369;252.84230632
2017-10-11;893.0;90350.0;27846756.0;255.06817599;255.06817599;250.20423857;258.4482003;254.07890058
2017-10-13;981.0;67620.0;21299771.0;258.61307953;257.62380412;257.62380412;261.08626805;259.60235494
2017-10-16;1687.0;122860.0;38960258.0;262.40530193;259.68479456;259.02527762;263.80677542;261.41602652
2017-10-17;1543.0;52170.0;16517209.0;261.3335869;262.40530193;259.93211341;263.64189619;261.00382843
2017-10-18;1149.0;71320.0;22645557.0;264.21897351;262.98237925;259.76723418;264.21897351;261.74578499
2017-10-19;1397.0;110150.0;35183153.0;269.08291093;261.08626805;260.50919073;270.64926366;263.31213772
2017-10-20;2883.0;69390.0;23059453.0;273.86440874;270.73170328;270.73170328;276.83223496;273.94684835
2017-10-23;2098.0;55670.0;18379506.0;271.22634098;276.33759726;270.64926366;277.07955381;272.13317677
2017-10-24;1097.0;67310.0;22000722.0;269.08291093;271.3087806;268.01119591;274.27660682;269.4126694
2017-10-25;1368.0;64110.0;20909647.0;268.34095438;269.33022978;266.03264509;270.97902213;268.83559208
2017-10-26;2077.0;42590.0;13967571.0;271.8034183;269.08291093;267.5165582;273.6995295;270.31950519
2017-10-27;2387.0;42740.0;14168267.0;273.28733142;272.05073716;269.16535055;276.17271802;273.2048918
2017-10-30;1859.0;122930.0;40719730.0;272.05073716;273.12245218;270.31950519;274.19416721;273.04001256
2017-10-31;2023.0;70260.0;23112545.0;270.48438443;273.36977103;269.49510902;273.36977103;271.14390137
2017-11-01;4655.0;177900.0;59306511.0;274.19416721;276.17271802;272.62781448;278.89322539;274.77124453
2017-11-03;3544.0;154340.0;51770269.0;276.00783879;277.82151037;273.86440874;278.23370845;276.50247649
2017-11-06;3494.0;79620.0;26969788.0;280.29469889;279.14054425;276.17271802;280.37713851;279.22298386
2017-11-07;4677.0;105000.0;35621216.0;280.37713851;281.11909506;278.39858769;281.11909506;279.63518195
2017-11-08;4857.0;152450.0;51778691.0;285.17425195;282.82575811;281.98701032;286.85174755;284.83875284
2017-11-09;2892.0;152010.0;51380332.0;284.16775459;285.17425195;280.56113906;286.01299975;283.49675635
