Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2025-06-09;15951.0;1224827.0;96285852.63;78.2;78.5;77.2;80.0;78.59
2025-06-10;52796.0;2312474.0;178352099.11;76.3;79.05;76.3;79.05;77.12
2025-06-11;82253.0;2816490.0;216112031.37;76.65;76.45;75.81;77.55;76.73
2025-06-12;48363.0;3501048.0;264983384.72;76.1;76.7;74.88;76.9;75.68
2025-06-13;84350.0;8546566.0;657769938.46;76.68;76.5;75.13;78.0;76.95
2025-06-16;83310.0;5644241.0;440552467.01;78.15;76.75;76.3;78.79;78.05
2025-06-17;101533.0;5743301.0;442898600.88;76.0;77.47;75.68;78.97;77.1
2025-06-18;76794.0;4822639.0;363402678.17;74.85;76.47;74.4;76.6;75.35
2025-06-20;46651.0;3965242.0;295988473.01;75.18;74.5;73.66;75.49;74.65
2025-06-23;113783.0;5525402.0;403369020.48;73.06;74.0;71.5;74.91;73.0
2025-06-24;66808.0;4025564.0;298153742.73;75.0;73.55;73.05;75.5;74.06
2025-06-25;49014.0;3970984.0;299237726.09;75.92;75.03;74.0;76.71;75.35
2025-06-26;75228.0;6375081.0;502154626.97;80.11;76.98;75.95;80.4;78.76
2025-06-27;41232.0;3323535.0;268494584.56;80.15;80.5;79.6;82.45;80.78
2025-06-30;62504.0;2672173.0;213155346.68;78.21;80.5;78.21;81.58;79.75
2025-07-01;102258.0;3657498.0;280631479.15;76.12;78.33;75.81;78.53;76.72
2025-07-02;58483.0;2646805.0;199953318.66;74.85;76.25;74.85;77.0;75.54
2025-07-03;62890.0;2199363.0;164778144.67;74.51;74.51;73.51;76.64;74.92
2025-07-04;12360.0;286402.0;21500940.53;75.3;74.51;74.51;75.44;75.07
2025-07-07;29658.0;2219787.0;167420070.28;75.17;75.5;74.4;76.69;75.42
2025-07-08;57481.0;3641365.0;266353436.2;72.44;74.6;72.3;75.0;73.14
2025-07-09;62874.0;5136266.0;372506606.96;71.92;73.1;71.9;73.89;72.52
2025-07-10;47324.0;3566290.0;261218316.69;73.77;70.94;70.23;74.7;73.24
2025-07-11;36734.0;2418164.0;179518475.01;74.09;73.8;72.4;74.99;74.23
2025-07-14;17372.0;2647207.0;194478991.48;72.87;74.1;72.51;74.87;73.46
2025-07-15;40728.0;2754814.0;198667721.1;71.9;73.15;71.63;73.25;72.11
2025-07-16;50210.0;2400265.0;175822135.01;74.1;71.64;71.3;74.59;73.25
2025-07-17;27961.0;1306033.0;97691718.14;74.73;74.33;74.2;75.39;74.79
2025-07-18;27158.0;1499826.0;111295645.77;73.71;74.5;73.58;75.37;74.2
2025-07-21;21485.0;1539921.0;112545273.18;72.5;73.5;72.35;74.07;73.08
2025-07-22;22742.0;1346840.0;99431677.37;73.7;72.82;72.5;74.73;73.82
2025-07-23;16542.0;1828067.0;134452900.72;73.24;73.82;72.85;74.24;73.54
2025-07-24;30031.0;1382583.0;101993314.91;74.21;73.0;72.65;74.3;73.77
2025-07-25;18883.0;730972.0;54017395.07;74.17;74.01;73.5;74.25;73.9
2025-07-28;23756.0;1445582.0;109646923.95;75.79;74.19;74.01;76.92;75.84
2025-07-29;11261.0;1904984.0;143689225.64;75.15;75.79;74.97;76.0;75.42
2025-07-30;13604.0;1947199.0;145962294.65;74.88;74.99;74.11;76.0;74.96
2025-07-31;21039.0;2732682.0;208982534.29;76.89;74.88;74.52;77.43;76.47
2025-08-01;14016.0;1280262.0;97700072.75;75.35;76.47;75.35;77.23;76.31
2025-08-04;13492.0;855799.0;65538619.23;76.38;75.51;75.51;76.9;76.58
2025-08-05;14269.0;16513917.0;1271093953.1;76.3;77.01;76.01;77.39;76.97
2025-08-06;11007.0;810173.0;61672782.74;75.75;76.11;75.25;77.12;76.12
2025-08-07;10356.0;667104.0;50990207.31;76.75;76.5;75.5;76.8;76.43
2025-08-08;20664.0;2205156.0;169176846.43;76.93;76.75;75.8;77.4;76.71
2025-08-11;19175.0;1779791.0;136820716.09;77.49;76.93;76.22;77.49;76.87
2025-08-12;19050.0;1407054.0;108749783.87;76.7;77.22;76.41;78.16;77.28
2025-08-13;18156.0;1486258.0;115245277.32;78.46;77.16;76.41;78.56;77.54
2025-08-14;53578.0;4179859.0;314392620.04;74.99;77.69;73.84;77.69;75.21
2025-08-15;23152.0;2708289.0;207749845.67;76.79;74.8;74.57;77.59;76.7
2025-08-18;39796.0;3539205.0;286139866.1;80.9;78.03;77.81;81.94;80.84
2025-08-19;26643.0;3203278.0;265364628.04;83.33;81.23;80.8;83.38;82.84
2025-08-20;21332.0;1986259.0;163983048.25;81.95;82.92;81.95;84.16;82.55
2025-08-21;40787.0;3233549.0;269256497.16;83.5;82.55;81.9;84.05;83.27
2025-08-22;41779.0;2099409.0;174726013.15;82.86;83.5;82.74;84.54;83.22
2025-08-25;49764.0;3023712.0;254626022.98;84.08;82.31;82.31;84.88;84.2
