Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-19;2.0;3.18;1499.7;116.7596296;116.71292321;116.71292321;116.7596296;116.7596296
2000-03-21;3.0;10.6;3604.0000618;90.391237917;90.190812355;90.190812355;90.391237917;90.291029803
2000-03-28;1.0;25.97;8819.9996203;90.190812355;90.190812355;90.190812355;90.190812355;90.190812355
2000-04-12;6.0;111.3;40475.0;97.857036445;95.251522802;95.201414079;97.857036445;96.554274957
2000-04-13;3.0;60.95;22777.5;95.752582041;100.2120158;95.752582041;100.2120158;99.260006048
2000-04-14;6.0;153.7;55120.0;95.201414079;95.702473318;95.201414079;95.702473318;95.251522802
2000-04-19;3.0;55.65;20475.000422;97.706719607;97.706719607;97.706719607;97.706719607;97.706719607
2000-04-25;2.0;1.06;299.99999329;76.509630445;76.509630445;76.509630445;76.509630445;76.509630445
2000-04-27;3.0;79.5;24400.0;89.261237894;79.059951934;79.059951934;89.261237894;82.987450164
2000-04-28;1.0;53.0;17000.000924;86.710921154;86.710921154;86.710921154;86.710921154;86.710921154
2000-05-03;3.0;26.5;8550.000377;87.220984502;87.220984502;87.220984502;87.220984502;87.220984502
2000-05-04;6.0;79.5;26107.7;91.811554633;87.271984186;87.220984502;91.811554633;88.802183731
2000-05-05;3.0;36.57;12419.999465;91.811554633;91.811554633;91.811554633;91.811554633;91.811554633
2000-05-08;3.0;69.43;23518.0;91.811554633;90.791427937;90.791427937;91.811554633;91.55652771
2000-05-09;1.0;0.53;171.70000821;87.578029796;87.578029796;87.578029796;87.578029796;87.578029796
2000-05-10;1.0;26.5;8899.9997824;90.791427937;90.791427937;90.791427937;90.791427937;90.791427937
2000-05-12;1.0;26.5;8799.9999523;89.771301242;89.771301242;89.771301242;89.771301242;89.771301242
2000-05-15;1.0;0.53;179.99999225;91.811554633;91.811554633;91.811554633;91.811554633;91.811554633
2000-05-16;4.0;79.5;26999.998838;91.811554633;91.811554633;91.811554633;91.811554633;91.811554633
2000-05-17;2.0;8.48;2894.0;92.83169083;91.811554633;91.811554633;92.83169083;92.270618297
2000-05-18;2.0;4.24;1449.1;92.83169083;89.312247079;89.312247079;92.83169083;92.372627166
2000-05-19;5.0;106.0;35399.99947;90.28136459;90.28136459;90.28136459;90.28136459;90.28136459
2000-05-23;5.0;37.1;12400.2;89.261237894;90.28136459;89.261237894;91.811554633;90.332373775
2000-05-25;2.0;5.83;1979.9999148;91.811554633;91.811554633;91.811554633;91.811554633;91.811554633
2000-05-29;1.0;0.53;179.99999225;91.811554633;91.811554633;91.811554633;91.811554633;91.811554633
2000-05-30;1.0;22.26;7350.0000313;89.261237894;89.261237894;89.261237894;89.261237894;89.261237894
2000-06-02;5.0;42.4;13840.000331;88.241111198;88.241111198;88.241111198;88.241111198;88.241111198
