Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-04-11;0.0;0.0;0.0;3.7987472713;3.7987472713;3.7987472713;3.7987472713;3.7987472713
2007-04-12;3272.0;5084400.0;41448799.0;3.941200294;3.8224894418;3.8034957054;3.9839362008;3.8699737827
2007-04-13;371.0;449800.0;3681700.0;3.8937159531;3.8937159531;3.8034957054;3.9174581236;3.888967519
2007-04-16;156.0;109700.0;893216.0;3.8699737827;3.8224894418;3.8224894418;3.8747222168;3.8652253486
2007-04-17;119.0;68700.0;560641.0;3.8699737827;3.8699737827;3.8652253486;3.8937159531;3.8747222168
2007-04-18;81.0;43800.0;354637.0;3.8462316122;3.8272378759;3.8224894418;3.8509800463;3.8462316122
2007-04-19;85.0;66800.0;543478.0;3.8699737827;3.8462316122;3.8414831781;3.888967519;3.8652253486
2007-04-20;119.0;220200.0;1793389.0;3.8699737827;3.8462316122;3.8462316122;3.8937159531;3.8652253486
2007-04-23;159.0;341800.0;2796409.0;3.8699737827;3.8652253486;3.8462316122;3.9459487281;3.8842190849
2007-04-24;104.0;196200.0;1623147.0;3.941200294;3.8082441395;3.8082441395;3.9649424645;3.9269549918
2007-04-25;90.0;801000.0;6614669.0;3.9174581236;3.8937159531;3.8699737827;3.941200294;3.9222065577
2007-04-26;20.0;19600.0;160986.0;3.9174581236;3.83198631;3.8224894418;3.9174581236;3.8984643872
2007-04-27;36.0;22500.0;185992.0;3.941200294;3.9174581236;3.9174581236;3.941200294;3.9269549918
2007-04-30;20.0;6300.0;52246.0;3.941200294;3.9174581236;3.9174581236;3.941200294;3.9364518599
2007-05-02;92.0;158700.0;1328068.0;4.0361689758;3.941200294;3.941200294;4.0361689758;3.9744393326
2007-05-03;79.0;391600.0;3381819.0;4.1786219985;4.0361689758;3.9886846349;4.1786219985;4.102647053
2007-05-04;31.0;141500.0;1244622.0;4.1121439212;4.1786219985;4.1073954871;4.1786219985;4.1786219985
2007-05-07;6.0;1500.0;12955.0;4.0599111463;4.1073954871;4.0599111463;4.1073954871;4.102647053
2007-05-08;8.0;2700.0;22868.0;3.9886846349;4.0266721076;3.9886846349;4.0599111463;4.0219236735
2007-05-09;21.0;13600.0;114377.0;4.0361689758;3.9174581236;3.9174581236;4.0599111463;3.993433069
2007-05-10;9.0;12100.0;102243.0;3.941200294;3.941200294;3.941200294;4.0361689758;4.0124268054
2007-05-11;10.0;4300.0;35585.0;3.9886846349;3.941200294;3.8699737827;3.9886846349;3.9317034258
2007-05-14;13.0;3200.0;26847.0;3.9981815031;3.9649424645;3.9649424645;3.9981815031;3.9839362008
2007-05-15;18.0;7000.0;59130.0;4.0361689758;3.9222065577;3.9222065577;4.0361689758;4.0124268054
2007-05-16;23.0;92000.0;774741.0;3.9886846349;4.0361689758;3.8699737827;4.0361689758;3.9981815031
2007-05-17;14.0;44700.0;379969.0;3.9649424645;4.0789048826;3.9649424645;4.0789048826;4.0361689758
