Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-09-09;0.0;0.0;0.0;5.7707531958;5.7707531958;5.7707531958;5.7707531958;5.7707531958
2020-09-10;1477.0;2780800.0;26454755.0;5.7046299821;5.800809202;5.5423275485;5.9991788432;5.7166523846
2020-09-11;891.0;835100.0;7655260.0;5.482215536;5.5904171585;5.4100811211;5.7527195921;5.506260341
2020-09-14;560.0;496100.0;4562866.0;5.530305146;5.482215536;5.482215536;5.5723835547;5.5242939447
2020-09-15;420.0;626300.0;5772805.0;5.530305146;5.7106411834;5.4401371273;5.7106411834;5.5363163472
2020-09-16;331.0;264700.0;2472708.0;5.5904171585;5.8909772207;5.530305146;5.8909772207;5.6144619634
2020-09-17;613.0;1084500.0;10084786.0;5.6204731647;5.5603611522;5.4882267373;5.6865963784;5.5844059572
2020-09-18;735.0;748500.0;6813968.0;5.4401371273;5.6204731647;5.3018794987;5.6505291709;5.4701931335
2020-09-21;1078.0;441600.0;3902232.0;5.3319355049;5.530305146;5.235756285;5.530305146;5.3078906999
2020-09-22;853.0;339300.0;2977430.0;5.2718234924;5.3559803099;5.2297450837;5.482215536;5.2718234924
2020-09-23;1096.0;267000.0;2279388.0;5.1996890775;5.2718234924;5.0554202476;5.5242939447;5.1275546625
2020-09-24;845.0;368700.0;3147431.0;5.1696330713;5.1996890775;4.7548601853;5.2297450837;5.1275546625
2020-09-25;368.0;350600.0;2971906.0;5.1095210588;5.1095210588;4.9892970339;5.1095210588;5.0914874551
2020-09-28;930.0;247600.0;2045703.0;4.8991290152;5.2898570962;4.7789049903;5.3619915111;4.9652522289
2020-09-29;1268.0;702700.0;5707612.0;4.8810954115;4.9892970339;4.8390170027;4.9892970339;4.8810954115
2020-09-30;648.0;379100.0;3126925.0;5.0073306376;4.893117814;4.8510394052;5.2297450837;4.9532298264
2020-10-01;276.0;478500.0;3996891.0;4.9892970339;5.0073306376;4.9171626189;5.1215434613;5.0193530401
2020-10-02;326.0;253600.0;2077749.0;4.9291850214;4.9892970339;4.820983399;4.9892970339;4.9231738202
2020-10-05;499.0;459800.0;3801701.0;4.9291850214;4.9351962227;4.845028204;5.0674426501;4.9652522289
2020-10-06;108.0;271600.0;2293566.0;5.0734538513;4.9291850214;4.9291850214;5.1696330713;5.0734538513
2020-10-07;708.0;462600.0;4003626.0;5.1696330713;5.1696330713;4.8991290152;5.3439579074;5.1996890775
2020-10-08;1054.0;494600.0;4429897.0;5.5002491398;5.1696330713;5.1696330713;5.6505291709;5.3800251148
2020-10-09;1221.0;991300.0;9210876.0;5.6024395609;5.6084507622;5.0554202476;5.800809202;5.5844059572
2020-10-13;854.0;171000.0;1549487.0;5.4100811211;5.530305146;5.3619915111;5.530305146;5.4461483286
2020-10-14;128.0;56400.0;508815.0;5.4401371273;5.5002491398;5.3619915111;5.5002491398;5.4221035236
2020-10-15;277.0;71200.0;639435.0;5.2598010899;5.4701931335;5.2598010899;5.4762043348;5.3980587186
2020-10-16;785.0;144100.0;1222342.0;5.0494090463;5.4100811211;4.9712634302;5.4100811211;5.0974986563
2020-10-19;843.0;595600.0;5216433.0;4.9592410277;5.1996890775;4.9592410277;5.4341259261;5.2598010899
2020-10-20;560.0;212300.0;1829879.0;5.4100811211;5.1576106688;5.0013194364;5.4100811211;5.1756442725
2020-10-21;147.0;54600.0;487718.0;5.3379467061;5.3499691086;5.3078906999;5.5242939447;5.3680027124
2020-10-22;746.0;240200.0;2177975.0;5.4701931335;5.3379467061;5.3379467061;5.6385067684;5.4461483286
2020-10-23;210.0;142600.0;1300824.0;5.5002491398;5.530305146;5.4701931335;5.6084507622;5.482215536
2020-10-26;181.0;68400.0;617625.0;5.4100811211;5.5002491398;5.4100811211;5.530305146;5.4221035236
2020-10-27;78.0;33100.0;300616.0;5.4100811211;5.5242939447;5.4100811211;5.5242939447;5.458170731
2020-10-28;175.0;386500.0;3382104.0;5.2177226812;5.3499691086;5.1455882663;5.3499691086;5.2598010899
