Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2001-01-24;1.0;120.0;1000.0;3.3996029574;3.3996029574;3.3996029574;3.3996029574;3.3996029574
2001-07-17;1.0;120.0;1000.0;3.4082599377;3.4082599377;3.4082599377;3.4082599377;3.4082599377
2001-08-10;1.0;120.0;1000.0;3.4082599377;3.4082599377;3.4082599377;3.4082599377;3.4082599377
2001-11-30;1.0;864.0;7200.0;3.4082599377;3.4082599377;3.4082599377;3.4082599377;3.4082599377
2002-09-09;1.0;240.0;1899.9999762;3.3891025468;3.3891025468;3.3891025468;3.3891025468;3.3891025468
2002-12-04;1.0;240.0;2220.0000286;3.9598988659;3.9598988659;3.9598988659;3.9598988659;3.9598988659
2003-02-26;1.0;240.0;2160.0000858;3.9242176589;3.9242176589;3.9242176589;3.9242176589;3.9242176589
2003-03-07;1.0;12.0;81.999999285;2.9794984485;2.9794984485;2.9794984485;2.9794984485;2.9794984485
2003-03-11;1.0;108.0;737.99999356;2.9794984485;2.9794984485;2.9794984485;2.9794984485;2.9794984485
2003-03-12;2.0;24.0;163.99999857;2.9794984485;2.9794984485;2.9794984485;2.9794984485;2.9794984485
2003-03-13;8.0;4080.0;29240.000486;3.1248399155;3.1248399155;3.1248399155;3.1248399155;3.1248399155
2003-03-14;2.0;1164.0;8597.0;3.2338458532;3.1975105406;3.1975105406;3.2338458532;3.2338458532
2003-03-17;1.0;144.0;1055.9999943;3.1975105406;3.1975105406;3.1975105406;3.1975105406;3.1975105406
2003-03-19;7.0;960.0;7121.0;3.2338458532;3.2701811658;3.2338458532;3.2701811658;3.2338458532
2003-03-24;2.0;132.0;978.99998426;3.2338458532;3.2338458532;3.2338458532;3.2338458532;3.2338458532
2003-04-01;1.0;120.0;910.00002623;3.3391503242;3.3391503242;3.3391503242;3.3391503242;3.3391503242
2003-04-03;1.0;1200.0;9200.0001669;3.3758442478;3.3758442478;3.3758442478;3.3758442478;3.3758442478
2003-04-08;1.0;3000.0;23250.000179;3.4125381713;3.4125381713;3.4125381713;3.4125381713;3.4125381713
2003-04-09;2.0;2400.0;18999.999762;3.4859260184;3.4859260184;3.4859260184;3.4859260184;3.4859260184
2003-04-10;2.0;4200.0;33249.999583;3.4859260184;3.4859260184;3.4859260184;3.4859260184;3.4859260184
2003-04-11;1.0;24.0;189.99999762;3.4859260184;3.4859260184;3.4859260184;3.4859260184;3.4859260184
2003-04-15;1.0;240.0;1899.9999762;3.4859260184;3.4859260184;3.4859260184;3.4859260184;3.4859260184
2003-04-16;1.0;960.0;7599.9999046;3.4859260184;3.4859260184;3.4859260184;3.4859260184;3.4859260184
2003-04-23;1.0;1200.0;9300.0000715;3.4125381713;3.4125381713;3.4125381713;3.4125381713;3.4125381713
2003-04-24;1.0;840.0;6440.0001168;3.3758442478;3.3758442478;3.3758442478;3.3758442478;3.3758442478
2003-04-25;2.0;828.0;6348.0001152;3.3758442478;3.3758442478;3.3758442478;3.3758442478;3.3758442478
2003-04-28;1.0;600.0;4600.0000834;3.3758442478;3.3758442478;3.3758442478;3.3758442478;3.3758442478
2003-04-30;2.0;600.0;4600.0000834;3.3758442478;3.3758442478;3.3758442478;3.3758442478;3.3758442478
2003-05-02;2.0;1704.0;13064.000237;3.3758442478;3.3758442478;3.3758442478;3.3758442478;3.3758442478
2003-05-05;1.0;3000.0;23250.000179;3.4125381713;3.4125381713;3.4125381713;3.4125381713;3.4125381713
2003-05-06;1.0;732.0;5551.00016;3.3391503242;3.3391503242;3.3391503242;3.3391503242;3.3391503242
2003-05-15;2.0;24.0;201.99999809;3.7060897785;3.7060897785;3.7060897785;3.7060897785;3.7060897785
2003-05-16;1.0;24.0;229.99999523;4.2198051457;4.2198051457;4.2198051457;4.2198051457;4.2198051457
2003-05-19;10.0;1800.0;15250.0;3.8528654727;4.2198051457;3.5593140843;4.5867448186;3.742783702
2003-05-20;4.0;2412.0;24625.0;4.5867448186;4.5867448186;4.2198051457;4.5867448186;4.5133569715
2003-05-22;1.0;240.0;2480.0000191;4.5500508951;4.5500508951;4.5500508951;4.5500508951;4.5500508951
2003-05-27;2.0;612.0;6125.0;4.5867448186;4.4032752009;4.4032752009;4.5867448186;4.4032752009
2003-05-28;1.0;96.0;1031.9999695;4.7335205129;4.7335205129;4.7335205129;4.7335205129;4.7335205129
