Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-09-01;0.0;0.0;0.0;5.2346764062;5.2346764062;5.2346764062;5.2346764062;5.2346764062
2020-09-02;33158.0;28617800.0;241128677.0;4.9591671217;4.5734541233;4.435699481;4.9591671217;4.6395763516
2020-09-03;8542.0;6823600.0;60927163.0;4.882024522;4.8214124794;4.7993717366;5.0638606498;4.9150856361
2020-09-04;6097.0;4466000.0;38197906.0;4.7552902511;4.9095754504;4.6010050518;4.9316161932;4.7112087656
2020-09-08;4647.0;2424200.0;20143705.0;4.5569235662;4.6836578371;4.5238624521;4.6836578371;4.5734541233
2020-09-09;3626.0;2285500.0;18840518.0;4.5569235662;4.5734541233;4.4687605952;4.6340661659;4.5403930092
2020-09-10;912.0;1459400.0;12031445.0;4.5183522664;4.5569235662;4.4632504095;4.6010050518;4.5403930092
2020-09-11;1243.0;1700200.0;13557747.0;4.3695772528;4.5183522664;4.3420263243;4.5293726378;4.3916179955
2020-09-14;6321.0;2456700.0;19713034.0;4.4742707809;4.4081485526;4.3750874384;4.5514133805;4.419168924
2020-09-15;2805.0;1367400.0;10951970.0;4.435699481;4.4742707809;4.3199855815;4.4852911523;4.4081485526
2020-09-16;5660.0;4338600.0;35279280.0;4.5183522664;4.3916179955;4.3530466957;4.6010050518;4.4797809666
2020-09-17;1108.0;1293300.0;10509827.0;4.4577402238;4.5183522664;4.4412096667;4.5403930092;4.4742707809
2020-09-18;3301.0;1999600.0;15688903.0;4.435699481;4.4577402238;4.1987614963;4.4577402238;4.3199855815
2020-09-21;3612.0;2530900.0;19382009.0;4.4081485526;4.2979448388;4.0554966684;4.4081485526;4.2152920534
2020-09-22;3331.0;3820400.0;29728968.0;4.2979448388;4.4081485526;4.204271682;4.4412096667;4.2869244674
2020-09-23;1315.0;1118600.0;8608474.0;4.2648837246;4.3695772528;4.187741125;4.3695772528;4.2373327962
2020-09-24;1917.0;1256100.0;9912187.0;4.3640670671;4.2703939103;4.2097818677;4.3971281812;4.34753651
2020-09-25;5106.0;2069200.0;16263452.0;4.3530466957;4.3530466957;4.2593735389;4.3861078098;4.3254957672
2020-09-28;2698.0;1810400.0;14411089.0;4.3695772528;4.3530466957;4.2869244674;4.5128420807;4.3861078098
2020-09-29;3379.0;2260600.0;17225098.0;4.1546800108;4.3695772528;4.1546800108;4.4301892954;4.1932513107
2020-09-30;2060.0;1176500.0;9108285.0;4.4081485526;4.1932513107;4.1050883396;4.4081485526;4.2648837246
2020-10-01;2078.0;1658300.0;13172710.0;4.4632504095;4.4081485526;4.2703939103;4.4632504095;4.3750874384
2020-10-02;2238.0;685500.0;5562856.0;4.4632504095;4.4081485526;4.3971281812;4.5679439376;4.4687605952
2020-10-05;2625.0;1420200.0;11155093.0;4.3750874384;4.4136587383;4.2318226105;4.4136587383;4.3254957672
2020-10-06;3314.0;985600.0;7817659.0;4.3640670671;4.3585568814;4.2979448388;4.5018217093;4.3695772528
2020-10-07;3953.0;2158400.0;16336147.0;4.116108711;4.3640670671;4.116108711;4.3640670671;4.1657003822
2020-10-08;3779.0;2613100.0;19586550.0;4.3750874384;4.1712105679;3.972843883;4.3750874384;4.1271290824
2020-10-09;4284.0;1453900.0;11278476.0;4.2814142817;4.2924346531;4.1712105679;4.4908013379;4.2703939103
2020-10-13;3475.0;877100.0;6777222.0;4.3254957672;4.2814142817;4.1546800108;4.3254957672;4.2538633532
2020-10-14;3732.0;1103700.0;8689701.0;4.34753651;4.34753651;4.2208022391;4.4301892954;4.3365161386
2020-10-15;6227.0;1994200.0;15579713.0;4.2979448388;4.4081485526;4.2152920534;4.4687605952;4.3034550245
2020-10-16;2568.0;1328500.0;10606435.0;4.3530466957;4.3089652102;4.2703939103;4.507331895;4.3971281812
2020-10-19;6164.0;2510000.0;19058117.0;4.0995781539;4.34753651;4.0995781539;4.4246791097;4.1822309393
2020-10-20;3440.0;1787300.0;13206402.0;4.1271290824;4.132639268;4.0003948115;4.1767207536;4.0665170398
2020-10-21;2656.0;1012500.0;7484711.0;4.0720272255;4.116108711;4.0334559256;4.1987614963;4.0720272255
2020-10-22;2232.0;960000.0;7093519.0;4.0995781539;4.0775374111;4.0224355542;4.132639268;4.0665170398
2020-10-23;3899.0;1334000.0;9797554.0;4.0554966684;4.1050883396;3.9783540687;4.1657003822;4.044476297
2020-10-26;2759.0;911000.0;6698873.0;4.0554966684;4.0554966684;3.9783540687;4.1491698251;4.0499864827
2020-10-27;3520.0;1324200.0;9840692.0;4.1216188967;4.0775374111;3.9948846258;4.204271682;4.0940679682
2020-10-28;2053.0;1389000.0;9916199.0;3.9397827689;4.0775374111;3.8901910977;4.0775374111;3.9287623975
2020-10-29;1705.0;714200.0;5088488.0;3.9673336973;3.8901910977;3.8295790551;3.9673336973;3.9232522118
2020-10-30;1386.0;716300.0;5173354.0;4.0389661113;3.9397827689;3.8681503549;4.0389661113;3.9783540687
2020-11-03;4928.0;1750300.0;12228726.0;3.8626401692;4.0389661113;3.7910077552;4.0389661113;3.8461096121
2020-11-04;3176.0;2339800.0;16462473.0;3.9618235116;3.8736605406;3.7854975695;4.0114151829;3.8736605406
2020-11-05;3226.0;3069000.0;22394462.0;4.204271682;3.8901910977;3.8901910977;4.2152920534;4.0169253685
2020-11-06;2084.0;643800.0;4924451.0;4.2814142817;4.132639268;4.0554966684;4.2814142817;4.2097818677
2020-11-09;4072.0;910300.0;7073056.0;4.2152920534;4.3089652102;4.187741125;4.4467198524;4.2814142817
2020-11-10;1937.0;628200.0;4936583.0;4.4026383669;4.2152920534;4.1381494537;4.4852911523;4.3254957672
2020-11-11;3728.0;1450700.0;11356315.0;4.3254957672;4.5018217093;4.2208022391;4.5018217093;4.3089652102
2020-11-12;4265.0;1093400.0;8489687.0;4.2483531676;4.275904096;4.2152920534;4.4026383669;4.275904096
2020-11-13;2635.0;1059500.0;8231021.0;4.2703939103;4.2979448388;4.2648837246;4.34753651;4.275904096
2020-11-16;3898.0;1144700.0;8800129.0;4.204271682;4.3365161386;4.204271682;4.3420263243;4.2318226105
2020-11-17;1839.0;3337100.0;25516399.0;4.2097818677;4.187741125;4.1657003822;4.3640670671;4.2097818677
2020-11-18;1734.0;3376100.0;24918814.0;4.132639268;4.2318226105;4.0334559256;4.2318226105;4.0665170398
2020-11-19;2301.0;2246000.0;16879386.0;4.132639268;4.1436596394;4.0940679682;4.1932513107;4.1381494537
2020-11-20;2555.0;2221900.0;16263954.0;4.0775374111;4.1657003822;4.0003948115;4.204271682;4.0279457399
2020-11-23;1889.0;715200.0;5234479.0;4.0169253685;4.0775374111;3.9618235116;4.116108711;4.0279457399
2020-11-24;2955.0;2911300.0;21063959.0;4.0224355542;4.0720272255;3.9177420261;4.0720272255;3.9838642544
2020-11-25;4154.0;2895900.0;21291850.0;4.0224355542;4.0169253685;3.9948846258;4.1050883396;4.0499864827
2020-11-26;2420.0;475500.0;3430674.0;3.972843883;4.0224355542;3.9508031403;4.044476297;3.972843883
2020-11-27;2252.0;1162700.0;8538177.0;4.116108711;3.9838642544;3.9673336973;4.1712105679;4.044476297
2020-11-30;2045.0;843400.0;6445714.0;4.2593735389;4.0775374111;4.0775374111;4.2593735389;4.2097818677
2020-12-01;2521.0;2324800.0;18320746.0;4.3530466957;4.2593735389;4.1987614963;4.419168924;4.3420263243
2020-12-02;1385.0;678200.0;5341531.0;4.3640670671;4.3861078098;4.2538633532;4.4136587383;4.3365161386
2020-12-03;1945.0;1048000.0;8360166.0;4.3916179955;4.3640670671;4.3365161386;4.4577402238;4.3916179955
2020-12-04;1296.0;508100.0;3983124.0;4.3310059529;4.3640670671;4.2814142817;4.4632504095;4.3144753958
2020-12-07;1925.0;615100.0;4920344.0;4.4632504095;4.3750874384;4.2703939103;4.4632504095;4.4026383669
2020-12-08;1891.0;874800.0;7305497.0;4.7332495083;4.4908013379;4.435699481;4.8214124794;4.6010050518
