Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-09-13;1.0;1000.0;2151.0;0.094126616693;0.094126616693;0.094126616693;0.094126616693;0.094126616693
2000-09-19;1.0;1000.0;2150.0;0.094082857225;0.094082857225;0.094082857225;0.094082857225;0.094082857225
2000-10-31;1.0;5000.0;10750.0;0.094082857225;0.094082857225;0.094082857225;0.094082857225;0.094082857225
2004-08-20;1.0;8000.0;120000.0;2.3941449367;2.3941449367;2.3941449367;2.3941449367;2.3941449367
2005-10-07;1.0;300.0;3972.0;2.3961245445;2.3961245445;2.3961245445;2.3961245445;2.3961245445
2007-09-19;1.0;300.0;5000.0;4.0624963845;4.0624963845;4.0624963845;4.0624963845;4.0624963845
2011-01-12;3.0;1500.0;22548.0;4.1721011491;4.1253369384;4.1253369384;4.1721011491;4.1354233367
2011-01-13;2.0;7800.0;122150.0;4.2637956798;4.3096429452;4.2637956798;4.3096429452;4.3078090546
2011-01-17;9.0;3600.0;56260.0;4.2454567736;4.3096429452;4.2454567736;4.3096429452;4.2986396015
2011-01-18;3.0;5400.0;82800.0;4.2179484144;4.2179484144;4.2179484144;4.2179484144;4.2179484144
2011-01-19;6.0;3000.0;45621.0;4.2170314691;4.2518753908;3.9538681659;4.3096429452;4.1831044927
2011-01-20;3.0;4800.0;72858.0;4.2628787345;4.162931696;4.162931696;4.2628787345;4.1757689303
2011-01-21;9.0;7800.0;119210.0;4.2812176406;4.258294008;4.162931696;4.2812176406;4.2041942348
2011-01-24;6.0;5400.0;80729.0;4.2848854219;4.0849913448;4.0345593529;4.2848854219;4.1124997041
2011-01-26;1.0;3900.0;59150.0;4.1721011491;4.1721011491;4.1721011491;4.1721011491;4.1721011491
2011-01-27;1.0;3000.0;45500.0;4.1721011491;4.1721011491;4.1721011491;4.1721011491;4.1721011491
2011-01-28;14.0;14400.0;213726.0;4.2812176406;4.0813235636;4.0345593529;4.2812176406;4.0831574542
2011-02-01;11.0;8700.0;129161.0;4.043728806;4.0510643685;4.043728806;4.2353703753;4.0840743995
2011-02-02;7.0;2700.0;39842.0;4.0574829856;4.0446457513;4.0446457513;4.0804066183;4.0593168762
2011-02-03;3.0;1800.0;26519.0;4.0987455245;4.0345593529;4.0345593529;4.0987455245;4.0528982591
2011-02-04;6.0;3600.0;52768.0;4.1262538837;4.0171373921;4.0162204468;4.1262538837;4.031808517
2011-02-07;1.0;1200.0;18000.0;4.1262538837;4.1262538837;4.1262538837;4.1262538837;4.1262538837
2011-02-08;5.0;10800.0;162000.0;4.1262538837;4.1262538837;4.1262538837;4.1262538837;4.1262538837
2011-02-09;14.0;12300.0;176534.0;4.0785727277;3.9428648222;3.8970175568;4.0785727277;3.948366494
2011-02-10;4.0;2700.0;39349.0;4.0336424076;4.0345593529;3.9887120876;4.0345593529;4.0088848843
2011-02-11;2.0;1800.0;26148.0;4.0327254623;3.9887120876;3.9887120876;4.0327254623;3.99604765
2011-02-14;4.0;3000.0;43450.0;4.0345593529;3.9887120876;3.9428648222;4.0345593529;3.984127361
2011-02-16;1.0;300.0;4500.0;4.1262538837;4.1262538837;4.1262538837;4.1262538837;4.1262538837
2011-02-18;2.0;4500.0;65500.0;3.9887120876;4.0345593529;3.9887120876;4.0345593529;4.0043001578
2011-02-22;6.0;4500.0;64241.0;3.9419478769;3.9428648222;3.900685338;3.9428648222;3.927276752
2011-02-23;1.0;300.0;4251.0;3.8979345021;3.8979345021;3.8979345021;3.8979345021;3.8979345021
2011-02-24;7.0;3000.0;40454.0;3.8970175568;3.6677812299;3.5770036445;3.8970175568;3.7090437688
2011-02-25;3.0;3300.0;46850.0;3.9887120876;3.8970175568;3.8970175568;3.9887120876;3.9052700646
2011-02-28;24.0;9600.0;132129.0;3.7411368545;3.9428648222;3.6815354095;3.9786256892;3.7860671746
2011-03-01;6.0;6000.0;81746.0;3.7585588154;3.7411368545;3.7411368545;3.8227449869;3.7475554717
2011-03-02;3.0;900.0;12388.0;3.7998213542;3.7594757607;3.7594757607;3.7998213542;3.7860671746
