Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;386.0;141730.0;28490587.8;30.984128614;30.37954699;29.853168773;31.131515232;30.232160372
2000-01-04;546.0;151530.0;31552873.6;31.889500671;30.529938845;30.229152893;31.889500671;31.316499813
2000-01-05;1013.0;280520.0;61578551.4;34.438674893;32.334665763;31.281909328;35.34254097;33.014445555
2000-01-06;864.0;169400.0;41828982.2;37.222463815;33.838602246;33.23853184;38.801596226;37.135235732
2000-01-07;403.0;60520.0;14972758.4;36.395297405;38.497805036;36.320101477;38.497805036;37.207424181
2000-01-10;334.0;56620.0;13421299.2;35.868919187;36.861519328;34.590572728;36.996873791;35.64934412
2000-01-11;199.0;34030.0;7967091.9;35.34254097;35.868919187;34.89135868;35.944115115;35.210193986
2000-01-12;254.0;41680.0;9893768.6;35.79372326;35.34254097;35.192146874;36.244903308;35.698974239
2000-01-13;230.0;42830.0;10213248.9;34.89135868;36.395297405;34.89135868;36.996873791;35.86290423
2000-01-14;251.0;41970.0;9540271.0;33.68821039;34.89135868;33.68821039;35.041752777;34.186013079
2000-01-17;165.0;14890.0;3360469.4;34.89135868;33.838602246;32.785845811;35.34254097;33.942375943
2000-01-18;253.0;51560.0;12322803.7;36.094509212;34.592076468;34.289784535;36.545691501;35.944115115
2000-01-19;224.0;39090.0;9225213.2;34.590572728;36.094509212;33.988996342;36.620887429;35.492935067
2000-01-20;103.0;15610.0;3606307.4;34.289784535;35.192146874;34.274744902;35.643329163;34.745478043
2000-01-21;97.0;12190.0;2823764.1;35.041752777;34.289784535;34.289784535;35.643329163;34.838721083
2000-01-24;186.0;21690.0;5250342.3;36.85550213;35.34254097;35.34254097;36.85550213;36.404322081
2000-01-26;263.0;36430.0;8134624.3;32.259467594;36.846479694;31.58269528;36.996873791;33.581429215
2000-01-27;619.0;123080.0;29995142.5;36.921675622;33.388925937;33.388925937;37.974432057;36.650966696
2000-01-28;207.0;28040.0;6842898.4;36.094509212;38.350416177;35.34254097;38.350416177;36.702100555
2000-01-31;130.0;17140.0;4074276.0;36.102030149;35.944115115;34.590572728;37.297659743;35.750108098
2000-02-01;521.0;64140.0;16128233.0;37.011911184;38.049627984;36.847983434;38.651204371;37.816519264
2000-02-02;230.0;43640.0;10843483.0;37.177344914;37.748839791;36.846479694;37.914273522;37.369850433
2000-02-03;199.0;29440.0;7446169.6;38.049627984;37.523252008;36.846479694;38.801596226;38.039099569
2000-02-04;288.0;33870.0;8926582.6;39.568606342;38.049627984;38.049627984;40.606325384;39.636285815
2000-02-07;157.0;25070.0;6563466.8;38.652710351;39.854352661;38.652710351;40.004748998;39.374599325
2000-02-08;171.0;21200.0;5542828.7;38.654211849;39.102384419;38.651204371;39.55356895;39.320455747
2000-02-09;184.0;20080.0;5034125.8;36.545691501;38.652710351;36.545691501;38.652710351;37.703723131
2000-02-10;144.0;10790.0;2708095.7;36.846479694;37.596944197;36.846479694;38.350416177;37.745832313
2000-02-11;94.0;7130.0;1753386.7;36.395297405;37.297659743;36.395297405;37.448053839;36.984841636
2000-02-14;121.0;16400.0;4010057.5;36.846479694;36.696085598;36.395297405;37.011911184;36.774289004
2000-02-15;96.0;8130.0;1930635.1;35.644832902;36.547195241;35.192146874;36.846479694;35.714013873
2000-02-16;192.0;24130.0;6043969.8;38.726400298;35.643329163;35.643329163;38.726400298;37.670636385
2000-02-17;82.0;10930.0;2806632.1;37.598447936;39.100882921;37.598447936;39.100882921;38.618117624
2000-02-18;77.0;6430.0;1577592.3;36.094509212;37.750345772;36.094509212;37.750345772;36.899117292
2000-02-21;100.0;8750.0;2196871.4;38.350416177;35.79372326;35.79372326;38.636166978;37.759368207
2000-02-22;91.0;12810.0;3275791.1;38.049627984;38.801596226;38.048126486;38.801596226;38.458698851
2000-02-23;74.0;4380.0;1109341.9;38.031583113;38.500812515;36.861519328;38.951992564;38.090235668
2000-02-24;77.0;6440.0;1588713.0;36.395297405;38.049627984;36.094509212;38.48577064;37.100645247
2000-02-25;55.0;7220.0;1743481.2;35.868919187;35.492935067;35.492935067;36.846479694;36.317091757
2000-02-28;86.0;10720.0;2537178.4;35.492935067;36.094509212;35.338029752;36.094509212;35.595202783
2000-02-29;115.0;31820.0;7762488.8;36.694581859;35.79372326;35.79372326;37.147265646;36.68856466
2000-03-01;93.0;9020.0;2195883.9;36.696085598;36.844975955;36.440416306;36.844975955;36.613368733
2000-03-02;104.0;22540.0;5483014.3;36.620887429;36.996873791;36.244903308;39.703960805;36.584793204
2000-03-03;128.0;31060.0;7614202.1;36.094509212;37.448053839;36.094509212;38.350416177;36.867534285
2000-03-08;54.0;4500.0;1066029.5;35.643329163;35.944115115;35.192146874;35.944115115;35.628289529
2000-03-09;68.0;8440.0;2008734.2;35.944115115;36.094509212;35.492935067;36.846479694;35.79372326
2000-03-10;47.0;3500.0;843927.3;36.094509212;35.944115115;35.944115115;36.996873791;36.26295042
2000-03-13;80.0;10300.0;2373955.6;34.668776135;35.34254097;33.988996342;35.944115115;34.662761178
2000-03-14;83.0;6940.0;1602051.0;34.289784535;35.34254097;34.289784535;35.34254097;34.716902515
2000-03-15;107.0;21480.0;4926887.6;34.590572728;34.590572728;33.838602246;35.190643134;34.495823708
2000-03-16;100.0;13970.0;3271577.2;35.34254097;35.34254097;35.041752777;35.643329163;35.220722402
2000-03-17;87.0;8000.0;1881733.7;33.838602246;36.094509212;33.838602246;36.096012951;35.375627716
2000-03-20;51.0;9220.0;2102018.2;34.590572728;33.840105985;33.763406318;34.590572728;34.286777057
2000-03-21;102.0;14940.0;3459720.7;35.113943467;34.589068989;34.440178632;35.113943467;34.826691169
2000-03-22;138.0;15110.0;3581278.8;34.590572728;35.192146874;34.590572728;35.944115115;35.644832902
2000-03-23;49.0;5100.0;1204023.9;34.89135868;34.740966825;34.740966825;35.718525091;35.504967222
2000-03-24;74.0;15580.0;3548169.4;33.838602246;34.89135868;33.837098507;35.641825424;34.250682832
2000-03-27;97.0;13370.0;3008704.4;33.988996342;35.341037231;33.237028101;35.341037231;33.843115705
2000-03-28;135.0;20740.0;4606350.9;33.237028101;33.838602246;32.936239908;33.838602246;33.400958092
2000-03-29;59.0;9530.0;2091832.0;32.755768785;34.440178632;32.485059859;34.440178632;33.009934337
2000-03-30;56.0;9640.0;2100448.4;32.785845811;32.785845811;32.184271666;33.086634004;32.767798699
2000-03-31;55.0;8030.0;1751940.0;33.086634004;32.785845811;32.784342072;33.086634004;32.811413861
2000-04-03;72.0;12330.0;2632135.7;31.884987212;32.334665763;31.883483473;32.334665763;32.10456228
2000-04-04;183.0;25900.0;5486372.9;31.432303425;32.770806178;30.680332942;33.237028101;31.856413925
2000-04-05;121.0;10410.0;2209806.8;32.936239908;31.552618254;31.131515232;33.838602246;31.925594896
2000-04-06;130.0;28880.0;6281625.9;33.086634004;33.086634004;32.485059859;33.838602246;32.712153623
2000-04-07;75.0;12720.0;2830516.2;33.703247783;33.838602246;33.086634004;33.838602246;33.465625604
2000-04-10;54.0;13880.0;3053350.6;32.334665763;33.837098507;32.334665763;33.837098507;33.083626526
2000-04-11;119.0;19670.0;4222949.5;32.635451715;32.334665763;31.58269528;33.385918458;32.288043122
