Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2018-12-21;5900.0;4317900.0;75888912.0;11.841210372;10.826249483;10.826249483;12.653179083;11.888575214
2018-12-26;2384.0;841200.0;15252261.0;12.04420255;12.111866609;11.915640837;12.74114236;12.267493945
2018-12-27;1793.0;345800.0;6276761.0;12.416354876;12.179530668;12.138932233;12.450186905;12.281026757
2018-12-28;2860.0;574800.0;10513065.0;12.19306348;12.544916588;12.186297074;12.720843143;12.368990034
2019-01-02;5800.0;1591500.0;27126689.0;11.401393987;12.362223628;11.272832274;12.450186905;11.529955699
2019-01-03;4514.0;1025300.0;17112415.0;11.232233839;11.502890076;11.036008067;11.631451788;11.293131492
2019-01-04;3226.0;1095800.0;17934616.0;10.887147136;11.272832274;10.860081513;11.441992422;11.069840096
2019-01-07;3026.0;982900.0;15590078.0;10.569126058;10.975110413;10.352601068;11.069840096;10.7315198
2019-01-08;2867.0;1171500.0;18419575.0;10.738286206;10.650322929;10.413498721;10.792417453;10.636790117
2019-01-09;2550.0;712100.0;11726431.0;10.988643225;10.819483077;10.772118236;11.475824452;11.137504156
2019-01-10;2776.0;691000.0;11641425.0;11.834443966;11.191635403;11.008942443;11.834443966;11.394627581
2019-01-11;3494.0;1359000.0;26148394.0;13.262155617;12.517850965;12.382522846;13.553111072;13.018565003
2019-01-14;3429.0;1379400.0;28556695.0;13.803468091;13.444848577;13.329819676;14.480108684;14.006460269
2019-01-15;1743.0;491100.0;9951125.0;13.465147795;13.877898556;13.316286864;14.074124328;13.708738408
2019-01-16;1642.0;475600.0;9288429.0;12.99149938;13.668139972;12.99149938;13.87113215;13.208024369
2019-01-17;3963.0;1155600.0;21435524.0;12.314858787;13.126827498;10.846548701;13.248622805;12.544916588
2019-01-18;3065.0;591100.0;11054739.0;12.693777519;12.578748618;12.4434205;12.802040014;12.653179083
2019-01-21;1509.0;403300.0;7754881.0;12.950900944;12.693777519;12.666711895;13.228323587;13.005032191
2019-01-22;2588.0;806100.0;15387540.0;12.964433756;12.984732974;12.687011113;13.099761874;12.910302509
2019-01-23;3786.0;613500.0;11672946.0;12.99149938;13.092995469;12.687011113;13.092995469;12.869704073
2019-01-24;2214.0;509300.0;9694735.0;12.720843143;12.910302509;12.720843143;13.092995469;12.876470479
2019-01-28;1855.0;407100.0;7697524.0;12.754675172;12.720843143;12.517850965;13.025331409;12.788507202
2019-01-29;1342.0;304300.0;5747744.0;12.666711895;12.896769697;12.653179083;12.896769697;12.77497439
2019-01-30;1463.0;502000.0;9510088.0;13.126827498;12.687011113;12.687011113;13.126827498;12.815572826
2019-01-31;1647.0;566600.0;11083611.0;13.025331409;13.194491557;12.99149938;13.492213418;13.235089993
2019-02-01;2548.0;554000.0;10855103.0;13.397483735;13.194491557;13.025331409;13.465147795;13.255389211
2019-02-04;1333.0;339700.0;6799937.0;13.566643883;13.397483735;13.275688429;13.708738408;13.53957826
2019-02-05;1387.0;322200.0;6428750.0;13.329819676;13.735804032;13.214790775;13.769636061;13.498979824
2019-02-06;2752.0;480700.0;9354978.0;13.025331409;13.377184517;12.937368132;13.411016547;13.167425934
2019-02-07;2759.0;527900.0;9837166.0;12.450186905;13.194491557;12.247194728;13.194491557;12.605814242
2019-02-08;2491.0;465900.0;8477795.0;12.213362698;12.436654094;12.179530668;12.619347054;12.308092381
2019-02-11;747.0;130700.0;2369592.0;12.301325975;12.274260351;12.179530668;12.416354876;12.267493945
2019-02-12;1308.0;249700.0;4563839.0;12.281026757;12.402822064;12.281026757;12.484018935;12.362223628
2019-02-13;2350.0;492700.0;8949268.0;12.382522846;12.335158005;12.172764262;12.382522846;12.287793163
2019-02-14;1526.0;505600.0;9299244.0;12.402822064;12.328391599;12.281026757;12.585515024;12.4434205
2019-02-15;1331.0;293000.0;5284135.0;12.199829886;12.328391599;12.098333797;12.328391599;12.199829886
2019-02-18;1256.0;443600.0;7431598.0;12.04420255;12.281026757;8.8504589527;12.281026757;11.333729927
2019-02-19;1681.0;259200.0;4574677.0;11.895341619;11.963005679;11.86150959;12.145698639;11.935940055
2019-02-20;1347.0;210500.0;3690253.0;11.834443966;11.915640837;11.793845531;11.942706461;11.86150959
2019-02-21;1113.0;196900.0;3430101.0;11.82767756;11.854743184;11.699115848;11.908874431;11.787079125
2019-02-22;831.0;160500.0;2796681.0;11.841210372;11.638218194;11.624685382;11.969772085;11.787079125
2019-02-25;963.0;184000.0;3199790.0;11.739714283;11.875042402;11.651751006;12.030669738;11.766779907
2019-02-26;728.0;165600.0;2867042.0;11.705882253;11.841210372;11.631451788;11.841210372;11.712648659
2019-02-27;690.0;161300.0;2800703.0;11.773546313;11.705882253;11.672050224;11.841210372;11.746480689
2019-02-28;707.0;199400.0;3474407.0;11.820911154;11.807378342;11.651751006;11.902108025;11.787079125
2019-03-01;697.0;119200.0;2100151.0;11.949472867;11.942706461;11.773546313;12.04420255;11.915640837
2019-03-06;2150.0;286500.0;4962457.0;11.787079125;12.071268174;11.590853353;12.071268174;11.719415065
2019-03-07;1773.0;263600.0;4543527.0;11.658517412;11.780312719;11.597619759;11.787079125;11.658517412
2019-03-08;1833.0;275400.0;4698808.0;11.604386165;11.665283818;11.469058046;11.692349442;11.543488511
2019-03-11;1005.0;181200.0;3119551.0;11.570554135;11.6449846;11.570554135;11.800611936;11.6449846
2019-03-12;523.0;94800.0;1630124.0;11.67881663;11.685583036;11.536722105;11.766779907;11.651751006
2019-03-13;880.0;128600.0;2217145.0;11.773546313;11.766779907;11.536722105;11.841210372;11.665283818
2019-03-14;1194.0;185600.0;3216659.0;11.732947877;11.773546313;11.665283818;11.915640837;11.726181471
2019-03-15;818.0;210800.0;3702583.0;11.841210372;11.780312719;11.732947877;12.050968956;11.881808808
2019-03-18;777.0;264000.0;4733413.0;12.118633015;11.969772085;11.868275996;12.308092381;12.125399421
2019-03-19;895.0;233800.0;4262274.0;12.240428322;12.179530668;12.179530668;12.450186905;12.328391599
2019-03-20;1408.0;275700.0;4990797.0;12.179530668;12.287793163;12.003604114;12.368990034;12.247194728
2019-03-21;1076.0;215700.0;3855230.0;12.04420255;12.233661916;11.854743184;12.301325975;12.091567391
2019-03-22;2098.0;414900.0;7216929.0;11.570554135;11.895341619;11.570554135;12.030669738;11.766779907
2019-03-25;889.0;197500.0;3397265.0;11.509656482;11.699115848;11.509656482;11.841210372;11.638218194
2019-03-26;790.0;138300.0;2371081.0;11.604386165;11.577320541;11.509656482;11.705882253;11.597619759
2019-03-27;1339.0;246000.0;4145937.0;11.333729927;11.584086947;11.333729927;11.705882253;11.394627581
2019-03-28;1679.0;331000.0;5609101.0;11.773546313;11.347262739;11.232233839;11.773546313;11.46229164
2019-03-29;1160.0;283000.0;4844478.0;11.489357264;11.773546313;11.31343071;11.963005679;11.577320541
2019-04-01;1034.0;317300.0;5412629.0;11.502890076;11.6449846;11.469058046;11.760013501;11.536722105
2019-04-02;1250.0;246200.0;4227037.0;11.665283818;11.624685382;11.489357264;11.732947877;11.611152571
2019-04-03;1231.0;278000.0;4857344.0;11.780312719;11.766779907;11.705882253;11.922407243;11.82767756
2019-04-04;3287.0;950100.0;17217317.0;12.145698639;12.484018935;12.111866609;12.484018935;12.253961134
2019-04-05;1559.0;321900.0;5863824.0;12.294559569;12.19306348;12.186297074;12.423121282;12.321625193
2019-04-08;1061.0;182200.0;3339231.0;12.368990034;12.40958847;12.328391599;12.517850965;12.396055658
2019-04-09;742.0;129500.0;2358764.0;12.308092381;12.382522846;12.213362698;12.4434205;12.321625193
2019-04-10;819.0;155700.0;2806687.0;12.111866609;12.423121282;12.111866609;12.423121282;12.19306348
2019-04-11;764.0;141700.0;2543805.0;12.19306348;12.220129104;12.04420255;12.348690817;12.145698639
2019-04-12;1597.0;325400.0;5757959.0;11.739714283;12.206596292;11.739714283;12.240428322;11.956239273
2019-04-15;844.0;161300.0;2794178.0;11.739714283;11.854743184;11.584086947;11.908874431;11.719415065
2019-04-16;1075.0;231100.0;4010913.0;11.597619759;11.719415065;11.570554135;11.908874431;11.739714283
2019-04-17;1202.0;260900.0;4487059.0;11.760013501;11.665283818;11.509656482;11.760013501;11.631451788
2019-04-18;921.0;176700.0;3055662.0;11.658517412;11.753247095;11.631451788;11.841210372;11.699115848
2019-04-22;413.0;70600.0;1223051.0;11.746480689;11.753247095;11.638218194;11.773546313;11.719415065
2019-04-23;698.0;152900.0;2684105.0;11.888575214;11.868275996;11.820911154;11.949472867;11.875042402
2019-04-24;1115.0;239500.0;4207866.0;11.875042402;11.942706461;11.793845531;12.057735362;11.881808808
2019-04-25;890.0;175700.0;3087655.0;11.908874431;11.881808808;11.841210372;11.990071302;11.888575214
2019-04-26;916.0;143100.0;2536009.0;11.86150959;11.969772085;11.847976778;12.138932233;11.983304896
2019-04-29;871.0;163100.0;2881050.0;11.935940055;11.875042402;11.834443966;12.19306348;11.949472867
2019-04-30;929.0;176700.0;3111800.0;11.868275996;11.935940055;11.841210372;12.084800985;11.915640837
2019-05-02;1855.0;510600.0;8867104.0;11.854743184;11.841210372;11.482590858;11.942706461;11.746480689
2019-05-03;1593.0;833000.0;14299279.0;11.584086947;11.841210372;11.584086947;11.942706461;11.611152571
2019-05-06;1334.0;230600.0;4016615.0;11.766779907;11.509656482;11.509656482;11.902108025;11.780312719
2019-05-07;1392.0;259400.0;4535397.0;12.04420255;11.807378342;11.638218194;12.04420255;11.82767756
2019-05-08;813.0;200700.0;3605742.0;12.111866609;12.04420255;11.996837708;12.247194728;12.152465045
2019-05-09;1029.0;220400.0;4026649.0;12.396055658;12.253961134;12.145698639;12.416354876;12.355457222
2019-05-10;564.0;121700.0;2227708.0;12.382522846;12.40958847;12.328391599;12.40958847;12.382522846
2019-05-13;608.0;122200.0;2210208.0;12.179530668;12.402822064;12.125399421;12.40958847;12.233661916
2019-05-14;798.0;227800.0;4096804.0;12.179530668;12.260727539;12.111866609;12.294559569;12.165997857
2019-05-15;1006.0;204800.0;3615038.0;11.841210372;12.172764262;11.820911154;12.179530668;11.942706461
2019-05-16;720.0;194500.0;3450473.0;11.969772085;11.929173649;11.814144748;12.111866609;12.003604114
2019-05-17;1125.0;240500.0;4263452.0;11.976538491;11.969772085;11.881808808;12.091567391;11.990071302
2019-05-20;783.0;155200.0;2761235.0;12.01037052;11.942706461;11.875042402;12.125399421;12.037436144
2019-05-21;1328.0;316500.0;5620407.0;12.01037052;12.111866609;11.888575214;12.125399421;12.01037052
2019-05-22;620.0;135600.0;2413887.0;12.111866609;12.138932233;11.929173649;12.281026757;12.04420255
