Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-12-15;0.0;0.0;0.0;7.1845789037;7.1845789037;7.1845789037;7.1845789037;7.1845789037
2006-12-18;6672.0;13887400.0;151450633.0;8.3161500811;7.4540006126;7.4540006126;8.3161500811;7.8347832945
2006-12-19;1801.0;3524800.0;41241241.0;8.3879958701;8.3161500811;8.0503206616;8.6143101056;8.4059573174
2006-12-20;1107.0;2722400.0;33672741.0;8.9807236297;8.3700344228;8.3700344228;9.69918152;8.8873241039
2006-12-21;459.0;797200.0;10218332.0;9.0920846027;9.0346079714;9.0346079714;9.5087901791;9.2106301546
2006-12-22;253.0;287400.0;3595653.0;8.9807236297;9.1603381022;8.657417579;9.3399525748;8.9879082086
2006-12-26;228.0;213400.0;2556071.0;8.6214946845;9.0202388136;8.0826512667;9.0202388136;8.6071255267
2006-12-27;253.0;271000.0;3222607.0;8.58557179;8.6214946845;8.4418802119;8.8011091571;8.5424643165
2006-12-28;110.0;255000.0;3017431.0;8.4418802119;8.5316874482;8.4418802119;8.5532411849;8.5029491326
2007-01-02;149.0;214000.0;2537592.0;8.3700344228;8.4418802119;8.2622657393;8.6502330001;8.5209105798
2007-01-03;155.0;1306600.0;15047511.0;8.3412961072;8.3484806861;8.1904199502;8.3484806861;8.2730426076
2007-01-04;184.0;1136000.0;13122981.0;8.2586734498;8.2622657393;8.172458503;8.3161500811;8.2981886338
2007-01-05;86.0;65600.0;742240.0;8.1904199502;8.2011968186;7.9245905308;8.2622657393;8.1293510296
2007-01-08;87.0;922000.0;10615628.0;8.3161500811;8.1904199502;8.1904199502;8.3700344228;8.2730426076
2007-01-09;129.0;1135600.0;13101865.0;8.9735390508;8.3161500811;8.0143977671;8.9735390508;8.2874117654
2007-01-10;78.0;778200.0;9300285.0;8.6214946845;8.4490647908;8.4490647908;8.7651862625;8.58557179
2007-01-11;48.0;52000.0;625416.0;8.729263368;8.617902395;8.617902395;8.729263368;8.6394561317
2007-01-12;95.0;130800.0;1569777.0;8.6717867368;8.7651862625;8.5137260009;8.7651862625;8.6214946845
2007-01-15;57.0;38800.0;449076.0;8.3269269494;8.4598416591;8.2622657393;8.58557179;8.3161500811
2007-01-16;108.0;110400.0;1272629.0;8.3053732127;8.3341115283;8.2586734498;8.3448883967;8.2802271865
