Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-05-12;0.0;0.0;0.0;3637.0049051;3637.0049051;3637.0049051;3637.0049051;3637.0049051
2006-05-15;7500.0;13062.2;150829937.0;3853.5720154;3803.9764939;3638.6580891;4000.7053956;3817.2019663
2006-05-16;1472.0;3912.8;47940360.0;4050.300917;3969.2948987;3909.780273;4174.2897206;4050.300917
2006-05-17;472.0;891.0;10784452.0;3934.5780337;4050.300917;3934.5780337;4081.7114139;4002.3585797
2006-05-18;322.0;653.0;7883630.0;4050.300917;3926.3121135;3926.3121135;4050.300917;3992.4394754
2006-05-19;356.0;1527.2;18555319.0;4050.300917;3974.2544508;3974.2544508;4068.4859416;4017.2372361
2006-05-22;341.0;2015.6;23106624.0;3837.0401749;3967.6417147;3653.5367456;3967.6417147;3790.7510215
2006-05-23;270.0;1354.8;15441740.0;3727.9300277;3802.3233099;3673.3749541;3884.9825123;3769.2596289
2006-05-24;176.0;948.0;10004396.0;3471.6865003;3678.3345063;3389.0272979;3678.3345063;3489.8715248
2006-05-25;125.0;132.6;1424814.0;3612.2071444;3443.5823715;3443.5823715;3612.2071444;3552.6925187
2006-05-26;63.0;76.4;855157.0;3722.9704756;3637.0049051;3637.0049051;3742.8086842;3701.479083
2006-05-29;80.0;117.2;1288973.0;3603.9412241;3782.4851013;3603.9412241;3782.4851013;3637.0049051
2006-05-30;49.0;212.2;2229600.0;3544.4265984;3587.4093837;3455.1546598;3587.4093837;3473.3396844
2006-05-31;101.0;424.0;4606432.0;3719.6641075;3537.8138622;3537.8138622;3719.6641075;3592.3689358
2006-06-01;117.0;812.0;9071813.0;3688.2536106;3637.0049051;3637.0049051;3721.3172915;3693.2131627
2006-06-02;134.0;384.2;4237136.0;3701.479083;3637.0049051;3554.3457027;3719.6641075;3646.9240094
2006-06-05;102.0;469.0;5184793.0;3637.0049051;3637.0049051;3620.4730646;3686.6004265;3655.1899296
2006-06-06;51.0;377.8;4168062.0;3570.8775432;3570.8775432;3570.8775432;3670.0685861;3646.9240094
2006-06-07;43.0;294.0;3185216.0;3554.3457027;3570.8775432;3554.3457027;3620.4730646;3582.4498315
2006-06-08;138.0;2036.2;21288629.0;3471.6865003;3473.3396844;3389.0272979;3551.0393346;3456.8078439
2006-06-09;49.0;1024.4;10854672.0;3585.7561996;3637.0049051;3471.6865003;3637.0049051;3503.0969972
2006-06-12;85.0;655.2;7135198.0;3637.0049051;3554.3457027;3539.4670463;3637.0049051;3600.634856
2006-06-13;44.0;746.6;7857054.0;3503.0969972;3554.3457027;3471.6865003;3554.3457027;3479.9524206
2006-06-14;100.0;1132.2;11703302.0;3389.0272979;3471.6865003;3308.0212796;3529.547942;3417.1314267
2006-06-16;32.0;386.8;3960541.0;3380.7613777;3389.0272979;3306.3680955;3455.1546598;3385.7209298
2006-06-19;27.0;109.4;1092897.0;3298.1021753;3471.6865003;3225.3620772;3471.6865003;3303.0617274
2006-06-20;69.0;202.8;1993105.0;3223.7088932;3289.8362551;3141.0496908;3306.3680955;3250.1598379
2006-06-21;54.0;299.0;2896202.0;3157.5815312;3141.0496908;3141.0496908;3223.7088932;3202.2175005
2006-06-22;30.0;53.0;504089.0;3141.0496908;3238.5875496;3107.9860098;3238.5875496;3144.3560589
2006-06-23;90.0;503.8;4573064.0;2957.5462615;3058.3904884;2914.5634762;3058.3904884;3000.5290467
