Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-02-05;0.0;0.0;0.0;3.9074642765;3.9074642765;3.9074642765;3.9074642765;3.9074642765
2020-02-06;42038.0;86956800.0;444477112.0;4.666305165;4.4850894304;4.4579070702;4.9313331768;4.630062018
2020-02-07;7748.0;12471600.0;64421268.0;4.5983492645;4.6436531981;4.5824928877;4.9834327004;4.6798963451
2020-02-10;6239.0;12146800.0;59974941.0;4.5756972977;4.666305165;4.3944815631;4.666305165;4.473763447
2020-02-11;6187.0;13196000.0;65947788.0;4.5756972977;4.6096752479;4.4171335299;4.6413880015;4.5281281674
2020-02-12;3195.0;9556000.0;49696607.0;4.965311127;4.6142056413;4.5983492645;4.965311127;4.7116090986
2020-02-13;3122.0;4396800.0;24225485.0;4.9834327004;4.8293993261;4.7433218521;5.1306704848;4.9902282905
2020-02-14;2387.0;4860800.0;27418742.0;5.0740405677;4.9856978971;4.9834327004;5.2258087454;5.1102837146
2020-02-17;1821.0;2898000.0;16902516.0;5.2779082691;5.121609698;5.121609698;5.3503945629;5.2824386625
2020-02-18;1983.0;3286400.0;19359893.0;5.3458641696;5.2779082691;5.2326043355;5.4817759705;5.3368033828
2020-02-19;2209.0;6237200.0;36507628.0;5.4364720368;5.3821073165;5.1419964682;5.4455328236;5.3028254326
2020-02-20;1669.0;1832400.0;11207322.0;5.7762515392;5.5157539207;5.2982950392;5.8102294894;5.5406710842
2020-02-21;3196.0;6730800.0;41366101.0;5.5723838378;5.6403397382;5.4772455771;5.7377431956;5.5678534444
2020-02-26;6420.0;7857200.0;43764064.0;4.9607807336;5.2099523686;4.7682390156;5.3662509397;5.0445930109
2020-02-27;5795.0;6326000.0;32986973.0;4.716139492;4.8769684564;4.5439845441;4.8769684564;4.722935082
2020-02-28;5726.0;5031600.0;25777898.0;4.8248689327;4.6640399683;4.4850894304;4.8633772763;4.6413880015
2020-03-02;3041.0;2798000.0;16244688.0;5.4364720368;4.7546478356;4.722935082;5.4364720368;5.2597866956
2020-03-03;3325.0;3279200.0;19607287.0;5.5474666743;5.4523284136;5.1329356815;5.6629917051;5.4160852667
2020-03-04;5216.0;7484000.0;43971612.0;5.4795107738;5.6924392619;5.1306704848;5.7649255557;5.3232122027
2020-03-05;2764.0;3642800.0;20418261.0;4.9834327004;5.3911681032;4.9539851436;5.3911681032;5.0785709611
2020-03-06;8248.0;8596800.0;43081432.0;4.5077413972;4.722935082;4.4488462835;4.722935082;4.5394541508
2020-03-09;4923.0;4211200.0;18619190.0;3.9640941935;3.7602264922;3.7602264922;4.2766913357;4.0048677338
2020-03-10;2829.0;2349600.0;11026255.0;4.3038736958;4.3038736958;4.1045363878;4.4850894304;4.2517741721
2020-03-11;2174.0;2027600.0;9350606.0;4.3605036129;4.281221729;3.9686245869;4.3605036129;4.1770226816
2020-03-12;677.0;1163200.0;4872689.0;3.6447014614;3.7579612955;3.3298391226;4.1906138617;3.7942044424
2020-03-13;2958.0;6545600.0;27201724.0;3.9731549803;4.4511114802;3.5450328074;4.4511114802;3.7647568855
2020-03-16;2293.0;21936000.0;82932697.0;3.4204469899;3.4340381699;3.1146454378;3.4770769069;3.4249773832
2020-03-17;1753.0;1926800.0;7295534.0;3.397795023;3.6107235111;3.3094523524;3.6107235111;3.4295077766
2020-03-18;1617.0;4954400.0;14861612.0;2.7182360184;3.0625459141;2.5256943004;3.1712753548;2.7159708217
2020-03-19;2584.0;8774400.0;25115074.0;2.7431531819;2.7182360184;2.4622687934;2.899451753;2.5913850042
2020-03-20;2166.0;2835200.0;8483930.0;2.6298933478;2.8767997862;2.6049761843;3.0466895373;2.7091752317
2020-03-23;1329.0;5378000.0;13559416.0;2.3105006157;2.6321585445;2.2017711749;2.6321585445;2.2833182555
2020-03-24;4995.0;3478000.0;10186653.0;2.9900596203;2.564202644;2.4011084829;2.9900596203;2.6525453146
2020-03-25;2853.0;4454400.0;15657078.0;3.3547562861;2.9039821464;2.9039821464;3.3955298263;3.1826013382
2020-03-26;1196.0;1597600.0;6337497.0;3.7035965751;3.3955298263;3.3185131392;3.7556960988;3.5926019377
2020-03-27;2526.0;2057600.0;8360827.0;3.9527682101;3.4884028903;3.3706126628;4.0297848973;3.6809446083
2020-03-30;1939.0;1450000.0;6392668.0;4.1566359115;3.9527682101;3.7942044424;4.1634315016;3.9935417504
2020-03-31;1479.0;1315600.0;5923277.0;4.0773540276;4.1543707148;4.0116633239;4.1566359115;4.0773540276
2020-04-01;2713.0;4519200.0;18019976.0;3.397795023;3.8848123097;3.3185131392;4.032050094;3.6107235111
2020-04-02;3359.0;6638400.0;23630968.0;3.2754744022;3.5110548571;3.1191758311;3.5110548571;3.2233748785
2020-04-03;2860.0;15550000.0;55756065.0;3.7874088523;3.2279052719;3.0263027672;3.9097294732;3.248292042
2020-04-06;3245.0;7346400.0;31009035.0;3.9754201769;3.9006686864;3.6809446083;4.032050094;3.8236519992
2020-04-07;3364.0;10064400.0;45468985.0;4.2087354352;4.1906138617;3.9731549803;4.3038736958;4.0932104044
2020-04-08;2490.0;6474000.0;30029722.0;4.3061388925;4.3038736958;4.0275197006;4.4692330536;4.2019398451
2020-04-09;1673.0;5905600.0;29500393.0;4.5213325773;4.3491776295;4.3491776295;4.6549791815;4.5258629707
2020-04-13;2547.0;10228800.0;49858566.0;4.2336525987;4.530393364;4.2336525987;4.6413880015;4.4148683333
2020-04-14;1578.0;4073600.0;19750068.0;4.4488462835;4.3944815631;4.2698957456;4.4488462835;4.3922163664
2020-04-15;977.0;806000.0;3948567.0;4.3944815631;4.4035423498;4.2902825157;4.530393364;4.4375203001
2020-04-16;1101.0;1594000.0;7764055.0;4.4171335299;4.530393364;4.3378516461;4.5530453309;4.4126031366
2020-04-17;2775.0;3591600.0;17466807.0;4.3831555797;4.5711669043;4.2517741721;4.5711669043;4.4058075465
2020-04-20;3678.0;3608400.0;17935754.0;4.6459183948;4.3469124328;4.274426139;4.6459183948;4.5032110039
2020-04-22;3754.0;4714400.0;26759427.0;5.0966925345;4.7093439019;4.7070787052;5.6267485581;5.1419964682
2020-04-23;2361.0;1685200.0;9371581.0;4.9834327004;5.2099523686;4.8475208995;5.3277425961;5.0377974208
2020-04-24;3167.0;3102400.0;16699477.0;5.1057533213;4.9789023071;4.5643713143;5.1057533213;4.8769684564
2020-04-27;2973.0;2719200.0;15453655.0;5.2552563023;5.1170793047;4.9811675038;5.3232122027;5.1487920582
2020-04-28;6276.0;6683200.0;40052244.0;5.3685161364;5.4772455771;5.3685161364;5.5587926577;5.4296764468
2020-04-29;3249.0;3305200.0;19552730.0;5.3345381862;5.3911681032;5.2960298426;5.4749803804;5.3594553497
2020-04-30;5159.0;5458400.0;31431186.0;5.1555876483;5.3277425961;5.1034881246;5.4024940866;5.2167479587
2020-05-04;2342.0;1476000.0;8138210.0;4.9698415204;5.0695101744;4.8769684564;5.2008915819;4.9947586839
2020-05-05;3183.0;2322000.0;13167283.0;5.0468582075;5.0060846673;4.9177419967;5.2779082691;5.1374660748
2020-05-06;1943.0;5102800.0;29670053.0;5.4953671506;5.0853665511;4.9992890772;5.4953671506;5.2665822857
2020-05-07;2270.0;1921200.0;11586908.0;5.5270799041;5.5837098212;5.2824386625;5.6176877714;5.463654397
2020-05-08;2436.0;2640000.0;15947509.0;5.4387372335;5.5769142311;5.3300077928;5.5769142311;5.4727151838
2020-05-11;1806.0;1185200.0;7054291.0;5.3911681032;5.4387372335;5.3254773994;5.5044279373;5.3911681032
2020-05-12;1492.0;1250800.0;7496249.0;5.3798421198;5.3911681032;5.3594553497;5.5497318709;5.4296764468
2020-05-13;4563.0;3506000.0;21183891.0;5.4591240037;5.3685161364;5.3503945629;5.5497318709;5.4727151838
2020-05-14;3238.0;4411200.0;25891975.0;5.3798421198;5.3232122027;5.1669136317;5.3956984966;5.3164166127
2020-05-15;3193.0;2641600.0;15392074.0;5.4817759705;5.2824386625;5.0989577312;5.4953671506;5.2779082691
2020-05-18;3653.0;2408000.0;14695826.0;5.6176877714;5.5837098212;5.4002288899;5.6629917051;5.5293451008
2020-05-19;2997.0;3159600.0;19565392.0;5.6629917051;5.5837098212;5.4953671506;5.6652569017;5.6086269847
2020-05-20;3104.0;2825200.0;17704458.0;5.6539309183;5.6652569017;5.5769142311;5.855533423;5.6765828851
2020-05-21;4454.0;4003600.0;24935481.0;5.5746490344;5.6539309183;5.5746490344;5.7513343757;5.6426049349
2020-05-22;3099.0;2886400.0;17499519.0;5.5497318709;5.4364720368;5.3458641696;5.6267485581;5.4931019539
