Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-27;3.0;290.0;1960.0;5.0;6.8;5.0;6.9;6.8
2000-02-16;1.0;30.0;60.0;2.0;2.0;2.0;2.0;2.0
2000-02-18;1.0;10.0;31.0;3.1;3.1;3.1;3.1;3.1
2000-03-30;1.0;100.0;500.0;5.0;5.0;5.0;5.0;5.0
2000-04-12;1.0;10.0;50.0;5.0;5.0;5.0;5.0;5.0
2000-04-18;2.0;200.0;850.0;4.5;4.0;4.0;4.5;4.3
2000-05-23;1.0;100.0;380.0;3.8;3.8;3.8;3.8;3.8
2000-05-24;5.0;690.0;2415.0;3.5;3.5;3.5;3.5;3.5
2000-06-20;1.0;10.0;20.0;2.0;2.0;2.0;2.0;2.0
2000-07-10;1.0;10.0;20.0;2.0;2.0;2.0;2.0;2.0
2000-07-17;1.0;20.0;40.0;2.0;2.0;2.0;2.0;2.0
2000-07-21;4.0;130.0;650.0;5.0;5.0;5.0;5.0;5.0
2000-07-24;14.0;1210.0;10428.0;9.9;5.0;5.0;9.9;8.6
2000-07-25;23.0;1310.0;35450.0;19.0;28.0;19.0;30.1;27.1
2000-07-26;9.0;370.0;7290.0;21.0;20.0;19.0;21.0;19.7
2000-07-27;2.0;100.0;1850.0;18.0;19.0;18.0;19.0;18.5
2000-07-31;2.0;100.0;2000.0;20.0;20.0;20.0;20.0;20.0
2000-08-02;1.0;20.0;400.0;20.0;20.0;20.0;20.0;20.0
2000-08-03;1.0;30.0;570.0;19.0;19.0;19.0;19.0;19.0
2000-08-04;1.0;20.0;380.0;19.0;19.0;19.0;19.0;19.0
2000-08-11;3.0;400.0;8545.0;21.9;20.0;20.0;21.9;21.4
2000-08-16;3.0;40.0;640.0;16.0;16.0;16.0;16.0;16.0
2000-08-28;1.0;200.0;3000.0;15.0;15.0;15.0;15.0;15.0
2000-08-30;2.0;30.0;306.0;10.2;10.2;10.2;10.2;10.2
2000-09-04;1.0;150.0;1500.0;10.0;10.0;10.0;10.0;10.0
2000-09-06;1.0;20.0;200.0;10.0;10.0;10.0;10.0;10.0
2000-09-13;2.0;130.0;1300.0;10.0;10.0;10.0;10.0;10.0
2000-10-09;2.0;50.0;500.0;10.0;10.0;10.0;10.0;10.0
2000-11-13;1.0;50.0;500.0;10.0;10.0;10.0;10.0;10.0
2000-11-30;1.0;10.0;99.0;9.9;9.9;9.9;9.9;9.9
2000-12-01;1.0;70.0;665.0;9.5;9.5;9.5;9.5;9.5
2000-12-04;1.0;80.0;760.0;9.5;9.5;9.5;9.5;9.5
2000-12-06;1.0;10.0;98.0;9.8;9.8;9.8;9.8;9.8
2000-12-11;1.0;20.0;180.0;9.0;9.0;9.0;9.0;9.0
2000-12-18;2.0;150.0;1350.0;9.0;9.0;9.0;9.0;9.0
2001-03-20;1.0;50.0;1005.0;20.1;20.1;20.1;20.1;20.1
2001-05-09;2.0;50.0;255.0;5.1;5.1;5.1;5.1;5.1
2001-06-28;2.0;40.0;204.0;5.1;5.1;5.1;5.1;5.1
2001-06-29;1.0;10.0;100.0;10.0;10.0;10.0;10.0;10.0
2001-09-26;2.0;220.0;880.0;4.0;4.0;4.0;4.0;4.0
2001-09-27;4.0;220.0;880.0;4.0;4.0;4.0;4.0;4.0
2001-09-28;5.0;140.0;560.0;4.0;4.0;4.0;4.0;4.0
2001-10-11;3.0;700.0;2800.0;4.0;4.0;4.0;4.0;4.0
2001-11-06;2.0;40.0;120.0;3.0;3.0;3.0;3.0;3.0
2001-11-12;1.0;10.0;31.0;3.1;3.1;3.1;3.1;3.1
2001-11-19;1.0;30.0;93.0;3.1;3.1;3.1;3.1;3.1
2001-12-10;1.0;10.0;31.0;3.1;3.1;3.1;3.1;3.1
2001-12-18;1.0;30.0;105.0;3.5;3.5;3.5;3.5;3.5
2002-02-04;2.0;20.0;96.0;4.8;4.8;4.8;4.8;4.8
2002-03-08;2.0;50.0;225.0;4.5;4.5;4.5;4.5;4.5
2002-04-09;1.0;10.0;50.0;5.0;5.0;5.0;5.0;5.0
2002-05-28;1.0;10.0;50.0;5.0;5.0;5.0;5.0;5.0
2002-06-11;2.0;20.0;60.0;3.0;3.0;3.0;3.0;3.0
2002-10-04;1.0;20.0;70.0;3.5;3.5;3.5;3.5;3.5
2002-10-22;2.0;20.0;66.0;3.3;3.3;3.3;3.3;3.3
2002-11-13;1.0;40.0;132.0;3.3;3.3;3.3;3.3;3.3
2003-01-15;5.0;330.0;2573.0;7.7;7.8;7.7;7.8;7.8
2003-02-06;2.0;100.0;700.0;7.0;7.0;7.0;7.0;7.0
2003-03-28;1.0;10.0;69.0;6.9;6.9;6.9;6.9;6.9
2003-05-30;2.0;40.0;280.0;7.0;7.0;7.0;7.0;7.0
2003-07-15;2.0;300.0;1500.0;5.0;5.0;5.0;5.0;5.0
2003-07-16;1.0;300.0;1500.0;5.0;5.0;5.0;5.0;5.0
2003-08-12;1.0;60.0;300.0;5.0;5.0;5.0;5.0;5.0
2003-08-21;8.0;540.0;1714.0;3.1;3.1;3.1;3.9;3.2
2003-08-22;4.0;80.0;287.0;3.5;3.6;3.5;3.6;3.6
2003-09-05;1.0;10.0;36.0;3.6;3.6;3.6;3.6;3.6
2003-10-06;2.0;70.0;252.0;3.6;3.6;3.6;3.6;3.6
2003-10-08;3.0;140.0;518.0;3.7;3.7;3.7;3.7;3.7
2003-10-16;2.0;40.0;200.0;5.0;5.0;5.0;5.0;5.0
2003-10-22;2.0;70.0;273.0;3.9;3.9;3.9;3.9;3.9
2003-10-23;3.0;120.0;518.0;4.4;4.3;4.3;4.4;4.3
2003-10-27;1.0;20.0;88.0;4.4;4.4;4.4;4.4;4.4
2003-10-31;3.0;30.0;148.0;5.0;4.9;4.9;5.0;4.9
2003-11-05;2.0;40.0;218.0;5.5;5.4;5.4;5.5;5.5
2003-11-06;1.0;30.0;180.0;6.0;6.0;6.0;6.0;6.0
2003-11-11;2.0;400.0;2080.0;5.2;5.2;5.2;5.2;5.2
2003-11-21;6.0;330.0;1353.0;4.1;4.1;4.1;4.1;4.1
2003-12-04;1.0;500.0;2000.0;4.0;4.0;4.0;4.0;4.0
2003-12-08;1.0;240.0;960.0;4.0;4.0;4.0;4.0;4.0
2003-12-10;1.0;80.0;384.0;4.8;4.8;4.8;4.8;4.8
2003-12-19;1.0;30.0;141.0;4.7;4.7;4.7;4.7;4.7
2004-01-12;2.0;200.0;900.0;4.5;4.5;4.5;4.5;4.5
2004-03-02;1.0;20.0;94.0;4.7;4.7;4.7;4.7;4.7
2004-03-31;2.0;60.0;234.0;3.9;3.9;3.9;3.9;3.9
2004-04-02;1.0;260.0;1014.0;3.9;3.9;3.9;3.9;3.9
2004-04-05;2.0;200.0;729.0;3.6;3.7;3.6;3.7;3.6
2004-06-30;1.0;10.0;15.0;1.5;1.5;1.5;1.5;1.5
2004-08-04;1.0;2830.0;4245.0;1.5;1.5;1.5;1.5;1.5
2004-09-28;3.0;120.0;516.0;4.3;4.3;4.3;4.3;4.3
2004-10-01;1.0;20.0;92.0;4.6;4.6;4.6;4.6;4.6
2004-10-05;1.0;20.0;72.0;3.6;3.6;3.6;3.6;3.6
2004-12-15;1.0;10.0;44.0;4.4;4.4;4.4;4.4;4.4
2004-12-27;2.0;30.0;129.0;4.3;4.3;4.3;4.3;4.3
2005-01-11;1.0;10.0;42.0;4.2;4.2;4.2;4.2;4.2
2005-03-17;1.0;30.0;123.0;4.1;4.1;4.1;4.1;4.1
2005-04-07;3.0;50.0;170.0;3.4;3.4;3.4;3.4;3.4
2005-04-18;2.0;120.0;252.0;2.1;2.1;2.1;2.1;2.1
2005-05-16;1.0;10.0;27.0;2.7;2.7;2.7;2.7;2.7
2005-05-19;1.0;40.0;108.0;2.7;2.7;2.7;2.7;2.7
2005-05-20;1.0;20.0;52.0;2.6;2.6;2.6;2.6;2.6
2005-05-31;2.0;100.0;230.0;2.3;2.3;2.3;2.3;2.3
2005-06-01;2.0;50.0;115.0;2.3;2.3;2.3;2.3;2.3
2005-06-07;1.0;30.0;72.0;2.4;2.4;2.4;2.4;2.4
2005-06-30;1.0;50.0;120.0;2.4;2.4;2.4;2.4;2.4
2005-07-01;2.0;20.0;72.0;4.0;3.2;3.2;4.0;3.6
2005-10-03;1.0;90.0;315.0;3.5;3.5;3.5;3.5;3.5
2005-10-26;1.0;10.0;40.0;4.0;4.0;4.0;4.0;4.0
2005-11-14;1.0;30.0;120.0;4.0;4.0;4.0;4.0;4.0
2006-01-26;5.0;100.0;220.0;3.0;2.0;2.0;3.0;2.2
2006-05-30;1.0;10.0;34.0;3.4;3.4;3.4;3.4;3.4
2006-10-04;3.0;270.0;513.0;1.9;1.9;1.9;1.9;1.9
2006-10-05;1.0;20.0;42.0;2.1;2.1;2.1;2.1;2.1
