Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-06-28;0.0;0.0;0.0;8.8757818528;8.8757818528;8.8757818528;8.8757818528;8.8757818528
2007-06-29;2794.0;4390600.0;77332869.0;9.5597391602;8.9018870935;8.9018870935;9.6067285936;9.1942657898
2007-07-02;587.0;1596700.0;30792034.0;10.233254371;9.5492970639;9.2986867528;10.431654201;10.06618083
2007-07-03;270.0;680000.0;12940217.0;9.9199914825;10.20714913;9.5754023047;10.212370178;9.935654627
2007-07-04;130.0;250800.0;4669061.0;9.6589390751;9.6641601232;9.6589390751;9.9147704343;9.7215916529
2007-07-05;158.0;1104000.0;20907937.0;10.003528252;9.6589390751;9.6589390751;10.076622927;9.8886651936
2007-07-06;180.0;486900.0;9605031.0;10.415991056;10.024412445;9.9460967232;10.431654201;10.301127997
2007-07-10;124.0;955300.0;19304657.0;10.468201538;10.442096297;10.442096297;10.68748556;10.551738308
2007-07-11;218.0;919100.0;18518338.0;10.650938223;10.494306778;10.081843975;10.703148704;10.520412019
2007-07-12;180.0;444600.0;9226414.0;10.703148704;10.703148704;10.494306778;11.225253519;10.833674908
2007-07-13;83.0;426000.0;8901677.0;10.901548534;10.964201112;10.650938223;10.964201112;10.91199063
2007-07-16;42.0;108100.0;2199888.0;10.624832982;10.901548534;10.541296212;10.964201112;10.624832982
2007-07-17;175.0;681400.0;13499241.0;10.807569667;10.494306778;10.154938649;10.958980064;10.342896382
2007-07-18;69.0;378600.0;7744080.0;10.703148704;10.729253945;10.504748875;10.807569667;10.677043464
2007-07-19;139.0;217200.0;4434437.0;10.906769582;10.703148704;10.494306778;10.906769582;10.661380319
2007-07-20;188.0;433300.0;9091727.0;11.434095445;10.859780149;10.677043464;11.434095445;10.953759015
2007-07-23;75.0;72900.0;1580215.0;11.329674482;11.120832556;10.964201112;11.736916238;11.319232386
2007-07-24;91.0;246100.0;5160425.0;10.82845386;11.465421734;10.640496127;11.501969071;10.948537967
2007-07-25;90.0;131200.0;2688574.0;10.859780149;11.120832556;10.186264938;11.277464001;10.697927656
2007-07-26;55.0;161200.0;3235252.0;10.645717175;10.572622501;10.181043889;10.776243378;10.478643634
2007-07-27;77.0;95800.0;1909593.0;10.389885815;10.442096297;10.285464852;10.650938223;10.40554896
2007-07-30;108.0;393800.0;7932418.0;10.650938223;10.290685901;10.290685901;10.650938223;10.515190971
