Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-10-17;0.0;0.0;0.0;4.8375465078;4.8375465078;4.8375465078;4.8375465078;4.8375465078
2006-10-18;1633.0;7872300.0;55166260.0;4.8721004114;4.8375465078;4.7246704226;4.9296902508;4.8421536949
2006-10-19;273.0;1155600.0;8104664.0;4.8559752564;4.8605824435;4.814510572;4.906654315;4.8467608821
2006-10-20;186.0;1073700.0;7547788.0;4.8836183793;4.8398501013;4.8375465078;4.8836183793;4.8582788499
2006-10-23;260.0;992100.0;7086585.0;4.9296902508;4.8928327536;4.8490644756;4.982672903;4.9366010315
2006-10-24;106.0;286200.0;2038585.0;4.9527261865;4.9296902508;4.8951363471;4.9527261865;4.92277947
2006-10-25;89.0;676500.0;4770778.0;4.8790111921;4.8951363471;4.8490644756;4.9135650957;4.874404005
2006-10-26;75.0;63300.0;445366.0;4.8605824435;4.8536716628;4.8536716628;4.8836183793;4.8628860371
2006-10-27;84.0;195600.0;1375510.0;4.8605824435;4.8490644756;4.8375465078;4.8697968178;4.8605824435
2006-10-30;37.0;69600.0;487621.0;4.8375465078;4.8375465078;4.8375465078;4.8605824435;4.8421536949
2006-10-31;84.0;638100.0;4470033.0;4.8813147857;4.8490644756;4.8375465078;4.8813147857;4.8421536949
2006-11-01;63.0;170100.0;1193996.0;4.8375465078;4.8813147857;4.8375465078;4.8813147857;4.8513680692
2006-11-03;18.0;16500.0;116629.0;4.8467608821;4.8721004114;4.8444572885;4.9273866572;4.8859219728
2006-11-06;78.0;372600.0;2609705.0;4.8467608821;4.8375465078;4.8375465078;4.8605824435;4.8398501013
2006-11-07;40.0;93600.0;655335.0;4.8375465078;4.7477063583;4.7477063583;4.8651896307;4.8375465078
2006-11-08;35.0;763800.0;5348498.0;4.89052916;4.8375465078;4.8375465078;4.89052916;4.8398501013
2006-11-09;36.0;44100.0;311216.0;4.8697968178;4.8605824435;4.8605824435;4.8974399407;4.8767075985
2006-11-10;121.0;359400.0;2559310.0;4.89052916;4.8951363471;4.8605824435;4.9757621223;4.9204758765
2006-11-13;96.0;222600.0;1586474.0;4.9964944645;4.89052916;4.8605824435;4.9964944645;4.9250830636
2006-11-14;86.0;234300.0;1685197.0;4.998798058;5.0218339938;4.906654315;5.0218339938;4.9711549351
2006-11-16;64.0;166200.0;1194190.0;4.9527261865;5.0218339938;4.9435118122;5.0218339938;4.966547748
2006-11-17;37.0;116400.0;823546.0;4.998798058;4.9273866572;4.8605824435;4.998798058;4.89052916
2006-11-21;47.0;151500.0;1078989.0;4.9527261865;4.9964944645;4.8628860371;4.9964944645;4.92277947
2006-11-22;157.0;999000.0;7165622.0;5.0679058653;4.874404005;4.874404005;5.183085544;4.9573333737
