Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-02-12;0.0;0.0;0.0;14.664202631;14.664202631;14.664202631;14.664202631;14.664202631
2020-02-13;20336.0;15222400.0;277105327.0;14.278302562;14.131660536;13.838376483;14.509842604;14.046762521
2020-02-14;4512.0;2943100.0;53550735.0;14.015890515;14.278302562;13.946428503;14.394072583;14.039044519
2020-02-17;4691.0;2041900.0;36737826.0;13.969582507;14.116224533;13.730324464;14.216558551;13.884684491
2020-02-18;1031.0;412500.0;7467718.0;14.123942534;13.768914471;13.753478468;14.123942534;13.969582507
2020-02-19;512.0;366500.0;6747661.0;14.278302562;14.201122548;14.093070529;14.278302562;14.20884055
2020-02-20;465.0;386300.0;7097328.0;14.20884055;14.255148558;14.093070529;14.278302562;14.177968544
2020-02-21;3089.0;1045500.0;18742516.0;13.861530487;14.231994554;13.714888461;14.278302562;13.830658482
2020-02-26;2032.0;1188700.0;19763077.0;12.781010293;13.120602354;12.580342257;13.467912417;12.827318302
2020-02-27;1229.0;907800.0;14733880.0;12.449136234;12.580342257;12.225314194;12.672958274;12.526316248
2020-02-28;2881.0;1883900.0;29282264.0;13.027986338;12.194442188;11.64646409;13.027986338;11.993774152
2020-03-02;2091.0;1029400.0;16780906.0;12.572624256;12.842754305;12.271622202;13.120602354;12.580342257
2020-03-03;4193.0;1339600.0;21960676.0;12.379674221;12.480008239;12.31793021;13.352142396;12.64980427
2020-03-04;1039.0;558300.0;9168548.0;13.112884353;12.580342257;12.42598223;13.112884353;12.672958274
2020-03-05;516.0;461500.0;7521049.0;12.387392223;13.120602354;12.179006185;13.352142396;12.572624256
2020-03-06;2926.0;1676500.0;25721699.0;12.194442188;11.661900093;11.306872029;12.20216019;11.839414124
2020-03-09;3560.0;2170600.0;28612977.0;9.879041773;11.546130072;9.3850896844;11.546130072;10.172325825
2020-03-10;3328.0;1932500.0;25227837.0;10.342121856;10.372993861;9.3928076858;10.720303924;10.071991807
2020-03-11;2308.0;1242400.0;15353122.0;10.0334018;10.172325825;8.536109532;10.172325825;9.5317317107
2020-03-12;1184.0;800900.0;8227291.0;7.5250513506;8.8525475888;6.9616372494;9.0300616207;7.9263874226
2020-03-13;6517.0;1937300.0;19472735.0;8.3971855071;8.536109532;6.9616372494;8.7908035777;7.7565913921
2020-03-16;2717.0;836200.0;6784854.0;5.9351430652;6.753251212;5.9351430652;7.2086132938;6.2592991234
2020-03-17;1262.0;691900.0;5021993.0;5.4489089779;6.1435291026;5.4026009696;6.1821191095;5.5955510043
2020-03-18;1019.0;776400.0;3713651.0;3.866718694;5.1479069239;2.9868665361;5.1479069239;3.6892046621
2020-03-19;1981.0;1076600.0;5012579.0;3.8590006926;3.7818206787;2.8402245097;4.3143627743;3.5888706441
2020-03-20;3044.0;927400.0;4976544.0;4.167720748;4.3297987771;3.8590006926;4.368388784;4.1368487425
2020-03-23;2044.0;552500.0;2516052.0;3.326458597;4.2989267715;3.326458597;4.5459028159;3.5116906303
2020-03-24;1511.0;1370200.0;6128230.0;3.3573306026;3.5811526427;3.2492785832;3.7818206787;3.4499466192
2020-03-25;2004.0;3324900.0;16587105.0;4.3606707826;3.4731006233;3.3573306026;4.3606707826;3.8435646898
2020-03-26;2046.0;776600.0;4799619.0;4.8854948768;4.6308008311;4.3992607895;5.3254209558;4.769724856
2020-03-27;2789.0;842700.0;5220171.0;4.9472388879;4.6385188325;4.4918768062;5.1633429267;4.7774428574
2020-03-30;1777.0;620500.0;4003923.0;4.8546228713;5.0244189018;4.7234168477;5.3254209558;4.9781108934
2020-03-31;1565.0;735200.0;4440734.0;4.769724856;4.8546228713;4.5304668131;4.8546228713;4.6616728366
2020-04-01;6199.0;1516400.0;8683218.0;4.5999288256;4.6308008311;4.2063107549;4.8469048699;4.4146967923
2020-04-02;4392.0;2942200.0;16020181.0;4.1600027466;4.7851608588;4.1214127397;4.7851608588;4.1985927535
2020-04-03;2782.0;2418300.0;12099837.0;3.8590006926;4.2449007618;3.666050658;4.2449007618;3.8590006926
2020-04-06;822.0;337900.0;1837388.0;4.1059767369;4.0905407341;4.0442327258;4.4378507965;4.1908747522
2020-04-07;782.0;215900.0;1198120.0;4.2063107549;4.5844928228;4.1291307411;4.5844928228;4.2757727674
2020-04-08;652.0;197400.0;1168536.0;4.6308008311;4.2063107549;4.167720748;4.7774428574;4.5613388186
2020-04-09;1639.0;571000.0;3728947.0;4.9626748907;4.7388528505;4.6616728366;5.3948829682;5.0398549045
2020-04-13;838.0;175700.0;1160106.0;4.9549568893;5.2328049392;4.9395208865;5.2636769447;5.0938809142
2020-04-14;489.0;160900.0;1071618.0;5.1324709211;5.1633429267;5.0475729059;5.3177029544;5.1401889225
2020-04-15;984.0;195200.0;1271636.0;4.9318028851;4.9781108934;4.870058874;5.2791129475;5.0244189018
2020-04-16;967.0;346200.0;2156037.0;4.8623408727;5.0012648976;4.5536208173;5.0398549045;4.8005968616
2020-04-17;2594.0;696300.0;4241442.0;4.6308008311;4.8623408727;4.5227488117;4.9781108934;4.7002628436
2020-04-20;567.0;168300.0;1019624.0;4.8005968616;4.5381848145;4.4069787909;4.8005968616;4.669390838
2020-04-22;3299.0;1114400.0;7241845.0;5.2250869378;4.808314863;4.6771088394;5.2405229405;5.008982899
2020-04-23;1297.0;298900.0;2043558.0;5.3948829682;5.4411909766;5.0244189018;5.4411909766;5.2713949461
2020-04-24;1895.0;913400.0;5751276.0;4.6308008311;5.1556249253;4.4995948076;5.209650935;4.8546228713
2020-04-27;1244.0;366600.0;2174466.0;4.7234168477;4.7542888533;4.4146967923;4.808314863;4.5767748214
2020-04-28;4383.0;1252200.0;7891233.0;5.1324709211;4.707980845;4.5922108242;5.209650935;4.8623408727
2020-04-29;1889.0;761900.0;5243580.0;5.3331389572;5.3022669516;5.1324709211;5.610987007;5.309984953
