Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2015-03-31;750.0;318900.0;2071792.0;5.8258019157;5.6316085185;5.4727230118;5.9493795321;5.7375321897
2015-04-01;2087.0;468300.0;3127892.0;6.1347459567;5.9052446691;5.5168578748;6.1347459567;5.8964176965
2015-04-02;1426.0;545900.0;3838709.0;6.2848044909;6.2141887101;5.9582065047;6.3112854087;6.2053617375
2015-04-06;625.0;360800.0;2587925.0;6.4436899977;6.3819011895;6.2318426553;6.5937485319;6.3289393539
2015-04-07;446.0;319700.0;2357039.0;6.4966518333;6.4878248607;6.3995551347;6.6643643127;6.5054788059
2015-04-08;930.0;507500.0;3759544.0;6.6996722031;6.6114024771;6.4525169703;6.6996722031;6.5407866963
2015-04-09;1023.0;214800.0;1634197.0;6.6202294497;6.6820182579;6.5760945867;6.8850386277;6.7173261483
2015-04-10;2111.0;915200.0;6853444.0;6.6202294497;6.6025755045;6.4436899977;6.8409037647;6.6114024771
2015-04-13;655.0;702000.0;5208500.0;6.5760945867;6.6202294497;6.4172090799;6.6908452305;6.5496136689
2015-04-14;1354.0;612800.0;4510368.0;6.4436899977;6.5672676141;6.4348630251;6.6114024771;6.4966518333
2015-04-15;1850.0;286500.0;2092103.0;6.4436899977;6.4436899977;6.3289393539;6.5496136689;6.4436899977
2015-04-16;495.0;195300.0;1447972.0;6.7614610113;6.5319597237;6.3995551347;6.7614610113;6.5407866963
2015-04-17;1085.0;310500.0;2341386.0;6.5760945867;6.7084991757;6.4701709155;7.2381175317;6.6555373401
2015-04-20;781.0;170400.0;1257030.0;6.4878248607;6.6202294497;6.4260360525;6.6908452305;6.5143057785
2015-04-22;605.0;324600.0;2445244.0;6.8762116551;6.5496136689;6.4878248607;6.8850386277;6.6467103675
2015-04-23;551.0;258100.0;2003855.0;6.8585577099;6.8762116551;6.7526340387;7.0439241345;6.8497307373
2015-04-24;800.0;228100.0;1798018.0;6.9733083537;6.9468274359;6.8409037647;7.1939826687;6.9556544085
2015-04-27;632.0;1643500.0;12815695.0;6.8850386277;6.9291734907;6.7526340387;7.1321938605;6.8850386277
2015-04-28;915.0;292700.0;2244564.0;6.8850386277;6.8850386277;6.5760945867;7.0439241345;6.7702879839
2015-04-29;803.0;773600.0;5809899.0;6.6202294497;6.8497307373;6.4789978881;6.8762116551;6.6290564223
2015-04-30;1380.0;828700.0;6154447.0;6.6202294497;6.5849215593;6.4613439429;6.7261531209;6.5584406415
2015-05-04;1959.0;545000.0;4127585.0;6.7967689017;6.6378833949;6.5672676141;6.7967689017;6.6820182579
2015-05-05;1411.0;708800.0;5590597.0;7.0615780797;6.7614610113;6.6467103675;7.1586747783;6.9644813811
2015-05-06;680.0;263100.0;2043359.0;6.7526340387;7.1145399153;6.7526340387;7.1145399153;6.8585577099
2015-05-07;1176.0;1898400.0;14858969.0;7.2292905591;6.9380004633;6.6202294497;7.2292905591;6.9115195455
2015-05-08;944.0;308300.0;2507242.0;7.1939826687;7.2381175317;7.0615780797;7.3175602851;7.1763287235
2015-05-11;1738.0;725200.0;5796129.0;7.0615780797;7.2292905591;6.8938656003;7.2381175317;7.0527511071
2015-05-12;1755.0;381000.0;3059496.0;7.1057129427;7.0086162441;6.9556544085;7.2204635865;7.0880589975
2015-05-13;863.0;589900.0;4756089.0;7.1057129427;7.1057129427;6.9380004633;7.3087333125;7.1145399153
2015-05-14;868.0;255400.0;2063879.0;7.2381175317;7.1586747783;7.0615780797;7.2381175317;7.1321938605
2015-05-15;835.0;322800.0;2668534.0;7.2822523947;7.2292905591;7.1145399153;7.4940997371;7.2999063399
2015-05-18;2536.0;587000.0;4797281.0;7.2381175317;7.2734254221;7.0792320249;7.4146569837;7.2116366139
2015-05-19;1073.0;259400.0;2101181.0;7.1498478057;7.2734254221;7.1057129427;7.2734254221;7.1498478057
2015-05-20;1008.0;496200.0;4000762.0;7.0704050523;7.1763287235;6.9997892715;7.2292905591;7.1145399153
2015-05-21;497.0;141900.0;1138838.0;7.0615780797;7.0968859701;6.9556544085;7.1851556961;7.0880589975
2015-05-22;993.0;229800.0;1808347.0;6.8585577099;7.0704050523;6.7614610113;7.2116366139;6.9468274359
2015-05-25;287.0;86100.0;676933.0;6.9115195455;6.9203465181;6.8409037647;7.1145399153;6.9380004633
2015-05-26;1320.0;635000.0;4825884.0;6.6467103675;7.0439241345;6.6025755045;7.0439241345;6.7084991757
2015-05-27;343.0;81800.0;613786.0;6.6202294497;6.6820182579;6.5407866963;6.6820182579;6.6202294497
2015-05-28;365.0;225200.0;1689354.0;6.6555373401;6.6820182579;6.5496136689;6.6820182579;6.6202294497
2015-05-29;1808.0;1032000.0;7960337.0;6.6643643127;6.5849215593;6.5849215593;7.0704050523;6.8055958743
2015-06-01;1527.0;671300.0;5228509.0;7.1498478057;6.7702879839;6.5407866963;7.1498478057;6.8762116551
2015-06-02;599.0;196000.0;1574767.0;7.1498478057;7.1586747783;6.9997892715;7.2204635865;7.0880589975
2015-06-03;749.0;268400.0;2193192.0;7.1939826687;7.1586747783;7.1410208331;7.3705221207;7.2116366139
2015-06-05;647.0;134000.0;1086897.0;7.2999063399;7.1586747783;7.0086162441;7.2999063399;7.1586747783
2015-06-08;863.0;222800.0;1806619.0;7.2469445043;7.1410208331;7.0704050523;7.3528681755;7.1586747783
2015-06-09;831.0;300900.0;2561300.0;7.5911964357;7.2822523947;7.2116366139;7.7236010247;7.5117536823
2015-06-10;499.0;247100.0;2114014.0;7.5911964357;7.6353312987;7.4058300111;7.758908915;7.5558885453
2015-06-11;565.0;221100.0;1875035.0;7.5470615727;7.6088503809;7.3881760659;7.6088503809;7.4852727645
2015-06-12;694.0;205800.0;1742064.0;7.5029267097;7.4764457919;7.4146569837;7.5823694631;7.4676188193
2015-06-15;585.0;398400.0;3317092.0;7.3705221207;7.5029267097;7.2557714769;7.5911964357;7.3528681755
