Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-09-25;0.0;0.0;0.0;4.1156391924;4.1156391924;4.1156391924;4.1156391924;4.1156391924
2020-09-28;8003.0;7287000.0;61314912.0;4.0430102655;4.0526941224;3.9945909809;4.1592165486;4.0720618363
2020-09-29;1699.0;1090600.0;8903093.0;3.9703813386;4.0672199078;3.8977524116;4.0672199078;3.9510136247
2020-09-30;1710.0;1255900.0;10263641.0;3.9703813386;3.9171201255;3.9171201255;3.9849071239;3.9558555532
2020-10-01;716.0;402700.0;3381347.0;4.0914295501;3.9800651955;3.9703813386;4.101113407;4.0623779793
2020-10-02;1932.0;440100.0;3632196.0;3.9994329093;4.0284844801;3.975223267;4.0720618363;3.9945909809
2020-10-05;297.0;109400.0;901930.0;4.0188006232;4.0042748378;3.9558555532;4.0430102655;3.9897490524
2020-10-06;1039.0;970900.0;7775973.0;3.8444911986;4.0575360509;3.8154396278;4.0575360509;3.8735427693
2020-10-07;2607.0;1276800.0;10123799.0;3.8444911986;3.849333127;3.7524945578;3.9025943401;3.8348073416
2020-10-08;200.0;131500.0;1044386.0;3.8444911986;3.8735427693;3.8057557709;3.8735427693;3.8444911986
2020-10-09;311.0;241300.0;1925569.0;3.849333127;3.8251234847;3.8251234847;3.8880685547;3.8590169839
2020-10-13;585.0;310600.0;2480294.0;3.8057557709;3.8735427693;3.7815461285;4.0139586947;3.8638589124
2020-10-14;150.0;111200.0;880346.0;3.8687008409;3.8057557709;3.7815461285;3.8687008409;3.8299654132
2020-10-15;387.0;118800.0;939171.0;3.8977524116;3.8590169839;3.7767042001;3.8977524116;3.8251234847
2020-10-16;810.0;477300.0;3769351.0;3.8202815562;3.9171201255;3.7960719139;3.9171201255;3.8202815562
2020-10-19;385.0;132100.0;1033378.0;3.7573364862;3.8590169839;3.7573364862;3.9074362686;3.786388057
2020-10-20;772.0;447600.0;3407594.0;3.6508140601;3.7767042001;3.6508140601;3.8251234847;3.6847075593
2020-10-21;442.0;335500.0;2481276.0;3.6314463462;3.6411302032;3.5055562062;3.6411302032;3.5781851332
2020-10-22;1102.0;1047000.0;7700815.0;3.5442916339;3.6314463462;3.534607777;3.6314463462;3.5588174193
2020-10-23;982.0;940600.0;6868647.0;3.5830270616;3.5491335624;3.5152400632;3.6169205609;3.534607777
2020-10-26;979.0;296600.0;2196217.0;3.6217624893;3.5685012762;3.5685012762;3.6217624893;3.5830270616
2020-10-27;1868.0;1213400.0;9380637.0;3.7524945578;3.6314463462;3.6314463462;3.8687008409;3.7428107009
2020-10-28;851.0;226800.0;1659808.0;3.5297658485;3.7282849155;3.5152400632;3.7282849155;3.5394497055
2020-10-29;1111.0;388400.0;2790570.0;3.4813465639;3.534607777;3.4232434224;3.534607777;3.4765046355
2020-10-30;1404.0;1015300.0;6896285.0;3.2537759262;3.4426111362;3.2101985701;3.5830270616;3.2876694255
2020-11-03;859.0;547700.0;3619605.0;3.1617792855;3.3312467816;3.1617792855;3.4329272793;3.1956727847
2020-11-04;1046.0;365700.0;2441923.0;3.3602983524;3.1763050708;3.156937357;3.3602983524;3.2295662839
2020-11-05;951.0;370900.0;2563959.0;3.3748241378;3.3845079947;3.3021952108;3.4280853508;3.345772567
