Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;1.0;66.666666667;325.99999104;3.4686166853;3.4686166853;3.4686166853;3.4686166853;3.4686166853
2000-01-04;29.0;35266.666667;165029.0;3.1919786602;3.3515775685;3.1919786602;3.404777122;3.3196577868
2000-01-05;25.0;19000.0;86116.0;3.298378015;3.1281390969;3.0855793055;3.3834973501;3.2132584321
2000-01-06;10.0;7800.0;36943.0;3.2451782137;3.3941373599;3.2451782137;3.404777122;3.3622175782
2000-01-07;2.0;666.66666667;3100.000089;3.298378015;3.298378015;3.298378015;3.298378015;3.298378015
2000-01-10;7.0;4466.6666667;22060.0;3.6175758314;3.404777122;3.404777122;3.6175758314;3.5005364669
2000-01-12;1.0;666.66666667;3389.9999689;3.6069358216;3.6069358216;3.6069358216;3.6069358216;3.6069358216
2000-01-13;9.0;13933.333333;70985.0;3.6175758314;3.6175758314;3.6069358216;3.6388556033;3.6175758314
2000-01-14;10.0;16600.0;85820.0;3.7239751862;3.6388556033;3.4579769232;3.7239751862;3.6707753849
2000-01-17;17.0;17400.0;91635.0;3.7239751862;3.7239751862;3.7239751862;3.7771747397;3.7346149482
2000-01-18;27.0;22733.333333;122661.0;3.8835740944;3.7665347299;3.7665347299;3.8835740944;3.8303742932
2000-01-19;84.0;89933.333333;545752.0;4.2559717121;3.9899732014;3.9899732014;4.5858095384;4.3091712656
2000-01-20;19.0;13933.333333;86390.0;4.5006899555;4.1495721096;4.1495721096;4.5751695286;4.394290353
2000-01-21;26.0;26800.0;177041.0;4.5751695286;4.7879677426;4.5751695286;4.8943673451;4.6815686356
2000-01-24;4.0;6066.6666667;35510.0;4.1495721096;4.2559717121;4.1495721096;4.2559717121;4.1495721096
2000-01-26;9.0;4533.3333333;28649.0;4.4687699261;4.2666112264;4.2666112264;4.5751695286;4.4794099359
2000-01-27;11.0;6133.3333333;37894.0;4.2559717121;4.4687699261;4.2559717121;4.4687699261;4.3836508387
2000-01-28;3.0;2333.3333333;13976.0;4.2134116729;4.2559717121;4.2134116729;4.2559717121;4.2453317023
2000-01-31;5.0;333.33333333;1919.0;3.9474136577;3.9793334393;3.9474136577;4.2559717121;4.0857325464
2000-02-01;6.0;2866.6666667;16666.0;4.0538127647;4.2559717121;4.0538127647;4.2559717121;4.1282923378
2000-02-02;2.0;666.66666667;4000.00019;4.2559717121;4.2559717121;4.2559717121;4.2559717121;4.2559717121
2000-02-03;10.0;7133.3333333;42710.0;4.2559717121;4.2559717121;4.1495721096;4.2559717121;4.2453317023
2000-02-04;2.0;2000.0;11820.000596;4.2559717121;4.1602121194;4.1602121194;4.2559717121;4.1921321488
2000-02-07;1.0;666.66666667;3650.0000861;3.8835740944;3.8835740944;3.8835740944;3.8835740944;3.8835740944
2000-02-08;11.0;9666.6666667;56100.0;4.1495721096;4.0963725561;4.0431730026;4.1602121194;4.117652328
2000-02-09;26.0;25800.0;153817.0;3.7239751862;4.1495721096;3.7239751862;4.2985312558;4.2240516827
2000-02-10;10.0;11866.666666;70195.0;4.0963725561;4.2027716631;4.0431730026;4.2027716631;4.1921321488
2000-02-11;20.0;18533.333333;94922.0;3.6494956131;4.1070125659;3.1919786602;4.2346916925;3.6282155935
2000-02-14;14.0;5000.0;27768.0;3.7346149482;3.6707753849;3.6707753849;4.0431730026;3.9367736479
2000-02-15;7.0;2000.0;10818.0;3.7346149482;4.0431730026;3.7346149482;4.0963725561;3.841014303
2000-02-16;10.0;7333.3333333;38851.0;3.7346149482;3.6175758314;3.6175758314;3.7771747397;3.7558949678
2000-02-17;11.0;1533.3333333;8611.0;3.6707753849;3.6282155935;3.6282155935;4.0963725561;3.9793334393
2000-02-18;19.0;3666.6666667;19707.0;3.7239751862;3.9367736479;3.7239751862;3.9367736479;3.8090945213
2000-02-21;3.0;2000.0;10650.000069;3.7771747397;3.7771747397;3.7771747397;3.7771747397;3.7771747397
2000-02-22;5.0;7000.0;39593.0;3.9474136577;4.0431730026;3.8516543128;4.0431730026;4.011253221
2000-02-23;5.0;1800.0;10111.0;3.9793334393;3.9899732014;3.9793334393;3.9899732014;3.9793334393
2000-02-24;7.0;3066.6666667;17445.0;3.9899732014;3.9899732014;3.9899732014;4.0538127647;4.0325329928
2000-02-25;3.0;733.33333333;4124.9999078;3.9899732014;3.9899732014;3.9899732014;3.9899732014;3.9899732014
2000-02-28;7.0;3533.3333333;19640.0;3.8835740944;3.9793334393;3.7771747397;4.2559717121;3.9474136577
2000-02-29;7.0;6200.0;33958.0;4.2346916925;3.745254958;3.745254958;4.2346916925;3.8835740944
2000-03-01;1.0;1666.6666667;9899.9997135;4.2134116729;4.2134116729;4.2134116729;4.2134116729;4.2134116729
2000-03-02;6.0;2933.3333333;17256.0;4.2559717121;4.1282923378;4.1282923378;4.2559717121;4.1708521292
2000-03-08;6.0;4200.0;24880.0;4.2027716631;4.1495721096;4.1495721096;4.2559717121;4.2027716631
2000-03-09;4.0;3000.0;17675.0;4.2027716631;4.1495721096;4.1495721096;4.2027716631;4.181492139
2000-03-13;2.0;666.66666667;3715.0;3.9474136577;3.9580534198;3.9474136577;3.9580534198;3.9580534198
2000-03-14;4.0;12000.0;66500.0;3.8835740944;3.8835740944;3.8835740944;3.9367736479;3.9261336381
2000-03-15;4.0;1133.3333333;6190.0;3.9367736479;3.9367736479;3.8303742932;3.9367736479;3.8729340846
2000-03-16;1.0;266.66666667;1480.0000004;3.9367736479;3.9367736479;3.9367736479;3.9367736479;3.9367736479
2000-03-17;3.0;800.0;4371.0;4.0963725561;3.841014303;3.8303742932;4.0963725561;3.8729340846
2000-03-20;4.0;2000.0;11100.000003;3.9367736479;3.9367736479;3.9367736479;3.9367736479;3.9367736479
2000-03-21;4.0;2666.6666667;15419.0;4.1389323476;3.8303742932;3.8303742932;4.1389323476;4.0963725561
2000-03-22;7.0;3066.6666667;17062.0;4.0963725561;3.9367736479;3.9367736479;4.0963725561;3.9474136577
2000-03-23;6.0;2733.3333333;15180.0;3.9367736479;3.9367736479;3.9367736479;4.0431730026;3.9367736479
2000-03-27;3.0;4200.0;23010.0;3.9367736479;3.9367736479;3.8303742932;3.9367736479;3.8835740944
2000-03-28;7.0;1133.3333333;6325.0;4.1389323476;4.1282923378;3.841014303;4.1389323476;3.9580534198
2000-03-29;3.0;466.66666667;2601.0;4.1282923378;3.8835740944;3.8835740944;4.1282923378;3.9474136577
2000-03-30;10.0;18133.333333;117449.0;4.4687699261;4.1282923378;4.1282923378;4.6815686356;4.5858095384
2000-03-31;12.0;6533.3333333;40940.0;4.0857325464;4.4687699261;4.0857325464;4.5751695286;4.4368503922
2000-04-03;1.0;66.666666667;380.00000641;4.0431730026;4.0431730026;4.0431730026;4.0431730026;4.0431730026
2000-04-04;1.0;666.66666667;3800.0000641;4.0431730026;4.0431730026;4.0431730026;4.0431730026;4.0431730026
2000-04-05;5.0;2733.3333333;14661.0;3.7239751862;4.0218929831;3.7239751862;4.0218929831;3.8090945213
2000-04-06;8.0;2333.3333333;12580.0;3.8303742932;3.9367736479;3.7239751862;4.0325329928;3.8197345311
2000-04-07;2.0;1000.0;5689.0;3.9261336381;4.0431730026;3.9261336381;4.0431730026;4.0325329928
2000-04-10;5.0;3466.6666667;18479.0;3.9367736479;4.0325329928;3.7239751862;4.0325329928;3.7771747397
2000-04-11;1.0;66.666666667;384.99999791;4.0963725561;4.0963725561;4.0963725561;4.0963725561;4.0963725561
2000-04-12;8.0;6266.6666667;33147.0;3.9580534198;3.7239751862;3.7239751862;3.9580534198;3.7558949678
2000-04-13;16.0;21000.0;116146.0;3.8303742932;3.8303742932;3.6707753849;4.0431730026;3.9261336381
2000-04-14;11.0;8466.6666667;42840.0;3.6707753849;3.6282155935;3.5111764767;3.7771747397;3.5856560498
2000-04-17;14.0;20266.666667;97950.0;3.5643760302;3.309017777;3.309017777;3.5643760302;3.4260571415
2000-04-18;7.0;13000.0;62890.0;3.7239751862;3.4260571415;3.404777122;3.7239751862;3.4366969036
2000-04-19;2.0;800.0;4040.0;3.6707753849;3.5643760302;3.5643760302;3.6707753849;3.5856560498
2000-04-20;1.0;3333.3333333;17249.999801;3.6707753849;3.6707753849;3.6707753849;3.6707753849;3.6707753849
2000-04-24;1.0;266.66666667;1379.9999841;3.6707753849;3.6707753849;3.6707753849;3.6707753849;3.6707753849
2000-04-25;1.0;66.666666667;350.0000108;3.7239751862;3.7239751862;3.7239751862;3.7239751862;3.7239751862
2000-04-26;1.0;200.0;1050.0000324;3.7239751862;3.7239751862;3.7239751862;3.7239751862;3.7239751862
2000-04-27;1.0;66.666666667;359.99999382;3.8303742932;3.8303742932;3.8303742932;3.8303742932;3.8303742932
2000-04-28;1.0;533.33333333;2879.9999505;3.8303742932;3.8303742932;3.8303742932;3.8303742932;3.8303742932
2000-05-02;1.0;266.66666667;1379.9999841;3.8096146778;3.8096146778;3.8096146778;3.8096146778;3.8096146778
2000-05-03;1.0;200.0;1034.999988;3.8096146778;3.8096146778;3.8096146778;3.8096146778;3.8096146778
2000-05-04;3.0;4733.3333333;24570.0;3.8206571234;3.8206571234;3.8206571234;3.8648266487;3.8206571234
2000-05-05;5.0;10066.666666;52574.0;3.8206571234;3.8206571234;3.8206571234;3.8869112828;3.8427417575
2000-05-08;3.0;3333.3333333;16560.0;3.6439792794;3.754402964;3.6439792794;3.754402964;3.655021725
2000-05-09;9.0;3733.3333333;18151.0;3.6439792794;3.6439792794;3.5335555947;3.6439792794;3.57772512
2000-05-10;5.0;8266.6666667;39070.0;3.5887675656;3.478343881;3.478343881;3.5887675656;3.478343881
2000-05-11;2.0;533.33333333;2600.0000536;3.5887675656;3.5887675656;3.5887675656;3.5887675656;3.5887675656
2000-05-15;1.0;666.66666667;3400.0000451;3.754402964;3.754402964;3.754402964;3.754402964;3.754402964
2000-05-16;3.0;2333.3333333;11900.000157;3.754402964;3.754402964;3.754402964;3.754402964;3.754402964
2000-05-17;1.0;133.33333333;659.99999642;3.6439792794;3.6439792794;3.6439792794;3.6439792794;3.6439792794
2000-05-18;1.0;133.33333333;659.99999642;3.6439792794;3.6439792794;3.6439792794;3.6439792794;3.6439792794
2000-05-22;4.0;933.33333333;4220.0;3.5335555947;3.3127084825;3.3127084825;3.5335555947;3.3237509281
2000-05-25;1.0;133.33333333;656.00001253;3.6218946453;3.6218946453;3.6218946453;3.6218946453;3.6218946453
2000-05-26;1.0;133.33333333;659.99999642;3.6439792794;3.6439792794;3.6439792794;3.6439792794;3.6439792794
2000-05-30;9.0;16466.666667;74729.0;3.6329368338;3.3127084825;3.3127084825;3.6329368338;3.3458355622
2000-05-31;2.0;266.66666667;1270.0;3.5335555947;3.478343881;3.478343881;3.5335555947;3.5114709606
2000-06-02;4.0;3533.3333333;16473.0;3.57772512;3.5887675656;3.4231321672;3.5887675656;3.4341743557
2000-06-05;3.0;11466.666666;53340.0;3.4231321672;3.5335555947;3.4231321672;3.5335555947;3.4231321672
2000-06-06;7.0;12066.666666;54940.0;3.3127084825;3.3568780078;3.3127084825;3.478343881;3.3568780078
2000-06-07;4.0;10866.666666;50410.0;3.4231321672;3.3237509281;3.3127084825;3.4231321672;3.4120897216
2000-06-08;1.0;600.0;2790.0000801;3.4231321672;3.4231321672;3.4231321672;3.4231321672;3.4231321672
2000-06-09;4.0;80800.0;380533.0;3.4341743557;3.4341743557;3.4341743557;3.4673014354;3.4673014354
2000-06-13;1.0;8133.3333333;37209.999282;3.3679201963;3.3679201963;3.3679201963;3.3679201963;3.3679201963
2000-06-14;3.0;1866.6666667;8565.0;3.3679201963;3.4231321672;3.3679201963;3.4231321672;3.3789626419
2000-06-16;1.0;66.666666667;319.99999192;3.5335555947;3.5335555947;3.5335555947;3.5335555947;3.5335555947
2000-06-19;1.0;133.33333333;689.99999203;3.8096146778;3.8096146778;3.8096146778;3.8096146778;3.8096146778
2000-06-21;2.0;200.0;968.99997443;3.6881488047;3.3237509281;3.3237509281;3.6881488047;3.5666826744
2000-06-27;2.0;666.66666667;3299.9999821;3.6439792794;3.6439792794;3.6439792794;3.6439792794;3.6439792794
2000-07-06;4.0;2933.3333333;14510.0;3.6439792794;3.6439792794;3.5335555947;3.6439792794;3.6439792794
2000-07-07;5.0;4066.6666667;21249.0;4.0746313153;3.6991909932;3.6991909932;4.0746313153;3.8427417575
2000-07-10;4.0;4000.0;21500.0;3.9752500762;3.8648266487;3.8648266487;4.0856737609;3.9531654421
2000-07-11;2.0;800.0;4110.0;3.7654451525;3.8648266487;3.7654451525;3.8648266487;3.7875300437
2000-07-13;1.0;2666.6666667;13399.999588;3.6991909932;3.6991909932;3.6991909932;3.6991909932;3.6991909932
2000-07-14;1.0;3333.3333333;16749.999486;3.6991909932;3.6991909932;3.6991909932;3.6991909932;3.6991909932
2000-07-17;14.0;11933.333333;57100.0;3.478343881;3.4231321672;3.4231321672;3.6329368338;3.5225134062
2000-07-18;7.0;5866.6666667;28520.0;3.754402964;3.5335555947;3.5335555947;3.754402964;3.57772512
2000-07-19;2.0;733.33333333;3750.0;3.8648266487;3.754402964;3.754402964;3.8648266487;3.7654451525
2000-07-20;1.0;666.66666667;3349.9998972;3.6991909932;3.6991909932;3.6991909932;3.6991909932;3.6991909932
2000-07-21;1.0;666.66666667;3299.9999821;3.6439792794;3.6439792794;3.6439792794;3.6439792794;3.6439792794
2000-07-24;2.0;733.33333333;3540.0;3.754402964;3.5335555947;3.5335555947;3.754402964;3.5556404859
2000-07-25;4.0;1666.6666667;8730.0;3.8648266487;3.754402964;3.754402964;3.9752500762;3.8537842031
