Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2011-04-29;0.0;0.0;0.0;4.2319391733;4.2319391733;4.2319391733;4.2319391733;4.2319391733
2011-05-02;9095.0;29400336.0;143468804.0;4.3509624625;4.2583887931;4.2583887931;4.3906368923;4.3377376526
2011-05-03;1593.0;3535392.0;17214126.0;4.3112880327;4.3641872724;4.2848384129;4.4144415501;4.3271578046
2011-05-04;1142.0;4116336.0;20066685.0;4.3588973485;4.3165779567;4.3165779567;4.3588973485;4.3324477286
2011-05-05;789.0;3685248.0;17966316.0;4.3324477286;4.3403826146;4.3165779567;4.3403826146;4.3324477286
2011-05-06;1097.0;4060560.0;19668832.0;4.3007081848;4.3245128427;4.2319391733;4.3324477286;4.3059981088
2011-05-09;947.0;1402128.0;6726486.0;4.2319391733;4.2980632228;4.2319391733;4.3112880327;4.263678717
2011-05-10;1102.0;2295552.0;11102027.0;4.3879919303;4.2266492493;4.2054895534;4.3879919303;4.2980632228
2011-05-11;562.0;655200.0;3193650.0;4.3377376526;4.2980632228;4.2980632228;4.3641872724;4.3324477286
2011-05-12;713.0;772800.0;3743216.0;4.3430275766;4.2901283369;4.2848384129;4.3430275766;4.3033531468
2011-05-13;600.0;739872.0;3598402.0;4.3245128427;4.3377376526;4.2954182609;4.3377376526;4.3218678807
2011-05-16;1025.0;1807344.0;8657036.0;4.271613603;4.3007081848;4.2319391733;4.3033531468;4.2557438311
2011-05-17;313.0;580944.0;2778551.0;4.2583887931;4.2583887931;4.2372290972;4.271613603;4.2504539071
2011-05-18;800.0;2337552.0;11095468.0;4.1790399336;4.2451639832;4.1711050476;4.266323679;4.2187143633
2011-05-19;296.0;1487136.0;7036662.0;4.1869748195;4.1790399336;4.1684600857;4.2266492493;4.2054895534
2011-05-20;814.0;1104432.0;5179650.0;4.2160694014;4.1816848956;4.1023360361;4.2292942113;4.1684600857
2011-05-23;157.0;918960.0;4307930.0;4.2001996295;4.1684600857;4.112915884;4.2001996295;4.1658151237
2011-05-24;285.0;3521616.0;16504884.0;4.1446554278;4.2187143633;4.1023360361;4.2319391733;4.1658151237
2011-05-25;368.0;1949808.0;8920941.0;4.0203422146;4.1393655038;4.0176972526;4.1393655038;4.0653065683
2011-05-26;304.0;1240512.0;5710962.0;4.1605251997;4.0150522906;4.0150522906;4.1658151237;4.0917561881
2011-05-27;236.0;1746192.0;8209735.0;4.1790399336;4.1234957319;4.1049809981;4.2054895534;4.1790399336
2011-05-30;162.0;489552.0;2307194.0;4.2187143633;4.1261406939;4.1261406939;4.2266492493;4.1896197815
