Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2010-04-15;0.0;0.0;0.0;9.0368123606;9.0368123606;9.0368123606;9.0368123606;9.0368123606
2010-04-16;1684.0;4551400.0;52496222.0;9.1468257284;9.0368123606;8.9660894812;9.1939743147;9.0603866537
2010-04-19;383.0;364900.0;4199405.0;9.0761028491;9.1153933376;8.9582313835;9.1153933376;9.0446704583
2010-04-20;223.0;367700.0;4243451.0;9.0761028491;9.0996771422;9.0368123606;9.131109533;9.0682447514
2010-04-22;262.0;2086400.0;23999305.0;9.0368123606;9.0918190445;8.997521872;9.1075352399;9.0368123606
2010-04-23;132.0;1107300.0;12708957.0;9.0368123606;9.0996771422;8.918940895;9.0996771422;9.0210961651
2010-04-26;57.0;45400.0;519438.0;8.9582313835;8.9503732858;8.9425151881;9.0368123606;8.9896637743
2010-04-27;334.0;283100.0;3228381.0;8.9346570904;9.0289542629;8.8482180156;9.0289542629;8.9582313835
2010-04-28;83.0;37900.0;430228.0;8.9582313835;9.0132380674;8.6439074753;9.0132380674;8.918940895
2010-04-29;54.0;159700.0;1820456.0;8.997521872;8.8717923088;8.8403599179;9.0368123606;8.9582313835
2010-04-30;177.0;708400.0;8147613.0;9.3432781711;8.9582313835;8.9582313835;9.3432781711;9.0368123606
2010-05-03;18.0;6100.0;71698.0;9.1939743147;9.1546838261;9.0368123606;9.264697194;9.2332648032
2010-05-04;7.0;225600.0;2594460.0;9.0368123606;9.1939743147;9.0368123606;9.1939743147;9.0368123606
2010-05-05;34.0;482700.0;5549355.0;9.0682447514;9.0210961651;8.918940895;9.186116217;9.0368123606
2010-05-06;91.0;445700.0;5112229.0;9.1153933376;9.0682447514;8.5889007914;9.186116217;9.0132380674
2010-05-07;14.0;121800.0;1375310.0;9.0210961651;9.0368123606;8.8403599179;9.0368123606;8.8717923088
2010-05-10;104.0;82100.0;964664.0;9.0368123606;9.3511362688;8.997521872;9.4061429527;9.2332648032
2010-05-11;17.0;36800.0;423200.0;9.0368123606;9.0368123606;9.0368123606;9.0368123606;9.0368123606
2010-05-12;36.0;39900.0;453223.0;9.3354200733;8.6910560616;8.6910560616;9.3354200733;8.9267989927
2010-05-13;53.0;297800.0;3498548.0;9.2725552917;9.2725552917;9.0368123606;9.3589943665;9.2332648032
2010-05-14;1.0;100.0;1190.0;9.3511362688;9.3511362688;9.3511362688;9.3511362688;9.3511362688
2010-05-17;25.0;120100.0;1411540.0;9.2332648032;9.3511362688;9.1546838261;9.4140010504;9.2332648032
2010-05-18;88.0;10600.0;123944.0;9.1546838261;9.3432781711;8.9582313835;9.3432781711;9.186116217
2010-05-19;107.0;76100.0;864603.0;8.9425151881;8.9582313835;8.8010694294;9.1075352399;8.9267989927
2010-05-20;135.0;189600.0;2036979.0;8.3688740557;8.8010694294;8.093840636;8.8403599179;8.439596935
2010-05-21;118.0;231900.0;2412266.0;8.1567054176;8.5653264983;8.1252730268;8.8010694294;8.172421613
2010-05-24;18.0;265000.0;2756208.0;8.2352863947;8.172421613;7.9366786819;8.3767321534;8.172421613
2010-05-25;41.0;138600.0;1442965.0;8.2117121015;8.227428297;8.0231177566;8.2510025901;8.1802797107
2010-05-26;50.0;543000.0;5721649.0;8.2902930786;8.3217254694;8.2510025901;8.3845902511;8.2824349809
2010-05-27;44.0;138600.0;1467465.0;8.8796504065;8.2902930786;8.2902930786;8.9582313835;8.3217254694
2010-05-28;7.0;10300.0;116670.0;8.8796504065;8.8796504065;8.8796504065;8.918940895;8.9032246996
2010-05-31;51.0;100900.0;1178352.0;9.3904267573;8.918940895;8.918940895;9.3904267573;9.1782581193
2010-06-01;75.0;41000.0;488127.0;9.3511362688;9.264697194;9.131109533;9.5790211022;9.3589943665
2010-06-02;34.0;88900.0;1069637.0;9.4611496366;9.4925820275;9.4297172458;9.4925820275;9.4532915389
2010-06-04;7.0;6800.0;81238.0;9.4218591481;9.4297172458;9.1782581193;9.4297172458;9.3904267573
2010-06-07;49.0;17900.0;215596.0;9.476865832;9.4297172458;9.4297172458;9.476865832;9.4611496366
2010-06-08;147.0;83000.0;1031146.0;9.7361830563;9.4925820275;9.4925820275;10.207668918;9.7597573494
2010-06-09;7.0;4500.0;54583.0;9.4297172458;9.822622131;9.4297172458;9.822622131;9.531872516
2010-06-10;8.0;2100.0;25928.0;9.744041154;9.6890344701;9.5868791999;9.7518992517;9.7047506655
2010-06-11;65.0;117900.0;1453427.0;9.665460177;9.7047506655;9.6497439815;9.744041154;9.6890344701
2010-06-14;24.0;45300.0;557311.0;9.665460177;9.7047506655;9.6576020792;9.7283249586;9.665460177
2010-06-15;230.0;854600.0;10465637.0;9.5947372976;9.5868791999;9.5868791999;9.6576020792;9.6261696884
2010-06-16;67.0;712600.0;8783695.0;9.744041154;9.6183115907;9.6183115907;9.822622131;9.6890344701
2010-06-17;111.0;131900.0;1661065.0;10.215527016;9.744041154;9.744041154;10.215527016;9.8933450104
2010-06-18;137.0;366900.0;4830717.0;10.364830872;10.215527016;10.176236527;10.37268897;10.349114677
2010-06-21;41.0;134800.0;1749334.0;10.136946039;10.364830872;10.058365062;10.411979458;10.19981082
2010-06-22;27.0;587100.0;7632684.0;10.215527016;10.207668918;10.207668918;10.231243211;10.215527016
2010-06-23;7.0;79300.0;1031065.0;10.2705337;10.435553752;10.215527016;10.435553752;10.215527016
2010-06-24;17.0;111300.0;1440327.0;10.215527016;10.215527016;9.822622131;10.215527016;10.16837843
2010-06-25;116.0;169800.0;2216756.0;10.333398481;10.215527016;10.215527016;10.529850924;10.262675602
2010-06-28;58.0;51000.0;695634.0;10.765593855;10.694870976;10.608431901;10.993478689;10.718445269
2010-06-29;202.0;462500.0;6290240.0;10.529850924;10.67915478;10.262675602;10.962046298;10.687012878
2010-06-30;100.0;114800.0;1549439.0;10.726303367;10.608431901;10.498418533;10.828458637;10.608431901
2010-07-01;45.0;235800.0;3225108.0;10.789168148;10.726303367;10.726303367;11.001336786;10.74987766
2010-07-02;40.0;78300.0;1096525.0;11.001336786;11.001336786;10.883465321;11.079917763;11.001336786
2010-07-05;15.0;13300.0;187822.0;11.079917763;11.378525476;10.930613907;11.378525476;11.095633959
2010-07-06;176.0;68800.0;983425.0;10.820600539;11.237079717;10.663438585;11.394241672;11.22922162
2010-07-07;20.0;106200.0;1480379.0;11.079917763;11.001336786;10.820600539;11.079917763;10.9541882
2010-07-08;13.0;100300.0;1407420.0;11.040627275;11.079917763;11.017052982;11.079917763;11.024911079
2010-07-12;38.0;87300.0;1217749.0;10.844174832;11.001336786;10.765593855;11.001336786;10.962046298
2010-07-13;11.0;176600.0;2428296.0;10.804884344;10.844174832;10.804884344;10.844174832;10.804884344
2010-07-14;13.0;132500.0;1822128.0;10.859891028;10.726303367;10.726303367;10.859891028;10.804884344
2010-07-15;77.0;644300.0;8706882.0;10.726303367;10.765593855;10.529850924;10.765593855;10.616289999
2010-07-16;24.0;181200.0;2500709.0;10.883465321;10.797026246;10.694870976;10.883465321;10.844174832
2010-07-19;85.0;253000.0;3570681.0;11.237079717;11.001336786;11.001336786;11.237079717;11.087775861
2010-07-20;23.0;167300.0;2392908.0;11.354951183;11.22922162;11.22922162;11.370667378;11.237079717
2010-07-21;20.0;65100.0;940585.0;11.315660695;11.197789229;11.197789229;11.394241672;11.354951183
2010-07-22;67.0;47300.0;696080.0;11.732139873;11.354951183;11.354951183;11.739997971;11.567119821
2010-07-23;157.0;57800.0;867436.0;12.022889488;11.739997971;11.700707482;12.101470465;11.795004655
2010-07-26;34.0;418100.0;6397544.0;12.022889488;12.101470465;11.983598999;12.258632419;12.022889488
2010-07-27;17.0;170100.0;2668523.0;12.101470465;12.376503885;12.062179976;12.384361982;12.329355298
2010-07-28;42.0;593000.0;9190140.0;12.180051442;12.250774321;12.101470465;12.258632419;12.180051442
2010-07-29;64.0;657900.0;9782389.0;12.180051442;12.180051442;11.512113137;12.180051442;11.684991287
2010-07-30;172.0;232100.0;3469286.0;11.567119821;12.140760954;11.221363522;12.180051442;11.747856068
2010-08-02;16.0;13700.0;209117.0;12.022889488;11.70856558;11.574977919;12.022889488;11.991457097
2010-08-03;149.0;276700.0;4291610.0;12.486517253;11.873585632;11.873585632;12.486517253;12.18790954
2010-08-04;86.0;77800.0;1210888.0;12.077896172;12.180051442;11.944308511;12.415794373;12.227200028
2010-08-05;75.0;430600.0;6760281.0;12.345071494;12.384361982;12.258632419;12.415794373;12.337213396
2010-08-06;105.0;207700.0;3227284.0;12.486517253;12.337213396;12.101470465;12.486517253;12.211483833
2010-08-09;77.0;94300.0;1490466.0;12.164335247;12.572956327;11.905018022;12.6672535;12.423652471
2010-08-10;107.0;159800.0;2440221.0;12.030747586;12.01503139;11.905018022;12.062179976;11.999315195
2010-08-11;64.0;270000.0;4083261.0;11.983598999;12.022889488;11.661416994;12.022889488;11.881443729
2010-08-12;29.0;16800.0;258920.0;12.180051442;12.022889488;12.01503139;12.337213396;12.109328563
