Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-07-21;0.0;0.0;0.0;10.453115976;10.453115976;10.453115976;10.453115976;10.453115976
2021-07-22;54818.0;26497200.0;329481899.0;12.195301972;11.347752028;11.347752028;12.24238808;11.705606449
2021-07-23;18755.0;9545900.0;122521026.0;12.223553637;12.195301972;11.790361443;12.506070285;12.082295313
2021-07-26;7865.0;4326800.0;54318532.0;11.959871432;12.214136415;11.423089801;12.232970858;11.818613108
2021-07-27;11832.0;5374200.0;64262819.0;11.489010352;11.912785324;10.82980484;11.912785324;11.253579812
2021-07-28;4711.0;2817600.0;32804392.0;10.82980484;11.564348125;10.82980484;11.564348125;10.952228721
2021-07-29;6006.0;5857400.0;66241516.0;10.782718732;10.801553175;10.490784862;10.82980484;10.641460408
2021-07-30;6390.0;3642100.0;40337048.0;10.406029868;10.641460408;10.340109317;10.688546516;10.424864311
2021-08-02;4372.0;1853800.0;20847306.0;10.547288192;10.5943743;10.387195425;10.876890948;10.584957078
2021-08-03;1940.0;1113800.0;12226561.0;10.340109317;10.368360982;10.085844334;10.471950419;10.330692095
2021-08-04;2403.0;1353900.0;14459498.0;10.076427112;10.406029868;9.94458601;10.406029868;10.048175447
2021-08-05;4485.0;1763400.0;19125016.0;9.9822548964;10.076427112;9.9822548964;10.547288192;10.208268214
2021-08-06;4020.0;873900.0;9520970.0;10.462533198;10.029341004;10.019923782;10.490784862;10.255354322
2021-08-09;1900.0;664200.0;7163855.0;10.076427112;10.471950419;10.076427112;10.500202084;10.151764885
2021-08-10;3848.0;1064100.0;11469686.0;10.038758226;10.170599328;10.038758226;10.30244043;10.142347663
2021-08-11;4966.0;2706700.0;28560980.0;9.897499902;10.104678777;9.8127449076;10.217685436;9.9351687884
2021-08-12;1749.0;2908200.0;30424683.0;9.8409965724;9.94458601;9.7939104644;9.9822548964;9.850413794
2021-08-13;2380.0;3372700.0;35071221.0;9.8880826804;9.9728376748;9.6244004756;10.12351322;9.7844932428
2021-08-16;2810.0;5241300.0;52002603.0;9.2288771684;9.8786654588;9.097036066;9.8880826804;9.3418838276
2021-08-17;5282.0;13336700.0;118831094.0;8.2118172355;9.23829439;8.1270622411;9.23829439;8.3813272243
2021-08-18;1713.0;3486400.0;30697889.0;8.0046383603;8.2118172355;8.0046383603;8.4754994403;8.2871550083
2021-08-19;3453.0;4974300.0;41979311.0;8.0705589115;7.9104661443;7.6750356043;8.2871550083;7.9387178091
2021-08-20;3758.0;4013900.0;35914778.0;8.6638438723;8.0328900251;7.9763866955;8.7956849747;8.4189961107
2021-08-23;1234.0;567800.0;5113268.0;8.3813272243;8.6638438723;8.3436583379;8.6920955371;8.4754994403
2021-08-24;2862.0;1767000.0;15953649.0;8.5320027699;8.4754994403;8.2871550083;8.6355922075;8.4943338835
2021-08-25;1831.0;1127400.0;10548115.0;8.8521883043;8.5602544347;8.5508372131;8.9934466283;8.8051021963
2021-08-26;955.0;522800.0;4925354.0;8.9181088555;8.7956849747;8.6732610939;9.0499499579;8.8710227475
2021-08-27;1599.0;1765900.0;16724901.0;8.8145194179;8.9369432987;8.7768505315;9.0876188443;8.9181088555
2021-08-30;5377.0;1620100.0;15495838.0;8.9181088555;8.9651949635;8.7862677531;9.23829439;9.0028638499
2021-08-31;4564.0;1518000.0;14265984.0;8.7580160883;9.0499499579;8.5508372131;9.2665460548;8.8427710827
2021-09-01;1967.0;1489200.0;13615302.0;8.6450094291;8.8239366395;8.4472477755;8.8616055259;8.6073405427
2021-09-02;2421.0;1165900.0;10212258.0;8.0799761331;8.6355922075;8.0705589115;8.6355922075;8.2400689003
2021-09-03;1744.0;486000.0;4197725.0;8.0988105763;8.2400689003;8.0140555819;8.2871550083;8.1270622411
2021-09-06;2390.0;988200.0;8329630.0;8.0705589115;8.0893933547;7.7692078203;8.2683205651;7.9293005875
2021-09-08;2109.0;906500.0;7265339.0;7.2700950755;8.0611416899;7.2700950755;8.0611416899;7.5431945019
2021-09-09;4647.0;1948400.0;15302437.0;7.4113533995;7.2983467403;7.1853400811;7.6091150531;7.3925189563
2021-09-10;4799.0;2040700.0;16809939.0;7.8351283715;7.5620289451;7.4490222859;7.9669694739;7.7503733771
2021-09-13;3844.0;1346300.0;10986660.0;7.7127044907;7.9104661443;7.4584395075;8.0328900251;7.6844528259
2021-09-14;2315.0;4240100.0;33641596.0;7.6562011611;7.6467839395;7.4301878427;7.7315389339;7.4678567291
2021-09-15;1926.0;3906600.0;31316103.0;7.4866911723;7.6562011611;7.4678567291;7.6750356043;7.5431945019
2021-09-16;1872.0;1661700.0;13102316.0;7.3925189563;7.4490222859;7.3925189563;7.6373667179;7.4207706211
2021-09-17;2591.0;1012400.0;7620111.0;7.0629162003;7.3925189563;6.8934062115;7.3925189563;7.0817506435
2021-09-20;5417.0;2189100.0;15596249.0;6.9499095411;6.7992339955;6.5073001258;7.0158300923;6.7050617795
2021-09-21;1701.0;895400.0;6606974.0;7.0346645355;7.0064128707;6.8086512171;7.1476711947;6.9404923195
2021-09-22;4633.0;1761900.0;12980178.0;6.9028234331;7.1288367515;6.8369028819;7.1288367515;6.9310750979
2021-09-23;6488.0;6165300.0;45637800.0;7.0723334219;6.9499095411;6.8274856603;7.2983467403;6.9687439843
2021-09-24;3585.0;1412200.0;11021248.0;7.4301878427;7.0346645355;7.0346645355;7.5902806099;7.3454328483
2021-09-27;3860.0;1322400.0;10055785.0;7.1194195299;7.4019361779;7.0629162003;7.4019361779;7.1570884163
2021-09-28;3543.0;2499500.0;18098144.0;6.8180684387;7.0158300923;6.7427306659;7.0723334219;6.8180684387
2021-09-29;2891.0;2684100.0;19420649.0;6.7803995523;6.8745717683;6.7050617795;6.9593267627;6.8086512171
2021-09-30;2885.0;1755400.0;12904722.0;7.0534989787;6.8651545467;6.7992339955;7.0723334219;6.9216578763
2021-10-01;3136.0;1404400.0;10746655.0;7.3831017347;7.0629162003;6.8934062115;7.3831017347;7.2041745243
2021-10-04;3835.0;1626500.0;12275536.0;7.0534989787;7.3265984051;6.9781612059;7.3265984051;7.1005850867
2021-10-05;9418.0;3954500.0;27984120.0;6.5543862339;7.1005850867;6.5073001258;7.1194195299;6.6579756715
2021-10-06;17077.0;25120300.0;190280622.0;7.6091150531;6.8274856603;6.8274856603;7.6562011611;7.1288367515
2021-10-07;7086.0;4643200.0;36010422.0;7.4584395075;7.2041745243;7.0817506435;7.4678567291;7.2983467403
2021-10-08;4358.0;1833500.0;14680401.0;7.3925189563;7.5243600587;7.3265984051;7.8162939283;7.5337772803
2021-10-11;2688.0;828000.0;6509300.0;7.4584395075;7.4301878427;7.2512606323;7.5620289451;7.4019361779
2021-10-13;3205.0;1207200.0;9789022.0;7.7786250419;7.4490222859;7.3360156267;7.7786250419;7.6373667179
2021-10-14;4476.0;1512600.0;12520608.0;7.8351283715;7.7786250419;7.6373667179;7.9198833659;7.7880422635
2021-10-15;2036.0;796500.0;6619488.0;7.8445455931;7.8916317011;7.6467839395;7.9481350307;7.8257111499
2021-10-18;2564.0;958700.0;7722645.0;7.5431945019;7.7880422635;7.4678567291;7.7880422635;7.5808633883
2021-10-19;2751.0;913000.0;7109987.0;7.1570884163;7.5431945019;7.1570884163;7.6656183827;7.3265984051
2021-10-20;4783.0;4974500.0;36974545.0;7.1288367515;7.2324261891;6.8934062115;7.3831017347;6.9969956491
2021-10-21;4450.0;1864000.0;13461084.0;6.7333134443;7.0158300923;6.6862273363;7.0440817571;6.7992339955
2021-10-22;6505.0;4518700.0;30409676.0;6.384876245;6.6956445579;6.149445705;6.7709823307;6.3283729154
2021-10-25;2613.0;1638100.0;11645795.0;6.7615651091;6.479048461;6.4696312395;6.8463201035;6.6862273363
2021-10-26;2644.0;4370700.0;29795978.0;6.4602140178;6.6862273363;6.3754590234;6.6862273363;6.4131279098
2021-10-27;3147.0;4208900.0;28231348.0;6.2624523642;6.4978829043;6.196531813;6.5920551203;6.3095384722
2021-10-28;4723.0;1952400.0;12741227.0;5.9893529378;6.2247834778;5.9799357162;6.4037106882;6.1400284834
2021-10-29;3419.0;1509800.0;9685401.0;6.0835251538;6.008187381;5.9045979434;6.1588629266;6.0364390458
2021-11-01;3161.0;822600.0;5402114.0;6.2247834778;6.0929423754;5.9893529378;6.3095384722;6.1776973698
2021-11-03;5006.0;1376600.0;9287820.0;6.5826378987;6.1871145914;6.0270218242;6.6203067851;6.3472073586
2021-11-04;6306.0;2530800.0;16988680.0;6.196531813;6.6014723419;6.1211940402;6.6108895635;6.3189556938
2021-11-05;6060.0;3811400.0;25050107.0;6.4602140178;6.243617921;6.0176046026;6.4602140178;6.1871145914
2021-11-08;5698.0;1687200.0;11217391.0;6.1682801482;6.3754590234;6.1211940402;6.4131279098;6.2530351426
2021-11-09;6422.0;2287500.0;15619184.0;6.5826378987;6.2153662562;6.1871145914;6.5920551203;6.4225451314
2021-11-10;4088.0;1433800.0;9746118.0;6.337790137;6.5826378987;6.243617921;6.5826378987;6.3942934666
2021-11-11;3966.0;1622100.0;11481256.0;6.6014723419;6.4225451314;6.4037106882;6.8369028819;6.6579756715
2021-11-12;4455.0;1663800.0;12354326.0;7.0252473139;6.6297240067;6.5826378987;7.1288367515;6.9875784275
2021-11-16;4491.0;2369200.0;16714958.0;6.5920551203;7.0911678651;6.5073001258;7.1382539731;6.6391412283
2021-11-17;3831.0;3327400.0;22951658.0;6.6108895635;6.6579756715;6.3566245802;6.7050617795;6.4884656826
2021-11-18;2829.0;1638200.0;11378174.0;6.431962353;6.6297240067;6.4131279098;6.6579756715;6.5355517907
