Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-06-09;1.0;200.0;321.01;1.3099038115;1.3099038115;1.3099038115;1.3099038115;1.3099038115
2000-08-02;2.0;1600.0;4000.08;2.0403258614;2.0403258614;2.0403258614;2.0403258614;2.0403258614
2000-10-11;4.0;2600.0;12989.91;4.0805701114;4.0764487356;4.0764487356;4.0805701114;4.0773872667
2001-02-08;1.0;2000.0;12000.0;4.8966841337;4.8966841337;4.8966841337;4.8966841337;4.8966841337
2001-02-19;1.0;200.0;1100.0;4.4886271225;4.4886271225;4.4886271225;4.4886271225;4.4886271225
2001-08-21;1.0;4800.0;48000.0;8.1611402227;8.1611402227;8.1611402227;8.1611402227;8.1611402227
2002-04-24;1.0;200.0;2500.0;10.201425278;10.201425278;10.201425278;10.201425278;10.201425278
2002-06-18;1.0;1000.0;12500.0;10.201425278;10.201425278;10.201425278;10.201425278;10.201425278
2002-06-27;2.0;3800.0;30400.0;6.5289121782;6.5289121782;6.5289121782;6.5289121782;6.5289121782
2002-06-28;1.0;1400.0;11200.0;6.5289121782;6.5289121782;6.5289121782;6.5289121782;6.5289121782
2002-07-15;1.0;1000.0;7500.0;6.1208551671;6.1208551671;6.1208551671;6.1208551671;6.1208551671
2003-02-13;3.0;10000.0;70500.0;6.1995587857;6.1995587857;6.1995587857;6.1995587857;6.1995587857
2003-02-14;2.0;10000.0;70000.0;6.1555902837;6.1555902837;6.1555902837;6.1555902837;6.1555902837
2003-02-17;10.0;37200.0;245440.0;5.6719367614;6.1555902837;5.2762202431;6.1555902837;5.8038422675
2003-08-08;1.0;200.0;1000.0;4.3968502026;4.3968502026;4.3968502026;4.3968502026;4.3968502026
2003-08-15;1.0;200.0;1290.0;5.6719367614;5.6719367614;5.6719367614;5.6719367614;5.6719367614
2003-09-30;2.0;4000.0;23000.0;5.4914356588;5.4914356588;5.4914356588;5.4914356588;5.4914356588
2003-10-28;2.0;400.0;1810.0;4.2976452982;4.3453969127;4.2976452982;4.3453969127;4.3453969127
2003-11-06;1.0;200.0;950.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2003-11-20;1.0;200.0;860.0;4.1066388405;4.1066388405;4.1066388405;4.1066388405;4.1066388405
2003-11-24;1.0;200.0;950.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2003-12-01;30.0;48600.0;227550.0;4.6319065992;4.7751614425;4.2976452982;5.0139195146;4.4886517559
2003-12-02;3.0;600.0;3280.0;5.730193731;4.9661679002;4.9661679002;5.730193731;5.2049259723
2003-12-03;1.0;200.0;1200.0;5.730193731;5.730193731;5.730193731;5.730193731;5.730193731
2003-12-05;2.0;1200.0;7080.0;5.4436840444;5.730193731;5.4436840444;5.730193731;5.6346905021
2003-12-08;1.0;200.0;1150.0;5.4914356588;5.4914356588;5.4914356588;5.4914356588;5.4914356588
2004-02-02;1.0;200.0;1000.0;4.7751614425;4.7751614425;4.7751614425;4.7751614425;4.7751614425
2004-04-27;2.0;800.0;4000.0;4.7751614425;4.7751614425;4.7751614425;4.7751614425;4.7751614425
2004-04-28;1.0;400.0;2000.0;4.7751614425;4.7751614425;4.7751614425;4.7751614425;4.7751614425
2004-04-30;3.0;1000.0;5000.0;4.7751614425;4.7751614425;4.7751614425;4.7751614425;4.7751614425
2004-05-11;2.0;2000.0;9500.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2004-05-14;2.0;800.0;3800.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2004-05-24;1.0;3800.0;18050.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2004-06-01;1.0;200.0;950.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2004-06-08;1.0;1600.0;7600.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2004-06-22;1.0;1000.0;4750.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2004-06-25;1.0;800.0;3800.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2004-07-19;1.0;1800.0;8550.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2004-07-23;1.0;800.0;3800.0;4.5364033704;4.5364033704;4.5364033704;4.5364033704;4.5364033704
2004-07-30;1.0;17000.0;76500.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-08-04;1.0;600.0;2700.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-08-09;1.0;800.0;3600.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-08-13;1.0;2600.0;11700.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-08-16;1.0;2000.0;9000.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-08-20;1.0;800.0;3600.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-08-31;2.0;1800.0;8100.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-09-08;1.0;2000.0;9000.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-09-14;1.0;1600.0;7200.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-09-23;1.0;2000.0;9000.0;4.2976452982;4.2976452982;4.2976452982;4.2976452982;4.2976452982
2004-09-24;4.0;10600.0;46840.0;4.2021420694;4.2498936838;4.2021420694;4.2498936838;4.2021420694
2004-10-14;1.0;4600.0;20240.0;4.2021420694;4.2021420694;4.2021420694;4.2021420694;4.2021420694
2004-10-15;1.0;200.0;800.0;3.820129154;3.820129154;3.820129154;3.820129154;3.820129154
