Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2017-02-07;0.0;0.0;0.0;5.236995554;5.236995554;5.236995554;5.236995554;5.236995554
2017-02-08;5116.0;9352000.0;68711487.0;5.0973423392;5.1322556429;4.9646717852;5.2230302325;5.1322556429
2017-02-09;1891.0;2499500.0;18457157.0;5.2719088577;5.1462209644;5.0624290355;5.2788915184;5.1532036251
2017-02-10;2629.0;3615800.0;27698959.0;5.3766487688;5.2719088577;5.2160475718;5.4325100547;5.3487181258
2017-02-13;1232.0;691900.0;5253305.0;5.2649261969;5.4185447332;5.2439782147;5.4185447332;5.2998395006
2017-02-14;754.0;775900.0;5823675.0;5.236995554;5.3068221614;5.209064911;5.3068221614;5.2439782147
2017-02-15;1894.0;691300.0;5182120.0;5.236995554;5.2509608755;5.1811342681;5.2649261969;5.236995554
2017-02-16;1280.0;1285800.0;9582286.0;5.236995554;5.2020822503;5.1043249999;5.236995554;5.2020822503
2017-02-17;2059.0;462500.0;3452418.0;5.236995554;5.2579435362;5.1741516073;5.2579435362;5.209064911
2017-02-20;1735.0;606400.0;4504336.0;5.1671689466;5.236995554;5.1532036251;5.236995554;5.1881169288
2017-02-21;2385.0;600300.0;4418074.0;5.1671689466;5.2020822503;5.0694116963;5.2020822503;5.1392383036
2017-02-22;1332.0;575600.0;4288778.0;5.2858741791;5.1671689466;5.0694116963;5.2928568399;5.2020822503
2017-02-23;335.0;256300.0;1931012.0;5.2788915184;5.3347528043;5.1881169288;5.3347528043;5.2579435362
2017-02-24;617.0;487600.0;3681782.0;5.3417354651;5.2649261969;5.2020822503;5.3417354651;5.2719088577
2017-03-01;228.0;469300.0;3574005.0;5.3277701436;5.2439782147;5.2230302325;5.3417354651;5.3207874828
2017-03-02;109.0;59900.0;452017.0;5.236995554;5.2649261969;5.236995554;5.2998395006;5.2719088577
2017-03-03;366.0;327900.0;2526886.0;5.4115620724;5.2788915184;5.2439782147;5.4674233584;5.3836314295
2017-03-06;967.0;733200.0;5618749.0;5.2439782147;5.369666108;5.2439782147;5.4394927154;5.3487181258
2017-03-07;490.0;344000.0;2589888.0;5.2439782147;5.3068221614;5.236995554;5.3068221614;5.2579435362
2017-03-08;2435.0;709900.0;5353710.0;5.2998395006;5.3138048221;5.236995554;5.3138048221;5.2649261969
2017-03-09;4205.0;931300.0;6973814.0;5.2788915184;5.3347528043;5.1671689466;5.3347528043;5.2300128932
2017-03-10;379.0;294400.0;2248417.0;5.3766487688;5.2719088577;5.236995554;5.3766487688;5.3347528043
2017-03-13;2726.0;1201300.0;9494635.0;5.5791459302;5.3766487688;5.3766487688;5.6419898768;5.5163019835
2017-03-14;1185.0;646500.0;5211407.0;5.662937859;5.6210418946;5.558197948;5.7397471272;5.6280245553
2017-03-15;1720.0;834200.0;6976720.0;5.9073309849;5.7537124486;5.7187991449;6.0749148426;5.8375043775
2017-03-16;1373.0;1112600.0;9583089.0;6.0050882352;6.0749148426;5.823539056;6.1587067715;6.012070896
2017-03-17;1923.0;918700.0;7943721.0;5.9143136456;6.1307761285;5.9143136456;6.2494813611;6.0400015389
2017-03-20;2904.0;1404200.0;12518172.0;6.2145680574;6.1936200752;6.0400015389;6.5287877906;6.2215507181
2017-03-21;3224.0;1392000.0;12379289.0;6.14474145;6.3542212722;6.14474145;6.4100825581;6.2075853967
2017-03-22;5345.0;2050300.0;18059930.0;6.0888801641;6.2494813611;6.0749148426;6.2494813611;6.1517241107
2017-03-23;2902.0;1458400.0;12234675.0;6.0749148426;5.9422442886;5.6000939124;6.0749148426;5.8584523597
2017-03-24;2511.0;1267800.0;10734342.0;5.9701749315;6.0469841997;5.8025910738;6.0679321819;5.9143136456
2017-03-27;1460.0;656600.0;5586583.0;5.9422442886;5.9212963064;5.823539056;6.1098281463;5.9422442886
2017-03-28;2887.0;708400.0;5990561.0;5.9143136456;5.9003483241;5.8375043775;5.9701749315;5.9073309849
2017-03-29;1670.0;8471000.0;69713398.0;5.7746604309;5.9352616278;5.6280245553;6.1377587893;5.7467297879
2017-03-30;1276.0;833800.0;6934182.0;5.8095737346;5.7746604309;5.690868502;5.8654350205;5.8095737346
2017-03-31;1935.0;920200.0;7697672.0;5.8165563953;5.7816430916;5.7467297879;5.9143136456;5.8444870382
2017-04-03;2339.0;754300.0;6372267.0;5.9701749315;5.8444870382;5.823539056;5.984140253;5.9003483241
2017-04-04;2084.0;588900.0;5010651.0;5.9701749315;5.9981055745;5.8794003419;6.0539668604;5.9422442886
2017-04-05;1374.0;1087200.0;9152234.0;5.8305217168;5.9701749315;5.8305217168;5.9981055745;5.8794003419
2017-04-06;2348.0;861900.0;7141876.0;5.7746604309;5.8794003419;5.7257818057;5.9073309849;5.7886257523
2017-04-07;2137.0;1026500.0;8543729.0;5.7886257523;5.7956084131;5.7397471272;5.8863830027;5.8095737346
2017-04-10;1715.0;440400.0;3636305.0;5.7956084131;5.7956084131;5.7187991449;5.8375043775;5.7676777701
2017-04-11;2160.0;1168100.0;9682352.0;5.7606951094;5.7956084131;5.7467297879;5.8724176812;5.7886257523
2017-04-12;2006.0;1756500.0;14345075.0;5.7676777701;5.7467297879;5.6000939124;5.7886257523;5.7048338235
2017-04-13;1880.0;3318300.0;27552791.0;5.8654350205;5.7397471272;5.7397471272;5.9701749315;5.7956084131
2017-04-17;1058.0;496100.0;4309050.0;6.1307761285;5.9701749315;5.9212963064;6.2145680574;6.0679321819
2017-04-18;1085.0;1531500.0;13389807.0;6.1237934678;6.1237934678;6.0469841997;6.14474145;6.1028454856
2017-04-19;683.0;352700.0;3109423.0;6.14474145;6.1237934678;6.1237934678;6.2006027359;6.1587067715
2017-04-20;1055.0;756700.0;6625961.0;6.1307761285;6.1796547537;6.0539668604;6.2843946648;6.116810807
2017-04-24;949.0;575800.0;5060865.0;6.1098281463;6.1237934678;6.0469841997;6.2424987003;6.1377587893
2017-04-25;898.0;1710800.0;14945075.0;6.1377587893;6.1028454856;6.0749148426;6.1796547537;6.1028454856
2017-04-26;828.0;320000.0;2799704.0;6.116810807;6.1237934678;6.0888801641;6.14474145;6.1098281463
2017-04-27;3093.0;1007100.0;9016381.0;6.2634466826;6.1517241107;6.0958628248;6.3542212722;6.2494813611
2017-04-28;3447.0;1649000.0;14520265.0;6.1796547537;6.2843946648;6.0818975034;6.3612039329;6.1517241107
2017-05-02;4884.0;3376200.0;29727936.0;6.116810807;6.14474145;6.0888801641;6.2494813611;6.1517241107
