Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2005-05-27;1.0;100.0;120.0;15.186086589;56.279505582;56.279505582;56.279505582;56.279505582
2005-06-17;1.0;100.0;121.0;56.279505582;56.748501462;56.748501462;56.748501462;56.748501462
2016-08-17;1.0;1000.0;3000.0;1.707645695;1.707645695;1.707645695;1.707645695;1.707645695
2016-08-19;1.0;1000.0;3800.0;2.1630178803;2.1630178803;2.1630178803;2.1630178803;2.1630178803
2016-08-26;1.0;1000.0;4220.0;2.4020882776;2.4020882776;2.4020882776;2.4020882776;2.4020882776
2016-12-15;1.0;1000.0;4760.0;2.7094645027;2.7094645027;2.7094645027;2.7094645027;2.7094645027
2016-12-16;1.0;1000.0;4750.0;2.7037723504;2.7037723504;2.7037723504;2.7037723504;2.7037723504
2018-01-16;2.0;300.0;1263.0;2.7523250721;2.7523250721;2.7523250721;2.7523250721;2.7523250721
2018-01-18;1.0;100.0;420.0;2.7457874829;2.7457874829;2.7457874829;2.7457874829;2.7457874829
2019-02-11;2.0;300.0;1743.0;4.5302596246;4.5302596246;4.5302596246;4.5302596246;4.5302596246
2019-02-27;3.0;400.0;2699.0;5.489333521;5.1852369197;5.1852369197;5.489333521;5.2554130585
2019-05-31;2.0;300.0;2424.0;6.6634188591;6.6634188591;6.6634188591;6.6634188591;6.6634188591
2019-06-03;1.0;100.0;900.0;7.4221249668;7.4221249668;7.4221249668;7.4221249668;7.4221249668
2019-08-22;1.0;100.0;923.0;7.6118014937;7.6118014937;7.6118014937;7.6118014937;7.6118014937
2019-08-23;1.0;100.0;1001.0;8.2550523242;8.2550523242;8.2550523242;8.2550523242;8.2550523242
2020-05-06;7.0;700.0;14432.0;18.145770975;16.507849304;16.507849304;18.154346481;17.674118138
2020-05-07;2.0;200.0;4234.0;18.154346481;18.154346481;18.154346481;18.154346481;18.154346481
2020-05-11;1.0;100.0;1736.0;14.887078644;14.887078644;14.887078644;14.887078644;14.887078644
2020-05-12;1.0;100.0;1736.0;14.887078644;14.887078644;14.887078644;14.887078644;14.887078644
2020-05-13;2.0;400.0;6926.0;14.835625608;14.887078644;14.835625608;14.887078644;14.844201114
2020-05-19;2.0;200.0;3466.0;14.835625608;14.887078644;14.835625608;14.887078644;14.861352126
2020-05-25;2.0;200.0;4000.0;17.151012264;17.151012264;17.151012264;17.151012264;17.151012264
2020-05-26;1.0;100.0;2000.0;17.151012264;17.151012264;17.151012264;17.151012264;17.151012264
2020-05-27;1.0;300.0;6000.0;17.151012264;17.151012264;17.151012264;17.151012264;17.151012264
2020-07-29;1.0;100.0;2000.0;17.474511583;17.474511583;17.474511583;17.474511583;17.474511583
2020-10-20;2.0;200.0;4900.0;23.590590637;19.221962741;19.221962741;23.590590637;21.406276689
2020-10-22;1.0;100.0;2850.0;24.901179006;24.901179006;24.901179006;24.901179006;24.901179006
2020-10-28;1.0;100.0;3006.0;26.264190909;26.264190909;26.264190909;26.264190909;26.264190909
2021-02-25;1.0;300.0;9900.0;29.192511927;29.192511927;29.192511927;29.192511927;29.192511927
2021-07-01;9.0;1100.0;38640.0;35.986549444;26.804575547;26.804575547;35.986549444;31.368766852
2021-07-15;1.0;200.0;8572.0;38.282042918;38.282042918;38.282042918;38.282042918;38.282042918
2021-08-05;1.0;100.0;4543.0;40.577536392;40.577536392;40.577536392;40.577536392;40.577536392
2021-10-21;1.0;100.0;4029.0;35.986549444;35.986549444;35.986549444;35.986549444;35.986549444
2021-12-01;2.0;200.0;9086.0;40.577536392;40.577536392;40.577536392;40.577536392;40.577536392
2022-02-10;1.0;100.0;3600.0;32.154772399;32.154772399;32.154772399;32.154772399;32.154772399
2022-03-11;1.0;100.0;3300.0;29.475208033;29.475208033;29.475208033;29.475208033;29.475208033
2022-06-10;1.0;100.0;3000.0;27.220106884;27.220106884;27.220106884;27.220106884;27.220106884
2022-06-30;1.0;200.0;5612.0;25.459873305;25.459873305;25.459873305;25.459873305;25.459873305
2022-07-01;1.0;500.0;14030.0;25.459873305;25.459873305;25.459873305;25.459873305;25.459873305
2022-07-07;1.0;200.0;5012.0;22.737862617;22.737862617;22.737862617;22.737862617;22.737862617
2022-08-09;3.0;300.0;6360.0;19.235542198;19.235542198;19.235542198;19.235542198;19.235542198
2022-08-12;1.0;100.0;2120.0;19.235542198;19.235542198;19.235542198;19.235542198;19.235542198
2022-08-16;1.0;100.0;2400.0;21.776085507;21.776085507;21.776085507;21.776085507;21.776085507
2022-10-04;2.0;400.0;10000.0;22.683422403;22.683422403;22.683422403;22.683422403;22.683422403
2022-10-21;1.0;100.0;2800.0;25.405433092;25.405433092;25.405433092;25.405433092;25.405433092
2022-12-14;1.0;100.0;2306.0;20.923188825;20.923188825;20.923188825;20.923188825;20.923188825
2022-12-20;1.0;100.0;2206.0;20.015851929;20.015851929;20.015851929;20.015851929;20.015851929
2023-02-13;1.0;100.0;2700.0;24.498096196;24.498096196;24.498096196;24.498096196;24.498096196
2023-08-30;2.0;300.0;8034.0;24.891279205;24.891279205;24.891279205;24.891279205;24.891279205
2023-09-20;3.0;600.0;15036.0;23.292586141;23.292586141;23.292586141;23.292586141;23.292586141
2023-10-20;1.0;100.0;2506.0;23.292586141;23.292586141;23.292586141;23.292586141;23.292586141
2023-10-23;1.0;200.0;4712.0;21.898377075;21.898377075;21.898377075;21.898377075;21.898377075
2023-11-21;1.0;300.0;7068.0;21.898377075;21.898377075;21.898377075;21.898377075;21.898377075
2023-12-14;1.0;200.0;4612.0;21.433640719;21.433640719;21.433640719;21.433640719;21.433640719
2024-01-08;3.0;300.0;6918.0;21.433640719;21.433640719;21.433640719;21.433640719;21.433640719
2024-01-16;1.0;100.0;2306.0;21.433640719;21.433640719;21.433640719;21.433640719;21.433640719
2024-01-30;2.0;300.0;6918.0;21.433640719;21.433640719;21.433640719;21.433640719;21.433640719
2024-02-20;2.0;400.0;8824.0;20.504168008;20.504168008;20.504168008;20.504168008;20.504168008
2024-03-01;1.0;100.0;2306.0;21.433640719;21.433640719;21.433640719;21.433640719;21.433640719
2024-03-18;1.0;200.0;4892.0;22.734902515;22.734902515;22.734902515;22.734902515;22.734902515
2024-03-20;2.0;600.0;14676.0;22.734902515;22.734902515;22.734902515;22.734902515;22.734902515
2024-04-01;1.0;100.0;2785.0;25.885815005;25.885815005;25.885815005;25.885815005;25.885815005
2024-04-08;1.0;100.0;2606.0;24.222058853;24.222058853;24.222058853;24.222058853;24.222058853
2024-04-09;1.0;100.0;2606.0;24.222058853;24.222058853;24.222058853;24.222058853;24.222058853
2024-04-26;1.0;300.0;8070.0;25.00281593;25.00281593;25.00281593;25.00281593;25.00281593
2024-05-03;2.0;1100.0;30866.0;26.971439885;26.971439885;26.971439885;26.971439885;26.971439885
2024-05-29;1.0;300.0;8148.0;26.1063545;26.1063545;26.1063545;26.1063545;26.1063545
2024-06-13;2.0;200.0;5432.0;26.1063545;26.1063545;26.1063545;26.1063545;26.1063545
2024-06-25;1.0;300.0;8550.0;27.394370517;27.394370517;27.394370517;27.394370517;27.394370517
2024-07-12;2.0;300.0;7968.0;25.52963091;25.52963091;25.52963091;25.52963091;25.52963091
2024-07-18;2.0;300.0;8012.0;25.52963091;25.952561543;25.52963091;25.952561543;25.664199748
2024-08-02;2.0;300.0;9200.0;28.836179492;29.797385475;28.836179492;29.797385475;29.470575441
2024-08-23;2.0;300.0;8800.0;27.874973509;28.836179492;27.874973509;28.836179492;28.192171483
2024-09-03;1.0;200.0;5800.0;27.874973509;27.874973509;27.874973509;27.874973509;27.874973509
2024-09-05;1.0;300.0;8700.0;27.874973509;27.874973509;27.874973509;27.874973509;27.874973509
2024-09-25;1.0;100.0;2800.0;26.913767526;26.913767526;26.913767526;26.913767526;26.913767526
2024-10-22;1.0;300.0;8400.0;26.913767526;26.913767526;26.913767526;26.913767526;26.913767526
2024-11-06;2.0;200.0;5600.0;26.913767526;26.913767526;26.913767526;26.913767526;26.913767526
2024-11-14;3.0;800.0;21807.0;27.874973509;25.962173603;25.962173603;27.874973509;26.192863039
2024-12-13;1.0;300.0;8970.0;28.740058894;28.740058894;28.740058894;28.740058894;28.740058894
2025-02-13;1.0;200.0;5980.0;28.740058894;28.740058894;28.740058894;28.740058894;28.740058894
2025-02-14;1.0;100.0;2990.0;28.740058894;28.740058894;28.740058894;28.740058894;28.740058894
2025-02-24;1.0;100.0;2984.0;28.682386535;28.682386535;28.682386535;28.682386535;28.682386535
2025-02-28;2.0;200.0;5975.0;28.836179492;28.595877996;28.595877996;28.836179492;28.711222714
2025-03-07;1.0;100.0;2950.0;28.3555765;28.3555765;28.3555765;28.3555765;28.3555765
2025-03-10;3.0;400.0;11312.0;28.3555765;26.010233902;26.010233902;28.3555765;27.182905201
2025-03-11;1.0;100.0;2950.0;28.3555765;28.3555765;28.3555765;28.3555765;28.3555765
2025-03-31;2.0;300.0;8118.0;26.010233902;26.010233902;26.010233902;26.010233902;26.010233902
2025-04-17;1.0;200.0;5400.0;25.952561543;25.952561543;25.952561543;25.952561543;25.952561543
2025-04-22;1.0;100.0;2700.0;25.952561543;25.952561543;25.952561543;25.952561543;25.952561543
2025-04-23;1.0;100.0;2700.0;25.952561543;25.952561543;25.952561543;25.952561543;25.952561543
2025-05-12;1.0;100.0;2595.0;25.95;25.95;25.95;25.95;25.95
2025-06-09;1.0;100.0;2593.0;25.93;25.93;25.93;25.93;25.93
2025-07-03;1.0;100.0;2500.0;25.0;25.0;25.0;25.0;25.0
2025-07-15;1.0;100.0;2202.0;22.02;22.02;22.02;22.02;22.02
2025-07-23;1.0;100.0;2500.0;25.0;25.0;25.0;25.0;25.0
2025-08-05;1.0;100.0;2450.0;24.5;24.5;24.5;24.5;24.5
2025-08-11;2.0;300.0;7350.0;24.5;24.5;24.5;24.5;24.5
2025-09-15;1.0;300.0;7350.0;24.5;24.5;24.5;24.5;24.5
2025-09-18;5.0;500.0;12025.0;24.5;23.75;23.75;24.5;24.05
2025-10-14;1.0;100.0;2450.0;24.5;24.5;24.5;24.5;24.5
2025-10-29;1.0;100.0;2350.0;23.5;23.5;23.5;23.5;23.5
2025-11-11;1.0;100.0;3000.0;30.0;30.0;30.0;30.0;30.0
2025-11-21;1.0;100.0;2657.0;26.57;26.57;26.57;26.57;26.57
2025-11-26;1.0;100.0;3000.0;30.0;30.0;30.0;30.0;30.0
2025-11-27;1.0;100.0;3001.0;30.01;30.01;30.01;30.01;30.01
2025-11-28;1.0;100.0;3540.0;35.4;35.4;35.4;35.4;35.4
2025-12-02;1.0;100.0;3600.0;36.0;36.0;36.0;36.0;36.0
2025-12-10;1.0;100.0;3550.0;35.5;35.5;35.5;35.5;35.5
2025-12-15;4.0;600.0;21750.0;36.5;36.0;36.0;36.5;36.25
2025-12-18;1.0;100.0;3070.0;30.7;30.7;30.7;30.7;30.7
2025-12-19;2.0;200.0;9998.0;49.99;49.99;49.99;49.99;49.99
2025-12-22;4.0;600.0;24450.0;40.0;44.5;40.0;44.5;40.75
2026-01-22;1.0;100.0;3998.0;39.98;39.98;39.98;39.98;39.98
2026-01-23;1.0;100.0;3610.0;36.1;36.1;36.1;36.1;36.1
2026-01-29;1.0;100.0;4000.0;40.0;40.0;40.0;40.0;40.0
2026-02-23;2.0;200.0;7996.0;39.98;39.98;39.98;39.98;39.98
2026-03-12;1.0;100.0;3710.0;37.1;37.1;37.1;37.1;37.1
2026-03-18;2.0;200.0;8999.0;46.0;43.99;43.99;46.0;44.99
2026-03-27;1.0;300.0;13800.0;46.0;46.0;46.0;46.0;46.0
