Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-07-20;0.0;0.0;0.0;4.2235656153;4.2235656153;4.2235656153;4.2235656153;4.2235656153
2007-07-23;11124.0;34966800.0;359765212.0;5.0357897721;5.0357897721;4.8977116655;5.0699031867;5.0146719441
2007-07-24;1721.0;7632300.0;81569376.0;5.263212536;5.0033008059;4.8895894239;5.376923918;5.2079812934
2007-07-25;809.0;5693100.0;60809235.0;5.1819901203;5.2648369843;5.1088899462;5.4419018505;5.2047323967
2007-07-26;715.0;4961400.0;51095307.0;5.1982346035;5.0390386688;4.8733449408;5.2388458113;5.019545289
2007-07-27;543.0;1446600.0;15151071.0;5.1332566709;5.1170121878;4.9724362879;5.1819901203;5.1040166013
2007-07-30;847.0;2456100.0;25062869.0;5.019545289;5.1170121878;4.8733449408;5.1170121878;4.9724362879
2007-07-31;632.0;4656900.0;47454011.0;5.019545289;5.0374142204;4.8895894239;5.0374142204;4.9659384946
2007-08-01;547.0;2773800.0;28017252.0;4.9951785643;4.9383228733;4.8749693891;4.9951785643;4.9220783902
2007-08-02;324.0;1257600.0;12924503.0;5.1495011541;5.0033008059;4.9383228733;5.1495011541;5.0081741508
2007-08-03;102.0;377400.0;3920202.0;5.0357897721;5.0682787384;5.0357897721;5.1332566709;5.0617809451
2007-08-06;149.0;1626600.0;16516787.0;4.9383228733;4.9545673564;4.8912138722;4.9724362879;4.9480695632
2007-08-07;146.0;891900.0;8934444.0;4.9383228733;4.9464451149;4.8571004576;4.9545673564;4.8814671823
2007-08-08;229.0;1025700.0;10492284.0;4.9789340811;4.9789340811;4.9545673564;5.0341653238;4.9854318744
2007-08-09;244.0;2955600.0;29498527.0;4.8652226992;4.9220783902;4.8164892498;4.9383228733;4.8635982509
2007-08-10;211.0;2815200.0;27495733.0;4.7109001094;4.7287690409;4.7109001094;4.8327337329;4.7596335588
2007-08-13;477.0;1464900.0;14905968.0;4.9399473216;4.7271445925;4.7271445925;5.0569076002;4.9594407014
2007-08-14;141.0;3786300.0;38544625.0;4.8733449408;4.8895894239;4.8733449408;5.0244186339;4.9610651497
2007-08-15;309.0;5741700.0;57440588.0;4.7109001094;4.7352668341;4.7109001094;4.962689598;4.8749693891
2007-08-16;364.0;2085900.0;18513371.0;4.304788031;4.4201238613;4.1423431997;4.548455278;4.3259058591
2007-08-17;279.0;1330800.0;11741719.0;4.6296776937;4.5305863466;4.0643696806;4.7904980768;4.2999146861
2007-08-20;272.0;1968000.0;18837782.0;5.0357897721;4.7109001094;4.4363683444;5.0357897721;4.6654155566
2007-08-21;138.0;598500.0;6032673.0;4.9610651497;4.9545673564;4.8571004576;4.9610651497;4.9123317003
2007-08-22;394.0;2123700.0;21854428.0;5.0033008059;4.9383228733;4.905833907;5.1819901203;5.0146719441
2007-08-23;128.0;492300.0;5003006.0;4.9545673564;4.9383228733;4.8814671823;5.0357897721;4.9529429081
2007-08-24;85.0;614100.0;6310013.0;5.0033008059;4.9545673564;4.9545673564;5.0357897721;5.0081741508
2007-08-27;122.0;679200.0;7023385.0;5.0357897721;4.9870563227;4.9854318744;5.1495011541;5.0390386688
