Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2001-05-17;1.0;1000.0;1910.0;1.4434760776;1.4434760776;1.4434760776;1.4434760776;1.4434760776
2001-05-23;2.0;2000.0;3870.0;1.4737059431;1.451033544;1.451033544;1.4737059431;1.4661484767
2003-09-05;9.0;42000.0;94160.0;1.8893665937;1.6777575352;1.6777575352;1.8893665937;1.692872468
2003-09-26;1.0;1000.0;4000.0;3.02298655;3.02298655;3.02298655;3.02298655;3.02298655
2003-09-29;3.0;3000.0;12000.0;3.02298655;3.02298655;3.02298655;3.02298655;3.02298655
2003-10-01;1.0;4000.0;20000.0;3.7787331875;3.7787331875;3.7787331875;3.7787331875;3.7787331875
2004-03-24;8.0;10000.0;30990.0;2.2672399125;3.0154290836;2.2672399125;3.0154290836;2.3428145762
2004-05-20;2.0;2000.0;4060.0;1.5492806069;1.5190507414;1.5190507414;1.5492806069;1.5341656741
2004-06-21;2.0;2000.0;3400.0;1.2847692837;1.2847692837;1.2847692837;1.2847692837;1.2847692837
2004-06-22;1.0;1000.0;1700.0;1.2847692837;1.2847692837;1.2847692837;1.2847692837;1.2847692837
2004-09-22;1.0;1000.0;2140.0;1.6172978042;1.6172978042;1.6172978042;1.6172978042;1.6172978042
2004-10-01;7.0;5000.0;11700.0;1.8893665937;1.7382172662;1.7382172662;1.8893665937;1.7684471317
2004-10-26;4.0;9800.0;28827.0;2.1916652487;2.2521249797;2.0027285894;2.2521249797;2.2218951142
2004-10-27;3.0;7000.0;20300.0;2.1916652487;2.1916652487;2.1916652487;2.1916652487;2.1916652487
2004-12-01;5.0;3100.0;9300.0;2.2672399125;2.2672399125;2.2672399125;2.2672399125;2.2672399125
2005-05-18;2.0;300.0;909.0;2.2899123116;2.2899123116;2.2899123116;2.2899123116;2.2899123116
2005-06-13;2.0;1100.0;3245.0;2.2294525806;2.2294525806;2.2294525806;2.2294525806;2.2294525806
2005-06-30;2.0;3300.0;7293.0;1.6702000689;1.6702000689;1.6702000689;1.6702000689;1.6702000689
2005-11-17;3.0;2500.0;5769.0;1.7004299344;1.7457747326;1.7004299344;1.7457747326;1.7457747326
2005-12-20;2.0;700.0;1407.0;1.5190507414;1.5190507414;1.5190507414;1.5190507414;1.5190507414
2006-01-13;5.0;36700.0;146800.0;3.02298655;3.02298655;3.02298655;3.02298655;3.02298655
2006-01-17;1.0;200.0;726.0;2.7433602941;2.7433602941;2.7433602941;2.7433602941;2.7433602941
2006-03-02;1.0;100.0;362.0;2.7358028277;2.7358028277;2.7358028277;2.7358028277;2.7358028277
2006-03-09;4.0;1300.0;3796.0;2.2067801815;2.2067801815;2.2067801815;2.2067801815;2.2067801815
2006-03-10;8.0;3200.0;11288.0;2.8718372225;2.6073258994;2.6073258994;3.0154290836;2.6677856304
2006-03-13;1.0;100.0;380.0;2.8718372225;2.8718372225;2.8718372225;2.8718372225;2.8718372225
2006-04-24;2.0;200.0;640.0;2.41838924;2.41838924;2.41838924;2.41838924;2.41838924
2006-05-08;6.0;900.0;3700.0;3.325285205;3.02298655;3.02298655;3.325285205;3.1061186801
2006-05-11;4.0;1900.0;15200.0;6.0459731;6.0459731;6.0459731;6.0459731;6.0459731
2006-05-17;1.0;200.0;1400.0;5.2902264625;5.2902264625;5.2902264625;5.2902264625;5.2902264625
2006-08-17;3.0;400.0;2800.0;5.2902264625;5.2902264625;5.2902264625;5.2902264625;5.2902264625
2006-09-27;1.0;100.0;901.0;6.8092772038;6.8092772038;6.8092772038;6.8092772038;6.8092772038
2006-10-20;2.0;200.0;2402.0;9.0765171163;9.0765171163;9.0765171163;9.0765171163;9.0765171163
2006-10-26;1.0;100.0;1400.0;10.580452925;10.580452925;10.580452925;10.580452925;10.580452925
2006-11-07;1.0;100.0;1500.0;11.336199562;11.336199562;11.336199562;11.336199562;11.336199562
2006-11-13;2.0;200.0;3000.0;11.336199562;11.336199562;11.336199562;11.336199562;11.336199562
2006-11-14;1.0;100.0;1500.0;11.336199562;11.336199562;11.336199562;11.336199562;11.336199562
2006-11-16;2.0;200.0;2900.0;10.958326243;10.958326243;10.958326243;10.958326243;10.958326243
2006-11-17;1.0;100.0;1440.0;10.882751579;10.882751579;10.882751579;10.882751579;10.882751579
2006-11-24;2.0;200.0;2800.0;10.580452925;10.580452925;10.580452925;10.580452925;10.580452925
2006-12-01;10.0;14300.0;178893.0;9.4543904351;9.4543904351;9.4543904351;9.4543904351;9.4543904351
2006-12-04;1.0;2000.0;24000.0;9.06895965;9.06895965;9.06895965;9.06895965;9.06895965
2006-12-11;1.0;200.0;2798.0;10.572895458;10.572895458;10.572895458;10.572895458;10.572895458
2006-12-13;2.0;200.0;3970.0;15.001570754;15.001570754;15.001570754;15.001570754;15.001570754
2006-12-20;1.0;100.0;1990.0;15.039358086;15.039358086;15.039358086;15.039358086;15.039358086
2006-12-21;1.0;100.0;1000.0;7.557466375;7.557466375;7.557466375;7.557466375;7.557466375
2006-12-22;10.0;2000.0;30145.0;12.432032186;11.336199562;11.336199562;12.432032186;11.389101827
2006-12-27;1.0;400.0;6580.0;12.432032186;12.432032186;12.432032186;12.432032186;12.432032186
2007-01-03;1.0;200.0;3996.0;15.099817817;15.099817817;15.099817817;15.099817817;15.099817817
2007-01-04;2.0;300.0;5999.0;15.114932749;15.107375283;15.107375283;15.114932749;15.114932749
2007-01-09;1.0;100.0;2200.0;16.626426025;16.626426025;16.626426025;16.626426025;16.626426025
2007-01-18;1.0;100.0;2400.0;18.1379193;18.1379193;18.1379193;18.1379193;18.1379193
2007-02-06;1.0;100.0;2751.0;20.790589998;20.790589998;20.790589998;20.790589998;20.790589998
2007-02-16;1.0;100.0;3500.0;26.451132312;26.451132312;26.451132312;26.451132312;26.451132312
2007-02-21;3.0;300.0;10600.0;27.962625587;25.695385675;25.695385675;27.962625587;26.700528703
2007-03-20;1.0;100.0;3900.0;29.474118862;29.474118862;29.474118862;29.474118862;29.474118862
2007-04-09;3.0;300.0;9302.0;24.939639037;22.679956591;22.679956591;24.939639037;23.435703229
2007-04-10;6.0;2200.0;72800.0;26.451132312;24.939639037;24.939639037;26.451132312;25.007656235
2007-04-19;2.0;400.0;14204.0;26.836563098;26.836563098;26.836563098;26.836563098;26.836563098
2007-05-03;1.0;100.0;3800.0;28.718372225;28.718372225;28.718372225;28.718372225;28.718372225
2007-05-21;3.0;400.0;13604.0;25.702943141;25.702943141;25.702943141;25.702943141;25.702943141
2007-07-13;2.0;200.0;7998.0;30.222308033;30.222308033;30.222308033;30.222308033;30.222308033
2007-09-03;1.0;100.0;5000.0;37.787331875;37.787331875;37.787331875;37.787331875;37.787331875
2007-10-18;1.0;100.0;5000.0;37.787331875;37.787331875;37.787331875;37.787331875;37.787331875
2007-11-29;3.0;3000.0;150000.0;37.787331875;37.787331875;37.787331875;37.787331875;37.787331875
2007-12-27;1.0;100.0;6998.0;52.887149692;52.887149692;52.887149692;52.887149692;52.887149692
2008-01-04;1.0;200.0;13898.0;52.51683384;52.51683384;52.51683384;52.51683384;52.51683384
2008-01-09;2.0;200.0;16599.0;72.5516772;52.894707158;52.894707158;72.5516772;62.726970912
2008-01-14;1.0;100.0;9599.0;72.544119733;72.544119733;72.544119733;72.544119733;72.544119733
2008-03-27;1.0;100.0;9489.0;71.712798432;71.712798432;71.712798432;71.712798432;71.712798432
2008-04-24;3.0;800.0;64000.0;60.459731;60.459731;60.459731;60.459731;60.459731
2008-04-28;3.0;900.0;72000.0;60.459731;60.459731;60.459731;60.459731;60.459731
2008-05-05;1.0;100.0;7800.0;58.948237725;58.948237725;58.948237725;58.948237725;58.948237725
2008-05-08;2.0;200.0;15999.0;60.459731;60.452173533;60.452173533;60.459731;60.459731
2008-05-13;2.0;1300.0;115700.0;67.261450737;67.261450737;67.261450737;67.261450737;67.261450737
2008-05-14;3.0;2300.0;209600.0;69.52869065;68.017197375;68.017197375;69.52869065;68.871191075
2008-05-20;1.0;1000.0;92000.0;69.52869065;69.52869065;69.52869065;69.52869065;69.52869065
2008-05-21;1.0;1100.0;101200.0;69.52869065;69.52869065;69.52869065;69.52869065;69.52869065
2008-05-23;2.0;1900.0;174800.0;69.52869065;69.52869065;69.52869065;69.52869065;69.52869065
2008-06-04;1.0;200.0;18400.0;69.52869065;69.52869065;69.52869065;69.52869065;69.52869065
2008-07-16;1.0;100.0;8006.0;60.505075798;60.505075798;60.505075798;60.505075798;60.505075798
2008-07-29;1.0;200.0;16012.0;60.505075798;60.505075798;60.505075798;60.505075798;60.505075798
2009-01-26;1.0;100.0;5000.0;37.787331875;37.787331875;37.787331875;37.787331875;37.787331875
2009-01-30;2.0;200.0;12000.0;52.902264625;37.787331875;37.787331875;52.902264625;45.34479825
2009-05-08;1.0;300.0;12000.0;30.2298655;30.2298655;30.2298655;30.2298655;30.2298655
2009-05-14;7.0;2700.0;123300.0;34.008598687;40.810318425;34.008598687;40.810318425;34.514948934
2009-05-19;2.0;200.0;11000.0;45.34479825;37.787331875;37.787331875;45.34479825;41.566065062
2009-07-10;1.0;100.0;4500.0;34.008598687;34.008598687;34.008598687;34.008598687;34.008598687
2009-10-23;6.0;600.0;26800.0;33.25285205;34.008598687;33.25285205;34.008598687;33.759202297
2010-03-30;1.0;100.0;4500.0;34.008598687;34.008598687;34.008598687;34.008598687;34.008598687
2010-10-07;5.0;600.0;21246.0;26.760988434;26.760988434;26.760988434;26.760988434;26.760988434
2010-10-18;2.0;30000.0;1080000.0;27.20687895;27.20687895;27.20687895;27.20687895;27.20687895
2010-10-25;2.0;50000.0;2000000.0;30.2298655;30.2298655;30.2298655;30.2298655;30.2298655
2010-11-08;2.0;8100.0;324000.0;30.2298655;30.2298655;30.2298655;30.2298655;30.2298655
2010-11-16;1.0;500.0;17500.0;26.451132312;26.451132312;26.451132312;26.451132312;26.451132312
2010-12-10;2.0;500.0;17500.0;26.451132312;26.451132312;26.451132312;26.451132312;26.451132312
2010-12-21;1.0;100.0;3500.0;26.451132312;26.451132312;26.451132312;26.451132312;26.451132312
2010-12-28;2.0;600.0;20400.0;25.695385675;25.695385675;25.695385675;25.695385675;25.695385675
2011-01-06;1.0;100.0;3400.0;25.695385675;25.695385675;25.695385675;25.695385675;25.695385675
2011-01-11;2.0;600.0;20412.0;25.710500608;25.710500608;25.710500608;25.710500608;25.710500608
2011-04-04;1.0;100.0;3730.0;28.189349579;28.189349579;28.189349579;28.189349579;28.189349579
2011-09-13;1.0;500.0;17005.0;25.702943141;25.702943141;25.702943141;25.702943141;25.702943141
2011-09-29;1.0;500.0;17000.0;25.695385675;25.695385675;25.695385675;25.695385675;25.695385675
2011-09-30;2.0;400.0;13600.0;25.695385675;25.695385675;25.695385675;25.695385675;25.695385675
2011-10-14;4.0;800.0;22483.0;21.788175559;21.16090585;21.16090585;21.788175559;21.236480514
2012-02-24;2.0;4000.0;160000.0;30.2298655;30.2298655;30.2298655;30.2298655;30.2298655
2012-04-03;4.0;1700.0;51000.0;22.672399125;22.672399125;22.672399125;22.672399125;22.672399125
2012-04-13;2.0;200.0;6002.0;22.679956591;22.679956591;22.679956591;22.679956591;22.679956591
2012-06-28;3.0;300.0;6725.0;16.785132819;17.404845062;16.633983491;17.404845062;16.943839613
2012-10-15;2.0;200.0;4846.0;18.311741027;18.311741027;18.311741027;18.311741027;18.311741027
2012-12-11;2.0;700.0;15295.0;16.513064029;16.513064029;16.513064029;16.513064029;16.513064029
2012-12-12;1.0;100.0;2300.0;17.382172662;17.382172662;17.382172662;17.382172662;17.382172662
2012-12-14;1.0;100.0;2423.0;18.311741027;18.311741027;18.311741027;18.311741027;18.311741027
2013-02-01;3.0;800.0;17600.0;16.626426025;16.626426025;16.626426025;16.626426025;16.626426025
2013-05-27;1.0;200.0;5000.0;18.893665937;18.893665937;18.893665937;18.893665937;18.893665937
2013-10-22;2.0;200.0;3618.0;13.671456672;13.671456672;13.671456672;13.671456672;13.671456672
2013-12-20;5.0;3100.0;77500.0;18.893665937;18.893665937;18.893665937;18.893665937;18.893665937
2014-01-14;2.0;200.0;5420.0;20.480733876;20.480733876;20.480733876;20.480733876;20.480733876
2014-01-16;3.0;600.0;16200.0;20.405159212;20.405159212;20.405159212;20.405159212;20.405159212
2014-02-13;1.0;100.0;2730.0;20.631883204;20.631883204;20.631883204;20.631883204;20.631883204
2014-03-28;1.0;100.0;3500.0;26.451132312;26.451132312;26.451132312;26.451132312;26.451132312
2014-05-20;10.0;5000.0;127490.0;20.442946544;18.931453269;18.515792619;20.442946544;19.271539256
2014-06-02;1.0;100.0;2701.0;20.412716679;20.412716679;20.412716679;20.412716679;20.412716679
2014-06-10;1.0;200.0;5602.0;21.168463316;21.168463316;21.168463316;21.168463316;21.168463316
2014-08-19;1.0;100.0;2800.0;21.16090585;21.16090585;21.16090585;21.16090585;21.16090585
2015-03-20;1.0;1700.0;47600.0;21.16090585;21.16090585;21.16090585;21.16090585;21.16090585
2015-06-17;4.0;400.0;9636.0;18.1379193;18.228608896;18.1379193;18.228608896;18.205936497
2015-06-26;1.0;500.0;12500.0;18.893665937;18.893665937;18.893665937;18.893665937;18.893665937
2015-09-08;3.0;15200.0;380000.0;18.893665937;18.893665937;18.893665937;18.893665937;18.893665937
2015-10-06;1.0;400.0;9796.0;18.508235152;18.508235152;18.508235152;18.508235152;18.508235152
2015-11-11;2.0;1200.0;29400.0;18.515792619;18.515792619;18.515792619;18.515792619;18.515792619
2015-11-12;2.0;1200.0;29400.0;18.515792619;18.515792619;18.515792619;18.515792619;18.515792619
2016-02-11;1.0;2500.0;62525.0;18.901223404;18.901223404;18.901223404;18.901223404;18.901223404
2016-06-02;4.0;600.0;19655.0;25.695385675;24.569323185;24.569323185;25.695385675;24.758259844
2016-06-03;1.0;100.0;3500.0;26.451132312;26.451132312;26.451132312;26.451132312;26.451132312
2016-06-06;1.0;100.0;4000.0;30.2298655;30.2298655;30.2298655;30.2298655;30.2298655
2016-06-15;1.0;100.0;4000.0;30.2298655;30.2298655;30.2298655;30.2298655;30.2298655
2016-06-20;1.0;100.0;4600.0;34.764345325;34.764345325;34.764345325;34.764345325;34.764345325
2016-06-29;1.0;100.0;4600.0;34.764345325;34.764345325;34.764345325;34.764345325;34.764345325
2016-07-20;1.0;100.0;4599.0;34.756787858;34.756787858;34.756787858;34.756787858;34.756787858
2017-03-16;14.0;5500.0;183905.0;25.609856411;25.99776699;25.609856411;25.99776699;25.943459509
2017-03-17;1.0;100.0;3649.0;28.309714039;28.309714039;28.309714039;28.309714039;28.309714039
2017-03-20;5.0;700.0;23891.0;28.70538283;25.687438527;25.679680315;28.70538283;26.478776107
2017-03-24;1.0;100.0;3800.0;29.481203987;29.481203987;29.481203987;29.481203987;29.481203987
2017-03-29;2.0;200.0;6622.0;25.687438527;25.687438527;25.687438527;25.687438527;25.687438527
2017-04-03;1.0;100.0;3300.0;25.602098199;25.602098199;25.602098199;25.602098199;25.602098199
2017-04-13;2.0;300.0;10803.0;27.937319884;27.937319884;27.937319884;27.937319884;27.937319884
2017-04-25;1.0;100.0;4100.0;31.80866746;31.80866746;31.80866746;31.80866746;31.80866746
2017-04-26;2.0;400.0;17121.0;33.360309775;32.74741106;32.74741106;33.360309775;33.205145543
2017-05-02;1.0;100.0;4300.0;33.360309775;33.360309775;33.360309775;33.360309775;33.360309775
2017-05-04;4.0;500.0;21920.0;34.213713048;33.748220354;33.748220354;34.213713048;34.011999547
2017-05-08;1.0;200.0;8778.0;34.050790605;34.050790605;34.050790605;34.050790605;34.050790605
2017-05-12;6.0;800.0;35936.0;35.579158285;34.120614509;34.120614509;35.579158285;34.849886397
2017-05-16;5.0;1000.0;41375.0;35.46412992;37.101072045;35.46412992;37.101072045;36.614413575
2017-05-17;1.0;100.0;3852.0;34.083789534;34.083789534;34.083789534;34.083789534;34.083789534
2017-05-22;4.0;600.0;20319.0;29.208356503;31.039962016;26.562704097;31.039962016;29.969313383
2017-06-26;2.0;200.0;7000.0;30.969175329;30.969175329;30.969175329;30.969175329;30.969175329
2017-08-17;2.0;200.0;7000.0;30.969175329;30.969175329;30.969175329;30.969175329;30.969175329
2017-08-18;2.0;200.0;7000.0;30.969175329;30.969175329;30.969175329;30.969175329;30.969175329
2017-08-22;2.0;200.0;7351.0;32.738842491;32.305274036;32.305274036;32.738842491;32.526482432
2017-08-24;1.0;100.0;3850.0;34.066092862;34.066092862;34.066092862;34.066092862;34.066092862
2017-08-31;10.0;1500.0;62650.0;37.605427186;35.393343234;35.393343234;37.605427186;36.950650336
2017-09-04;3.0;500.0;21300.0;38.047843976;37.605427186;37.605427186;38.047843976;37.693910544
2017-09-08;1.0;100.0;4301.0;38.056692312;38.056692312;38.056692312;38.056692312;38.056692312
2017-09-12;1.0;100.0;4319.0;38.215962356;38.215962356;38.215962356;38.215962356;38.215962356
2017-09-19;1.0;100.0;4251.0;37.614275521;37.614275521;37.614275521;37.614275521;37.614275521
2017-10-03;1.0;100.0;4170.0;36.897560321;36.897560321;36.897560321;36.897560321;36.897560321
2017-11-03;2.0;700.0;31000.0;39.817511138;38.932677557;38.932677557;39.817511138;39.18043096
2017-12-08;2.0;1000.0;45080.0;39.888297824;39.888297824;39.888297824;39.888297824;39.888297824
2017-12-13;3.0;700.0;32800.0;41.587178299;41.144761509;41.144761509;41.587178299;41.454453262
2018-01-19;2.0;500.0;23500.0;41.587178299;41.587178299;41.587178299;41.587178299;41.587178299
2018-01-23;1.0;100.0;5000.0;44.241679042;44.241679042;44.241679042;44.241679042;44.241679042
2018-02-21;2.0;300.0;15000.0;44.241679042;44.241679042;44.241679042;44.241679042;44.241679042
2018-03-06;1.0;100.0;5000.0;44.241679042;44.241679042;44.241679042;44.241679042;44.241679042
2018-03-09;1.0;100.0;5100.0;45.126512623;45.126512623;45.126512623;45.126512623;45.126512623
2018-03-20;23.0;6400.0;291315.0;39.021160915;42.47201188;39.021160915;42.657826932;40.268776264
2018-03-21;2.0;200.0;9710.0;44.241679042;41.675661657;41.675661657;44.241679042;42.95867035
2018-05-11;2.0;200.0;9722.0;45.611622868;45.611622868;45.611622868;45.611622868;45.611622868
2018-05-16;2.0;400.0;19400.0;45.508407922;45.508407922;45.508407922;45.508407922;45.508407922
2018-05-30;1.0;100.0;4850.0;45.508407922;45.508407922;45.508407922;45.508407922;45.508407922
2018-07-18;2.0;300.0;14550.0;45.508407922;45.508407922;45.508407922;45.508407922;45.508407922
2018-08-31;1.0;100.0;4850.0;45.508407922;45.508407922;45.508407922;45.508407922;45.508407922
2018-09-05;1.0;100.0;4850.0;45.508407922;45.508407922;45.508407922;45.508407922;45.508407922
2018-10-03;4.0;600.0;27089.0;42.543324025;42.327510956;42.327510956;42.543324025;42.355660487
2018-10-05;5.0;500.0;25897.0;49.730837523;46.906501279;46.906501279;49.730837523;48.595473119
2018-10-08;2.0;300.0;15638.0;53.948640311;49.721028679;49.721028679;53.948640311;51.123693328
2018-10-17;3.0;500.0;24550.0;48.161422532;48.161422532;48.161422532;48.161422532;48.161422532
2018-10-19;2.0;200.0;9820.0;48.161422532;48.161422532;48.161422532;48.161422532;48.161422532
2018-12-06;3.0;800.0;38400.0;47.082449726;47.082449726;47.082449726;47.082449726;47.082449726
2018-12-07;1.0;100.0;4800.0;47.082449726;47.082449726;47.082449726;47.082449726;47.082449726
2019-01-07;1.0;100.0;5000.0;49.044218465;49.044218465;49.044218465;49.044218465;49.044218465
2019-01-16;3.0;1100.0;52800.0;47.082449726;47.082449726;47.082449726;47.082449726;47.082449726
2019-01-18;1.0;500.0;24000.0;47.082449726;47.082449726;47.082449726;47.082449726;47.082449726
2019-01-21;1.0;100.0;4800.0;47.082449726;47.082449726;47.082449726;47.082449726;47.082449726
2019-01-23;2.0;200.0;9734.0;47.739642253;47.739642253;47.739642253;47.739642253;47.739642253
2019-02-08;1.0;100.0;4960.0;48.651864717;48.651864717;48.651864717;48.651864717;48.651864717
2019-03-01;1.0;100.0;4814.0;47.219773538;47.219773538;47.219773538;47.219773538;47.219773538
2019-03-20;7.0;2400.0;120000.0;49.044218465;49.044218465;49.044218465;49.044218465;49.044218465
2019-04-02;1.0;100.0;4580.0;44.924504114;44.924504114;44.924504114;44.924504114;44.924504114
2019-04-30;1.0;100.0;4541.0;44.934399379;44.934399379;44.934399379;44.934399379;44.934399379
2019-05-02;1.0;100.0;4300.0;42.54964046;42.54964046;42.54964046;42.54964046;42.54964046
2019-06-04;2.0;200.0;9348.0;46.250469654;46.250469654;46.250469654;46.250469654;46.250469654
2019-06-25;2.0;200.0;10000.0;49.476326116;49.476326116;49.476326116;49.476326116;49.476326116
2019-06-28;1.0;100.0;4700.0;46.507746549;46.507746549;46.507746549;46.507746549;46.507746549
2019-07-16;5.0;2300.0;108100.0;46.507746549;46.507746549;46.507746549;46.507746549;46.507746549
2019-10-22;1.0;100.0;5001.0;49.486221382;49.486221382;49.486221382;49.486221382;49.486221382
2019-11-18;1.0;100.0;5150.0;50.9606159;50.9606159;50.9606159;50.9606159;50.9606159
2019-11-26;1.0;100.0;4530.0;44.825551461;44.825551461;44.825551461;44.825551461;44.825551461
2019-12-17;1.0;100.0;5000.0;49.476326116;49.476326116;49.476326116;49.476326116;49.476326116
2020-03-13;5.0;900.0;40500.0;44.528693505;44.528693505;44.528693505;44.528693505;44.528693505
2020-03-17;1.0;100.0;4500.0;44.528693505;44.528693505;44.528693505;44.528693505;44.528693505
2020-04-16;1.0;100.0;4650.0;46.012983288;46.012983288;46.012983288;46.012983288;46.012983288
2020-06-12;2.0;300.0;16498.0;54.423958728;54.414063463;54.414063463;54.423958728;54.414063463
2020-06-18;2.0;200.0;9400.0;46.507746549;46.507746549;46.507746549;46.507746549;46.507746549
2020-08-06;1.0;100.0;4950.0;48.981562855;48.981562855;48.981562855;48.981562855;48.981562855
2020-08-28;3.0;300.0;14839.0;49.17946816;48.486799594;48.486799594;49.17946816;48.941981794
2020-09-21;2.0;200.0;10079.0;47.299367767;52.435010418;47.299367767;52.435010418;49.86224146
2020-09-25;2.0;200.0;10154.0;48.041512659;52.435010418;48.041512659;52.435010418;50.238261538
2020-10-16;4.0;400.0;20800.0;51.455379161;51.455379161;51.455379161;51.455379161;51.455379161
2020-11-03;1.0;100.0;4820.0;47.695178376;47.695178376;47.695178376;47.695178376;47.695178376
2020-11-09;1.0;100.0;4800.0;47.497273072;47.497273072;47.497273072;47.497273072;47.497273072
2021-03-31;3.0;300.0;13800.0;47.497273072;44.528693505;44.528693505;47.497273072;45.518220027
2021-07-22;13.0;2000.0;96997.0;47.804026294;47.85350262;47.804026294;48.486799594;47.942560007
2021-10-19;1.0;100.0;4850.0;47.992036333;47.992036333;47.992036333;47.992036333;47.992036333
2021-12-06;2.0;400.0;19400.0;47.992036333;47.992036333;47.992036333;47.992036333;47.992036333
2022-03-14;2.0;200.0;9700.0;47.992036333;47.992036333;47.992036333;47.992036333;47.992036333
2022-03-15;3.0;300.0;14901.0;49.486221382;48.981562855;48.981562855;49.486221382;49.149782364
2023-01-23;1.0;400.0;18500.0;45.765601658;45.765601658;45.765601658;45.765601658;45.765601658
