Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-02-04;0.0;0.0;0.0;11.648629748;11.648629748;11.648629748;11.648629748;11.648629748
2020-02-05;34943.0;15097700.0;315703309.0;12.553963666;12.686745974;12.378932442;12.849706079;12.62035482
2020-02-06;5311.0;3304200.0;67479918.0;12.553963666;12.674674855;12.089225588;12.753137128;12.324612406
2020-02-07;4385.0;1487500.0;29857724.0;12.071118909;12.409110239;11.853838769;12.481536952;12.113367826
2020-02-10;6605.0;2494800.0;47371740.0;11.769340937;12.06508335;10.984718207;12.071118909;11.455491845
2020-02-11;4252.0;2177300.0;42996309.0;12.215972336;11.914194364;11.449456285;12.215972336;11.914194364
2020-02-12;4007.0;997600.0;19857918.0;11.95040772;12.209936777;11.859874328;12.209936777;12.010763315
2020-02-13;3317.0;2249800.0;43379487.0;11.61845195;11.739163139;11.527918558;11.890052126;11.636558629
2020-02-14;1083.0;803900.0;15322087.0;11.455491845;11.61845195;11.437385167;11.859874328;11.497740761
2020-02-17;1150.0;466600.0;8849350.0;11.437385167;11.479634083;11.201998348;11.757269818;11.443420726
2020-02-18;492.0;834700.0;15595598.0;11.280460621;11.383065131;11.195962788;11.455491845;11.274425061
2020-02-19;1444.0;1366500.0;25654722.0;11.449456285;11.298567299;11.226140586;11.582238594;11.328745096
2020-02-20;1632.0;467600.0;8699949.0;11.165784991;11.443420726;11.014896005;11.467562964;11.226140586
2020-02-21;1100.0;865000.0;15579598.0;10.779509186;11.165784991;10.767438067;11.165784991;10.870042578
2020-02-26;3386.0;1489200.0;24016203.0;9.566361736;10.260451073;9.3852949524;10.320806667;9.7293218413
2020-02-27;2740.0;1109800.0;17288042.0;9.4818639037;9.5965395333;9.1378370147;9.7051796035;9.3973660713
2020-02-28;2746.0;1072800.0;16893142.0;9.7776063169;9.6568951278;9.1438725742;10.188024359;9.499970582
2020-03-02;1427.0;1976500.0;32560125.0;10.175953241;9.7776063169;9.6629306873;10.350984465;9.9405664222
2020-03-03;1539.0;1269000.0;21510516.0;10.260451073;10.139739884;9.9345308628;10.501873451;10.230273276
2020-03-04;676.0;806700.0;13535525.0;9.8439974709;10.260451073;9.8439974709;10.477731213;10.121633205
2020-03-05;1123.0;1204700.0;18939796.0;9.4154727496;9.8439974709;9.2464770849;9.898317506;9.4878994631
2020-03-06;4387.0;1447300.0;20306198.0;8.5403166287;8.9929835878;8.2747520127;8.9929835878;8.4678899152
2020-03-09;6802.0;2507100.0;30803099.0;7.2909558215;7.7194805428;7.2064579892;7.7194805428;7.4116670106
2020-03-10;3043.0;1214800.0;15317872.0;8.4497832369;7.7858716968;7.3573469755;8.7213834123;7.6048049132
2020-03-11;1242.0;819900.0;10767781.0;7.9669384805;8.2083608587;7.2004224297;8.4196054396;7.9246895643
2020-03-12;2878.0;2076300.0;22167751.0;6.3373374276;6.6391154004;6.0053816576;6.9469289326;6.4399419384
2020-03-13;1208.0;2990500.0;35055678.0;7.4840937241;7.2728491432;6.7598265895;7.6410182699;7.0736756811
2020-03-16;1508.0;1528900.0;15781213.0;6.0355594549;6.9348578137;5.9389905036;6.9348578137;6.2286973575
2020-03-17;1990.0;2554200.0;27245436.0;6.6451509598;6.5184042113;6.0355594549;6.9408933731;6.4339063789
2020-03-18;1493.0;4107400.0;38113369.0;6.0053816576;6.0959150495;5.0759055016;6.1321284062;5.5949636147
2020-03-19;4496.0;1648300.0;15259096.0;5.9148482658;5.1302255367;5.015549907;5.9148482658;5.5828924958
2020-03-20;980.0;313500.0;3378992.0;6.5184042113;6.3313018682;5.9812394198;6.9529644921;6.5002975329
2020-03-23;1708.0;351200.0;3405022.0;5.7639592794;6.5123686518;5.7337814822;6.5123686518;5.8484571118
2020-03-24;1226.0;307200.0;3256350.0;6.5847953653;6.2166262386;6.0657372522;6.5847953653;6.3976930222
2020-03-25;2345.0;505800.0;5593336.0;6.832253303;6.4580486167;6.3373374276;6.9107155759;6.6692931977
2020-03-26;2714.0;1308000.0;15451179.0;7.5444493186;6.488226414;6.488226414;7.7858716968;7.1279957162
2020-03-27;2169.0;422400.0;4811253.0;6.832253303;7.363382535;6.6572220788;7.363382535;6.8745022191
2020-03-30;950.0;179700.0;2102175.0;7.1219601568;6.820182184;6.820182184;7.2668135837;7.0555690028
2020-03-31;1023.0;212500.0;2383779.0;6.6391154004;7.2366357864;6.6089376031;7.2668135837;6.765862149
2020-04-01;2382.0;586400.0;5832374.0;6.0053816576;6.5847953653;5.8424215523;6.5847953653;5.9993460982
2020-04-02;1690.0;849900.0;8284804.0;6.0295238954;6.1441995251;5.7458526011;6.1441995251;5.8786349091
2020-04-03;2353.0;2229900.0;20146418.0;6.0355594549;5.7337814822;5.2026522501;6.0355594549;5.4501101878
2020-04-06;2434.0;636000.0;6562147.0;6.2166262386;6.1019506089;6.0415950144;6.5123686518;6.222661798
2020-04-07;2116.0;401300.0;4319665.0;6.2468040358;6.289052952;6.2468040358;6.8081110651;6.4942619735
2020-04-08;1669.0;462900.0;4723181.0;6.2105906791;6.2468040358;5.9812394198;6.3675152249;6.156270644
2020-04-09;3083.0;631100.0;6644304.0;6.5787598058;6.2468040358;6.1381639656;6.5787598058;6.3494085466
2020-04-13;1863.0;465600.0;4865215.0;6.3131951898;6.5787598058;6.2166262386;6.5787598058;6.3011240709
2020-04-14;4802.0;912500.0;9464387.0;6.355444106;6.4037285817;6.0838439305;6.488226414;6.2588751547
2020-04-15;4679.0;1204500.0;12205269.0;6.0959150495;6.3252663087;6.0355594549;6.3252663087;6.1140217278
2020-04-16;2655.0;438400.0;4509964.0;6.3131951898;6.1804128818;6.0717728116;6.3373374276;6.2045551196
2020-04-17;2772.0;521600.0;5337295.0;6.1623062035;6.3433729871;6.1019506089;6.488226414;6.1743773224
2020-04-20;3943.0;755700.0;7530984.0;5.9752038604;6.1019506089;5.9208838253;6.156270644;6.0114172171
2020-04-22;3218.0;2150500.0;22748710.0;6.6934354355;6.0355594549;5.9148482658;6.8745022191;6.3795863438
2020-04-23;1994.0;457500.0;5098848.0;6.6994709949;6.6511865193;6.3494085466;7.1159245973;6.7236132328
2020-04-24;1284.0;480600.0;4890850.0;6.2468040358;6.6994709949;6.0053816576;6.6994709949;6.1381639656
2020-04-27;1353.0;298000.0;3094535.0;6.4037285817;6.3373374276;6.0355594549;6.554617568;6.2649107142
2020-04-28;2487.0;421000.0;4484744.0;6.4580486167;6.5847953653;6.2468040358;6.7598265895;6.4278708195
2020-04-29;2267.0;532900.0;5708237.0;6.4580486167;6.6270442815;6.3494085466;6.6391154004;6.4640841762
2020-04-30;993.0;209300.0;2217265.0;6.4580486167;6.3735507844;6.2347329169;6.4640841762;6.3916574627
2020-05-04;2359.0;342000.0;3487076.0;6.2105906791;6.2166262386;6.0174527765;6.355444106;6.1502350845
2020-05-05;1056.0;214200.0;2202077.0;6.156270644;6.3856219033;6.0717728116;6.4278708195;6.2045551196
2020-05-06;967.0;273100.0;2836806.0;6.3976930222;6.2468040358;5.8424215523;6.5485820086;6.2649107142
2020-05-07;2332.0;421200.0;4272564.0;6.0355594549;6.3976930222;5.9752038604;6.3976930222;6.1200572873
2020-05-08;2441.0;473500.0;4735185.0;6.0959150495;6.2166262386;5.8786349091;6.2166262386;6.0355594549
2020-05-11;1577.0;431900.0;4246650.0;5.8665637902;6.1441995251;5.8605282307;6.1441995251;5.9329549442
2020-05-12;2476.0;1090500.0;10805816.0;5.9933105387;5.9752038604;5.7941370767;6.1079861684;5.9752038604
2020-05-13;2726.0;667100.0;6275799.0;5.7941370767;5.9510616225;5.5828924958;5.9631327414;5.6734258876
2020-05-14;2147.0;569400.0;5343121.0;5.8846704685;5.7881015173;5.4320035094;5.9389905036;5.6613547687
2020-05-15;2361.0;775000.0;7356004.0;5.6734258876;5.8544926713;5.5889280552;5.9027771469;5.7277459227
