Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2010-07-16;1.0;500.0;17500.0;22.70745587;22.70745587;22.70745587;22.70745587;22.70745587
2010-07-30;1.0;500.0;19500.0;25.302593683;25.302593683;25.302593683;25.302593683;25.302593683
2010-09-16;1.0;200.0;8400.0;27.248947043;27.248947043;27.248947043;27.248947043;27.248947043
2011-01-26;1.0;200.0;9200.0;30.305888878;30.305888878;30.305888878;30.305888878;30.305888878
2011-02-02;1.0;200.0;10400.0;34.258830906;34.258830906;34.258830906;34.258830906;34.258830906
2011-03-31;1.0;200.0;11400.0;37.552949262;37.552949262;37.552949262;37.552949262;37.552949262
2011-05-30;2.0;400.0;24000.0;39.633719538;39.633719538;39.633719538;39.633719538;39.633719538
2015-04-06;3.0;500.0;10000.0;14.029635234;14.029635234;14.029635234;14.029635234;14.029635234
2015-06-03;1.0;100.0;2000.0;14.029635234;14.029635234;14.029635234;14.029635234;14.029635234
2015-06-08;1.0;400.0;8000.0;14.029635234;14.029635234;14.029635234;14.029635234;14.029635234
2015-07-16;1.0;100.0;2000.0;14.029635234;14.029635234;14.029635234;14.029635234;14.029635234
2015-12-02;2.0;500.0;10000.0;14.029635234;14.029635234;14.029635234;14.029635234;14.029635234
2016-06-24;1.0;100.0;2000.0;14.389369471;14.389369471;14.389369471;14.389369471;14.389369471
2017-05-23;1.0;100.0;1500.0;11.068745747;11.068745747;11.068745747;11.068745747;11.068745747
2017-08-21;1.0;100.0;1900.0;14.020411279;14.020411279;14.020411279;14.020411279;14.020411279
2017-08-28;2.0;700.0;14000.0;14.758327662;14.758327662;14.758327662;14.758327662;14.758327662
2017-11-09;1.0;100.0;2499.0;18.440530415;18.440530415;18.440530415;18.440530415;18.440530415
2017-11-14;1.0;100.0;2499.0;18.440530415;18.440530415;18.440530415;18.440530415;18.440530415
2018-06-22;1.0;100.0;1950.0;14.683149983;14.683149983;14.683149983;14.683149983;14.683149983
2018-06-26;2.0;200.0;3550.0;13.365431395;13.365431395;13.365431395;13.365431395;13.365431395
2018-07-03;1.0;200.0;3550.0;13.365431395;13.365431395;13.365431395;13.365431395;13.365431395
2018-07-10;1.0;100.0;1750.0;13.177185882;13.177185882;13.177185882;13.177185882;13.177185882
2018-08-07;1.0;100.0;1721.0;12.958821087;12.958821087;12.958821087;12.958821087;12.958821087
2018-11-12;3.0;1100.0;18281.0;12.958821087;12.469382755;12.469382755;12.958821087;12.507031857
2018-11-19;1.0;100.0;1700.0;12.800694857;12.800694857;12.800694857;12.800694857;12.800694857
2019-01-23;1.0;100.0;2501.0;19.509163826;19.509163826;19.509163826;19.509163826;19.509163826
2019-02-06;1.0;200.0;5002.0;19.509163826;19.509163826;19.509163826;19.509163826;19.509163826
2019-02-08;1.0;100.0;2600.0;20.281417811;20.281417811;20.281417811;20.281417811;20.281417811
2019-04-10;1.0;100.0;2900.0;22.621581405;22.621581405;22.621581405;22.621581405;22.621581405
2019-04-11;1.0;100.0;5000.0;39.00272656;39.00272656;39.00272656;39.00272656;39.00272656
2019-06-11;4.0;400.0;10920.0;22.086354626;19.72921966;19.72921966;22.086354626;21.449928185
2019-06-12;1.0;100.0;2810.0;22.078497509;22.078497509;22.078497509;22.078497509;22.078497509
2019-07-15;1.0;100.0;2808.0;22.062783276;22.062783276;22.062783276;22.062783276;22.062783276
2019-08-15;1.0;100.0;2260.0;17.757083406;17.757083406;17.757083406;17.757083406;17.757083406
2019-08-16;1.0;100.0;2250.0;17.67851224;17.67851224;17.67851224;17.67851224;17.67851224
2019-08-19;1.0;100.0;2250.0;17.67851224;17.67851224;17.67851224;17.67851224;17.67851224
2019-11-25;1.0;200.0;4500.0;17.67851224;17.67851224;17.67851224;17.67851224;17.67851224
2020-01-03;1.0;100.0;2226.0;17.774330735;17.774330735;17.774330735;17.774330735;17.774330735
2020-01-31;1.0;500.0;17500.0;27.947060904;27.947060904;27.947060904;27.947060904;27.947060904
2020-02-03;3.0;1700.0;59299.0;27.947060904;26.342101121;26.342101121;27.947060904;27.851242409
2020-02-04;1.0;200.0;7000.0;27.947060904;27.947060904;27.947060904;27.947060904;27.947060904
2020-02-06;1.0;200.0;7000.0;27.947060904;27.947060904;27.947060904;27.947060904;27.947060904
2020-06-15;1.0;200.0;7000.0;27.947060904;27.947060904;27.947060904;27.947060904;27.947060904
2021-05-27;2.0;200.0;12000.0;50.337529696;50.337529696;50.337529696;50.337529696;50.337529696
2021-06-08;1.0;100.0;6000.0;50.337529696;50.337529696;50.337529696;50.337529696;50.337529696
2021-06-24;1.0;200.0;12900.0;54.384768265;54.384768265;54.384768265;54.384768265;54.384768265
2022-05-17;1.0;300.0;21000.0;60.57173872;60.57173872;60.57173872;60.57173872;60.57173872
2022-07-27;1.0;200.0;13948.0;60.606500119;60.606500119;60.606500119;60.606500119;60.606500119
2022-10-24;1.0;200.0;13846.0;60.685392006;60.685392006;60.685392006;60.685392006;60.685392006
2023-01-11;1.0;100.0;7500.0;66.31800088;66.31800088;66.31800088;66.31800088;66.31800088
2023-02-03;1.0;200.0;15000.0;66.31800088;66.31800088;66.31800088;66.31800088;66.31800088
2023-03-14;1.0;200.0;15000.0;66.31800088;66.31800088;66.31800088;66.31800088;66.31800088
2023-08-16;1.0;100.0;7700.0;69.713120379;69.713120379;69.713120379;69.713120379;69.713120379
2023-10-06;1.0;100.0;7900.0;72.180032896;72.180032896;72.180032896;72.180032896;72.180032896
2024-05-03;1.0;100.0;7895.0;72.779228571;72.779228571;72.779228571;72.779228571;72.779228571
2024-06-25;2.0;200.0;15680.0;72.779228571;72.501268437;72.501268437;72.779228571;72.640248504
2025-02-24;1.0;8000.0;560000.0;66.12;66.12;66.12;66.12;66.12
2025-05-26;1.0;100.0;7550.0;71.725;71.725;71.725;71.725;71.725
2025-05-27;1.0;100.0;7500.0;71.25;71.25;71.25;71.25;71.25
2025-06-16;1.0;100.0;7500.0;71.25;71.25;71.25;71.25;71.25
2025-06-20;1.0;100.0;7500.0;71.25;71.25;71.25;71.25;71.25
2025-06-23;1.0;100.0;7600.0;72.2;72.2;72.2;72.2;72.2
