Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-07-26;0.0;0.0;0.0;5.4921791343;5.4921791343;5.4921791343;5.4921791343;5.4921791343
2007-07-27;8418.0;12076500.0;96953353.0;5.2724919689;5.2746888406;5.0747735201;5.4592260595;5.2900669422
2007-07-30;1273.0;1887300.0;15096750.0;5.2505232524;5.3208231453;5.1868139744;5.38013868;5.2724919689
2007-07-31;2036.0;6558600.0;53780396.0;5.3823355516;5.2834763272;5.2527201241;5.4592260595;5.4043042682
2007-08-01;659.0;2618400.0;20937276.0;5.3823355516;5.2724919689;5.2395388941;5.3823355516;5.2702950973
2007-08-02;652.0;1932000.0;15660644.0;5.3823355516;5.3823355516;5.2768857122;5.3823355516;5.3427918619
2007-08-03;517.0;860100.0;6907729.0;5.2944606855;5.316429402;5.1253015681;5.36695745;5.2922638138
2007-08-06;641.0;1811400.0;14374308.0;5.3823355516;5.2483263807;5.1253015681;5.3823355516;5.2307514075
2007-08-07;1339.0;2349900.0;19542423.0;5.5800540005;5.3515793485;5.3186262737;5.5800540005;5.481194776
2007-08-08;1689.0;2437800.0;21024644.0;5.7316381446;5.5361165674;5.5141478508;5.7755755776;5.6833069682
2007-08-09;357.0;1137300.0;9706967.0;5.5580852839;5.5888414871;5.4921791343;5.6701257383;5.6261883052
2007-08-10;409.0;516900.0;4341882.0;5.7118662997;5.3713511934;5.3713511934;5.7118662997;5.5361165674
2007-08-13;574.0;1782000.0;14870490.0;5.5251322091;5.665731995;5.4043042682;5.6679288666;5.4987697493
2007-08-14;271.0;956100.0;7753436.0;5.2395388941;5.4921791343;5.2285545359;5.6679288666;5.3449887335
2007-08-15;440.0;6806100.0;52599271.0;5.2285545359;5.1846171028;4.8331176382;5.2505232524;5.0923484933
2007-08-16;585.0;5435700.0;38460548.0;4.7232740555;4.9847017823;4.1784498854;4.9847017823;4.6639585209
2007-08-17;217.0;5549100.0;39514707.0;4.7122896972;4.8375113815;4.4003339224;5.0528048036;4.6925178524
2007-08-20;105.0;266100.0;1955570.0;4.8309207665;4.8353145098;4.6573679059;4.9759142957;4.8441019965
2007-08-21;71.0;1725000.0;12665467.0;4.8331176382;4.8770550713;4.8001645634;4.9056144028;4.8397082532
2007-08-22;171.0;1291500.0;9717976.0;4.9649299374;4.8990237878;4.8770550713;5.0528048036;4.9583393225
2007-08-23;198.0;720000.0;5604059.0;5.2175701776;5.0198517288;5.0198517288;5.2175701776;5.1296953114
2007-08-24;337.0;1136700.0;8963394.0;5.3603668351;5.0747735201;5.0528048036;5.3603668351;5.1977983327
2007-08-27;307.0;775800.0;6327290.0;5.4921791343;5.3603668351;5.1670421296;5.4921791343;5.3757449367
2007-08-28;103.0;120000.0;969663.0;5.2285545359;5.3010513004;5.2197670492;5.3603668351;5.3252168886
2007-08-29;189.0;570600.0;4525584.0;5.2065858193;5.2263576642;5.2065858193;5.2944606855;5.2263576642
2007-08-30;206.0;451200.0;3504988.0;5.1406796697;5.1626483862;5.0747735201;5.2285545359;5.1187109532
2007-08-31;211.0;314400.0;2488297.0;5.2109795626;5.202192076;5.1428765414;5.2702950973;5.2153733059
2007-09-03;101.0;73500.0;585936.0;5.2746888406;5.1758296162;5.1318921831;5.3142325304;5.2549169957
2007-09-04;177.0;332100.0;2690106.0;5.2724919689;5.2329482792;5.2329482792;5.3757449367;5.3383981185
2007-09-05;54.0;115200.0;911134.0;5.2065858193;5.2702950973;5.1692390012;5.2702950973;5.2131764343
2007-09-06;157.0;399600.0;3196348.0;5.3383981185;5.2065858193;5.2065858193;5.3383981185;5.2724919689
2007-09-10;138.0;276300.0;2186305.0;5.2724919689;5.2131764343;5.1956014611;5.2724919689;5.2153733059
2007-09-11;156.0;1911000.0;15312358.0;5.2944606855;5.1846171028;5.1846171028;5.316429402;5.2812794556
2007-09-12;122.0;727200.0;5774286.0;5.2724919689;5.2724919689;5.2175701776;5.3823355516;5.2329482792
2007-09-13;69.0;39900.0;317658.0;5.2395388941;5.2724919689;5.2285545359;5.2724919689;5.2461295091
2007-09-14;83.0;410100.0;3179678.0;5.1626483862;5.1846171028;5.0637891618;5.1846171028;5.1099234666
2007-09-17;67.0;79500.0;605243.0;4.9912923973;5.1626483862;4.9890955256;5.1626483862;5.0176548571
2007-09-18;213.0;504900.0;3805481.0;4.9209925043;5.0088673705;4.8550863547;5.0528048036;4.9671268091
2007-09-19;176.0;250200.0;1877312.0;4.9429612209;5.030836087;4.9034175311;5.030836087;4.9451580925
2007-09-20;151.0;542100.0;4019757.0;4.9429612209;4.9473549642;4.7672114886;4.986898654;4.8880394295
2007-09-21;103.0;79200.0;590498.0;4.9319768626;4.9253862476;4.8814488146;4.9429612209;4.9144018894
2007-09-24;150.0;147900.0;1090841.0;4.9209925043;4.8682675847;4.815542665;4.9209925043;4.8616769697
2007-09-25;121.0;208500.0;1522442.0;4.7474396437;4.872661328;4.7474396437;4.8748581996;4.8133457933
2007-09-26;211.0;633600.0;4613773.0;4.8111489217;4.7913770768;4.7496365153;4.8331176382;4.8001645634
